"基準価額一覧"
""
"ファンド名","野村－野村インデックスファンド・米国株式配当貴族"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20170101","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","20870","-54","41332"
"2023/04/05","20924","-392","41458"
"2023/04/04","21316","-18","42188"
"2023/04/03","21334","258","42189"
"2023/03/31","21076","226","41623"
"2023/03/30","20850","405","41072"
"2023/03/29","20445","184","40122"
"2023/03/28","20261","144","39594"
"2023/03/27","20117","233","39162"
"2023/03/24","19884","-144","38540"
"2023/03/23","20028","-607","38755"
"2023/03/22","20635","398","39773"
"2023/03/20","20237","-447","38837"
"2023/03/17","20684","195","39601"
"2023/03/16","20489","-391","38960"
"2023/03/15","20880","407","39525"
"2023/03/14","20473","-173","38468"
"2023/03/13","20646","-571","38694"
"2023/03/10","21217","-499","39681"
"2023/03/09","21716","-12","40527"
"2023/03/08","21728","-148","40481"
"2023/03/07","21876","-25","40749"
"2023/03/06","21901","103","40693"
"2023/03/03","21798","292","40418"
"2023/03/02","21506","-161","39805"
"2023/03/01","21667","-43","39874"
"2023/02/28","21710","41","39703"
"2023/02/27","21669","241","39377"
"2023/02/24","21428","-74","38861"
"2023/02/22","21502","-376","38643"
"2023/02/21","21878","-22","39319"
"2023/02/20","21900","59","39358"
"2023/02/17","21841","-72","39153"
"2023/02/16","21913","326","39180"
"2023/02/15","21587","-17","38470"
"2023/02/14","21604","331","38386"
"2023/02/13","21273","164","37635"
"2023/02/10","21109","-209","37275"
"2023/02/09","21318","-108","37580"
"2023/02/08","21426","-182","37690"
"2023/02/07","21608","-126","37953"
"2023/02/06","21734","448","38130"
"2023/02/03","21286","210","37219"
"2023/02/02","21076","-56","36811"
"2023/02/01","21132","272","36882"
"2023/01/31","20860","-48","36305"
"2023/01/30","20908","61","36329"
"2023/01/27","20847","78","36164"
"2023/01/26","20769","-255","35965"
"2023/01/25","21024","-5","36365"
"2023/01/24","21029","347","36284"
"2023/01/23","20682","406","35621"
"2023/01/20","20276","-275","34920"
"2023/01/19","20551","-787","35384"
"2023/01/18","21338","329","36468"
"2023/01/17","21009","88","35905"
"2023/01/16","20921","-129","35755"
"2023/01/13","21050","-473","35959"
"2023/01/12","21523","192","36713"
"2023/01/11","21331","196","36308"
"2023/01/10","21135","103","35921"
"2023/01/06","21032","-54","35712"
"2023/01/05","21086","414","35757"
"2023/01/04","20672","-403","35019"
"2022/12/30","21075","31","35670"
"2022/12/29","21044","-257","35491"
"2022/12/28","21301","172","35563"
"2022/12/27","21129","144","35277"
"2022/12/26","20985","51","35036"
"2022/12/23","20934","-73","34807"
"2022/12/22","21007","340","34869"
"2022/12/21","20667","-410","34177"
"2022/12/20","21077","-350","34688"
"2022/12/19","21427","-470","35143"
"2022/12/16","21897","-156","35763"
"2022/12/15","22053","-155","36009"
"2022/12/14","22208","-231","36290"
"2022/12/13","22439","461","36496"
"2022/12/12","21978","-190","35682"
"2022/12/09","22168","163","35917"
"2022/12/08","22005","-125","35549"
"2022/12/07","22130","-55","35731"
"2022/12/06","22185","-117","35710"
"2022/12/05","22302","-54","35828"
"2022/12/02","22356","-197","35727"
"2022/12/01","22553","127","35878"
"2022/11/30","22426","-1","35658"
"2022/11/29","22427","-404","35534"
"2022/11/28","22831","51","36001"
"2022/11/25","22780","-26","35921"
"2022/11/24","22806","-158","35961"
"2022/11/22","22964","412","36164"
"2022/11/21","22552","198","35535"
"2022/11/18","22354","18","35187"
"2022/11/17","22336","-148","35085"
"2022/11/16","22484","45","35280"
"2022/11/15","22439","-42","35112"
"2022/11/14","22481","-173","35088"
"2022/11/11","22654","358","35240"
"2022/11/10","22296","-248","34717"
"2022/11/09","22544","13","35172"
"2022/11/08","22531","151","35074"
"2022/11/07","22380","176","34845"
"2022/11/04","22204","-421","34683"
"2022/11/02","22625","-229","35347"
"2022/11/01","22854","-20","35624"
"2022/10/31","22874","745","35575"
"2022/10/28","22129","133","34382"
"2022/10/27","21996","-197","34203"
"2022/10/26","22193","190","34522"
"2022/10/25","22003","267","34162"
"2022/10/24","21736","315","33701"
"2022/10/21","21421","-263","33179"
"2022/10/20","21684","-85","33546"
"2022/10/19","21769","362","33541"
"2022/10/18","21407","477","32868"
"2022/10/17","20930","-285","32074"
"2022/10/14","21215","580","32499"
"2022/10/13","20635","-95","31579"
"2022/10/12","20730","125","31674"
"2022/10/11","20605","-311","31435"
"2022/10/07","20916","-226","31816"
"2022/10/06","21142","0","32107"
"2022/10/05","21142","422","32069"
"2022/10/04","20720","558","31332"
"2022/10/03","20162","-251","30393"
"2022/09/30","20413","-296","30544"
"2022/09/29","20709","300","30783"
"2022/09/28","20409","-109","30181"
"2022/09/27","20518","-167","30120"
"2022/09/26","20685","-517","30211"
"2022/09/22","21202","-170","30878"
"2022/09/21","21372","-258","30921"
"2022/09/20","21630","116","31205"
"2022/09/16","21514","-346","30921"
"2022/09/15","21860","-272","31348"
"2022/09/14","22132","-479","31674"
"2022/09/13","22611","93","32270"
"2022/09/12","22518","69","32167"
"2022/09/09","22449","-32","31934"
"2022/09/08","22481","686","31921"
"2022/09/07","21795","402","30722"
"2022/09/06","21393","-12","30156"
"2022/09/05","21405","-143","30173"
"2022/09/02","21548","141","30293"
"2022/09/01","21407","-23","29876"
"2022/08/31","21430","-218","29627"
"2022/08/30","21648","-26","29606"
"2022/08/29","21674","-405","29567"
"2022/08/26","22079","211","29956"
"2022/08/25","21868","54","29630"
"2022/08/24","21814","-112","29476"
"2022/08/23","21926","-355","29501"
"2022/08/22","22281","-77","29902"
"2022/08/19","22358","242","29899"
"2022/08/18","22116","-29","29588"
"2022/08/17","22145","303","29655"
"2022/08/16","21842","130","29157"
"2022/08/15","21712","280","28916"
"2022/08/12","21432","129","28568"
"2022/08/10","21303","-20","28349"
"2022/08/09","21323","24","28303"
"2022/08/08","21299","418","28163"
"2022/08/05","20881","-138","27604"
"2022/08/04","21019","112","27749"
"2022/08/03","20907","242","27567"
"2022/08/02","20665","-322","27237"
"2022/08/01","20987","-102","27605"
"2022/07/29","21089","21","27653"
"2022/07/28","21068","117","27556"
"2022/07/27","20951","59","27414"
"2022/07/26","20892","64","27285"
"2022/07/25","20828","-75","27125"
"2022/07/22","20903","-25","27196"
"2022/07/21","20928","73","27181"
"2022/07/20","20855","438","27032"
"2022/07/19","20417","-26","26425"
"2022/07/15","20443","41","26404"
"2022/07/14","20402","54","26170"
"2022/07/13","20348","-127","26113"
"2022/07/12","20475","62","26202"
"2022/07/11","20413","-69","26035"
"2022/07/08","20482","160","26048"
"2022/07/07","20322","99","25799"
"2022/07/06","20223","-213","25493"
"2022/07/05","20436","175","25762"
"2022/07/04","20261","122","25542"
"2022/07/01","20139","-195","25194"
"2022/06/30","20334","47","25368"
"2022/06/29","20287","-187","25217"
"2022/06/28","20474","128","25362"
"2022/06/27","20346","477","25106"
"2022/06/24","19869","64","24417"
"2022/06/23","19805","-7","24291"
"2022/06/22","19812","556","24035"
"2022/06/21","19256","-6","23361"
"2022/06/20","19262","251","23369"
"2022/06/17","19011","-653","22905"
"2022/06/16","19664","10","23632"
"2022/06/15","19654","-72","23428"
"2022/06/14","19726","-748","23276"
"2022/06/13","20474","-307","23916"
"2022/06/10","20781","-421","24291"
"2022/06/09","21202","-3","24745"
"2022/06/08","21205","237","24627"
"2022/06/07","20968","312","24184"
"2022/06/06","20656","-5","23822"
"2022/06/03","20661","252","23873"
"2022/06/02","20409","-82","23534"
"2022/06/01","20491","-102","23258"
"2022/05/31","20593","190","23374"
"2022/05/30","20403","359","23158"
"2022/05/27","20044","217","22661"
"2022/05/26","19827","166","22312"
"2022/05/25","19661","-53","22062"
"2022/05/24","19714","285","22097"
"2022/05/23","19429","38","21657"
"2022/05/20","19391","-220","21537"
"2022/05/19","19611","-1027","21724"
"2022/05/18","20638","268","22800"
"2022/05/17","20370","-30","22294"
"2022/05/16","20400","377","22167"
"2022/05/13","20023","3","21623"
"2022/05/12","20020","-234","21524"
"2022/05/11","20254","-123","21681"
"2022/05/10","20377","-406","21710"
"2022/05/09","20783","-10","22043"
"2022/05/06","20793","172","21970"
"2022/05/02","20621","-297","21609"
"2022/04/28","20918","304","21895"
"2022/04/27","20614","-326","21436"
"2022/04/26","20940","-174","21538"
"2022/04/25","21114","-502","21583"
"2022/04/22","21616","-69","22067"
"2022/04/21","21685","63","22111"
"2022/04/20","21622","651","21998"
"2022/04/19","20971","14","20924"
"2022/04/18","20957","51","20910"
"2022/04/15","20906","32","20860"
