"基準価額一覧"
""
"ファンド名","日興－Ｔｒａｃｅｒｓ　グローバル２倍株（地球コンプリート）"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20210307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","8141","-91","899"
"2023/04/05","8232","-101","916"
"2023/04/04","8333","35","926"
"2023/04/03","8298","138","920"
"2023/03/31","8160","148","902"
"2023/03/30","8012","187","882"
"2023/03/29","7825","56","862"
"2023/03/28","7769","45","850"
"2023/03/27","7724","-3","841"
"2023/03/24","7727","28","835"
"2023/03/23","7699","-150","832"
"2023/03/22","7849","316","842"
"2023/03/20","7533","-197","806"
"2023/03/17","7730","244","814"
"2023/03/16","7486","-255","783"
"2023/03/15","7741","208","809"
"2023/03/14","7533","-171","886"
"2023/03/13","7704","-270","903"
"2023/03/10","7974","-286","935"
"2023/03/09","8260","38","970"
"2023/03/08","8222","-168","964"
"2023/03/07","8390","-3","946"
"2023/03/06","8393","189","944"
"2023/03/03","8204","98","912"
"2023/03/02","8106","21","898"
"2023/03/01","8085","-49","891"
"2023/02/28","8134","70","875"
"2023/02/27","8064","-140","847"
"2023/02/24","8204","20","857"
"2023/02/22","8184","-247","850"
"2023/02/21","8431","-3","875"
"2023/02/20","8434","-68","875"
"2023/02/17","8502","-112","888"
"2023/02/16","8614","66","896"
"2023/02/15","8548","3","890"
"2023/02/14","8545","186","886"
"2023/02/13","8359","-50","869"
"2023/02/10","8409","-55","868"
"2023/02/09","8464","-82","875"
"2023/02/08","8546","87","880"
"2023/02/07","8459","-136","871"
"2023/02/06","8595","-35","901"
"2023/02/03","8630","162","924"
"2023/02/02","8468","96","908"
"2023/02/01","8372","114","901"
"2023/01/31","8258","-172","955"
"2023/01/30","8430","21","976"
"2023/01/27","8409","142","929"
"2023/01/26","8267","-31","926"
"2023/01/25","8298","-6","925"
"2023/01/24","8304","189","926"
"2023/01/23","8115","229","902"
"2023/01/20","7886","-73","876"
"2023/01/19","7959","-219","883"
"2023/01/18","8178","51","897"
"2023/01/17","8127","35","891"
"2023/01/16","8092","29","880"
"2023/01/13","8063","26","878"
"2023/01/12","8037","137","874"
"2023/01/11","7900","85","843"
"2023/01/10","7815","287","805"
"2023/01/06","7528","-68","771"
"2023/01/05","7596","211","773"
"2023/01/04","7385","-95","750"
"2022/12/30","7480","166","757"
"2022/12/29","7314","-156","736"
"2022/12/28","7470","27","751"
"2022/12/27","7443","18","749"
"2022/12/26","7425","31","747"
"2022/12/23","7394","-161","715"
"2022/12/22","7555","202","731"
"2022/12/21","7353","-51","739"
"2022/12/20","7404","-116","743"
"2022/12/19","7520","-158","754"
"2022/12/16","7678","-331","766"
"2022/12/15","8009","-55","796"
"2022/12/14","8064","70","802"
"2022/12/13","7994","117","802"
"2022/12/12","7877","-73","789"
"2022/12/09","7950","98","791"
"2022/12/08","7852","-60","742"
"2022/12/07","7912","-139","745"
"2022/12/06","8051","-163","758"
"2022/12/05","8214","-24","764"
"2022/12/02","8238","-53","712"
"2022/12/01","8291","310","717"
"2022/11/30","7981","40","692"
"2022/11/29","7941","-171","684"
"2022/11/28","8112","-15","695"
"2022/11/25","8127","6","697"
"2022/11/24","8121","183","696"
"2022/11/22","7938","-28","680"
"2022/11/21","7966","59","682"
"2022/11/18","7907","-19","678"
"2022/11/17","7926","-128","680"
"2022/11/16","8054","126","692"
"2022/11/15","7928","-55","681"
"2022/11/14","7983","101","686"
"2022/11/11","7882","532","677"
"2022/11/10","7350","-215","627"
"2022/11/09","7565","56","646"
"2022/11/08","7509","82","634"
"2022/11/07","7427","259","619"
"2022/11/04","7168","-324","596"
"2022/11/02","7492","31","620"
"2022/11/01","7461","-27","616"
"2022/10/31","7488","198","618"
"2022/10/28","7290","-43","601"
"2022/10/27","7333","-26","600"
"2022/10/26","7359","173","605"
"2022/10/25","7186","37","589"
"2022/10/24","7149","190","585"
"2022/10/21","6959","-51","568"
"2022/10/20","7010","-98","572"
"2022/10/19","7108","122","576"
"2022/10/18","6986","295","565"
"2022/10/17","6691","-179","539"
"2022/10/14","6870","246","553"
"2022/10/13","6624","-25","529"
"2022/10/12","6649","-112","529"
"2022/10/11","6761","-407","538"
"2022/10/07","7168","-107","568"
"2022/10/06","7275","-23","573"
"2022/10/05","7298","402","574"
"2022/10/04","6896","258","538"
"2022/10/03","6638","-68","517"
"2022/09/30","6706","-268","516"
"2022/09/29","6974","193","533"
"2022/09/28","6781","-28","519"
"2022/09/27","6809","-110","516"
"2022/09/26","6919","-454","523"
"2022/09/22","7373","-158","557"
"2022/09/21","7531","-141","566"
