"基準価額一覧"
""
"ファンド名","日興－Ｔｒａｃｅｒｓ　Ｓ＆Ｐ５００配当貴族インデックス（米国株式）"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20220307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","9120","-24","7226"
"2023/04/05","9144","-171","7263"
"2023/04/04","9315","-8","7318"
"2023/04/03","9323","113","7307"
"2023/03/31","9210","100","7203"
"2023/03/30","9110","177","7103"
"2023/03/29","8933","80","6937"
"2023/03/28","8853","63","6829"
"2023/03/27","8790","103","6728"
"2023/03/24","8687","-64","6657"
"2023/03/23","8751","-266","6653"
"2023/03/22","9017","176","6919"
"2023/03/20","8841","-196","6793"
"2023/03/17","9037","85","6910"
"2023/03/16","8952","-171","6689"
"2023/03/15","9123","179","6826"
"2023/03/14","8944","-76","6654"
"2023/03/13","9020","-248","6581"
"2023/03/10","9268","-218","6721"
"2023/03/09","9486","-6","6840"
"2023/03/08","9492","-64","6834"
"2023/03/07","9556","-11","6869"
"2023/03/06","9567","46","6859"
"2023/03/03","9521","126","6794"
"2023/03/02","9395","-71","6694"
"2023/03/01","9466","-18","6719"
"2023/02/28","9484","18","6693"
"2023/02/27","9466","107","6615"
"2023/02/24","9359","-33","6520"
"2023/02/22","9392","-164","6475"
"2023/02/21","9556","-10","6588"
"2023/02/20","9566","26","6587"
"2023/02/17","9540","-31","6561"
"2023/02/16","9571","142","6556"
"2023/02/15","9429","-9","6442"
"2023/02/14","9438","145","6400"
"2023/02/13","9293","73","6289"
"2023/02/10","9220","-92","6192"
"2023/02/09","9312","-46","6210"
"2023/02/08","9358","-80","6210"
"2023/02/07","9438","-55","6223"
"2023/02/06","9493","196","6233"
"2023/02/03","9297","91","6083"
"2023/02/02","9206","-24","5910"
"2023/02/01","9230","119","5903"
"2023/01/31","9111","-22","5776"
"2023/01/30","9133","26","5739"
"2023/01/27","9107","34","5701"
"2023/01/26","9073","-112","5646"
"2023/01/25","9185","-2","5666"
"2023/01/24","9187","152","5603"
"2023/01/23","9035","178","5450"
"2023/01/20","8857","-120","5312"
"2023/01/19","8977","-344","5349"
"2023/01/18","9321","146","5446"
"2023/01/17","9175","39","5361"
"2023/01/16","9136","-56","5277"
"2023/01/13","9192","-207","5281"
"2023/01/12","9399","85","5395"
"2023/01/11","9314","85","5204"
"2023/01/10","9229","45","5138"
"2023/01/06","9184","-24","5026"
"2023/01/05","9208","182","4917"
"2023/01/04","9026","-176","4785"
"2022/12/30","9202","13","4858"
"2022/12/29","9189","-112","4816"
"2022/12/28","9301","75","4734"
"2022/12/27","9226","63","4696"
"2022/12/26","9163","22","4600"
"2022/12/23","9141","-33","4486"
"2022/12/22","9174","149","4404"
"2022/12/21","9025","-179","4252"
"2022/12/20","9204","-156","4269"
"2022/12/19","9360","-205","4347"
"2022/12/16","9565","-69","4374"
"2022/12/15","9634","-69","4354"
"2022/12/14","9703","-99","4285"
"2022/12/13","9802","202","4090"
"2022/12/12","9600","-83","3939"
"2022/12/09","9683","71","3906"
"2022/12/08","9612","-56","3793"
"2022/12/07","9668","-24","3735"
"2022/12/06","9692","-51","3515"
"2022/12/05","9743","-24","3429"
"2022/12/02","9767","-86","3312"
"2022/12/01","9853","55","3236"
"2022/11/30","9798","-2","3131"
"2022/11/29","9800","-177","2975"
"2022/11/28","9977","22","2792"
"2022/11/25","9955","-11","2786"
"2022/11/24","9966","-69","2711"
"2022/11/22","10035","179","2586"
"2022/11/21","9856","86","2476"
"2022/11/18","9770","8","2363"
"2022/11/17","9762","-64","2251"
"2022/11/16","9826","20","2134"
"2022/11/15","9806","-21","1767"
"2022/11/14","9827","-74","1771"
"2022/11/11","9901","155","1668"
"2022/11/10","9746","-110","1519"
"2022/11/09","9856","6","1403"
"2022/11/08","9850","64","1142"
"2022/11/07","9786","76","930"
"2022/11/04","9710","-176","811"
"2022/11/02","9886","-93","756"
"2022/11/01","9979","-14","506"
"2022/10/31","9993","-7","500"
"2022/10/28","10000","‐","500"
