"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ì˙ãªÅ|ÉâÉTÅ[ÉãÅEÉOÉçÅ[ÉoÉãÇqÇdÇhÇsÉtÉ@ÉìÉhÅiñàåéï™îzå^Åj"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20040107","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","1841","-17","258011"
"2023/04/05","1858","-28","260114"
"2023/04/04","1886","-11","264022"
"2023/04/03","1897","35","265673"
"2023/03/31","1862","35","260826"
"2023/03/30","1827","47","255908"
"2023/03/29","1780","5","249272"
"2023/03/28","1775","6","248553"
"2023/03/27","1769","30","247712"
"2023/03/24","1739","-11","243550"
"2023/03/23","1750","-77","245093"
"2023/03/22","1827","9","256032"
"2023/03/20","1818","-44","254818"
"2023/03/17","1862","-6","260947"
"2023/03/16","1868","-26","261882"
"2023/03/15","1894","35","265473"
"2023/03/14","1859","7","260642"
"2023/03/13","1852","-80","259742"
"2023/03/10","1932","-51","271141"
"2023/03/09","1983","11","278307"
"2023/03/08","1972","-24","276938"
"2023/03/07","1996","2","280335"
"2023/03/06","1994","4","279929"
"2023/03/03","1990","26","279494"
"2023/03/02","1964","-26","275923"
"2023/03/01","1990","-6","279511"
"2023/02/28","1996","7","280467"
"2023/02/27","1989","5","279564"
"2023/02/24","1984","-11","278922"
"2023/02/22","1995","-21","280814"
"2023/02/21","2016","-3","283750"
"2023/02/20","2019","-4","284055"
"2023/02/17","2023","-8","284740"
"2023/02/16","2031","21","286055"
"2023/02/15","2010","-6","283073"
"2023/02/14","2016","23","284001"
"2023/02/13","1993","2","280876"
"2023/02/10","1991","-18","280676"
"2023/02/09","2009","7","283420"
"2023/02/08","2002","-29","282456"
"2023/02/07","2031","-8","286674"
"2023/02/06","2039","11","287742"
"2023/02/03","2028","44","286271"
"2023/02/02","1984","-5","280204"
"2023/02/01","1989","21","281033"
"2023/01/31","1968","-18","278164"
"2023/01/30","1986","31","280981"
"2023/01/27","1955","22","276591"
"2023/01/26","1933","-19","273589"
"2023/01/25","1952","5","276300"
"2023/01/24","1947","33","275677"
"2023/01/23","1914","29","271114"
"2023/01/20","1885","-1","267071"
"2023/01/19","1886","-58","267300"
"2023/01/18","1944","47","275593"
"2023/01/17","1897","7","269021"
"2023/01/16","1890","-33","267999"
"2023/01/13","1923","-14","272786"
"2023/01/12","1937","54","274810"
"2023/01/11","1883","6","267303"
"2023/01/10","1877","20","266468"
"2023/01/06","1857","-27","263752"
"2023/01/05","1884","38","267295"
"2023/01/04","1846","-33","261922"
"2022/12/30","1879","15","266727"
"2022/12/29","1864","-24","264487"
"2022/12/28","1888","10","267810"
"2022/12/27","1878","13","266466"
"2022/12/26","1865","10","264619"
"2022/12/23","1855","-3","263200"
"2022/12/22","1858","25","263718"
"2022/12/21","1833","-40","260412"
"2022/12/20","1873","-47","266080"
"2022/12/19","1920","-69","272849"
"2022/12/16","1989","5","282752"
"2022/12/15","1984","-5","282191"
"2022/12/14","1989","-1","283034"
"2022/12/13","1990","21","283365"
"2022/12/12","1969","-2","280350"
"2022/12/09","1971","17","280850"
"2022/12/08","1954","-7","278472"
"2022/12/07","1961","-3","279372"
"2022/12/06","1964","-2","279964"
"2022/12/05","1966","-23","280009"
"2022/12/02","1989","-23","283436"
"2022/12/01","2012","11","286665"
"2022/11/30","2001","27","285213"
"2022/11/29","1974","-50","281438"
"2022/11/28","2024","10","288856"
"2022/11/25","2014","2","287404"
"2022/11/24","2012","-23","287298"
"2022/11/22","2035","26","290646"
"2022/11/21","2009","24","287029"
"2022/11/18","1985","2","283622"
"2022/11/17","1983","-21","283413"
"2022/11/16","2004","6","286511"
"2022/11/15","1998","-27","286106"
"2022/11/14","2025","-33","289993"
"2022/11/11","2058","63","294709"
"2022/11/10","1995","-10","285851"
"2022/11/09","2005","-1","287247"
"2022/11/08","2006","-2","287428"
"2022/11/07","2008","-1","287546"
"2022/11/04","2009","-43","287969"
"2022/11/02","2052","-15","294096"
"2022/11/01","2067","1","296446"
"2022/10/31","2066","55","296285"
"2022/10/28","2011","8","288632"
"2022/10/27","2003","-22","287427"
"2022/10/26","2025","63","290739"
"2022/10/25","1962","5","281866"
"2022/10/24","1957","-4","281044"
"2022/10/21","1961","3","281855"
"2022/10/20","1958","-36","281533"
"2022/10/19","1994","18","286676"
"2022/10/18","1976","63","284189"
"2022/10/17","1913","-24","275211"
"2022/10/14","1937","31","278692"
"2022/10/13","1906","-5","274260"
"2022/10/12","1911","24","275014"
"2022/10/11","1887","-44","271648"
"2022/10/07","1931","-38","278002"
"2022/10/06","1969","-25","283499"
