"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOïHÇtÇeÇiçëç€Å|éOïHÇtÇeÇiÅ@èÉã‡ÉtÉ@ÉìÉh"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20110107","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","20968","-139","113428"
"2023/04/05","21107","254","114127"
"2023/04/04","20853","164","112819"
"2023/04/03","20689","-172","112023"
"2023/03/31","20861","229","112835"
"2023/03/30","20632","117","111468"
"2023/03/29","20515","197","110666"
"2023/03/28","20318","-141","109275"
"2023/03/27","20459","-78","109341"
"2023/03/24","20537","33","109542"
"2023/03/23","20504","123","109170"
"2023/03/22","20381","-418","108504"
"2023/03/20","20799","481","110552"
"2023/03/17","20318","133","107774"
"2023/03/16","20185","-49","106686"
"2023/03/15","20234","23","106917"
"2023/03/14","20211","231","106751"
"2023/03/13","19980","169","105471"
"2023/03/10","19811","108","104465"
"2023/03/09","19703","-90","103886"
"2023/03/08","19793","-114","104331"
"2023/03/07","19907","-54","104936"
"2023/03/06","19961","66","105276"
"2023/03/03","19895","51","104892"
"2023/03/02","19844","66","104575"
"2023/03/01","19778","179","104059"
"2023/02/28","19599","30","102929"
"2023/02/27","19569","54","102495"
"2023/02/24","19515","-111","102170"
"2023/02/22","19626","35","102664"
"2023/02/21","19591","-13","102401"
"2023/02/20","19604","53","102390"
"2023/02/17","19551","5","102063"
"2023/02/16","19546","20","102046"
"2023/02/15","19526","97","101820"
"2023/02/14","19429","-39","100941"
"2023/02/13","19468","43","101006"
"2023/02/10","19425","-126","100620"
"2023/02/09","19551","20","101249"
"2023/02/08","19531","-116","101046"
"2023/02/07","19647","41","101601"
"2023/02/06","19606","53","101358"
"2023/02/03","19553","-350","101075"
"2023/02/02","19903","49","102851"
"2023/02/01","19854","100","102497"
"2023/01/31","19754","-86","101917"
"2023/01/30","19840","20","102300"
"2023/01/27","19820","-124","102136"
"2023/01/26","19944","23","102561"
"2023/01/25","19921","3","102455"
"2023/01/24","19918","112","102475"
"2023/01/23","19806","105","101866"
"2023/01/20","19701","274","101271"
"2023/01/19","19427","-213","99817"
"2023/01/18","19640","121","100860"
"2023/01/17","19519","66","99817"
"2023/01/16","19453","30","99337"
"2023/01/13","19423","-224","99170"
"2023/01/12","19647","-93","100222"
"2023/01/11","19740","159","100623"
"2023/01/10","19581","45","99786"
"2023/01/06","19536","21","99564"
"2023/01/05","19515","282","99392"
"2023/01/04","19233","17","97807"
"2022/12/30","19216","-18","97661"
"2022/12/29","19234","-13","97661"
"2022/12/28","19247","182","97612"
"2022/12/27","19065","87","96599"
"2022/12/26","18978","35","95852"
"2022/12/23","18943","-137","95585"
"2022/12/22","19080","5","96274"
"2022/12/21","19075","170","96188"
"2022/12/20","18905","-477","95225"
"2022/12/19","19382","4","97588"
"2022/12/16","19378","67","97479"
"2022/12/15","19311","-160","96809"
"2022/12/14","19471","-21","97551"
"2022/12/13","19492","79","97588"
"2022/12/12","19413","-1","97095"
"2022/12/09","19414","5","97024"
"2022/12/08","19409","67","96912"
"2022/12/07","19342","46","96442"
