"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOïHÇtÇeÇiçëç€Å|ÇÖÇlÇ`ÇwÇhÇrÉvÉâÉXÅ@ÉRÉÇÉfÉBÉeÉBÉCÉìÉfÉbÉNÉX"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20150307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","10997","-11","11685"
"2023/04/05","11008","-128","11682"
"2023/04/04","11136","169","11810"
"2023/04/03","10967","-5","11625"
"2023/03/31","10972","103","11616"
"2023/03/30","10869","82","11505"
"2023/03/29","10787","152","11413"
"2023/03/28","10635","53","11253"
"2023/03/27","10582","72","11192"
"2023/03/24","10510","-168","11116"
"2023/03/23","10678","31","11316"
"2023/03/22","10647","-58","11281"
"2023/03/20","10705","-47","11340"
"2023/03/17","10752","19","11424"
"2023/03/16","10733","-352","11385"
"2023/03/15","11085","97","11755"
"2023/03/14","10988","-71","11683"
"2023/03/13","11059","-146","11779"
"2023/03/10","11205","-109","11932"
"2023/03/09","11314","-63","12030"
"2023/03/08","11377","-98","12072"
"2023/03/07","11475","-35","12153"
"2023/03/06","11510","19","12189"
"2023/03/03","11491","129","12151"
"2023/03/02","11362","68","11969"
"2023/03/01","11294","-19","11884"
"2023/02/28","11313","21","11879"
"2023/02/27","11292","157","11861"
"2023/02/24","11135","-168","11686"
"2023/02/22","11303","25","11834"
"2023/02/21","11278","53","11808"
"2023/02/20","11225","-79","11748"
"2023/02/17","11304","16","11808"
"2023/02/16","11288","1","11788"
"2023/02/15","11287","29","11772"
"2023/02/14","11258","77","11735"
"2023/02/13","11181","59","11648"
"2023/02/10","11122","19","11561"
"2023/02/09","11103","12","11541"
"2023/02/08","11091","44","11528"
"2023/02/07","11047","-31","11540"
"2023/02/06","11078","62","11571"
"2023/02/03","11016","-188","11498"
"2023/02/02","11204","-123","11669"
"2023/02/01","11327","-19","11782"
"2023/01/31","11346","-57","11788"
"2023/01/30","11403","13","11840"
"2023/01/27","11390","42","11826"
"2023/01/26","11348","-88","11784"
"2023/01/25","11436","8","11863"
"2023/01/24","11428","36","11847"
"2023/01/23","11392","104","11771"
"2023/01/20","11288","32","11651"
"2023/01/19","11256","-206","11604"
"2023/01/18","11462","255","11833"
"2023/01/17","11207","49","11570"
"2023/01/16","11158","-64","11513"
"2023/01/13","11222","-71","11569"
"2023/01/12","11293","27","11640"
"2023/01/11","11266","5","11605"
"2023/01/10","11261","27","11599"
"2023/01/06","11234","-2","11587"
"2023/01/05","11236","-99","11568"
"2023/01/04","11335","-264","11664"
"2022/12/30","11599","-139","11946"
"2022/12/29","11738","-87","12100"
"2022/12/28","11825","102","12195"
"2022/12/27","11723","122","12090"
"2022/12/26","11601","-21","11974"
"2022/12/23","11622","-39","12005"
"2022/12/22","11661","175","12110"
"2022/12/21","11486","-228","11923"
"2022/12/20","11714","-221","12182"
"2022/12/19","11935","-178","12368"
"2022/12/16","12113","-24","12547"
"2022/12/15","12137","-31","12569"
"2022/12/14","12168","16","12597"
"2022/12/13","12152","231","12600"
"2022/12/12","11921","76","12395"
"2022/12/09","11845","167","12376"
"2022/12/08","11678","-75","12198"
"2022/12/07","11753","-200","12324"
"2022/12/06","11953","-192","12530"
"2022/12/05","12145","-154","12748"
"2022/12/02","12299","-182","12882"
"2022/12/01","12481","46","13084"
"2022/11/30","12435","192","13034"
"2022/11/29","12243","-306","12871"
"2022/11/28","12549","-8","13191"
"2022/11/25","12557","-93","13199"
"2022/11/24","12650","79","13307"
"2022/11/22","12571","125","13228"
"2022/11/21","12446","-134","13135"
"2022/11/18","12580","64","13307"
"2022/11/17","12516","-119","13228"
"2022/11/16","12635","-136","13337"
"2022/11/15","12771","90","13549"
"2022/11/14","12681","-80","13454"
"2022/11/11","12761","-227","13548"
"2022/11/10","12988","-256","13836"
"2022/11/09","13244","-314","14162"
"2022/11/08","13558","199","14562"
"2022/11/07","13359","270","14353"
"2022/11/04","13089","262","14064"
"2022/11/02","12827","-152","13773"
"2022/11/01","12979","183","13907"
"2022/10/31","12796","-23","13751"
"2022/10/28","12819","-104","13790"
"2022/10/27","12923","43","13929"
"2022/10/26","12880","-29","13874"
"2022/10/25","12909","65","13910"
"2022/10/24","12844","-126","13849"
"2022/10/21","12970","121","13995"
"2022/10/20","12849","-58","13884"
"2022/10/19","12907","-199","13971"
"2022/10/18","13106","-16","14180"
"2022/10/17","13122","-31","14211"
"2022/10/14","13153","98","14239"
"2022/10/13","13055","67","14173"
"2022/10/12","12988","-239","14049"
"2022/10/11","13227","194","14319"
"2022/10/07","13033","-98","14100"
"2022/10/06","13131","214","14215"
"2022/10/05","12917","388","13997"
"2022/10/04","12529","-122","13612"
"2022/10/03","12651","0","13738"
"2022/09/30","12651","160","13713"
"2022/09/29","12491","73","13566"
"2022/09/28","12418","-17","13553"
"2022/09/27","12435","6","13618"
"2022/09/26","12429","-549","13655"
