"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOïHÇtÇeÇiçëç€Å|ÇÖÇlÇ`ÇwÇhÇrÅ@ÇrÇåÇâÇçÅ@çëì‡äîéÆÅiì˙åoïΩãœÅj"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20180107","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","12929","-160","26516"
"2023/04/05","13089","-222","26632"
"2023/04/04","13311","46","27292"
"2023/04/03","13265","69","27281"
"2023/03/31","13196","121","27620"
"2023/03/30","13075","74","27239"
"2023/03/29","13001","170","27597"
"2023/03/28","12831","19","27230"
"2023/03/27","12812","42","27190"
"2023/03/24","12770","-15","27036"
"2023/03/23","12785","-23","27042"
"2023/03/22","12808","244","27274"
"2023/03/20","12564","-181","26553"
"2023/03/17","12745","151","26847"
"2023/03/16","12594","-103","26327"
"2023/03/15","12697","4","26227"
"2023/03/14","12693","-286","25698"
"2023/03/13","12979","-144","25656"
"2023/03/10","13123","-224","25779"
"2023/03/09","13347","84","26403"
"2023/03/08","13263","63","26591"
"2023/03/07","13200","33","26689"
"2023/03/06","13167","144","27288"
"2023/03/03","13023","200","27606"
"2023/03/02","12823","-9","27216"
"2023/03/01","12832","33","27180"
"2023/02/28","12799","10","27127"
"2023/02/27","12789","-6","27068"
"2023/02/24","12795","162","27401"
"2023/02/22","12633","-171","26729"
"2023/02/21","12804","-28","26999"
"2023/02/20","12832","9","27028"
"2023/02/17","12823","-86","26954"
"2023/02/16","12909","90","27338"
"2023/02/15","12819","-46","27114"
"2023/02/14","12865","81","27395"
"2023/02/13","12784","-113","27012"
"2023/02/10","12897","40","27298"
"2023/02/09","12857","-10","27188"
"2023/02/08","12867","-37","27053"
"2023/02/07","12904","-4","27191"
"2023/02/06","12908","86","27477"
"2023/02/03","12822","50","27506"
"2023/02/02","12772","25","27646"
"2023/02/01","12747","9","27563"
"2023/01/31","12738","-49","27602"
"2023/01/30","12787","24","27865"
"2023/01/27","12763","9","27923"
