"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOïHÇtÇeÇiçëç€Å|ÇÖÇlÇ`ÇwÇhÇrÅ@ÇrÇåÇâÇçÅ@ïƒçëäîéÆÅiÇrÅïÇoÇTÇOÇOÅj"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20180307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","19021","-99","1881045"
"2023/04/05","19120","-263","1891610"
"2023/04/04","19383","-5","1898280"
"2023/04/03","19388","221","1898295"
"2023/03/31","19167","251","1875709"
"2023/03/30","18916","444","1850607"
"2023/03/29","18472","59","1805866"
"2023/03/28","18413","31","1797095"
"2023/03/27","18382","102","1791640"
"2023/03/24","18280","18","1780413"
"2023/03/23","18262","-535","1777373"
"2023/03/22","18797","388","1827384"
"2023/03/20","18409","-326","1788422"
"2023/03/17","18735","357","1815644"
"2023/03/16","18378","-311","1777505"
"2023/03/15","18689","499","1805810"
"2023/03/14","18190","-182","1756184"
"2023/03/13","18372","-500","1771791"
"2023/03/10","18872","-506","1819885"
"2023/03/09","19378","-7","1858986"
"2023/03/08","19385","-126","1859301"
"2023/03/07","19511","44","1870623"
"2023/03/06","19467","202","1865912"
"2023/03/03","19265","223","1844907"
"2023/03/02","19042","-125","1803619"
"2023/03/01","19167","-46","1814235"
"2023/02/28","19213","70","1816334"
"2023/02/27","19143","92","1807330"
"2023/02/24","19051","-28","1798122"
"2023/02/22","19079","-307","1798580"
"2023/02/21","19386","-18","1827478"
"2023/02/20","19404","-44","1829661"
"2023/02/17","19448","-234","1833748"
"2023/02/16","19682","258","1854481"
"2023/02/15","19424","65","1827076"
"2023/02/14","19359","300","1819771"
"2023/02/13","19059","55","1789948"
"2023/02/10","19004","-157","1784420"
"2023/02/09","19161","-110","1789338"
"2023/02/08","19271","5","1799723"
"2023/02/07","19266","-91","1798468"
"2023/02/06","19357","339","1806522"
"2023/02/03","19018","312","1773559"
"2023/02/02","18706","-8","1724637"
"2023/02/01","18714","190","1724623"
"2023/01/31","18524","-190","1705808"
"2023/01/30","18714","121","1722489"
"2023/01/27","18593","249","1710732"
"2023/01/26","18344","-164","1686676"
"2023/01/25","18508","-16","1699938"
"2023/01/24","18524","375","1699375"
"2023/01/23","18149","418","1662690"
"2023/01/20","17731","-104","1623827"
"2023/01/19","17835","-642","1632565"
"2023/01/18","18477","328","1683788"
"2023/01/17","18149","77","1653874"
"2023/01/16","18072","-120","1645947"
"2023/01/13","18192","-316","1655689"
"2023/01/12","18508","178","1683162"
"2023/01/11","18330","203","1653307"
"2023/01/10","18127","140","1633750"
"2023/01/06","17987","6","1616226"
"2023/01/05","17981","291","1595461"
"2023/01/04","17690","-345","1568752"
"2022/12/30","18035","116","1598017"
"2022/12/29","17919","-188","1585894"
"2022/12/28","18107","23","1595938"
"2022/12/27","18084","123","1593925"
"2022/12/26","17961","46","1580971"
"2022/12/23","17915","-198","1573864"
"2022/12/22","18113","336","1588121"
"2022/12/21","17777","-352","1555048"
"2022/12/20","18129","-393","1583167"
"2022/12/19","18522","-416","1615639"
"2022/12/16","18938","-166","1645786"
"2022/12/15","19104","-115","1659103"
"2022/12/14","19219","-190","1667180"
"2022/12/13","19409","423","1678577"
"2022/12/12","18986","-167","1640359"
"2022/12/09","19153","198","1641890"
"2022/12/08","18955","-138","1623181"
"2022/12/07","19093","-171","1633725"
"2022/12/06","19264","-89","1645942"
"2022/12/05","19353","-147","1651803"
"2022/12/02","19500","-228","1641882"
"2022/12/01","19728","348","1660125"
"2022/11/30","19380","-35","1630154"
"2022/11/29","19415","-332","1630927"
"2022/11/28","19747","-6","1655210"
"2022/11/25","19753","-22","1655784"
"2022/11/24","19775","-15","1656448"
"2022/11/22","19790","168","1655241"
"2022/11/21","19622","103","1640085"
"2022/11/18","19519","51","1630177"
"2022/11/17","19468","-165","1624969"
"2022/11/16","19633","53","1633361"
"2022/11/15","19580","-58","1626923"
"2022/11/14","19638","-137","1629853"
"2022/11/11","19775","440","1638960"
"2022/11/10","19335","-325","1601621"
"2022/11/09","19660","9","1616464"
"2022/11/08","19651","122","1612415"
"2022/11/07","19529","96","1600569"
"2022/11/04","19433","-611","1591068"
"2022/11/02","20044","-239","1621381"
"2022/11/01","20283","-82","1639505"
"2022/10/31","20365","704","1644903"
"2022/10/28","19661","-41","1587732"
"2022/10/27","19702","-438","1590217"
"2022/10/26","20140","214","1623954"
"2022/10/25","19926","235","1603116"
"2022/10/24","19691","298","1583186"
"2022/10/21","19393","-118","1557626"
"2022/10/20","19511","-31","1566195"
"2022/10/19","19542","265","1567274"
"2022/10/18","19277","531","1542522"
"2022/10/17","18746","-300","1495875"
"2022/10/14","19046","545","1517662"
"2022/10/13","18501","33","1472343"
"2022/10/12","18468","-67","1456678"
"2022/10/11","18535","-565","1460387"
"2022/10/07","19100","-159","1503046"
"2022/10/06","19259","57","1511913"
"2022/10/05","19202","471","1502389"
"2022/10/04","18731","451","1442593"
"2022/10/03","18280","-268","1404503"
"2022/09/30","18548","-337","1422680"
"2022/09/29","18885","315","1446118"
"2022/09/28","18570","-10","1419771"
"2022/09/27","18580","-130","1416560"
"2022/09/26","18710","-554","1424849"
"2022/09/22","19264","-229","1466074"
"2022/09/21","19493","-160","1480363"
"2022/09/20","19653","16","1491163"
"2022/09/16","19637","-255","1486778"
"2022/09/15","19892","-87","1502709"
"2022/09/14","19979","-621","1509174"
"2022/09/13","20600","176","1554087"
"2022/09/12","20424","169","1540812"
"2022/09/09","20255","41","1517348"
