"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOïHÇtÇeÇiçëç€Å|ì˙åoïΩãœçÇîzìñóòâÒÇËäîÉtÉ@ÉìÉh"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20180307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","12574","-153","8700"
"2023/04/05","12727","-176","8789"
"2023/04/04","12903","42","8890"
"2023/04/03","12861","85","8738"
"2023/03/31","12776","18","8593"
"2023/03/30","12758","174","8409"
"2023/03/29","12584","95","8283"
"2023/03/28","12489","110","8181"
"2023/03/27","12379","46","8042"
"2023/03/24","12333","-15","7933"
"2023/03/23","12348","-7","7869"
"2023/03/22","12355","228","7825"
"2023/03/20","12127","-234","7748"
"2023/03/17","12361","17","7756"
"2023/03/16","12344","-384","7780"
"2023/03/15","12728","232","7751"
"2023/03/14","12496","-472","7782"
"2023/03/13","12968","-224","8132"
"2023/03/10","13192","-345","8161"
"2023/03/09","13537","183","8256"
"2023/03/08","13354","19","7956"
"2023/03/07","13335","98","7866"
"2023/03/06","13237","95","7597"
"2023/03/03","13142","109","7494"
"2023/03/02","13033","11","7381"
"2023/03/01","13022","78","7227"
"2023/02/28","12944","-154","6974"
"2023/02/27","13098","126","6870"
"2023/02/24","12972","44","6655"
"2023/02/22","12928","-39","6547"
"2023/02/21","12967","47","6437"
"2023/02/20","12920","100","6248"
"2023/02/17","12820","48","6097"
"2023/02/16","12772","68","5902"
"2023/02/15","12704","108","5649"
"2023/02/14","12596","121","5570"
"2023/02/13","12475","66","5392"
"2023/02/10","12409","125","5289"
"2023/02/09","12284","25","5172"
"2023/02/08","12259","-13","5143"
"2023/02/07","12272","14","5127"
"2023/02/06","12258","170","5036"
"2023/02/03","12088","34","4944"
"2023/02/02","12054","-149","4879"
"2023/02/01","12203","91","4902"
"2023/01/31","12112","-49","4807"
"2023/01/30","12161","-81","4721"
"2023/01/27","12242","45","4708"
"2023/01/26","12197","-57","4590"
"2023/01/25","12254","123","4533"
"2023/01/24","12131","66","4443"
"2023/01/23","12065","94","4330"
"2023/01/20","11971","153","4252"
"2023/01/19","11818","-119","4191"
"2023/01/18","11937","117","4178"
"2023/01/17","11820","70","4088"
"2023/01/16","11750","-167","3974"
"2023/01/13","11917","89","4001"
"2023/01/12","11828","121","3933"
"2023/01/11","11707","110","3811"
"2023/01/10","11597","53","3673"
"2023/01/06","11544","76","3631"
"2023/01/05","11468","-65","3568"
"2023/01/04","11533","-172","3544"
"2022/12/30","11705","23","3551"
"2022/12/29","11682","-170","3520"
"2022/12/28","11852","14","3533"
"2022/12/27","11838","57","3458"
"2022/12/26","11781","18","3369"
"2022/12/23","11763","1","3319"
"2022/12/22","11762","140","3275"
"2022/12/21","11622","44","3201"
"2022/12/20","11578","83","3152"
"2022/12/19","11495","-53","3106"
"2022/12/16","11548","-86","3089"
"2022/12/15","11634","-294","3000"
"2022/12/14","11928","39","3035"
