"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOïHÇtÇeÇiçëç€Å|ÇÖÇlÇ`ÇwÇhÇrÅ@ÇrÇåÇâÇçÅ@çëì‡ÉäÅ[ÉgÉCÉìÉfÉbÉNÉX"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20190307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","9181","-44","12108"
"2023/04/05","9225","-98","12163"
"2023/04/04","9323","20","12301"
"2023/04/03","9303","277","12282"
"2023/03/31","9026","-20","11910"
"2023/03/30","9046","42","11957"
"2023/03/29","9004","43","11897"
"2023/03/28","8961","78","11840"
"2023/03/27","8883","-2","11690"
"2023/03/24","8885","7","11739"
"2023/03/23","8878","-64","11710"
"2023/03/22","8942","110","11794"
"2023/03/20","8832","-86","11621"
"2023/03/17","8918","-89","11641"
"2023/03/16","9007","-93","11726"
"2023/03/15","9100","-96","11808"
"2023/03/14","9196","38","11951"
"2023/03/13","9158","-30","11876"
"2023/03/10","9188","-21","11917"
"2023/03/09","9209","44","11959"
"2023/03/08","9165","-43","11868"
"2023/03/07","9208","-46","11899"
"2023/03/06","9254","46","11963"
"2023/03/03","9208","17","11885"
"2023/03/02","9191","55","11877"
"2023/03/01","9136","-162","11817"
"2023/02/28","9298","-17","12041"
"2023/02/27","9315","37","12035"
"2023/02/24","9278","95","11991"
"2023/02/22","9183","21","11862"
"2023/02/21","9162","-19","11826"
"2023/02/20","9181","34","11835"
"2023/02/17","9147","-1","11788"
"2023/02/16","9148","69","11794"
"2023/02/15","9079","-109","11661"
"2023/02/14","9188","77","11829"
"2023/02/13","9111","-29","11717"
"2023/02/10","9140","-22","11734"
"2023/02/09","9162","-37","11738"
"2023/02/08","9199","2","11779"
"2023/02/07","9197","-61","11765"
"2023/02/06","9258","83","11854"
"2023/02/03","9175","7","11739"
"2023/02/02","9168","-18","11694"
"2023/02/01","9186","31","11676"
"2023/01/31","9155","-186","11957"
"2023/01/30","9341","65","12182"
"2023/01/27","9276","122","12120"
"2023/01/26","9154","-27","11905"
"2023/01/25","9181","-46","11930"
"2023/01/24","9227","128","11981"
"2023/01/23","9099","101","11798"
"2023/01/20","8998","35","11649"
"2023/01/19","8963","-182","11566"
"2023/01/18","9145","134","11843"
"2023/01/17","9011","-97","11363"
"2023/01/16","9108","-61","11463"
"2023/01/13","9169","-66","11530"
"2023/01/12","9235","-56","11599"
"2023/01/11","9291","3","11658"
"2023/01/10","9288","73","11669"
"2023/01/06","9215","-101","11520"
"2023/01/05","9316","-50","11604"
"2023/01/04","9366","-91","11589"
"2022/12/30","9457","15","11699"
"2022/12/29","9442","-43","11676"
"2022/12/28","9485","64","11739"
"2022/12/27","9421","44","11701"
"2022/12/26","9377","52","11640"
"2022/12/23","9325","-134","11515"
"2022/12/22","9459","133","11660"
"2022/12/21","9326","176","11474"
"2022/12/20","9150","-513","11150"
"2022/12/19","9663","-184","11761"
"2022/12/16","9847","133","12054"
"2022/12/15","9714","31","11873"
"2022/12/14","9683","94","11834"
"2022/12/13","9589","-45","11701"
"2022/12/12","9634","1","11741"
"2022/12/09","9633","-26","11734"
"2022/12/08","9659","11","11757"
"2022/12/07","9648","-30","11736"
"2022/12/06","9678","22","11764"
"2022/12/05","9656","27","11717"
"2022/12/02","9629","-34","11656"
"2022/12/01","9663","-142","11601"
"2022/11/30","9805","-37","11767"
"2022/11/29","9842","36","11814"
"2022/11/28","9806","58","11775"
"2022/11/25","9748","-11","11735"
"2022/11/24","9759","59","11740"
"2022/11/22","9700","-66","11657"
"2022/11/21","9766","71","11736"
"2022/11/18","9695","4","11655"
"2022/11/17","9691","33","11642"
"2022/11/16","9658","18","11593"
"2022/11/15","9640","-40","11551"
"2022/11/14","9680","-141","11564"
"2022/11/11","9821","161","11752"
"2022/11/10","9660","-9","11547"
"2022/11/09","9669","-5","11553"
"2022/11/08","9674","67","11550"
"2022/11/07","9607","-71","11446"
"2022/11/04","9678","-77","11520"
"2022/11/02","9755","-183","11596"
"2022/11/01","9938","133","11778"
"2022/10/31","9805","49","11644"
"2022/10/28","9756","37","11619"
"2022/10/27","9719","119","11588"
"2022/10/26","9600","321","11476"
"2022/10/25","9279","87","11066"
"2022/10/24","9192","-42","10928"
"2022/10/21","9234","-36","10957"
"2022/10/20","9270","19","10957"
"2022/10/19","9251","-91","10907"
"2022/10/18","9342","-30","10994"
"2022/10/17","9372","-59","10976"
"2022/10/14","9431","-15","11012"
