"基準価額一覧"
""
"ファンド名","三菱ＵＦＪ国際－ｅＭＡＸＩＳ　Ｓ＆Ｐ５００クオリティ高配当インデックス"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20230107","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","9885","-4","2612"
"2023/04/05","9889","-201","2611"
"2023/04/04","10090","6","2596"
"2023/04/03","10084","108","2573"
"2023/03/31","9976","120","2518"
"2023/03/30","9856","215","2473"
"2023/03/29","9641","94","2395"
"2023/03/28","9547","72","2370"
"2023/03/27","9475","78","2328"
"2023/03/24","9397","-45","2291"
"2023/03/23","9442","-296","2270"
"2023/03/22","9738","238","2302"
"2023/03/20","9500","-179","2221"
"2023/03/17","9679","119","2230"
"2023/03/16","9560","-221","2168"
"2023/03/15","9781","194","2175"
"2023/03/14","9587","-149","2064"
"2023/03/13","9736","-257","2080"
"2023/03/10","9993","-251","2115"
"2023/03/09","10244","-13","2145"
"2023/03/08","10257","-72","2121"
"2023/03/07","10329","-42","2087"
"2023/03/06","10371","38","2086"
"2023/03/03","10333","108","2049"
"2023/03/02","10225","4","1956"
"2023/03/01","10221","-44","1923"
"2023/02/28","10265","16","1882"
"2023/02/27","10249","94","1828"
"2023/02/24","10155","-25","1781"
"2023/02/22","10180","-132","1663"
"2023/02/21","10312","-11","1685"
"2023/02/20","10323","-11","1635"
"2023/02/17","10334","-79","1586"
"2023/02/16","10413","128","1563"
"2023/02/15","10285","-18","1494"
"2023/02/14","10303","130","1443"
"2023/02/13","10173","117","1369"
"2023/02/10","10056","-85","1313"
"2023/02/09","10141","-71","1249"
"2023/02/08","10212","-70","1170"
"2023/02/07","10282","-74","1023"
"2023/02/06","10356","206","969"
"2023/02/03","10150","93","899"
"2023/02/02","10057","-77","848"
"2023/02/01","10134","93","821"
"2023/01/31","10041","-56","713"
"2023/01/30","10097","20","678"
"2023/01/27","10077","98","660"
"2023/01/26","9979","-73","634"
"2023/01/25","10052","-13","614"
"2023/01/24","10065","180","588"
"2023/01/23","9885","182","530"
"2023/01/20","9703","-49","489"
"2023/01/19","9752","-369","474"
"2023/01/18","10121","161","433"
"2023/01/17","9960","42","426"
"2023/01/16","9918","-80","350"
"2023/01/13","9998","-2","300"
"2023/01/12","10000","‐","300"
