"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOïHÇtÇeÇiçëç€Å|ÇÖÇlÇ`ÇwÇhÇrÅ@ÇrÇåÇâÇçÅ@ÉoÉâÉìÉXÅiÇWéëéYãœìôå^Åj"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20170307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","13366","-74","182836"
"2023/04/05","13440","-116","183789"
"2023/04/04","13556","-6","184289"
"2023/04/03","13562","83","184285"
"2023/03/31","13479","136","183088"
"2023/03/30","13343","162","181212"
"2023/03/29","13181","82","178861"
"2023/03/28","13099","23","177523"
"2023/03/27","13076","24","177064"
"2023/03/24","13052","8","176674"
"2023/03/23","13044","-140","176427"
"2023/03/22","13184","78","178159"
"2023/03/20","13106","-94","177062"
"2023/03/17","13200","32","177726"
"2023/03/16","13168","-150","177126"
"2023/03/15","13318","79","179085"
"2023/03/14","13239","-54","178040"
"2023/03/13","13293","-178","178613"
"2023/03/10","13471","-165","180983"
"2023/03/09","13636","10","182938"
"2023/03/08","13626","-32","182796"
"2023/03/07","13658","28","183207"
"2023/03/06","13630","49","182844"
"2023/03/03","13581","58","182040"
"2023/03/02","13523","18","180155"
"2023/03/01","13505","-46","179770"
"2023/02/28","13551","26","180255"
"2023/02/27","13525","46","179831"
"2023/02/24","13479","-13","179195"
"2023/02/22","13492","-75","179184"
"2023/02/21","13567","-8","180180"
"2023/02/20","13575","-3","180282"
"2023/02/17","13578","-25","180234"
"2023/02/16","13603","73","180429"
"2023/02/15","13530","-7","178931"
"2023/02/14","13537","103","178948"
"2023/02/13","13434","-43","177431"
"2023/02/10","13477","-18","177975"
"2023/02/09","13495","24","177952"
"2023/02/08","13471","-92","177623"
"2023/02/07","13563","-86","178766"
"2023/02/06","13649","153","179916"
"2023/02/03","13496","84","177793"
"2023/02/02","13412","-10","175579"
"2023/02/01","13422","-2","175639"
"2023/01/31","13424","-85","175605"
"2023/01/30","13509","60","176487"
"2023/01/27","13449","81","175710"
"2023/01/26","13368","-65","174644"
"2023/01/25","13433","18","175499"
"2023/01/24","13415","142","175260"
"2023/01/23","13273","137","173266"
"2023/01/20","13136","17","171464"
"2023/01/19","13119","-236","171160"
"2023/01/18","13355","222","173346"
"2023/01/17","13133","28","170456"
