"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOïHÇtÇeÇiçëç€Å|ÇÖÇlÇ`ÇwÇhÇrÅ@ÇrÇåÇâÇçÅ@ëSê¢äEäîéÆÅiÇRínàÊãœìôå^Åj"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20180307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","14170","-105","6832"
"2023/04/05","14275","-190","6890"
"2023/04/04","14465","4","6947"
"2023/04/03","14461","64","6941"
"2023/03/31","14397","194","6908"
"2023/03/30","14203","219","6814"
"2023/03/29","13984","136","6730"
"2023/03/28","13848","5","6659"
"2023/03/27","13843","-5","6651"
"2023/03/24","13848","39","6651"
"2023/03/23","13809","-118","6624"
"2023/03/22","13927","174","6670"
"2023/03/20","13753","-123","6586"
"2023/03/17","13876","131","6636"
"2023/03/16","13745","-217","6558"
"2023/03/15","13962","132","6659"
"2023/03/14","13830","-200","6590"
"2023/03/13","14030","-307","6679"
"2023/03/10","14337","-282","6818"
"2023/03/09","14619","-3","6937"
"2023/03/08","14622","-18","6931"
"2023/03/07","14640","56","6939"
"2023/03/06","14584","97","6906"
"2023/03/03","14487","105","6853"
"2023/03/02","14382","75","6769"
"2023/03/01","14307","-26","6729"
"2023/02/28","14333","26","6709"
"2023/02/27","14307","11","6691"
"2023/02/24","14296","-40","6687"
"2023/02/22","14336","-143","6683"
"2023/02/21","14479","10","6749"
"2023/02/20","14469","-41","6742"
"2023/02/17","14510","-29","6760"
"2023/02/16","14539","99","6771"
"2023/02/15","14440","20","6717"
"2023/02/14","14420","134","6731"
"2023/02/13","14286","-71","6664"
"2023/02/10","14357","5","6693"
"2023/02/09","14352","33","6684"
"2023/02/08","14319","-61","6660"
"2023/02/07","14380","-107","6685"
"2023/02/06","14487","196","6731"
"2023/02/03","14291","72","6625"
"2023/02/02","14219","-3","6558"
"2023/02/01","14222","-44","6556"
"2023/01/31","14266","-88","6578"
"2023/01/30","14354","43","6618"
"2023/01/27","14311","126","6574"
"2023/01/26","14185","-75","6516"
"2023/01/25","14260","19","6551"
"2023/01/24","14241","198","6542"
"2023/01/23","14043","203","6447"
"2023/01/20","13840","12","6351"
"2023/01/19","13828","-279","6344"
"2023/01/18","14107","246","6460"
"2023/01/17","13861","81","6347"
"2023/01/16","13780","-73","6308"
"2023/01/13","13853","-161","6333"
"2023/01/12","14014","58","6405"
"2023/01/11","13956","110","6353"
"2023/01/10","13846","134","6299"
"2023/01/06","13712","114","6221"
"2023/01/05","13598","198","6132"
"2023/01/04","13400","-176","6039"
"2022/12/30","13576","-47","6111"
"2022/12/29","13623","-54","6110"
"2022/12/28","13677","47","6134"
"2022/12/27","13630","91","6113"
"2022/12/26","13539","-34","6054"
"2022/12/23","13573","-13","6061"
"2022/12/22","13586","147","6062"
"2022/12/21","13439","-241","5987"
"2022/12/20","13680","-211","6084"
"2022/12/19","13891","-196","6169"
"2022/12/16","14087","-99","6245"
"2022/12/15","14186","8","6284"
"2022/12/14","14178","-73","6281"
"2022/12/13","14251","83","6317"
"2022/12/12","14168","-16","6281"
"2022/12/09","14184","158","6276"
"2022/12/08","14026","-134","6196"
"2022/12/07","14160","-63","6250"
"2022/12/06","14223","86","6272"
"2022/12/05","14137","-93","6227"
"2022/12/02","14230","-158","6222"
"2022/12/01","14388","125","6287"
"2022/11/30","14263","88","6231"
"2022/11/29","14175","-145","6179"
"2022/11/28","14320","-70","6231"
"2022/11/25","14390","43","6262"
"2022/11/24","14347","-11","6241"
"2022/11/22","14358","97","6241"
"2022/11/21","14261","24","6197"
"2022/11/18","14237","-3","6185"
"2022/11/17","14240","-72","6184"
"2022/11/16","14312","80","6230"
"2022/11/15","14232","56","6194"
"2022/11/14","14176","64","6170"
"2022/11/11","14112","26","6142"
"2022/11/10","14086","-87","6131"
"2022/11/09","14173","-19","6159"
"2022/11/08","14192","134","6156"
"2022/11/07","14058","182","6092"
"2022/11/04","13876","-201","6009"
"2022/11/02","14077","31","6063"
"2022/11/01","14046","42","6039"
"2022/10/31","14004","183","6019"
"2022/10/28","13821","20","5940"
"2022/10/27","13801","-120","5930"
"2022/10/26","13921","68","5975"
"2022/10/25","13853","-27","5935"
"2022/10/24","13880","38","5941"
"2022/10/21","13842","-44","5918"
"2022/10/20","13886","-91","5937"
"2022/10/19","13977","147","5971"
"2022/10/18","13830","214","5897"
"2022/10/17","13616","-32","5789"
"2022/10/14","13648","183","5798"
"2022/10/13","13465","10","5715"
"2022/10/12","13455","-116","5695"
"2022/10/11","13571","-312","5737"
"2022/10/07","13883","-90","5867"
"2022/10/06","13973","131","5893"
