"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOïHÇtÇeÇiçëç€Å|ÇÖÇlÇ`ÇwÇhÇrÅ@ÇrÇåÇâÇçÅ@êÊêiçëÉäÅ[ÉgÉCÉìÉfÉbÉNÉX"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20190307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","11196","-121","20319"
"2023/04/05","11317","-102","20537"
"2023/04/04","11419","-63","20593"
"2023/04/03","11482","173","20670"
"2023/03/31","11309","236","20331"
"2023/03/30","11073","298","19884"
"2023/03/29","10775","33","19319"
"2023/03/28","10742","45","19208"
"2023/03/27","10697","164","19116"
"2023/03/24","10533","-83","18795"
"2023/03/23","10616","-475","18924"
"2023/03/22","11091","46","19731"
"2023/03/20","11045","-290","19632"
"2023/03/17","11335","-20","20115"
"2023/03/16","11355","-163","20098"
"2023/03/15","11518","235","20344"
"2023/03/14","11283","12","19928"
"2023/03/13","11271","-511","19882"
"2023/03/10","11782","-342","20781"
"2023/03/09","12124","45","21367"
"2023/03/08","12079","-153","21294"
"2023/03/07","12232","32","21544"
"2023/03/06","12200","80","21487"
"2023/03/03","12120","157","21323"
"2023/03/02","11963","-168","20936"
"2023/03/01","12131","-18","21213"
"2023/02/28","12149","24","21227"
"2023/02/27","12125","30","21171"
"2023/02/24","12095","-76","21116"
"2023/02/22","12171","-141","21241"
"2023/02/21","12312","-19","21486"
"2023/02/20","12331","-35","21521"
"2023/02/17","12366","-35","21579"
"2023/02/16","12401","114","21617"
"2023/02/15","12287","-30","21418"
"2023/02/14","12317","139","21466"
"2023/02/13","12178","15","21219"
"2023/02/10","12163","-120","21187"
"2023/02/09","12283","41","21410"
"2023/02/08","12242","-204","21361"
"2023/02/07","12446","-84","21731"
"2023/02/06","12530","153","21877"
"2023/02/03","12377","286","21617"
"2023/02/02","12091","-40","21032"
"2023/02/01","12131","105","21102"
"2023/01/31","12026","-98","20912"
"2023/01/30","12124","199","21065"
"2023/01/27","11925","131","20718"
"2023/01/26","11794","-104","20471"
"2023/01/25","11898","53","20639"
"2023/01/24","11845","197","20528"
"2023/01/23","11648","192","20157"
"2023/01/20","11456","-29","19821"
"2023/01/19","11485","-363","19866"
"2023/01/18","11848","291","20441"
"2023/01/17","11557","69","19938"
"2023/01/16","11488","-182","19814"
"2023/01/13","11670","-68","20120"
"2023/01/12","11738","335","20210"
"2023/01/11","11403","36","19560"
"2023/01/10","11367","103","19476"
"2023/01/06","11264","-137","19233"
"2023/01/05","11401","338","19369"
"2023/01/04","11063","-207","18779"
"2022/12/30","11270","78","19117"
"2022/12/29","11192","-141","18921"
"2022/12/28","11333","55","19159"
"2022/12/27","11278","89","19066"
"2022/12/26","11189","43","18895"
"2022/12/23","11146","-9","18808"
"2022/12/22","11155","157","18807"
