"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOïHÇtÇeÇiçëç€Å|ÇÖÇlÇ`ÇwÇhÇrÅ@ÇmÇÖÇèÅ@ìdãCé©ìÆé‘"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20210307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","6106","-215","3672"
"2023/04/05","6321","-204","3797"
"2023/04/04","6525","-107","3911"
"2023/04/03","6632","102","3974"
"2023/03/31","6530","97","3906"
"2023/03/30","6433","227","3843"
"2023/03/29","6206","40","3701"
"2023/03/28","6166","14","3611"
"2023/03/27","6152","-83","3598"
"2023/03/24","6235","17","3644"
"2023/03/23","6218","-222","3623"
"2023/03/22","6440","263","3743"
"2023/03/20","6177","-218","3576"
"2023/03/17","6395","50","3695"
"2023/03/16","6345","-243","3662"
"2023/03/15","6588","127","3791"
"2023/03/14","6461","-103","3713"
"2023/03/13","6564","-280","3769"
"2023/03/10","6844","-302","3923"
"2023/03/09","7146","-19","4095"
"2023/03/08","7165","-105","4113"
"2023/03/07","7270","-120","4174"
"2023/03/06","7390","137","4247"
"2023/03/03","7253","50","4160"
"2023/03/02","7203","-36","4126"
"2023/03/01","7239","61","4140"
"2023/02/28","7178","135","4106"
"2023/02/27","7043","-75","4029"
"2023/02/24","7118","-113","4072"
"2023/02/22","7231","-274","4131"
"2023/02/21","7505","-8","4287"
"2023/02/20","7513","-36","4290"
"2023/02/17","7549","-89","4310"
"2023/02/16","7638","252","4359"
"2023/02/15","7386","92","4215"
"2023/02/14","7294","120","4162"
"2023/02/13","7174","-91","4110"
"2023/02/10","7265","-172","4171"
"2023/02/09","7437","-109","4268"
"2023/02/08","7546","-109","4328"
"2023/02/07","7655","-89","4380"
"2023/02/06","7744","61","4431"
"2023/02/03","7683","176","4382"
"2023/02/02","7507","85","4274"
"2023/02/01","7422","266","4207"
"2023/01/31","7156","-180","4056"
"2023/01/30","7336","256","4161"
"2023/01/27","7080","70","4020"
"2023/01/26","7010","-101","3978"
"2023/01/25","7111","-53","4037"
"2023/01/24","7164","338","4059"
"2023/01/23","6826","215","3865"
"2023/01/20","6611","-238","3742"
"2023/01/19","6849","-216","3876"
"2023/01/18","7065","147","3996"
"2023/01/17","6918","29","3913"
"2023/01/16","6889","-53","3894"
"2023/01/13","6942","-5","3926"
"2023/01/12","6947","149","3925"
"2023/01/11","6798","180","3835"
"2023/01/10","6618","93","3731"
"2023/01/06","6525","-9","3669"
"2023/01/05","6534","268","3666"
"2023/01/04","6266","-117","3513"
"2022/12/30","6383","158","3579"
"2022/12/29","6225","-87","3492"
"2022/12/28","6312","-149","3522"
"2022/12/27","6461","45","3604"
"2022/12/26","6416","-64","3600"
"2022/12/23","6480","-215","3635"
"2022/12/22","6695","178","3745"
"2022/12/21","6517","-167","3636"
"2022/12/20","6684","-289","3726"
"2022/12/19","6973","-146","3872"
"2022/12/16","7119","-38","3947"
"2022/12/15","7157","-39","3947"
"2022/12/14","7196","-170","3964"
"2022/12/13","7366","79","4053"
"2022/12/12","7287","-180","4006"
"2022/12/09","7467","114","4100"
"2022/12/08","7353","-164","4030"
"2022/12/07","7517","-133","4124"
"2022/12/06","7650","-131","4194"
"2022/12/05","7781","84","4264"
"2022/12/02","7697","-125","4210"
"2022/12/01","7822","345","4266"
"2022/11/30","7477","10","4076"
"2022/11/29","7467","-239","4065"
"2022/11/28","7706","-12","4197"
"2022/11/25","7718","-9","4203"
"2022/11/24","7727","-80","4201"
"2022/11/22","7807","-120","4242"
"2022/11/21","7927","-9","4304"
"2022/11/18","7936","22","4310"
"2022/11/17","7914","-318","4299"
"2022/11/16","8232","11","4469"
"2022/11/15","8221","-36","4465"
"2022/11/14","8257","137","4476"
"2022/11/11","8120","335","4401"
"2022/11/10","7785","-289","4218"
"2022/11/09","8074","-35","4371"
"2022/11/08","8109","-56","4386"
"2022/11/07","8165","139","4414"
"2022/11/04","8026","-72","4336"
"2022/11/02","8098","-79","4369"
"2022/11/01","8177","119","4411"
"2022/10/31","8058","208","4345"
"2022/10/28","7850","32","4227"
"2022/10/27","7818","-46","4209"
"2022/10/26","7864","286","4233"
"2022/10/25","7578","-46","4075"
"2022/10/24","7624","168","4100"
"2022/10/21","7456","-59","4002"
"2022/10/20","7515","-98","4030"
