"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOïHÇtÇeÇiçëç€Å|ÇÖÇlÇ`ÇwÇhÇrÅ@ÇrÇåÇâÇçÅ@ëSê¢äEäîéÆÅiÉIÅ[ÉãÅEÉJÉìÉgÉäÅ[Åj"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20180307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","16892","-116","965022"
"2023/04/05","17008","-197","971215"
"2023/04/04","17205","14","968692"
"2023/04/03","17191","113","967351"
"2023/03/31","17078","265","960232"
"2023/03/30","16813","356","944526"
"2023/03/29","16457","94","923347"
"2023/03/28","16363","61","915420"
"2023/03/27","16302","-10","910524"
"2023/03/24","16312","3","909989"
"2023/03/23","16309","-308","908080"
"2023/03/22","16617","312","922968"
"2023/03/20","16305","-217","904422"
"2023/03/17","16522","253","914754"
"2023/03/16","16269","-367","897830"
"2023/03/15","16636","351","915618"
"2023/03/14","16285","-216","894279"
"2023/03/13","16501","-417","904395"
"2023/03/10","16918","-359","926706"
"2023/03/09","17277","-23","941284"
"2023/03/08","17300","-103","941744"
"2023/03/07","17403","51","945654"
"2023/03/06","17352","144","942086"
"2023/03/03","17208","152","932816"
"2023/03/02","17056","-16","911422"
"2023/03/01","17072","-59","910872"
"2023/02/28","17131","86","911582"
"2023/02/27","17045","50","905047"
"2023/02/24","16995","-79","901531"
"2023/02/22","17074","-199","903183"
"2023/02/21","17273","-2","913759"
"2023/02/20","17275","-50","913319"
"2023/02/17","17325","-116","915230"
"2023/02/16","17441","184","919896"
"2023/02/15","17257","64","909263"
"2023/02/14","17193","239","904255"
"2023/02/13","16954","-36","890167"
"2023/02/10","16990","-57","891448"
"2023/02/09","17047","-21","889495"
"2023/02/08","17068","-57","890242"
"2023/02/07","17125","-124","891685"
"2023/02/06","17249","302","897408"
"2023/02/03","16947","181","880281"
"2023/02/02","16766","6","858465"
"2023/02/01","16760","64","857328"
"2023/01/31","16696","-137","852701"
"2023/01/30","16833","95","858813"
"2023/01/27","16738","186","849544"
"2023/01/26","16552","-130","840113"
"2023/01/25","16682","-9","846709"
"2023/01/24","16691","291","847124"
"2023/01/23","16400","317","830884"
"2023/01/20","16083","-71","813960"
"2023/01/19","16154","-469","816679"
"2023/01/18","16623","308","836643"
"2023/01/17","16315","84","821146"
"2023/01/16","16231","-90","815945"
"2023/01/13","16321","-231","819513"
"2023/01/12","16552","116","829954"
"2023/01/11","16436","132","816506"
"2023/01/10","16304","183","808770"
"2023/01/06","16121","53","794818"
"2023/01/05","16068","311","780161"
"2023/01/04","15757","-267","764282"
"2022/12/30","16024","32","776361"
"2022/12/29","15992","-110","769738"
"2022/12/28","16102","47","775025"
"2022/12/27","16055","121","772748"
"2022/12/26","15934","-1","764554"
"2022/12/23","15935","-112","762210"
"2022/12/22","16047","262","765299"
"2022/12/21","15785","-320","750231"
"2022/12/20","16105","-296","762709"
"2022/12/19","16401","-345","775147"
"2022/12/16","16746","-153","788688"
"2022/12/15","16899","-37","794650"
"2022/12/14","16936","-120","794910"
"2022/12/13","17056","249","796235"
"2022/12/12","16807","-78","783265"
"2022/12/09","16885","173","780815"
"2022/12/08","16712","-143","771392"
"2022/12/07","16855","-125","776778"
"2022/12/06","16980","2","779245"
"2022/12/05","16978","-124","777621"
"2022/12/02","17102","-146","770166"
"2022/12/01","17248","231","775404"
"2022/11/30","17017","19","763836"
"2022/11/29","16998","-247","760952"
