"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOïHÇtÇeÇiçëç€Å|ÇÖÇlÇ`ÇwÇhÇrÅ@ÇrÇåÇâÇçÅ@çëì‡äîéÆÅiÇsÇnÇoÇhÇwÅj"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20170107","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","14591","-168","65148"
"2023/04/05","14759","-289","65848"
"2023/04/04","15048","37","67260"
"2023/04/03","15011","106","66984"
"2023/03/31","14905","150","66751"
"2023/03/30","14755","83","66011"
"2023/03/29","14672","211","65756"
"2023/03/28","14461","36","64786"
"2023/03/27","14425","48","64534"
"2023/03/24","14377","-14","64239"
"2023/03/23","14391","-42","64230"
"2023/03/22","14433","248","64318"
"2023/03/20","14185","-223","63063"
"2023/03/17","14408","165","63998"
"2023/03/16","14243","-169","62829"
"2023/03/15","14412","93","63403"
"2023/03/14","14319","-393","62948"
"2023/03/13","14712","-225","64505"
"2023/03/10","14937","-291","65480"
"2023/03/09","15228","146","66780"
"2023/03/08","15082","46","66123"
"2023/03/07","15036","62","65985"
"2023/03/06","14974","124","65750"
"2023/03/03","14850","184","65318"
"2023/03/02","14666","-24","64454"
"2023/03/01","14690","33","64337"
"2023/02/28","14657","4","64123"
"2023/02/27","14653","36","64054"
"2023/02/24","14617","97","63842"
"2023/02/22","14520","-164","63370"
"2023/02/21","14684","-17","64049"
"2023/02/20","14701","57","64098"
"2023/02/17","14644","-67","63833"
"2023/02/16","14711","98","64165"
"2023/02/15","14613","-39","63663"
"2023/02/14","14652","114","63840"
"2023/02/13","14538","-69","63192"
"2023/02/10","14607","15","63470"
"2023/02/09","14592","7","63492"
"2023/02/08","14585","4","63403"
"2023/02/07","14581","31","63399"
"2023/02/06","14550","66","63264"
"2023/02/03","14484","37","62971"
"2023/02/02","14447","-52","62747"
"2023/02/01","14499","-22","62869"
"2023/01/31","14521","-53","62974"
"2023/01/30","14574","-1","63295"
"2023/01/27","14575","31","63395"
"2023/01/26","14544","-17","63299"
"2023/01/25","14561","57","63538"
"2023/01/24","14504","203","63371"
"2023/01/23","14301","136","62536"
"2023/01/20","14165","82","61928"
"2023/01/19","14083","-141","61525"
"2023/01/18","14224","234","62155"
"2023/01/17","13990","123","60900"
"2023/01/16","13867","-124","60264"
"2023/01/13","13991","-38","60722"
"2023/01/12","14029","52","60858"
"2023/01/11","13977","150","60601"
"2023/01/10","13827","37","59802"
"2023/01/06","13790","51","59598"
"2023/01/05","13739","6","59242"
"2023/01/04","13733","-175","58941"
"2022/12/30","13908","-25","59678"
"2022/12/29","13933","-78","59740"
"2022/12/28","14011","-9","60041"
"2022/12/27","14020","56","59951"
"2022/12/26","13964","34","59508"
"2022/12/23","13930","-76","59258"
"2022/12/22","14006","109","59443"
"2022/12/21","13897","-90","58815"
"2022/12/20","13987","-219","58999"
"2022/12/19","14206","-109","59776"
"2022/12/16","14315","-173","60157"
"2022/12/15","14488","-26","60631"
"2022/12/14","14514","85","60903"
"2022/12/13","14429","62","60408"
"2022/12/12","14367","-32","60035"
"2022/12/09","14399","148","60162"
"2022/12/08","14251","-50","59474"
"2022/12/07","14301","-14","59643"
"2022/12/06","14315","16","59699"
"2022/12/05","14299","-44","59478"
"2022/12/02","14343","-239","59552"
"2022/12/01","14582","7","60170"
"2022/11/30","14575","-54","60088"
"2022/11/29","14629","-83","60081"
"2022/11/28","14712","-101","60352"
"2022/11/25","14813","-6","60759"
"2022/11/24","14819","177","60833"
"2022/11/22","14642","162","60161"
"2022/11/21","14480","41","59434"
"2022/11/18","14439","5","59261"
"2022/11/17","14434","22","59206"
"2022/11/16","14412","-7","59099"
"2022/11/15","14419","55","58983"
"2022/11/14","14364","-154","58649"
"2022/11/11","14518","303","59250"
"2022/11/10","14215","-94","57951"
"2022/11/09","14309","-60","58366"
"2022/11/08","14369","172","58642"
"2022/11/07","14197","139","57899"
"2022/11/04","14058","-184","57251"
"2022/11/02","14242","13","57976"
"2022/11/01","14229","68","57805"
"2022/10/31","14161","225","57482"
"2022/10/28","13936","-49","56372"
"2022/10/27","13985","-93","56466"
"2022/10/26","14078","81","56921"
"2022/10/25","13997","147","56643"
"2022/10/24","13850","37","55962"
"2022/10/21","13813","-98","55748"
"2022/10/20","13911","-70","56040"
"2022/10/19","13981","26","56392"
"2022/10/18","13955","161","56210"
"2022/10/17","13794","-137","55471"
"2022/10/14","13931","320","55893"
"2022/10/13","13611","-106","54482"
"2022/10/12","13717","-17","54847"
"2022/10/11","13734","-261","54758"
"2022/10/07","13995","-115","55755"
"2022/10/06","14110","70","56244"
"2022/10/05","14040","45","56047"
"2022/10/04","13995","434","55935"
"2022/10/03","13561","86","53911"
"2022/09/30","13475","-241","53440"
"2022/09/29","13716","242","54338"
"2022/09/28","13474","-130","53357"
"2022/09/27","13604","63","53705"
"2022/09/26","13541","-377","53197"
"2022/09/22","13918","-34","54447"
"2022/09/21","13952","-192","54490"
"2022/09/20","14144","63","55115"
"2022/09/16","14081","-86","54798"
"2022/09/15","14167","22","55041"
"2022/09/14","14145","-284","54696"
"2022/09/13","14429","46","55848"
"2022/09/12","14383","106","55607"
"2022/09/09","14277","58","55186"
"2022/09/08","14219","304","54971"
"2022/09/07","13915","-79","53720"
"2022/09/06","13994","-16","53953"
"2022/09/05","14010","-10","53933"
"2022/09/02","14020","-39","53912"
"2022/09/01","14059","-201","53776"
"2022/08/31","14260","-38","54486"
"2022/08/30","14298","179","54553"
"2022/08/29","14119","-257","53772"
"2022/08/26","14376","21","54752"
"2022/08/25","14355","69","54587"
"2022/08/24","14286","-31","54272"
"2022/08/23","14317","-154","54362"
"2022/08/22","14471","-14","54902"
"2022/08/19","14485","29","54964"
"2022/08/18","14456","-120","54851"
"2022/08/17","14576","182","55352"
"2022/08/16","14394","-21","54666"
"2022/08/15","14415","85","54665"
"2022/08/12","14330","287","54413"
"2022/08/10","14043","-25","53256"
"2022/08/09","14068","-104","53327"
"2022/08/08","14172","31","53767"
"2022/08/05","14141","118","53660"
"2022/08/04","14023","1","53171"
"2022/08/03","14022","37","53145"
"2022/08/02","13985","-250","52960"
"2022/08/01","14235","143","53779"
"2022/07/29","14092","-62","53270"
"2022/07/28","14154","23","53481"
"2022/07/27","14131","19","53377"
"2022/07/26","14112","0","53297"
"2022/07/25","14112","-93","53240"
"2022/07/22","14205","39","53649"
"2022/07/21","14166","30","53583"
"2022/07/20","14136","318","53500"
"2022/07/19","13818","74","52235"
"2022/07/15","13744","-5","51860"
"2022/07/14","13749","32","51725"
"2022/07/13","13717","40","51565"
"2022/07/12","13677","-228","51312"
"2022/07/11","13905","195","52280"
"2022/07/08","13710","39","51519"
"2022/07/07","13671","192","51366"
"2022/07/06","13479","-168","50597"
"2022/07/05","13647","68","51190"
"2022/07/04","13579","180","50881"
"2022/07/01","13399","-189","49922"
"2022/06/30","13588","-163","50551"
"2022/06/29","13751","-84","51178"
"2022/06/28","13835","146","51531"
"2022/06/27","13689","149","50941"
"2022/06/24","13540","109","50313"
"2022/06/23","13431","-7","49894"
"2022/06/22","13438","-25","49883"
"2022/06/21","13463","270","49918"
"2022/06/20","13193","-122","48781"
"2022/06/17","13315","-232","49067"
"2022/06/16","13547","85","49763"
"2022/06/15","13462","-163","49321"
"2022/06/14","13625","-163","49631"
"2022/06/13","13788","-306","50058"
"2022/06/10","14094","-189","51116"
"2022/06/09","14283","-6","51806"
"2022/06/08","14289","166","51816"
"2022/06/07","14123","58","51213"
"2022/06/06","14065","43","50964"
"2022/06/03","14022","48","50822"
"2022/06/02","13974","-89","50623"
"2022/06/01","14063","189","50747"
"2022/05/31","13874","-71","50046"
"2022/05/30","13945","255","50431"
"2022/05/27","13690","71","49494"
"2022/05/26","13619","7","49189"
"2022/05/25","13612","-12","49113"
"2022/05/24","13624","-119","49118"
"2022/05/23","13743","125","49537"
"2022/05/20","13618","126","49043"
"2022/05/19","13492","-178","48373"
"2022/05/18","13670","130","48995"
"2022/05/17","13540","26","48472"
"2022/05/16","13514","-6","48263"
"2022/05/13","13520","255","48274"
"2022/05/12","13265","-158","47308"
"2022/05/11","13423","-79","47816"
"2022/05/10","13502","-115","47964"
"2022/05/09","13617","-272","48198"
"2022/05/06","13889","128","49155"
"2022/05/02","13761","-8","48518"
"2022/04/28","13769","282","48554"
"2022/04/27","13487","-128","47389"
"2022/04/26","13615","15","47790"
"2022/04/25","13600","-208","47649"
"2022/04/22","13808","-166","48337"
"2022/04/21","13974","94","48945"
"2022/04/20","13880","139","48594"
"2022/04/19","13741","115","48087"
"2022/04/18","13626","-118","47637"
"2022/04/15","13744","-86","48002"
"2022/04/14","13830","130","48180"
"2022/04/13","13700","192","47655"
"2022/04/12","13508","-188","46898"
"2022/04/11","13696","-53","47477"
"2022/04/08","13749","29","47575"
"2022/04/07","13720","-218","47417"
"2022/04/06","13938","-190","48136"
"2022/04/05","14128","-33","48764"
"2022/04/04","14161","69","48879"
"2022/04/01","14092","-17","48417"
"2022/03/31","14109","-153","48411"
"2022/03/30","14262","-16","48876"
"2022/03/29","14278","131","49075"
"2022/03/28","14147","-59","48622"
"2022/03/25","14206","-1","48869"
"2022/03/24","14207","20","48936"
"2022/03/23","14187","322","48924"
"2022/03/22","13865","175","47771"
"2022/03/18","13690","74","47146"
"2022/03/17","13616","329","46756"
"2022/03/16","13287","191","45627"
"2022/03/15","13096","103","44933"
"2022/03/14","12993","91","44491"
"2022/03/11","12902","-219","44118"
"2022/03/10","13121","511","44835"
"2022/03/09","12610","-7","43073"
"2022/03/08","12617","-245","42967"
"2022/03/07","12862","-366","43612"
"2022/03/04","13228","-264","44703"
"2022/03/03","13492","157","45568"
"2022/03/02","13335","-267","44936"
"2022/03/01","13602","73","45644"
"2022/02/28","13529","76","45251"
"2022/02/25","13453","139","44913"
"2022/02/24","13314","-169","44355"
"2022/02/22","13483","-212","44864"
"2022/02/21","13695","-98","45470"
"2022/02/18","13793","-49","45712"
"2022/02/17","13842","-111","45845"
"2022/02/16","13953","229","46202"
"2022/02/15","13724","-114","45247"
"2022/02/14","13838","-229","45555"
"2022/02/10","14067","75","46279"
"2022/02/09","13992","130","46063"
"2022/02/08","13862","58","45607"
"2022/02/07","13804","-33","45385"
"2022/02/04","13837","77","45469"
"2022/02/03","13760","-120","45195"
"2022/02/02","13880","290","45554"
"2022/02/01","13590","1","44346"
"2022/01/31","13589","137","44373"
"2022/01/28","13452","247","43836"
"2022/01/27","13205","-354","42826"
"2022/01/26","13559","-33","43854"
"2022/01/25","13592","-239","43809"
"2022/01/24","13831","19","44533"
"2022/01/21","13812","-82","44334"
"2022/01/20","13894","134","44481"
"2022/01/19","13760","-420","43766"
"2022/01/18","14180","-59","44943"
"2022/01/17","14239","64","45041"
"2022/01/14","14175","-200","44686"
"2022/01/13","14375","-99","45286"
"2022/01/12","14474","234","45597"
"2022/01/11","14240","-63","44690"
"2022/01/07","14303","-10","44806"
"2022/01/06","14313","-303","44767"
"2022/01/05","14616","65","45707"
"2022/01/04","14551","271","45379"
"2021/12/30","14280","-48","44471"
"2021/12/29","14328","-25","44624"
"2021/12/28","14353","194","44752"
"2021/12/27","14159","-63","43966"
"2021/12/24","14222","-19","44131"
"2021/12/23","14241","128","44189"
"2021/12/22","14113","12","43761"
"2021/12/21","14101","204","43717"
"2021/12/20","13897","-309","42964"
"2021/12/17","14206","-205","43917"
"2021/12/16","14411","207","44593"
"2021/12/15","14204","74","43780"
"2021/12/14","14130","-31","43521"
"2021/12/13","14161","19","43544"
"2021/12/10","14142","-110","43391"
"2021/12/09","14252","-82","43673"
"2021/12/08","14334","89","43925"
"2021/12/07","14245","303","43621"
"2021/12/06","13942","-75","42594"
"2021/12/03","14017","225","42807"
"2021/12/02","13792","-75","42032"
"2021/12/01","13867","63","41921"
"2021/11/30","13804","-146","41584"
"2021/11/29","13950","-261","41826"
"2021/11/26","14211","-291","42409"
"2021/11/25","14502","47","43220"
"2021/11/24","14455","-170","42919"
"2021/11/22","14625","-12","43354"
"2021/11/19","14637","64","43398"
"2021/11/18","14573","-20","43162"
"2021/11/17","14593","-89","43206"
"2021/11/16","14682","16","43429"
"2021/11/15","14666","57","43219"
"2021/11/12","14609","188","43068"
"2021/11/11","14421","46","42431"
"2021/11/10","14375","-78","42232"
"2021/11/09","14453","-117","42355"
"2021/11/08","14570","-44","42604"
"2021/11/05","14614","-100","42661"
"2021/11/04","14714","173","43105"
"2021/11/02","14541","-94","42610"
"2021/11/01","14635","312","42747"
"2021/10/29","14323","11","41785"
"2021/10/28","14312","-100","41699"
"2021/10/27","14412","-34","41948"
"2021/10/26","14446","165","42041"
"2021/10/25","14281","-50","41486"
"2021/10/22","14331","11","41593"
"2021/10/21","14320","-192","41522"
"2021/10/20","14512","8","42082"
"2021/10/19","14504","53","42012"
