"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOïHÇtÇeÇiçëç€Å|ÇÖÇlÇ`ÇwÇhÇrÅ@ÇrÇåÇâÇçÅ@çëì‡ç¬åîÉCÉìÉfÉbÉNÉX"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20170107","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","9767","11","18576"
"2023/04/05","9756","-3","18684"
"2023/04/04","9759","-30","18655"
"2023/04/03","9789","-41","18201"
"2023/03/31","9830","-20","18247"
"2023/03/30","9850","-15","18287"
"2023/03/29","9865","30","18328"
"2023/03/28","9835","25","18279"
"2023/03/27","9810","-10","18428"
"2023/03/24","9820","5","18197"
"2023/03/23","9815","10","18184"
"2023/03/22","9805","-52","18197"
"2023/03/20","9857","45","18330"
"2023/03/17","9812","-11","18245"
"2023/03/16","9823","28","18172"
"2023/03/15","9795","-55","18116"
"2023/03/14","9850","95","18245"
"2023/03/13","9755","58","18115"
"2023/03/10","9697","54","18001"
"2023/03/09","9643","-17","17950"
"2023/03/08","9660","-8","17957"
"2023/03/07","9668","1","18101"
"2023/03/06","9667","-6","18031"
"2023/03/03","9673","-4","18334"
"2023/03/02","9677","-20","18294"
"2023/03/01","9697","2","17856"
"2023/02/28","9695","49","17852"
"2023/02/27","9646","2","17940"
"2023/02/24","9644","19","17703"
"2023/02/22","9625","8","17657"
"2023/02/21","9617","-6","17656"
"2023/02/20","9623","-5","17691"
"2023/02/17","9628","-12","17693"
"2023/02/16","9640","-12","17713"
"2023/02/15","9652","8","17722"
"2023/02/14","9644","7","17623"
"2023/02/13","9637","18","17602"
"2023/02/10","9619","-12","17558"
"2023/02/09","9631","-3","17622"
"2023/02/08","9634","3","17595"
"2023/02/07","9631","-7","17704"
"2023/02/06","9638","-16","17686"
"2023/02/03","9654","18","18008"
"2023/02/02","9636","22","17912"
"2023/02/01","9614","26","17401"
"2023/01/31","9588","-14","17373"
"2023/01/30","9602","0","17403"
"2023/01/27","9602","-43","17420"
"2023/01/26","9645","-7","17520"
"2023/01/25","9652","-11","17648"
"2023/01/24","9663","-7","17440"
"2023/01/23","9670","26","17462"
"2023/01/20","9644","20","17386"
"2023/01/19","9624","13","17356"
"2023/01/18","9611","35","17343"
"2023/01/17","9576","-3","17209"
"2023/01/16","9579","22","17196"
"2023/01/13","9557","2","17208"
"2023/01/12","9555","-41","17224"
"2023/01/11","9596","6","17350"
"2023/01/10","9590","-31","17349"
"2023/01/06","9621","9","17756"
"2023/01/05","9612","18","17439"
"2023/01/04","9594","-22","17135"
"2022/12/30","9616","11","17175"
"2022/12/29","9605","-25","17160"
"2022/12/28","9630","-15","17231"
"2022/12/27","9645","-16","17411"
"2022/12/26","9661","-16","17244"
"2022/12/23","9677","-3","17281"
"2022/12/22","9680","23","17313"
"2022/12/21","9657","-16","17285"
"2022/12/20","9673","-58","17351"
"2022/12/19","9731","-21","17469"
"2022/12/16","9752","-14","17502"
"2022/12/15","9766","-19","17424"
"2022/12/14","9785","11","17459"
"2022/12/13","9774","5","17465"
"2022/12/12","9769","-15","17443"
"2022/12/09","9784","16","17487"
"2022/12/08","9768","11","17411"
"2022/12/07","9757","12","17408"
"2022/12/06","9745","-9","17445"
"2022/12/05","9754","-5","17767"
"2022/12/02","9759","7","17721"
"2022/12/01","9752","7","17255"
"2022/11/30","9745","3","17241"
"2022/11/29","9742","-19","17270"
"2022/11/28","9761","-4","17323"
"2022/11/25","9765","-24","17427"
"2022/11/24","9789","2","17273"
"2022/11/22","9787","-2","17283"
"2022/11/21","9789","-8","17248"
"2022/11/18","9797","-11","17260"
"2022/11/17","9808","14","17284"
"2022/11/16","9794","4","17253"
"2022/11/15","9790","14","17164"
"2022/11/14","9776","-26","17149"
"2022/11/11","9802","41","17164"
"2022/11/10","9761","3","17109"
"2022/11/09","9758","37","17135"
"2022/11/08","9721","-14","17041"
"2022/11/07","9735","-5","17106"
"2022/11/04","9740","-22","17390"
"2022/11/02","9762","-9","17402"
"2022/11/01","9771","-22","16979"
"2022/10/31","9793","13","17027"
"2022/10/28","9780","22","17003"
"2022/10/27","9758","44","16996"
"2022/10/26","9714","11","17001"
"2022/10/25","9703","25","17128"
"2022/10/24","9678","-23","16917"
"2022/10/21","9701","-26","16948"
"2022/10/20","9727","-20","17034"
"2022/10/19","9747","-5","17069"
"2022/10/18","9752","-3","17101"
"2022/10/17","9755","-22","17130"
"2022/10/14","9777","2","17093"
"2022/10/13","9775","-5","17072"
"2022/10/12","9780","-14","17119"
"2022/10/11","9794","-34","17158"
"2022/10/07","9828","-11","17239"
"2022/10/06","9839","-7","17314"
"2022/10/05","9846","0","17510"
"2022/10/04","9846","15","17470"
"2022/10/03","9831","27","16996"
"2022/09/30","9804","4","16949"
"2022/09/29","9800","27","16974"
"2022/09/28","9773","-5","16982"
"2022/09/27","9778","-28","17076"
"2022/09/26","9806","-35","16936"
"2022/09/22","9841","14","16997"
"2022/09/21","9827","-8","16977"
"2022/09/20","9835","-8","17012"
"2022/09/16","9843","-14","17034"
"2022/09/15","9857","-35","17035"
"2022/09/14","9892","6","17010"
"2022/09/13","9886","31","16995"
"2022/09/12","9855","11","16918"
"2022/09/09","9844","-12","16935"
"2022/09/08","9856","3","16898"
"2022/09/07","9853","-25","16910"
"2022/09/06","9878","-10","16980"
"2022/09/05","9888","13","17271"
"2022/09/02","9875","-17","17232"
"2022/09/01","9892","-18","16800"
"2022/08/31","9910","9","16823"
"2022/08/30","9901","9","16806"
"2022/08/29","9892","-28","16820"
"2022/08/26","9920","7","16869"
"2022/08/25","9913","-10","16923"
"2022/08/24","9923","-3","16764"
"2022/08/23","9926","-6","16770"
"2022/08/22","9932","-32","16797"
"2022/08/19","9964","6","16858"
"2022/08/18","9958","-18","16845"
"2022/08/17","9976","-2","16881"
"2022/08/16","9978","19","16869"
"2022/08/15","9959","-2","16751"
"2022/08/12","9961","2","16765"
"2022/08/10","9959","-10","16746"
"2022/08/09","9969","13","16854"
"2022/08/08","9956","-2","16755"
"2022/08/05","9958","15","16774"
"2022/08/04","9943","14","16790"
"2022/08/03","9929","-15","17017"
"2022/08/02","9944","24","17109"
"2022/08/01","9920","-14","16590"
"2022/07/29","9934","17","16575"
"2022/07/28","9917","-13","16508"
"2022/07/27","9930","8","16549"
"2022/07/26","9922","11","16564"
"2022/07/25","9911","11","16428"
"2022/07/22","9900","24","16419"
"2022/07/21","9876","10","16370"
"2022/07/20","9866","-7","16330"
"2022/07/19","9873","-17","16394"
"2022/07/15","9890","13","16412"
"2022/07/14","9877","4","16308"
"2022/07/13","9873","16","16297"
"2022/07/12","9857","0","16250"
"2022/07/11","9857","-11","16302"
"2022/07/08","9868","-11","16264"
"2022/07/07","9879","2","16279"
"2022/07/06","9877","10","16309"
"2022/07/05","9867","-12","16446"
"2022/07/04","9879","-8","16527"
"2022/07/01","9887","17","16101"
"2022/06/30","9870","16","16062"
"2022/06/29","9854","12","16059"
"2022/06/28","9842","-7","16041"
"2022/06/27","9849","-22","16125"
"2022/06/24","9871","2","16008"
"2022/06/23","9869","16","16028"
"2022/06/22","9853","1","16006"
"2022/06/21","9852","-6","15998"
"2022/06/20","9858","-16","16018"
"2022/06/17","9874","-1","16104"
"2022/06/16","9875","40","16127"
"2022/06/15","9835","-31","16078"
"2022/06/14","9866","-21","16060"
"2022/06/13","9887","-47","16150"
"2022/06/10","9934","-8","16201"
"2022/06/09","9942","-5","16256"
"2022/06/08","9947","1","16182"
"2022/06/07","9946","-11","16180"
"2022/06/06","9957","-9","16271"
"2022/06/03","9966","14","16466"
"2022/06/02","9952","-9","16478"
"2022/06/01","9961","-2","16053"
"2022/05/31","9963","-10","16053"
"2022/05/30","9973","-6","16082"
"2022/05/27","9979","12","16093"
"2022/05/26","9967","-31","16103"
"2022/05/25","9998","14","16222"
"2022/05/24","9984","10","16059"
"2022/05/23","9974","3","16057"
"2022/05/20","9971","12","16047"
"2022/05/19","9959","5","15940"
"2022/05/18","9954","-1","15955"
"2022/05/17","9955","-7","15973"
"2022/05/16","9962","-3","16029"
"2022/05/13","9965","8","16065"
"2022/05/12","9957","8","16075"
"2022/05/11","9949","4","16127"
"2022/05/10","9945","3","16186"
"2022/05/09","9942","-9","16352"
"2022/05/06","9951","-15","16769"
"2022/05/02","9966","-13","16373"
"2022/04/28","9979","14","16412"
"2022/04/27","9965","4","16442"
"2022/04/26","9961","5","16489"
"2022/04/25","9956","11","16341"
"2022/04/22","9945","-14","16317"
"2022/04/21","9959","2","16316"
"2022/04/20","9957","-16","16305"
"2022/04/19","9973","-5","16342"
"2022/04/18","9978","-8","16349"
"2022/04/15","9986","3","16375"
"2022/04/14","9983","13","16260"
"2022/04/13","9970","9","16240"
"2022/04/12","9961","-4","16223"
"2022/04/11","9965","-15","16269"
"2022/04/08","9980","16","16217"
"2022/04/07","9964","4","16188"
"2022/04/06","9960","-33","16187"
"2022/04/05","9993","-6","16269"
"2022/04/04","9999","-2","16555"
"2022/04/01","10001","-4","16103"
"2022/03/31","10005","38","16091"
"2022/03/30","9967","39","16031"
"2022/03/29","9928","-19","15985"
"2022/03/28","9947","-27","16063"
"2022/03/25","9974","-15","16150"
"2022/03/24","9989","-5","16067"
"2022/03/23","9994","-8","16058"
"2022/03/22","10002","-15","16099"
"2022/03/18","10017","-3","16120"
"2022/03/17","10020","2","16042"
"2022/03/16","10018","9","16041"
"2022/03/15","10009","-20","16018"
