"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOïHÇtÇeÇiçëç€Å|ÇÖÇlÇ`ÇwÇhÇrÅ@ÇrÇåÇâÇçÅ@êÊêiçëäîéÆÉCÉìÉfÉbÉNÉX"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20170107","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","20138","-139","415568"
"2023/04/05","20277","-231","418455"
"2023/04/04","20508","23","420760"
"2023/04/03","20485","156","420230"
"2023/03/31","20329","324","416913"
"2023/03/30","20005","451","410172"
"2023/03/29","19554","89","400707"
"2023/03/28","19465","99","398445"
"2023/03/27","19366","-6","396152"
"2023/03/24","19372","-22","396159"
"2023/03/23","19394","-434","396400"
"2023/03/22","19828","424","404962"
"2023/03/20","19404","-302","396143"
"2023/03/17","19706","349","401461"
"2023/03/16","19357","-482","393917"
"2023/03/15","19839","505","403673"
"2023/03/14","19334","-266","393161"
"2023/03/13","19600","-511","398240"
"2023/03/10","20111","-435","408526"
"2023/03/09","20546","-20","416516"
"2023/03/08","20566","-152","416814"
"2023/03/07","20718","55","419646"
"2023/03/06","20663","184","418516"
"2023/03/03","20479","200","414580"
"2023/03/02","20279","-78","407961"
"2023/03/01","20357","-75","409317"
"2023/02/28","20432","124","410519"
"2023/02/27","20308","80","407744"
"2023/02/24","20228","-93","405938"
"2023/02/22","20321","-252","407349"
"2023/02/21","20573","-9","412407"
"2023/02/20","20582","-47","412597"
"2023/02/17","20629","-180","413502"
"2023/02/16","20809","250","417024"
"2023/02/15","20559","87","411282"
"2023/02/14","20472","320","409405"
"2023/02/13","20152","-20","402772"
"2023/02/10","20172","-96","403103"
"2023/02/09","20268","-56","404389"
"2023/02/08","20324","-50","405587"
"2023/02/07","20374","-129","406476"
"2023/02/06","20503","375","409022"
"2023/02/03","20128","252","401401"
"2023/02/02","19876","4","393839"
"2023/02/01","19872","132","393678"
"2023/01/31","19740","-170","390967"
"2023/01/30","19910","129","394225"
"2023/01/27","19781","225","391600"
"2023/01/26","19556","-165","386951"
"2023/01/25","19721","-21","390186"
"2023/01/24","19742","370","390340"
"2023/01/23","19372","405","382791"
"2023/01/20","18967","-117","374666"
"2023/01/19","19084","-600","376857"
"2023/01/18","19684","368","387375"
"2023/01/17","19316","98","380130"
"2023/01/16","19218","-115","378086"
"2023/01/13","19333","-275","380167"
"2023/01/12","19608","157","385370"
"2023/01/11","19451","160","381172"
"2023/01/10","19291","218","377852"
"2023/01/06","19073","15","372996"
"2023/01/05","19058","381","370144"
"2023/01/04","18677","-344","362663"
"2022/12/30","19021","82","369218"
"2022/12/29","18939","-153","366765"
"2022/12/28","19092","45","369729"
"2022/12/27","19047","149","368847"
"2022/12/26","18898","24","365764"
"2022/12/23","18874","-184","364986"
"2022/12/22","19058","348","368267"
"2022/12/21","18710","-379","361182"
"2022/12/20","19089","-371","368327"
"2022/12/19","19460","-448","375295"
"2022/12/16","19908","-205","382905"
"2022/12/15","20113","-68","386762"
"2022/12/14","20181","-141","387910"
"2022/12/13","20322","362","390059"
"2022/12/12","19960","-121","382970"
"2022/12/09","20081","195","384358"
"2022/12/08","19886","-152","380411"
"2022/12/07","20038","-163","383192"
"2022/12/06","20201","-52","386065"
"2022/12/05","20253","-147","386889"
"2022/12/02","20400","-162","386913"
"2022/12/01","20562","297","389823"
"2022/11/30","20265","-31","384106"
"2022/11/29","20296","-320","384431"
"2022/11/28","20616","-15","390117"
"2022/11/25","20631","0","390403"
"2022/11/24","20631","15","390308"
"2022/11/22","20616","154","389696"
"2022/11/21","20462","93","386708"
"2022/11/18","20369","40","384828"
"2022/11/17","20329","-164","383958"
"2022/11/16","20493","55","386113"
"2022/11/15","20438","-24","384965"
"2022/11/14","20462","-76","385229"
"2022/11/11","20538","401","386320"
"2022/11/10","20137","-283","378752"
"2022/11/09","20420","29","383227"
"2022/11/08","20391","140","382280"
"2022/11/07","20251","191","379477"
"2022/11/04","20060","-586","375747"
"2022/11/02","20646","-177","384347"
"2022/11/01","20823","-58","387571"
"2022/10/31","20881","583","388642"
"2022/10/28","20298","-43","377755"
"2022/10/27","20341","-318","378532"
"2022/10/26","20659","233","384301"
"2022/10/25","20426","229","379664"
"2022/10/24","20197","211","375321"
"2022/10/21","19986","-71","371244"
"2022/10/20","20057","-74","372522"
"2022/10/19","20131","264","373799"
"2022/10/18","19867","536","368483"
"2022/10/17","19331","-206","357796"
"2022/10/14","19537","485","361440"
"2022/10/13","19052","49","352277"
"2022/10/12","19003","-102","350294"
"2022/10/11","19105","-543","352005"
"2022/10/07","19648","-202","361981"
"2022/10/06","19850","26","365551"
"2022/10/05","19824","549","364777"
"2022/10/04","19275","410","351996"
"2022/10/03","18865","-194","344264"
"2022/09/30","19059","-250","347606"
"2022/09/29","19309","298","351994"
"2022/09/28","19011","-29","346234"
"2022/09/27","19040","-115","346347"
"2022/09/26","19155","-719","348289"
"2022/09/22","19874","-207","361225"
"2022/09/21","20081","-180","364577"
"2022/09/20","20261","-51","367681"
"2022/09/16","20312","-230","368249"
"2022/09/15","20542","-156","371651"
"2022/09/14","20698","-552","374514"
"2022/09/13","21250","236","384207"
"2022/09/12","21014","203","379952"
"2022/09/09","20811","78","375510"
"2022/09/08","20733","491","373860"
"2022/09/07","20242","295","364682"
"2022/09/06","19947","-10","359360"
