"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOïHÇtÇeÇiçëç€Å|ÇÖÇlÇ`ÇwÇhÇrÅ@ÇrÇåÇâÇçÅ@êÊêiçëç¬åîÉCÉìÉfÉbÉNÉX"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20170107","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","11669","-21","63987"
"2023/04/05","11690","-49","64072"
"2023/04/04","11739","43","64006"
"2023/04/03","11696","-34","63730"
"2023/03/31","11730","109","63878"
"2023/03/30","11621","99","63224"
"2023/03/29","11522","34","62634"
"2023/03/28","11488","-58","62334"
"2023/03/27","11546","0","62596"
"2023/03/24","11546","31","62517"
"2023/03/23","11515","-72","62320"
"2023/03/22","11587","-68","62648"
"2023/03/20","11655","48","62997"
"2023/03/17","11607","-35","62469"
"2023/03/16","11642","-20","62580"
"2023/03/15","11662","34","62693"
"2023/03/14","11628","45","62457"
"2023/03/13","11583","47","62078"
"2023/03/10","11536","-53","61772"
"2023/03/09","11589","1","61981"
"2023/03/08","11588","37","61939"
"2023/03/07","11551","28","61688"
"2023/03/06","11523","-2","61526"
"2023/03/03","11525","-12","61407"
"2023/03/02","11537","-29","61137"
"2023/03/01","11566","-20","61210"
"2023/02/28","11586","29","61156"
"2023/02/27","11557","97","60860"
"2023/02/24","11460","-42","60279"
"2023/02/22","11502","-41","60311"
"2023/02/21","11543","-5","60525"
"2023/02/20","11548","37","60522"
"2023/02/17","11511","-25","60269"
"2023/02/16","11536","52","60269"
"2023/02/15","11484","10","59728"
"2023/02/14","11474","84","59580"
"2023/02/13","11390","-63","59009"
"2023/02/10","11453","10","59330"
"2023/02/09","11443","45","59207"
"2023/02/08","11398","-156","58869"
"2023/02/07","11554","-73","59608"
"2023/02/06","11627","171","59955"
"2023/02/03","11456","57","58973"
"2023/02/02","11399","-27","58349"
"2023/02/01","11426","-22","58447"
"2023/01/31","11448","-11","58519"
"2023/01/30","11459","22","58529"
"2023/01/27","11437","-13","58358"
"2023/01/26","11450","-77","58355"
"2023/01/25","11527","46","58673"
"2023/01/24","11481","68","58313"
"2023/01/23","11413","3","57874"
"2023/01/20","11410","18","57851"
"2023/01/19","11392","-138","57712"
"2023/01/18","11530","231","57954"
"2023/01/17","11299","35","56791"
"2023/01/16","11264","-141","56555"
"2023/01/13","11405","-137","57192"
"2023/01/12","11542","48","57812"
"2023/01/11","11494","12","57404"
"2023/01/10","11482","37","57322"
"2023/01/06","11445","66","56949"
"2023/01/05","11379","206","56252"
"2023/01/04","11173","-145","55177"
"2022/12/30","11318","-78","55845"
"2022/12/29","11396","-1","55965"
"2022/12/28","11397","-20","55970"
"2022/12/27","11417","98","56068"
"2022/12/26","11319","-63","55487"
"2022/12/23","11382","12","56121"
"2022/12/22","11370","47","55960"
"2022/12/21","11323","-297","55656"
"2022/12/20","11620","-197","57067"
"2022/12/19","11817","-192","57986"
"2022/12/16","12009","113","58602"
"2022/12/15","11896","19","57986"
"2022/12/14","11877","-117","57839"
"2022/12/13","11994","94","58301"
"2022/12/12","11900","-103","57819"
"2022/12/09","12003","26","58230"
"2022/12/08","11977","12","58069"
"2022/12/07","11965","83","57971"
"2022/12/06","11882","102","57481"
"2022/12/05","11780","-52","56910"
"2022/12/02","11832","11","56823"
"2022/12/01","11821","-79","56733"
"2022/11/30","11900","-2","57073"
"2022/11/29","11902","-42","56976"
"2022/11/28","11944","-62","57039"
"2022/11/25","12006","14","57334"
"2022/11/24","11992","-67","57231"
"2022/11/22","12059","124","57490"
"2022/11/21","11935","-25","56850"
"2022/11/18","11960","20","56941"
"2022/11/17","11940","87","56770"
"2022/11/16","11853","10","55996"
"2022/11/15","11843","52","55782"
"2022/11/14","11791","-173","55535"
"2022/11/11","11964","-112","56281"
"2022/11/10","12076","69","56800"
"2022/11/09","12007","-1","56403"
"2022/11/08","12008","-18","56304"
"2022/11/07","12026","-32","56350"
"2022/11/04","12058","-86","56455"
"2022/11/02","12144","-75","56664"
"2022/11/01","12219","-57","56967"
"2022/10/31","12276","91","57205"
"2022/10/28","12185","81","56759"
"2022/10/27","12104","-59","56364"
"2022/10/26","12163","69","56563"
"2022/10/25","12094","66","56264"
"2022/10/24","12028","-81","55906"
"2022/10/21","12109","-18","56273"
"2022/10/20","12127","-44","56362"
"2022/10/19","12171","55","56571"
"2022/10/18","12116","115","56253"
"2022/10/17","12001","31","55463"
"2022/10/14","11970","71","55220"
"2022/10/13","11899","65","54854"
"2022/10/12","11834","24","54391"
"2022/10/11","11810","-95","54189"
"2022/10/07","11905","-95","54600"
"2022/10/06","12000","-54","55057"
"2022/10/05","12054","17","55244"
"2022/10/04","12037","121","54899"
"2022/10/03","11916","-5","54282"
"2022/09/30","11921","79","54227"
"2022/09/29","11842","161","53860"
"2022/09/28","11681","-109","53059"
"2022/09/27","11790","-63","53404"
"2022/09/26","11853","-272","53606"
"2022/09/22","12125","22","54836"
"2022/09/21","12103","-75","54684"
"2022/09/20","12178","-4","54924"
"2022/09/16","12182","-43","54844"
"2022/09/15","12225","-84","54768"
"2022/09/14","12309","34","55103"
"2022/09/13","12275","22","55134"
"2022/09/12","12253","-76","55072"
"2022/09/09","12329","-83","55190"
"2022/09/08","12412","199","55383"
"2022/09/07","12213","138","54447"
"2022/09/06","12075","6","53831"
"2022/09/05","12069","51","53707"
"2022/09/02","12018","-54","53172"
"2022/09/01","12072","44","53366"
"2022/08/31","12028","-1","53084"
"2022/08/30","12029","1","53085"
"2022/08/29","12028","92","53009"
"2022/08/26","11936","15","52498"
"2022/08/25","11921","-24","52336"
"2022/08/24","11945","-38","52382"
"2022/08/23","11983","-76","52409"
"2022/08/22","12059","-42","52691"
"2022/08/19","12101","75","52841"
"2022/08/18","12026","-10","52435"
"2022/08/17","12036","61","52422"
"2022/08/16","11975","9","51777"
"2022/08/15","11966","-51","51629"
"2022/08/12","12017","-171","51635"
"2022/08/10","12188","8","52354"
"2022/08/09","12180","17","52195"
"2022/08/08","12163","64","52105"
"2022/08/05","12099","24","51807"
"2022/08/04","12075","-27","51644"
"2022/08/03","12102","141","51741"
"2022/08/02","11961","-105","50901"
"2022/08/01","12066","-110","51293"
"2022/07/29","12176","-79","51713"
"2022/07/28","12255","-25","51995"
"2022/07/27","12280","50","52014"
"2022/07/26","12230","-3","51787"
"2022/07/25","12233","38","51749"
"2022/07/22","12195","-39","51489"
"2022/07/21","12234","2","51580"
"2022/07/20","12232","13","51393"
"2022/07/19","12219","-9","51165"
"2022/07/15","12228","37","50976"
"2022/07/14","12191","90","50738"
"2022/07/13","12101","34","50302"
"2022/07/12","12067","70","50032"
"2022/07/11","11997","-25","49623"
"2022/07/08","12022","-35","49693"
"2022/07/07","12057","-52","49776"
"2022/07/06","12109","-59","49750"
"2022/07/05","12168","58","49991"
"2022/07/04","12110","-28","49442"
"2022/07/01","12138","44","49455"
"2022/06/30","12094","99","49238"
"2022/06/29","11995","-9","48793"
"2022/06/28","12004","31","48715"
"2022/06/27","11973","-62","48534"
"2022/06/24","12035","-7","48758"
"2022/06/23","12042","116","48732"
"2022/06/22","11926","63","48151"
"2022/06/21","11863","-14","47893"
"2022/06/20","11877","194","47922"
"2022/06/17","11683","-42","47082"
"2022/06/16","11725","48","47157"
"2022/06/15","11677","-5","46765"
"2022/06/14","11682","-259","46730"
"2022/06/13","11941","-82","47690"
"2022/06/10","12023","-118","47994"
"2022/06/09","12141","112","48415"
"2022/06/08","12029","103","47891"
"2022/06/07","11926","62","47420"
"2022/06/06","11864","34","47175"
"2022/06/03","11830","14","47039"
"2022/06/02","11816","18","46696"
"2022/06/01","11798","-18","46550"
"2022/05/31","11816","88","46621"
"2022/05/30","11728","20","46215"
"2022/05/27","11708","-53","46172"
"2022/05/26","11761","56","46316"
"2022/05/25","11705","-3","46061"
"2022/05/24","11708","-3","46026"
"2022/05/23","11711","11","45965"
"2022/05/20","11700","21","45709"
"2022/05/19","11679","-84","45579"
"2022/05/18","11763","-17","45840"
"2022/05/17","11780","10","45735"
"2022/05/16","11770","17","45672"
"2022/05/13","11753","-58","45597"
"2022/05/12","11811","-21","45753"
"2022/05/11","11832","83","45762"
"2022/05/10","11749","-32","45337"
"2022/05/09","11781","-51","44857"
"2022/05/06","11832","-81","45054"
"2022/05/02","11913","26","45307"
"2022/04/28","11887","43","45199"
"2022/04/27","11844","-11","45028"
"2022/04/26","11855","-89","44971"
"2022/04/25","11944","-25","45301"
"2022/04/22","11969","-33","45385"
"2022/04/21","12002","-31","45501"
"2022/04/20","12033","144","45521"
"2022/04/19","11889","41","44976"
"2022/04/18","11848","27","44820"
"2022/04/15","11821","-46","44507"
"2022/04/14","11867","55","44669"
"2022/04/13","11812","10","44419"
"2022/04/12","11802","21","44328"
"2022/04/11","11781","58","44220"
"2022/04/08","11723","-32","43990"
"2022/04/07","11755","-56","44097"
"2022/04/06","11811","-6","44270"
"2022/04/05","11817","-14","44229"
"2022/04/04","11831","-21","43981"
"2022/04/01","11852","-10","44008"
"2022/03/31","11862","39","44141"
"2022/03/30","11823","-114","43912"
"2022/03/29","11937","192","44290"
"2022/03/28","11745","-66","43495"
"2022/03/25","11811","89","43708"
"2022/03/24","11722","14","43229"
"2022/03/23","11708","85","43154"
"2022/03/22","11623","16","42787"
"2022/03/18","11607","-2","42531"
"2022/03/17","11609","88","42487"
"2022/03/16","11521","28","42034"
"2022/03/15","11493","-19","41880"
"2022/03/14","11512","95","41960"
"2022/03/11","11417","-64","41570"
"2022/03/10","11481","18","41811"
"2022/03/09","11463","-18","41703"
"2022/03/08","11481","-8","41755"
"2022/03/07","11489","-25","41774"
"2022/03/04","11514","-76","41803"
"2022/03/03","11590","-40","42044"
"2022/03/02","11630","80","41924"
"2022/03/01","11550","65","41558"
"2022/02/28","11485","-28","41328"
"2022/02/25","11513","44","41430"
"2022/02/24","11469","-31","41165"
"2022/02/22","11500","-44","41275"
"2022/02/21","11544","30","41397"
"2022/02/18","11514","-22","41249"
"2022/02/17","11536","16","41285"
"2022/02/16","11520","18","40989"
"2022/02/15","11502","-42","40870"
"2022/02/14","11544","-107","40918"
"2022/02/10","11651","34","41223"
"2022/02/09","11617","-27","41057"
"2022/02/08","11644","-3","41131"
"2022/02/07","11647","-49","41112"
"2022/02/04","11696","44","41241"
"2022/02/03","11652","4","41012"
"2022/02/02","11648","-34","40702"
"2022/02/01","11682","-16","40773"
"2022/01/31","11698","1","40779"
"2022/01/28","11697","52","40738"
"2022/01/27","11645","9","40535"
"2022/01/26","11636","-50","40428"
"2022/01/25","11686","10","40565"
"2022/01/24","11676","62","40515"
"2022/01/21","11614","-59","40229"
"2022/01/20","11673","-22","40421"
"2022/01/19","11695","-69","40124"
"2022/01/18","11764","9","40359"
"2022/01/17","11755","-41","40227"
"2022/01/14","11796","-25","40321"
"2022/01/13","11821","-18","40427"
"2022/01/12","11839","35","39964"
"2022/01/11","11804","-68","39784"
"2022/01/07","11872","-45","39933"
"2022/01/06","11917","-24","39921"
"2022/01/05","11941","47","39699"
"2022/01/04","11894","-11","39448"
"2021/12/30","11905","-14","39191"
"2021/12/29","11919","-16","39235"
"2021/12/28","11935","68","39287"
"2021/12/27","11867","-12","38988"
"2021/12/24","11879","-11","38977"
"2021/12/23","11890","40","38896"
"2021/12/22","11850","-2","38674"
"2021/12/21","11852","2","38520"
"2021/12/20","11850","-48","38468"
"2021/12/17","11898","-17","38560"
"2021/12/16","11915","40","38372"
"2021/12/15","11875","-5","38218"
"2021/12/14","11880","28","38111"
"2021/12/13","11852","26","37956"
"2021/12/10","11826","-43","37850"
