"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOïHÇtÇeÇiçëç€Å|ÇÖÇlÇ`ÇwÇhÇrÅ@ÇmÇ`ÇrÇcÇ`ÇpÇPÇOÇOÉCÉìÉfÉbÉNÉX"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20210107","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","12611","-165","58876"
"2023/04/05","12776","-147","59791"
"2023/04/04","12923","-85","60412"
"2023/04/03","13008","178","60867"
"2023/03/31","12830","210","59865"
"2023/03/30","12620","350","58882"
"2023/03/29","12270","-2","57290"
"2023/03/28","12272","-91","57253"
"2023/03/27","12363","35","57601"
"2023/03/24","12328","132","57420"
"2023/03/23","12196","-322","56815"
"2023/03/22","12518","206","58299"
"2023/03/20","12312","-141","57297"
"2023/03/17","12453","347","57935"
"2023/03/16","12106","-67","56207"
"2023/03/15","12173","402","56530"
"2023/03/14","11771","-8","54662"
"2023/03/13","11779","-314","54666"
"2023/03/10","12093","-318","56111"
"2023/03/09","12411","40","57551"
"2023/03/08","12371","-41","57426"
"2023/03/07","12412","30","57631"
"2023/03/06","12382","179","57468"
"2023/03/03","12203","159","56595"
"2023/03/02","12044","-128","55606"
"2023/03/01","12172","-9","56157"
"2023/02/28","12181","94","56141"
"2023/02/27","12087","-24","55625"
"2023/02/24","12111","56","55700"
"2023/02/22","12055","-243","55426"
"2023/02/21","12298","-13","56547"
"2023/02/20","12311","-79","56654"
"2023/02/17","12390","-221","57111"
"2023/02/16","12611","226","58164"
"2023/02/15","12385","132","57094"
"2023/02/14","12253","243","56494"
"2023/02/13","12010","-67","55384"
"2023/02/10","12077","-104","55747"
"2023/02/09","12181","-160","56218"
"2023/02/08","12341","103","57037"
"2023/02/07","12238","-88","56766"
"2023/02/06","12326","121","57178"
"2023/02/03","12205","442","56497"
"2023/02/02","11763","124","54198"
"2023/02/01","11639","131","53573"
"2023/01/31","11508","-212","52928"
"2023/01/30","11720","156","53871"
"2023/01/27","11564","255","53145"
"2023/01/26","11309","-130","51932"
"2023/01/25","11439","-26","52469"
"2023/01/24","11465","341","52420"
"2023/01/23","11124","358","50832"
"2023/01/20","10766","-91","49158"
"2023/01/19","10857","-358","49556"
"2023/01/18","11215","236","51050"
"2023/01/17","10979","46","49977"
"2023/01/16","10933","-39","49730"
"2023/01/13","10972","-173","49843"
"2023/01/12","11145","157","50564"
"2023/01/11","10988","141","49681"
"2023/01/10","10847","207","49010"
"2023/01/06","10640","-43","47902"
"2023/01/05","10683","144","47829"
"2023/01/04","10539","-221","47143"
"2022/12/30","10760","151","48035"
"2022/12/29","10609","-125","47323"
"2022/12/28","10734","-104","47727"
"2022/12/27","10838","73","48190"
"2022/12/26","10765","-7","47840"
"2022/12/23","10772","-235","47813"
"2022/12/22","11007","202","48783"
"2022/12/21","10805","-239","47786"
"2022/12/20","11044","-295","48800"
"2022/12/19","11339","-231","49977"
"2022/12/16","11570","-208","50896"
"2022/12/15","11778","-93","51729"
"2022/12/14","11871","-75","52094"
"2022/12/13","11946","238","52309"
"2022/12/12","11708","-92","51238"
"2022/12/09","11800","175","51535"
"2022/12/08","11625","-117","50670"
"2022/12/07","11742","-175","51123"
"2022/12/06","11917","-47","51871"
"2022/12/05","11964","-125","52024"
"2022/12/02","12089","-120","52235"
"2022/12/01","12209","384","52738"
"2022/11/30","11825","-90","51042"
"2022/11/29","11915","-190","51414"
"2022/11/28","12105","-87","52080"
"2022/11/25","12192","-13","52453"
"2022/11/24","12205","52","52444"
"2022/11/22","12153","20","52161"
"2022/11/21","12133","6","52023"
"2022/11/18","12127","43","51959"
"2022/11/17","12084","-177","51707"
"2022/11/16","12261","103","52432"
"2022/11/15","12158","-49","51913"
"2022/11/14","12207","23","52042"
"2022/11/11","12184","484","51837"
"2022/11/10","11700","-232","49680"
"2022/11/09","11932","29","50542"
"2022/11/08","11903","90","50257"
"2022/11/07","11813","82","49724"
"2022/11/04","11731","-596","49272"
"2022/11/02","12327","-224","51429"
"2022/11/01","12551","-112","52358"
"2022/10/31","12663","521","52728"
"2022/10/28","12142","-183","50520"
"2022/10/27","12325","-469","51196"
"2022/10/26","12794","193","53087"
"2022/10/25","12601","133","52143"
"2022/10/24","12468","190","51571"
"2022/10/21","12278","-41","50712"
"2022/10/20","12319","14","50784"
"2022/10/19","12305","122","50654"
"2022/10/18","12183","428","49988"
"2022/10/17","11755","-278","48123"
"2022/10/14","12033","309","49179"
"2022/10/13","11724","52","47827"
"2022/10/12","11672","-112","47426"
"2022/10/11","11784","-531","47839"
"2022/10/07","12315","-71","49911"
"2022/10/06","12386","51","50033"
"2022/10/05","12335","313","49622"
"2022/10/04","12022","263","47921"
"2022/10/03","11759","-202","46735"
"2022/09/30","11961","-310","47458"
"2022/09/29","12271","204","48602"
"2022/09/28","12067","36","47734"
"2022/09/27","12031","-20","47506"
"2022/09/26","12051","-390","47505"
"2022/09/22","12441","-159","48970"
"2022/09/21","12600","-68","49438"
"2022/09/20","12668","40","49588"
"2022/09/16","12628","-239","49323"
"2022/09/15","12867","5","50193"
"2022/09/14","12862","-571","50087"
"2022/09/13","13433","134","52270"
"2022/09/12","13299","191","51758"
"2022/09/09","13108","6","50937"
"2022/09/08","13102","385","50942"
"2022/09/07","12717","163","49380"
"2022/09/06","12554","-7","48749"
"2022/09/05","12561","-160","48739"
"2022/09/02","12721","55","49045"
"2022/09/01","12666","10","48796"
"2022/08/31","12656","-139","48695"
"2022/08/30","12795","-103","49176"
"2022/08/29","12898","-396","49524"
"2022/08/26","13294","207","50944"
"2022/08/25","13087","40","50090"
"2022/08/24","13047","-43","50035"
"2022/08/23","13090","-345","50325"
"2022/08/22","13435","-181","51661"
"2022/08/19","13616","174","52400"
"2022/08/18","13442","-99","51846"
"2022/08/17","13541","82","52189"
"2022/08/16","13459","121","51804"
"2022/08/15","13338","238","51411"
"2022/08/12","13100","92","50457"
"2022/08/10","13008","-115","50141"
"2022/08/09","13123","-93","50699"
"2022/08/08","13216","126","50384"
"2022/08/05","13090","-4","50014"
"2022/08/04","13094","339","49994"
"2022/08/03","12755","234","48666"
"2022/08/02","12521","-200","47406"
"2022/08/01","12721","66","48310"
"2022/07/29","12655","-41","47991"
"2022/07/28","12696","455","48088"
"2022/07/27","12241","-196","46363"
"2022/07/26","12437","-84","46813"
"2022/07/25","12521","-291","47232"
"2022/07/22","12812","75","48430"
"2022/07/21","12737","225","47990"
"2022/07/20","12512","372","47170"
"2022/07/19","12140","51","45683"
"2022/07/15","12089","122","45441"
"2022/07/14","11967","69","44938"
"2022/07/13","11898","-137","44640"
"2022/07/12","12035","-200","45133"
"2022/07/11","12235","54","45749"
"2022/07/08","12181","273","45487"
"2022/07/07","11908","89","44423"
"2022/07/06","11819","159","44075"
"2022/07/05","11660","99","43482"
"2022/07/04","11561","-4","42791"
"2022/07/01","11565","-215","42785"
"2022/06/30","11780","67","43563"
"2022/06/29","11713","-314","43302"
"2022/06/28","12027","-20","44453"
"2022/06/27","12047","353","44478"
"2022/06/24","11694","86","43153"
"2022/06/23","11608","-44","42835"
"2022/06/22","11652","391","42803"
"2022/06/21","11261","-3","41365"
"2022/06/20","11264","304","41263"
"2022/06/17","10960","-552","40067"
"2022/06/16","11512","222","41928"
"2022/06/15","11290","98","41023"
"2022/06/14","11192","-616","40662"
"2022/06/13","11808","-366","42853"
"2022/06/10","12174","-365","44222"
"2022/06/09","12539","60","45530"
"2022/06/08","12479","163","45304"
"2022/06/07","12316","180","44828"
"2022/06/06","12136","-238","44226"
"2022/06/03","12374","311","45071"
"2022/06/02","12063","15","43560"
"2022/06/01","12048","30","43255"
"2022/05/31","12018","111","43148"
"2022/05/30","11907","380","42602"
"2022/05/27","11527","270","41173"
"2022/05/26","11257","209","40110"
"2022/05/25","11048","-327","39210"
"2022/05/24","11375","196","40237"
"2022/05/23","11179","-44","39311"
"2022/05/20","11223","-101","39333"
"2022/05/19","11324","-684","39582"
"2022/05/18","12008","309","41851"
"2022/05/17","11699","-169","40437"
"2022/05/16","11868","490","40713"
"2022/05/13","11378","-98","38806"
"2022/05/12","11476","-413","39014"
"2022/05/11","11889","179","40792"
"2022/05/10","11710","-556","39997"
"2022/05/09","12266","-125","41691"
"2022/05/06","12391","39","41296"
"2022/05/02","12352","-25","41049"
"2022/04/28","12377","109","41052"
"2022/04/27","12268","-487","40698"
"2022/04/26","12755","46","42263"
"2022/04/25","12709","-329","41528"
"2022/04/22","13038","-227","42668"
"2022/04/21","13265","-322","43386"
"2022/04/20","13587","500","44411"
"2022/04/19","13087","86","42931"
"2022/04/18","13001","31","42648"
"2022/04/15","12970","-220","42466"
"2022/04/14","13190","253","43126"
"2022/04/13","12937","-40","42393"
"2022/04/12","12977","-214","42560"
"2022/04/11","13191","-99","43171"
"2022/04/08","13290","43","43616"
"2022/04/07","13247","-319","43555"
"2022/04/06","13566","-158","44591"
"2022/04/05","13724","285","45087"
"2022/04/04","13439","44","43866"
"2022/04/01","13395","-231","43991"
"2022/03/31","13626","-161","44866"
"2022/03/30","13787","35","45475"
"2022/03/29","13752","429","46015"
"2022/03/28","13323","8","44502"
"2022/03/25","13315","393","44437"
"2022/03/24","12922","-195","43039"
"2022/03/23","13117","367","43502"
"2022/03/22","12750","371","42038"
"2022/03/18","12379","110","40467"
"2022/03/17","12269","497","39951"
"2022/03/16","11772","374","38173"
"2022/03/15","11398","-159","36814"
"2022/03/14","11557","-122","37208"
"2022/03/11","11679","-97","37475"
"2022/03/10","11776","418","37688"
"2022/03/09","11358","-5","36194"
"2022/03/08","11363","-395","36206"
"2022/03/07","11758","-209","37346"
"2022/03/04","11967","-199","37799"
"2022/03/03","12166","267","38215"
"2022/03/02","11899","-225","36636"
"2022/03/01","12124","13","36620"
"2022/02/28","12111","181","36209"
"2022/02/25","11930","459","35727"
"2022/02/24","11471","-407","34209"
"2022/02/22","11878","-28","35423"
"2022/02/21","11906","-127","35420"
"2022/02/18","12033","-423","35757"
"2022/02/17","12456","-36","36909"
