"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOïHÇtÇeÇiçëç€Å|ÇÖÇlÇ`ÇwÇhÇrÅ@ÇrÇåÇâÇçÅ@êVãªçëäîéÆÉCÉìÉfÉbÉNÉX"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20170307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","12173","-52","102087"
"2023/04/05","12225","-114","102503"
"2023/04/04","12339","-33","102767"
"2023/04/03","12372","-18","103015"
"2023/03/31","12390","186","103139"
"2023/03/30","12204","223","101554"
"2023/03/29","11981","126","99638"
"2023/03/28","11855","-78","98472"
"2023/03/27","11933","-48","99077"
"2023/03/24","11981","126","99442"
"2023/03/23","11855","-8","98341"
"2023/03/22","11863","-11","98329"
"2023/03/20","11874","49","98383"
"2023/03/17","11825","-10","97742"
"2023/03/16","11835","-129","97720"
"2023/03/15","11964","-42","98751"
"2023/03/14","12006","-33","99078"
"2023/03/13","12039","-301","99259"
"2023/03/10","12340","-231","101736"
"2023/03/09","12571","-118","103377"
"2023/03/08","12689","7","104324"
"2023/03/07","12682","62","104259"
"2023/03/06","12620","37","103738"
"2023/03/03","12583","-2","103393"
"2023/03/02","12585","265","102727"
"2023/03/01","12320","-52","100490"
"2023/02/28","12372","-11","100823"
"2023/02/27","12383","-51","100844"
"2023/02/24","12434","-131","101229"
"2023/02/22","12565","-82","102204"
"2023/02/21","12647","45","102870"
"2023/02/20","12602","-128","102474"
"2023/02/17","12730","94","103498"
"2023/02/16","12636","22","102650"
"2023/02/15","12614","33","102266"
"2023/02/14","12581","58","101980"
"2023/02/13","12523","-117","101414"
"2023/02/10","12640","59","102344"
"2023/02/09","12581","120","101603"
"2023/02/08","12461","-137","100617"
"2023/02/07","12598","-232","101673"
"2023/02/06","12830","231","103539"
"2023/02/03","12599","0","101593"
"2023/02/02","12599","35","100885"
"2023/02/01","12564","-186","100589"
"2023/01/31","12750","-82","102059"
"2023/01/30","12832","36","102690"
"2023/01/27","12796","167","102266"
"2023/01/26","12629","-81","100931"
"2023/01/25","12710","15","101578"
"2023/01/24","12695","118","101455"
"2023/01/23","12577","169","100438"
"2023/01/20","12408","37","99091"
"2023/01/19","12371","-248","98775"
"2023/01/18","12619","223","100367"
"2023/01/17","12396","47","98592"
"2023/01/16","12349","-14","98215"
"2023/01/13","12363","-225","98315"
"2023/01/12","12588","8","100093"
"2023/01/11","12580","64","99697"
"2023/01/10","12516","188","99202"
"2023/01/06","12328","251","97563"
"2023/01/05","12077","284","94892"
"2023/01/04","11793","-102","92636"
"2022/12/30","11895","-157","93426"
"2022/12/29","12052","19","94422"
"2022/12/28","12033","105","94269"
"2022/12/27","11928","100","93444"
"2022/12/26","11828","-134","92626"
"2022/12/23","11962","146","93628"
"2022/12/22","11816","80","92446"
"2022/12/21","11736","-327","91725"
"2022/12/20","12063","-142","94255"
"2022/12/19","12205","-150","95308"
"2022/12/16","12355","14","96199"
"2022/12/15","12341","83","96070"
"2022/12/14","12258","-179","95390"
"2022/12/13","12437","-56","96650"
"2022/12/12","12493","61","97012"
"2022/12/09","12432","170","96236"
"2022/12/08","12262","-218","94825"
"2022/12/07","12480","-54","96475"
"2022/12/06","12534","243","96828"
"2022/12/05","12291","-117","94905"
"2022/12/02","12408","-114","95060"
"2022/12/01","12522","141","95903"
"2022/11/30","12381","290","94805"
"2022/11/29","12091","-115","92504"
"2022/11/28","12206","-90","93234"
"2022/11/25","12296","118","93922"
"2022/11/24","12178","-188","92982"
"2022/11/22","12366","21","94339"
"2022/11/21","12345","-28","94151"
"2022/11/18","12373","-35","94346"
"2022/11/17","12408","-108","94581"
"2022/11/16","12516","181","95080"
"2022/11/15","12335","116","93623"
"2022/11/14","12219","345","92750"
"2022/11/11","11874","-425","90064"
"2022/11/10","12299","20","93281"
"2022/11/09","12279","-15","92829"
"2022/11/08","12294","119","92865"
"2022/11/07","12175","241","91953"
"2022/11/04","11934","-27","90098"
"2022/11/02","11961","169","89579"
"2022/11/01","11792","84","88290"
"2022/10/31","11708","-54","87613"
"2022/10/28","11762","118","87989"
"2022/10/27","11644","-48","87092"
"2022/10/26","11692","-30","87383"
"2022/10/25","11722","-340","87544"
"2022/10/24","12062","-59","90046"
"2022/10/21","12121","11","90419"
"2022/10/20","12110","-134","90305"
"2022/10/19","12244","204","91270"
"2022/10/18","12040","97","89650"
"2022/10/17","11943","162","88733"
"2022/10/14","11781","-91","87473"
"2022/10/13","11872","89","88119"
"2022/10/12","11783","-233","87113"
"2022/10/11","12016","-267","88794"
"2022/10/07","12283","-15","90745"
"2022/10/06","12298","271","90756"
"2022/10/05","12027","177","88756"
"2022/10/04","11850","36","86705"
"2022/10/03","11814","-8","86393"
"2022/09/30","11822","-9","86412"
"2022/09/29","11831","-189","86444"
"2022/09/28","12020","45","87784"
"2022/09/27","11975","-137","87358"
"2022/09/26","12112","-440","88331"
"2022/09/22","12552","-126","91551"
"2022/09/21","12678","113","92399"
"2022/09/20","12565","-213","91547"
"2022/09/16","12778","-86","93052"
"2022/09/15","12864","-284","93492"
"2022/09/14","13148","119","95495"
"2022/09/13","13029","116","94630"
"2022/09/12","12913","74","93797"
"2022/09/09","12839","-58","92978"
"2022/09/08","12897","56","93361"
"2022/09/07","12841","177","92894"
"2022/09/06","12664","-39","91611"
"2022/09/05","12703","-38","91903"
"2022/09/02","12741","-161","91469"
"2022/09/01","12902","103","92605"
"2022/08/31","12799","-5","91816"
"2022/08/30","12804","-132","91851"
"2022/08/29","12936","146","92774"
"2022/08/26","12790","203","91660"
"2022/08/25","12587","-29","90163"
"2022/08/24","12616","-69","90358"
"2022/08/23","12685","-93","90802"
"2022/08/22","12778","-23","91462"
"2022/08/19","12801","41","91624"
"2022/08/18","12760","56","91332"
"2022/08/17","12704","131","90914"
"2022/08/16","12573","-26","89717"
"2022/08/15","12599","34","89868"
"2022/08/12","12565","-15","89535"
"2022/08/10","12580","27","89634"
"2022/08/09","12553","-46","89135"
"2022/08/08","12599","286","89419"
"2022/08/05","12313","58","87369"
"2022/08/04","12255","53","86941"
"2022/08/03","12202","128","86530"
"2022/08/02","12074","-186","84875"
"2022/08/01","12260","-222","86162"
"2022/07/29","12482","-67","87689"
"2022/07/28","12549","-31","88129"
"2022/07/27","12580","73","88309"
"2022/07/26","12507","-31","87692"
"2022/07/25","12538","-85","87887"
"2022/07/22","12623","-35","88467"
"2022/07/21","12658","87","88643"
"2022/07/20","12571","20","87967"
"2022/07/19","12551","123","87747"
"2022/07/15","12428","27","86690"
"2022/07/14","12401","116","86469"
"2022/07/13","12285","-177","85621"
"2022/07/12","12462","-184","86762"
"2022/07/11","12646","93","87771"
"2022/07/08","12553","199","87090"
"2022/07/07","12354","-90","85678"
"2022/07/06","12444","-59","85486"
"2022/07/05","12503","105","85892"
