"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ëÂòaÅ|É_ÉCÉèÇiÅ|ÇqÇdÇhÇsÉIÅ[ÉvÉìÅiñàåéï™îzå^Åj"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20040307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","2119","-10","410836"
"2023/04/05","2129","-22","412532"
"2023/04/04","2151","4","417145"
"2023/04/03","2147","64","416167"
"2023/03/31","2083","-5","403307"
"2023/03/30","2088","10","403995"
"2023/03/29","2078","10","401725"
"2023/03/28","2068","18","399748"
"2023/03/27","2050","-1","396005"
"2023/03/24","2051","2","395943"
"2023/03/23","2049","-15","395476"
"2023/03/22","2064","25","398301"
"2023/03/20","2039","-19","393567"
"2023/03/17","2058","-21","397563"
"2023/03/16","2079","-22","401310"
"2023/03/15","2101","-72","402899"
"2023/03/14","2173","9","416131"
"2023/03/13","2164","-7","413886"
"2023/03/10","2171","-5","414557"
"2023/03/09","2176","10","415266"
"2023/03/08","2166","-10","412777"
"2023/03/07","2176","-11","414526"
"2023/03/06","2187","11","416388"
"2023/03/03","2176","4","414062"
"2023/03/02","2172","13","413257"
"2023/03/01","2159","-39","410341"
"2023/02/28","2198","-4","417224"
"2023/02/27","2202","9","417465"
"2023/02/24","2193","22","415635"
"2023/02/22","2171","5","411216"
"2023/02/21","2166","-5","410193"
"2023/02/20","2171","8","411321"
"2023/02/17","2163","0","409554"
"2023/02/16","2163","16","409650"
"2023/02/15","2147","-76","404119"
"2023/02/14","2223","19","417988"
"2023/02/13","2204","-7","413982"
"2023/02/10","2211","-6","415061"
"2023/02/09","2217","-9","415796"
"2023/02/08","2226","1","417138"
"2023/02/07","2225","-15","416556"
"2023/02/06","2240","20","419102"
"2023/02/03","2220","2","415126"
"2023/02/02","2218","-5","414556"
"2023/02/01","2223","8","415213"
"2023/01/31","2215","-45","413336"
"2023/01/30","2260","15","421339"
"2023/01/27","2245","30","418119"
"2023/01/26","2215","-7","412348"
"2023/01/25","2222","-11","413494"
"2023/01/24","2233","31","415337"
"2023/01/23","2202","24","409545"
"2023/01/20","2178","9","404864"
"2023/01/19","2169","-44","402973"
"2023/01/18","2213","32","411414"
"2023/01/17","2181","-24","405528"
"2023/01/16","2205","-65","407782"
"2023/01/13","2270","-16","418913"
"2023/01/12","2286","-14","420966"
"2023/01/11","2300","1","422996"
"2023/01/10","2299","18","422267"
"2023/01/06","2281","-25","418260"
"2023/01/05","2306","-13","421866"
"2023/01/04","2319","-22","423543"
"2022/12/30","2341","3","427388"
"2022/12/29","2338","-10","426492"
"2022/12/28","2348","15","428168"
"2022/12/27","2333","12","424809"
"2022/12/26","2321","12","422785"
"2022/12/23","2309","-33","420129"
"2022/12/22","2342","33","425744"
"2022/12/21","2309","43","419355"
"2022/12/20","2266","-127","411277"
"2022/12/19","2393","-45","434152"
"2022/12/16","2438","33","442734"
"2022/12/15","2405","-43","434136"
"2022/12/14","2448","24","441062"
"2022/12/13","2424","-11","436332"
"2022/12/12","2435","0","437652"
"2022/12/09","2435","-7","436988"
"2022/12/08","2442","3","437759"
"2022/12/07","2439","-8","436809"
"2022/12/06","2447","5","437717"
"2022/12/05","2442","7","436425"
"2022/12/02","2435","-8","434835"
"2022/12/01","2443","-36","435847"
"2022/11/30","2479","-10","441870"
"2022/11/29","2489","9","442983"
"2022/11/28","2480","15","441152"
"2022/11/25","2465","-3","438153"
"2022/11/24","2468","15","438421"
"2022/11/22","2453","-17","435333"
"2022/11/21","2470","18","438118"
"2022/11/18","2452","1","434844"
"2022/11/17","2451","8","434421"
"2022/11/16","2443","5","433076"
"2022/11/15","2438","-60","429750"
"2022/11/14","2498","-37","438998"
"2022/11/11","2535","41","444747"
"2022/11/10","2494","-2","437102"
"2022/11/09","2496","-1","437110"
"2022/11/08","2497","17","437002"
"2022/11/07","2480","-18","433658"
"2022/11/04","2498","-20","436232"
"2022/11/02","2518","-48","439612"
"2022/11/01","2566","35","447620"
"2022/10/31","2531","12","441383"
"2022/10/28","2519","10","438653"
"2022/10/27","2509","30","436596"
"2022/10/26","2479","83","430968"
"2022/10/25","2396","23","416529"
"2022/10/24","2373","-11","412514"
"2022/10/21","2384","-10","414389"
"2022/10/20","2394","5","416198"
"2022/10/19","2389","-24","415297"
"2022/10/18","2413","-7","419414"
"2022/10/17","2420","-66","418465"
"2022/10/14","2486","-4","429146"
"2022/10/13","2490","-33","429049"
"2022/10/12","2523","7","434291"
"2022/10/11","2516","-22","432843"
"2022/10/07","2538","-22","436189"
"2022/10/06","2560","-8","439574"
"2022/10/05","2568","-21","440646"
"2022/10/04","2589","38","443811"
"2022/10/03","2551","9","437233"
"2022/09/30","2542","13","434904"
"2022/09/29","2529","29","431501"
"2022/09/28","2500","-42","425908"
"2022/09/27","2542","-37","432095"
"2022/09/26","2579","-52","437491"
"2022/09/22","2631","7","445358"
"2022/09/21","2624","-7","443747"
"2022/09/20","2631","-23","444520"
"2022/09/16","2654","27","448875"
"2022/09/15","2627","-54","440917"
"2022/09/14","2681","-26","448559"
"2022/09/13","2707","4","451576"
"2022/09/12","2703","5","450151"
"2022/09/09","2698","16","448297"
"2022/09/08","2682","-6","444913"
"2022/09/07","2688","2","445608"
"2022/09/06","2686","6","444530"
"2022/09/05","2680","8","443468"
"2022/09/02","2672","-6","441736"
"2022/09/01","2678","-26","442137"
"2022/08/31","2704","-15","446097"
"2022/08/30","2719","36","447924"
"2022/08/29","2683","-8","441369"
"2022/08/26","2691","21","442492"
"2022/08/25","2670","18","438004"
"2022/08/24","2652","-8","434554"
"2022/08/23","2660","-23","435065"
"2022/08/22","2683","-13","438310"
"2022/08/19","2696","10","440588"
"2022/08/18","2686","7","438563"
"2022/08/17","2679","-14","437404"
"2022/08/16","2693","11","439464"
"2022/08/15","2682","-29","433671"
"2022/08/12","2711","2","437035"
"2022/08/10","2709","-6","435692"
"2022/08/09","2715","-7","435817"
"2022/08/08","2722","-3","436195"
"2022/08/05","2725","-4","435901"
"2022/08/04","2729","12","435685"
"2022/08/03","2717","-2","433250"
"2022/08/02","2719","-24","433408"
"2022/08/01","2743","18","437333"
"2022/07/29","2725","26","433489"
"2022/07/28","2699","11","428500"
"2022/07/27","2688","4","426054"
"2022/07/26","2684","-4","424822"
"2022/07/25","2688","4","425323"
"2022/07/22","2684","9","424345"
"2022/07/21","2675","21","422504"
"2022/07/20","2654","-2","418862"
"2022/07/19","2656","29","419115"
"2022/07/15","2627","-75","411487"
"2022/07/14","2702","3","422249"
"2022/07/13","2699","-3","420657"
"2022/07/12","2702","0","420358"
"2022/07/11","2702","30","419735"
"2022/07/08","2672","-28","414511"
"2022/07/07","2700","21","418454"
"2022/07/06","2679","-30","414594"
"2022/07/05","2709","1","418751"
"2022/07/04","2708","34","418266"
"2022/07/01","2674","-30","412842"
"2022/06/30","2704","-7","416125"
"2022/06/29","2711","14","416212"
"2022/06/28","2697","43","413656"
"2022/06/27","2654","30","406350"
"2022/06/24","2624","7","400891"
"2022/06/23","2617","12","399031"
"2022/06/22","2605","-22","396671"
"2022/06/21","2627","14","399821"
"2022/06/20","2613","-24","396845"
"2022/06/17","2637","10","399431"
"2022/06/16","2627","48","396547"
"2022/06/15","2579","-140","385165"
"2022/06/14","2719","-72","404630"
"2022/06/13","2791","-24","414102"
"2022/06/10","2815","-23","416475"
"2022/06/09","2838","5","418706"
"2022/06/08","2833","8","416753"
"2022/06/07","2825","9","414989"
"2022/06/06","2816","4","413048"
"2022/06/03","2812","-10","411670"
"2022/06/02","2822","6","412362"
"2022/06/01","2816","2","410731"
"2022/05/31","2814","7","409482"
"2022/05/30","2807","25","407600"
"2022/05/27","2782","4","403036"
"2022/05/26","2778","-17","401626"
"2022/05/25","2795","37","403220"
"2022/05/24","2758","-24","397306"
"2022/05/23","2782","7","400395"
"2022/05/20","2775","0","398360"
"2022/05/19","2775","-7","398009"
"2022/05/18","2782","14","398234"
"2022/05/17","2768","13","395676"
"2022/05/16","2755","-65","391139"
"2022/05/13","2820","41","399015"
"2022/05/12","2779","1","392219"
"2022/05/11","2778","-23","391088"
"2022/05/10","2801","-24","392978"
"2022/05/09","2825","-26","395614"
"2022/05/06","2851","9","398743"
"2022/05/02","2842","15","396502"
"2022/04/28","2827","-31","392226"
"2022/04/27","2858","18","395889"
"2022/04/26","2840","-3","392642"
"2022/04/25","2843","-5","392033"
"2022/04/22","2848","12","392065"
"2022/04/21","2836","18","390041"
"2022/04/20","2818","-7","387025"
"2022/04/19","2825","-31","387668"
"2022/04/18","2856","9","391835"
"2022/04/15","2847","-61","387620"
"2022/04/14","2908","13","394913"
"2022/04/13","2895","7","392208"
"2022/04/12","2888","-15","390929"
"2022/04/11","2903","26","392450"
"2022/04/08","2877","-39","388665"
"2022/04/07","2916","-20","393672"
"2022/04/06","2936","-14","396017"
"2022/04/05","2950","3","397828"
"2022/04/04","2947","-4","397370"
"2022/04/01","2951","28","397404"
"2022/03/31","2923","21","392684"
"2022/03/30","2902","-44","388944"
"2022/03/29","2946","45","394198"
"2022/03/28","2901","43","387326"
"2022/03/25","2858","-33","380804"
"2022/03/24","2891","32","384846"
"2022/03/23","2859","-20","380498"
"2022/03/22","2879","65","382671"
"2022/03/18","2814","44","373727"
"2022/03/17","2770","15","367908"
"2022/03/16","2755","47","365803"
"2022/03/15","2708","-72","356861"
"2022/03/14","2780","-11","365826"
"2022/03/11","2791","-24","366974"
"2022/03/10","2815","69","369940"
"2022/03/09","2746","-36","360901"
"2022/03/08","2782","-18","365676"
"2022/03/07","2800","-15","367962"
"2022/03/04","2815","-6","369715"
"2022/03/03","2821","-11","370215"
"2022/03/02","2832","17","371315"
"2022/03/01","2815","18","368745"
"2022/02/28","2797","22","365812"
"2022/02/25","2775","2","362563"
"2022/02/24","2773","5","362206"
"2022/02/22","2768","-41","361465"
"2022/02/21","2809","-15","366713"
"2022/02/18","2824","-11","368297"
"2022/02/17","2835","16","369786"
"2022/02/16","2819","57","367476"
"2022/02/15","2762","-102","357942"
"2022/02/14","2864","-63","370165"
"2022/02/10","2927","47","378617"
"2022/02/09","2880","49","372050"
"2022/02/08","2831","-61","365605"
"2022/02/07","2892","-27","373172"
"2022/02/04","2919","-19","376525"
"2022/02/03","2938","19","378513"
"2022/02/02","2919","8","375463"
"2022/02/01","2911","-34","374171"
"2022/01/31","2945","9","377903"
"2022/01/28","2936","5","376321"
"2022/01/27","2931","55","375211"
"2022/01/26","2876","33","367867"
"2022/01/25","2843","-16","363382"
"2022/01/24","2859","22","365260"
"2022/01/21","2837","64","362494"
"2022/01/20","2773","-88","354374"
"2022/01/19","2861","-105","365813"
"2022/01/18","2966","-24","379538"
"2022/01/17","2990","-78","380693"
"2022/01/14","3068","-25","390480"
"2022/01/13","3093","-5","393125"
"2022/01/12","3098","-3","393362"
"2022/01/11","3101","-13","393447"
"2022/01/07","3114","-17","394567"
"2022/01/06","3131","-15","396358"
"2022/01/05","3146","-56","398020"
"2022/01/04","3202","22","404954"
"2021/12/30","3180","-6","401836"
"2021/12/29","3186","27","402168"
"2021/12/28","3159","30","398633"
"2021/12/27","3129","-14","394650"
"2021/12/24","3143","9","396377"
"2021/12/23","3134","19","395581"
"2021/12/22","3115","-14","393205"
"2021/12/21","3129","26","394737"
"2021/12/20","3103","-78","391549"
"2021/12/17","3181","58","401855"
"2021/12/16","3123","-3","394693"
"2021/12/15","3126","-62","392855"
"2021/12/14","3188","-18","400604"
"2021/12/13","3206","-35","402583"
"2021/12/10","3241","6","406846"
"2021/12/09","3235","24","406079"
"2021/12/08","3211","37","402803"
"2021/12/07","3174","21","398098"
"2021/12/06","3153","-15","395733"
"2021/12/03","3168","33","397774"
