"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ëÂòaÅ|É_ÉCÉèÅEÇtÇrÅ|ÇqÇdÇhÇsÅEÉIÅ[ÉvÉìÅiñàåéåàéZå^ÅjÇaÉRÅ[ÉXÅià◊ë÷ÉwÉbÉWÇ»ÇµÅj"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20040307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","2101","-20","662226"
"2023/04/05","2121","-22","668029"
"2023/04/04","2143","-29","674661"
"2023/04/03","2172","44","683169"
"2023/03/31","2128","41","668597"
"2023/03/30","2087","60","655146"
"2023/03/29","2027","7","635281"
"2023/03/28","2020","2","632051"
"2023/03/27","2018","45","630287"
"2023/03/24","1973","-12","616143"
"2023/03/23","1985","-102","619053"
"2023/03/22","2087","5","650223"
"2023/03/20","2082","-62","647861"
"2023/03/17","2144","-37","663166"
"2023/03/16","2181","-28","673328"
"2023/03/15","2209","42","680620"
"2023/03/14","2167","18","666148"
"2023/03/13","2149","-106","659501"
"2023/03/10","2255","-66","691362"
"2023/03/09","2321","22","710941"
"2023/03/08","2299","-31","703616"
"2023/03/07","2330","-2","712618"
"2023/03/06","2332","25","712602"
"2023/03/03","2307","41","704451"
"2023/03/02","2266","-38","691566"
"2023/03/01","2304","-6","702579"
"2023/02/28","2310","-1","703270"
"2023/02/27","2311","0","702852"
"2023/02/24","2311","-16","702353"
"2023/02/22","2327","-24","706455"
"2023/02/21","2351","-2","713820"
"2023/02/20","2353","-6","714074"
"2023/02/17","2359","-39","712976"
"2023/02/16","2398","29","724213"
"2023/02/15","2369","-7","715175"
"2023/02/14","2376","30","716680"
"2023/02/13","2346","9","707312"
"2023/02/10","2337","-27","704248"
"2023/02/09","2364","9","711830"
"2023/02/08","2355","-35","708981"
"2023/02/07","2390","-11","719195"
"2023/02/06","2401","26","722069"
"2023/02/03","2375","56","713816"
"2023/02/02","2319","-13","696714"
"2023/02/01","2332","35","700187"
"2023/01/31","2297","-24","689214"
"2023/01/30","2321","37","696288"
"2023/01/27","2284","28","684591"
"2023/01/26","2256","-23","676023"
"2023/01/25","2279","15","682261"
"2023/01/24","2264","39","677436"
"2023/01/23","2225","38","665102"
"2023/01/20","2187","-8","653681"
"2023/01/19","2195","-70","655682"
"2023/01/18","2265","55","675209"
"2023/01/17","2210","-21","656587"
"2023/01/16","2231","-40","662074"
"2023/01/13","2271","-21","673451"
"2023/01/12","2292","73","678814"
"2023/01/11","2219","8","656567"
"2023/01/10","2211","25","653682"
"2023/01/06","2186","-38","645652"
"2023/01/05","2224","62","656131"
"2023/01/04","2162","-41","637729"
"2022/12/30","2203","21","649219"
"2022/12/29","2182","-33","642455"
"2022/12/28","2215","12","651326"
"2022/12/27","2203","15","647585"
"2022/12/26","2188","13","642746"
"2022/12/23","2175","-2","638373"
"2022/12/22","2177","29","638280"
"2022/12/21","2148","-53","629393"
"2022/12/20","2201","-51","644886"
"2022/12/19","2252","-117","656834"
"2022/12/16","2369","10","690550"
"2022/12/15","2359","-13","687140"
"2022/12/14","2372","-4","690574"
"2022/12/13","2376","30","691131"
"2022/12/12","2346","-12","682110"
"2022/12/09","2358","21","685156"
"2022/12/08","2337","-5","678687"
"2022/12/07","2342","-5","679961"
"2022/12/06","2347","-13","681048"
"2022/12/05","2360","-17","684376"
"2022/12/02","2377","-37","688902"
"2022/12/01","2414","23","698968"
"2022/11/30","2391","44","692330"
"2022/11/29","2347","-76","678994"
"2022/11/28","2423","13","700110"
"2022/11/25","2410","-3","696357"
"2022/11/24","2413","-31","696722"
"2022/11/22","2444","39","705030"
"2022/11/21","2405","34","693544"
"2022/11/18","2371","0","683389"
"2022/11/17","2371","-55","680650"
"2022/11/16","2426","13","696121"
"2022/11/15","2413","-42","692007"
"2022/11/14","2455","-47","703635"
"2022/11/11","2502","84","716836"
"2022/11/10","2418","-10","692272"
"2022/11/09","2428","17","695198"
"2022/11/08","2411","-13","690054"
"2022/11/07","2424","19","693222"
"2022/11/04","2405","-62","687553"
"2022/11/02","2467","-25","705142"
"2022/11/01","2492","1","712006"
"2022/10/31","2491","75","711171"
"2022/10/28","2416","5","689113"
"2022/10/27","2411","-40","687630"
"2022/10/26","2451","78","698859"
"2022/10/25","2373","3","676148"
"2022/10/24","2370","-1","675043"
"2022/10/21","2371","2","674860"
"2022/10/20","2369","-45","674000"
"2022/10/19","2414","30","686570"
"2022/10/18","2384","89","677862"
"2022/10/17","2295","-66","649577"
"2022/10/14","2361","42","667424"
"2022/10/13","2319","-10","654699"
"2022/10/12","2329","37","656795"
"2022/10/11","2292","-61","645864"
"2022/10/07","2353","-55","662411"
"2022/10/06","2408","-31","677168"
"2022/10/05","2439","23","684958"
"2022/10/04","2416","40","677871"
"2022/10/03","2376","26","665840"
"2022/09/30","2350","-56","656762"
"2022/09/29","2406","44","670863"
"2022/09/28","2362","-30","657278"
"2022/09/27","2392","-54","664258"
"2022/09/26","2446","-59","678273"
"2022/09/22","2505","-23","693163"
"2022/09/21","2528","-45","698614"
"2022/09/20","2573","-48","708323"
"2022/09/16","2621","-62","720623"
"2022/09/15","2683","-56","736838"
"2022/09/14","2739","-58","752069"
"2022/09/13","2797","18","768244"
"2022/09/12","2779","11","763610"
"2022/09/09","2768","-15","760466"
"2022/09/08","2783","74","763995"
"2022/09/07","2709","87","742494"
"2022/09/06","2622","-2","718856"
"2022/09/05","2624","-29","718869"
"2022/09/02","2653","16","726324"
"2022/09/01","2637","2","721444"
"2022/08/31","2635","-33","719931"
"2022/08/30","2668","-21","728397"
"2022/08/29","2689","-35","733713"
"2022/08/26","2724","32","742535"
"2022/08/25","2692","18","733510"
"2022/08/24","2674","-48","728642"
"2022/08/23","2722","-51","741466"
"2022/08/22","2773","-11","755816"
"2022/08/19","2784","4","758745"
"2022/08/18","2780","4","758135"
"2022/08/17","2776","-12","754939"
"2022/08/16","2788","11","757441"
"2022/08/15","2777","40","754204"
"2022/08/12","2737","-5","742962"
"2022/08/10","2742","32","744029"
"2022/08/09","2710","14","734579"
"2022/08/08","2696","48","730532"
"2022/08/05","2648","-11","717151"
"2022/08/04","2659","4","719832"
"2022/08/03","2655","19","718456"
"2022/08/02","2636","-65","713361"
"2022/08/01","2701","-26","730634"
"2022/07/29","2727","57","737026"
"2022/07/28","2670","1","721280"
"2022/07/27","2669","12","720849"
"2022/07/26","2657","6","717323"
"2022/07/25","2651","2","715705"
"2022/07/22","2649","-3","715112"
"2022/07/21","2652","7","716016"
"2022/07/20","2645","62","713952"
"2022/07/19","2583","-10","695412"
"2022/07/15","2593","-9","697877"
"2022/07/14","2602","7","699489"
"2022/07/13","2595","-24","697359"
"2022/07/12","2619","10","703487"
"2022/07/11","2609","-4","700326"
"2022/07/08","2613","10","701774"
"2022/07/07","2603","3","698873"
"2022/07/06","2600","-14","697861"
"2022/07/05","2614","22","701612"
"2022/07/04","2592","21","695400"
"2022/07/01","2571","-23","689283"
"2022/06/30","2594","-5","695255"
"2022/06/29","2599","-6","696604"
"2022/06/28","2605","12","697646"
"2022/06/27","2593","40","694182"
"2022/06/24","2553","30","682991"
"2022/06/23","2523","22","675389"
"2022/06/22","2501","53","668444"
"2022/06/21","2448","-1","654377"
"2022/06/20","2449","42","654067"
"2022/06/17","2407","-93","639854"
"2022/06/16","2500","44","662833"
"2022/06/15","2456","10","650503"
"2022/06/14","2446","-126","646797"
"2022/06/13","2572","-32","679458"
"2022/06/10","2604","-60","687754"
"2022/06/09","2664","-35","703357"
"2022/06/08","2699","52","711931"
"2022/06/07","2647","7","697861"
"2022/06/06","2640","-10","695679"
"2022/06/03","2650","29","697895"
"2022/06/02","2621","7","689947"
"2022/06/01","2614","-11","686734"
"2022/05/31","2625","24","689672"
"2022/05/30","2601","63","682708"
"2022/05/27","2538","-2","665249"
"2022/05/26","2540","25","665150"
"2022/05/25","2515","3","657809"
"2022/05/24","2512","23","656648"
"2022/05/23","2489","10","649958"
"2022/05/20","2479","-27","646606"
"2022/05/19","2506","-101","653060"
"2022/05/18","2607","29","678773"
"2022/05/17","2578","-51","668567"
"2022/05/16","2629","76","680686"
"2022/05/13","2553","-5","660146"
"2022/05/12","2558","0","660799"
"2022/05/11","2558","-24","660361"
"2022/05/10","2582","-133","666135"
"2022/05/09","2715","-35","699995"
"2022/05/06","2750","-88","708829"
"2022/05/02","2838","-76","731550"
"2022/04/28","2914","8","751394"
"2022/04/27","2906","-38","749871"
"2022/04/26","2944","-35","760224"
"2022/04/25","2979","-54","770123"
"2022/04/22","3033","-6","785734"
"2022/04/21","3039","17","788112"
"2022/04/20","3022","109","783877"
"2022/04/19","2913","13","755312"
"2022/04/18","2900","-24","750614"
"2022/04/15","2924","9","756649"
"2022/04/14","2915","20","754543"
"2022/04/13","2895","6","749708"
"2022/04/12","2889","-11","748228"
"2022/04/11","2900","25","751054"
"2022/04/08","2875","-19","744922"
"2022/04/07","2894","37","750215"
"2022/04/06","2857","17","740932"
"2022/04/05","2840","-15","736623"
"2022/04/04","2855","61","740647"
"2022/04/01","2794","-45","725930"
"2022/03/31","2839","-24","738013"
"2022/03/30","2863","42","743960"
"2022/03/29","2821","74","732385"
"2022/03/28","2747","34","713066"
"2022/03/25","2713","39","704290"
"2022/03/24","2674","-27","694260"
"2022/03/23","2701","36","701314"
"2022/03/22","2665","21","691500"
"2022/03/18","2644","27","686029"
"2022/03/17","2617","14","677142"
"2022/03/16","2603","18","673437"
"2022/03/15","2585","-9","668648"
"2022/03/14","2594","6","670804"
"2022/03/11","2588","12","669035"
"2022/03/10","2576","39","666162"
"2022/03/09","2537","3","656138"
"2022/03/08","2534","-41","655211"
"2022/03/07","2575","11","664840"
"2022/03/04","2564","17","661827"
"2022/03/03","2547","63","657358"
"2022/03/02","2484","-21","640779"
"2022/03/01","2505","-52","645753"
"2022/02/28","2557","60","659438"
"2022/02/25","2497","42","644666"
"2022/02/24","2455","-43","633724"
"2022/02/22","2498","-6","644924"
"2022/02/21","2504","-11","646378"
"2022/02/18","2515","-38","649081"
"2022/02/17","2553","-20","656815"
"2022/02/16","2573","22","661537"
"2022/02/15","2551","-23","655527"
"2022/02/14","2574","-82","661102"
"2022/02/10","2656","60","682208"
"2022/02/09","2596","-12","666686"
"2022/02/08","2608","-3","669627"
"2022/02/07","2611","-25","670365"
"2022/02/04","2636","-18","676569"
"2022/02/03","2654","33","681085"
"2022/02/02","2621","-30","672452"
"2022/02/01","2651","22","679988"
"2022/01/31","2629","70","674234"
"2022/01/28","2559","-17","656354"
"2022/01/27","2576","-14","660443"
"2022/01/26","2590","-4","664184"
"2022/01/25","2594","-3","664679"
"2022/01/24","2597","-3","665810"
"2022/01/21","2600","-38","666779"
"2022/01/20","2638","-49","676636"
"2022/01/19","2687","-19","689011"
"2022/01/18","2706","5","693753"
"2022/01/17","2701","-49","690737"
"2022/01/14","2750","-11","702963"
"2022/01/13","2761","-9","705475"
"2022/01/12","2770","5","707173"
"2022/01/11","2765","-47","706184"
"2022/01/07","2812","0","718270"
"2022/01/06","2812","-64","719029"
"2022/01/05","2876","31","735552"
"2022/01/04","2845","9","727696"
"2021/12/30","2836","22","726068"
"2021/12/29","2814","8","720484"
"2021/12/28","2806","57","718819"
"2021/12/27","2749","-2","704051"
"2021/12/24","2751","1","705140"
"2021/12/23","2750","27","704976"
"2021/12/22","2723","57","698472"
"2021/12/21","2666","-25","684358"
"2021/12/20","2691","-9","690916"
"2021/12/17","2700","-46","691314"
"2021/12/16","2746","43","703120"
"2021/12/15","2703","-34","692065"
"2021/12/14","2737","32","700719"
"2021/12/13","2705","2","692824"
"2021/12/10","2703","-48","692419"
"2021/12/09","2751","30","704616"
"2021/12/08","2721","32","697165"
"2021/12/07","2689","58","688563"
"2021/12/06","2631","-15","673842"
"2021/12/03","2646","75","677887"
"2021/12/02","2571","-50","658676"
"2021/12/01","2621","-72","671419"
"2021/11/30","2693","27","689948"
"2021/11/29","2666","-111","683340"
"2021/11/26","2777","-10","711750"
"2021/11/25","2787","34","714354"
"2021/11/24","2753","36","705962"
"2021/11/22","2717","-32","697182"
"2021/11/19","2749","8","705314"
"2021/11/18","2741","6","703129"
"2021/11/17","2735","-30","700041"
"2021/11/16","2765","36","707477"
"2021/11/15","2729","-5","698315"
"2021/11/12","2734","15","699980"
"2021/11/11","2719","27","696164"
"2021/11/10","2692","-5","689588"
"2021/11/09","2697","-18","691081"
"2021/11/08","2715","17","695942"
"2021/11/05","2698","-41","691904"
"2021/11/04","2739","40","702905"
"2021/11/02","2699","15","692872"
"2021/11/01","2684","-16","689113"
"2021/10/29","2700","35","693447"
"2021/10/28","2665","-20","684877"
"2021/10/27","2685","10","690456"
"2021/10/26","2675","12","688364"
"2021/10/25","2663","-4","686056"
"2021/10/22","2667","-8","688015"
"2021/10/21","2675","31","691326"
"2021/10/20","2644","2","684429"
"2021/10/19","2642","10","684745"
"2021/10/18","2632","-20","680980"
"2021/10/15","2652","43","686533"
"2021/10/14","2609","20","675690"
"2021/10/13","2589","33","670920"
"2021/10/12","2556","34","662401"
"2021/10/11","2522","-8","653419"
"2021/10/08","2530","16","655921"
"2021/10/07","2514","22","652001"
"2021/10/06","2492","-7","646562"
"2021/10/05","2499","2","648651"
"2021/10/04","2497","26","648326"
"2021/10/01","2471","-52","641685"
"2021/09/30","2523","26","655432"
