"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ëÂòaÅ|ÇâÇeÇíÇÖÇÖÉåÉoÉåÉbÉWÅ@ÇmÇ`ÇrÇcÇ`ÇpÇPÇOÇO"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20180307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","21726","-438","177045"
"2023/04/05","22164","-173","180796"
"2023/04/04","22337","-107","181618"
"2023/04/03","22444","726","182541"
"2023/03/31","21718","386","176598"
"2023/03/30","21332","759","173462"
"2023/03/29","20573","-183","167301"
"2023/03/28","20756","-335","168756"
"2023/03/27","21091","113","171434"
"2023/03/24","20978","472","170531"
"2023/03/23","20506","-520","166517"
"2023/03/22","21026","714","170740"
"2023/03/20","20312","-232","164901"
"2023/03/17","20544","1057","166750"
"2023/03/16","19487","126","158100"
"2023/03/15","19361","866","157081"
"2023/03/14","18495","275","149894"
"2023/03/13","18220","-520","147528"
"2023/03/10","18740","-697","151727"
"2023/03/09","19437","185","157201"
"2023/03/08","19252","-501","155699"
"2023/03/07","19753","38","159576"
"2023/03/06","19715","798","159245"
"2023/03/03","18917","312","152800"
"2023/03/02","18605","-350","149673"
"2023/03/01","18955","-36","152441"
"2023/02/28","18991","267","152856"
"2023/02/27","18724","-682","150501"
"2023/02/24","19406","344","155981"
"2023/02/22","19062","-954","153121"
"2023/02/21","20016","-1","160781"
"2023/02/20","20017","-309","160714"
"2023/02/17","20326","-823","163406"
"2023/02/16","21149","328","169837"
"2023/02/15","20821","295","167049"
"2023/02/14","20526","629","164934"
"2023/02/13","19897","-263","159876"
"2023/02/10","20160","-395","162208"
"2023/02/09","20555","-781","165560"
"2023/02/08","21336","844","171885"
"2023/02/07","20492","-365","165420"
"2023/02/06","20857","-755","168338"
"2023/02/03","21612","1405","174420"
"2023/02/02","20207","821","162401"
