"基準価額一覧"
""
"ファンド名","大和－ダイワ・ダイナミック・インド株ファンド"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20070307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","8739","45","22847"
"2023/04/05","8694","-50","22729"
"2023/04/04","8744","-32","22668"
"2023/04/03","8776","45","22606"
"2023/03/31","8731","100","22491"
"2023/03/30","8631","151","22011"
"2023/03/29","8480","53","21566"
"2023/03/28","8427","-5","21390"
"2023/03/27","8432","-76","21276"
"2023/03/24","8508","-1","21412"
"2023/03/23","8509","-82","21385"
"2023/03/22","8591","6","21522"
"2023/03/20","8585","-20","21436"
"2023/03/17","8605","73","21423"
"2023/03/16","8532","-210","21212"
"2023/03/15","8742","105","21674"
"2023/03/14","8637","-250","21335"
"2023/03/13","8887","-183","21767"
"2023/03/10","9070","-142","22090"
"2023/03/09","9212","46","22244"
"2023/03/08","9166","48","22131"
"2023/03/07","9118","40","21980"
"2023/03/06","9078","68","21843"
"2023/03/03","9010","12","21642"
"2023/03/02","8998","81","21539"
"2023/03/01","8917","-5","21313"
"2023/02/28","8922","18","21195"
"2023/02/27","8904","27","21086"
"2023/02/24","8877","-128","20976"
"2023/02/22","9005","19","21039"
"2023/02/21","8986","-14","20918"
"2023/02/20","9000","-87","20813"
"2023/02/17","9087","65","20914"
"2023/02/16","9022","154","20729"
"2023/02/15","8868","31","20327"
"2023/02/14","8837","-35","20190"
"2023/02/13","8872","27","20178"
"2023/02/10","8845","59","19939"
"2023/02/09","8786","101","19716"
"2023/02/08","8685","-121","19279"
"2023/02/07","8806","-66","19500"
"2023/02/06","8872","263","19590"
"2023/02/03","8609","28","18933"
"2023/02/02","8581","-122","18714"
"2023/02/01","8703","18","18919"
"2023/01/31","8685","14","18768"
"2023/01/30","8671","-52","18544"
"2023/01/27","8723","13","18655"
"2023/01/26","8710","-192","18445"
"2023/01/25","8902","-34","18851"
"2023/01/24","8936","24","18923"
"2023/01/23","8912","49","18749"
"2023/01/20","8863","-7","18560"
"2023/01/19","8870","-72","18518"
"2023/01/18","8942","223","18557"
"2023/01/17","8719","-63","18006"
"2023/01/16","8782","-80","18073"
"2023/01/13","8862","-158","18190"
"2023/01/12","9020","5","18449"
"2023/01/11","9015","39","18413"
"2023/01/10","8976","-38","18269"
"2023/01/06","9014","121","18320"
"2023/01/05","8893","50","18059"
"2023/01/04","8843","-87","17943"
"2022/12/30","8930","-85","18130"
"2022/12/29","9015","10","18270"
"2022/12/28","9005","120","18233"
"2022/12/27","8885","168","17990"
"2022/12/26","8717","-189","17569"
"2022/12/23","8906","-69","17848"
"2022/12/22","8975","-60","17990"
"2022/12/21","9035","-230","18096"
"2022/12/20","9265","-13","18545"
"2022/12/19","9278","-128","18537"
"2022/12/16","9406","-878","17905"
"2022/12/15","10284","27","19455"
"2022/12/14","10257","-137","19419"
"2022/12/13","10394","61","19630"
"2022/12/12","10333","-93","19461"
"2022/12/09","10426","119","19585"
"2022/12/08","10307","-4","19300"
"2022/12/07","10311","-63","19144"
"2022/12/06","10374","93","19198"
"2022/12/05","10281","-161","19024"
"2022/12/02","10442","-94","19287"
"2022/12/01","10536","58","19372"
"2022/11/30","10478","-3","19232"
"2022/11/29","10481","32","19197"
"2022/11/28","10449","-24","19131"
"2022/11/25","10473","77","19110"
"2022/11/24","10396","-117","18940"
"2022/11/22","10513","57","19124"
"2022/11/21","10456","-38","18931"
"2022/11/18","10494","39","18981"
"2022/11/17","10455","-91","18999"
"2022/11/16","10546","-16","19181"
"2022/11/15","10562","-31","19077"
"2022/11/14","10593","-108","19142"
"2022/11/11","10701","-284","19232"
"2022/11/10","10985","-41","19711"
"2022/11/09","11026","11","19784"
"2022/11/08","11015","81","19742"
"2022/11/07","10934","-19","19579"
"2022/11/04","10953","6","19582"
"2022/11/02","10947","-17","19567"
"2022/11/01","10964","157","19598"
"2022/10/31","10807","144","19245"
"2022/10/28","10663","51","18924"
"2022/10/27","10612","-109","18834"
"2022/10/26","10721","-14","18963"
"2022/10/25","10735","37","18989"
"2022/10/24","10698","-3","18914"
"2022/10/21","10701","36","18880"
"2022/10/20","10665","37","18783"
"2022/10/19","10628","99","18693"
"2022/10/18","10529","138","18519"
"2022/10/17","10391","0","18275"
"2022/10/14","10391","16","18260"
"2022/10/13","10375","136","18232"
"2022/10/12","10239","-91","17988"
"2022/10/11","10330","27","18124"
"2022/10/07","10303","7","17946"
"2022/10/06","10296","-3","17934"
"2022/10/05","10299","177","17933"
"2022/10/04","10122","-118","17602"
"2022/10/03","10240","174","17806"
"2022/09/30","10066","26","17483"
"2022/09/29","10040","-70","17448"
"2022/09/28","10110","11","17561"
"2022/09/27","10099","-230","17536"
"2022/09/26","10329","-454","17937"
"2022/09/22","10783","-28","18713"
"2022/09/21","10811","119","18775"
"2022/09/20","10692","-133","18547"
"2022/09/16","10825","-137","18765"
"2022/09/15","10962","-64","19005"
"2022/09/14","11026","144","19096"
"2022/09/13","10882","111","18813"
"2022/09/12","10771","-109","17997"
"2022/09/09","10880","49","18200"
"2022/09/08","10831","187","18129"
"2022/09/07","10644","199","17830"
"2022/09/06","10445","41","17569"
"2022/09/05","10404","-14","17521"
"2022/09/02","10418","-15","17562"
"2022/09/01","10433","98","17586"
"2022/08/31","10335","261","17426"
"2022/08/30","10074","-73","16959"
"2022/08/29","10147","114","17035"
"2022/08/26","10033","-61","16838"
"2022/08/25","10094","106","16993"
"2022/08/24","9988","23","16829"
"2022/08/23","9965","-154","16780"
"2022/08/22","10119","-63","17037"
"2022/08/19","10182","69","17157"
"2022/08/18","10113","17","17048"
"2022/08/17","10096","273","17018"
"2022/08/16","9823","9","16557"
"2022/08/15","9814","-10","16523"
"2022/08/12","9824","-6","16147"
"2022/08/10","9830","51","16156"
"2022/08/09","9779","0","16076"
"2022/08/08","9779","173","16036"
"2022/08/05","9606","-88","15793"
"2022/08/04","9694","-49","15946"
"2022/08/03","9743","212","16031"
"2022/08/02","9531","37","15685"
"2022/08/01","9494","8","15674"
"2022/07/29","9486","-15","15647"
"2022/07/28","9501","50","15670"
"2022/07/27","9451","-29","15604"
"2022/07/26","9480","-51","15646"
"2022/07/25","9531","17","15739"
"2022/07/22","9514","52","15711"
"2022/07/21","9462","40","15638"
"2022/07/20","9422","76","15586"
"2022/07/19","9346","129","15463"
"2022/07/15","9217","43","15256"
"2022/07/14","9174","13","15191"
"2022/07/13","9161","-144","15202"
"2022/07/12","9305","74","15440"
"2022/07/11","9231","34","15332"
"2022/07/08","9197","124","15288"
"2022/07/07","9073","180","15082"
"2022/07/06","8893","-38","14786"
"2022/07/05","8931","118","14850"
"2022/07/04","8813","-39","14660"
"2022/07/01","8852","-95","14736"
"2022/06/30","8947","59","14890"
"2022/06/29","8888","-18","14778"
"2022/06/28","8906","94","14800"
"2022/06/27","8812","64","14637"
"2022/06/24","8748","74","14537"
"2022/06/23","8674","-178","14402"
"2022/06/22","8852","216","14700"
"2022/06/21","8636","13","14347"
"2022/06/20","8623","90","14319"
"2022/06/17","8533","-255","14167"
"2022/06/16","8788","-245","14433"
"2022/06/15","9033","54","14842"
"2022/06/14","8979","-222","14775"
"2022/06/13","9201","-125","15148"
"2022/06/10","9326","20","15369"
"2022/06/09","9306","59","15342"
"2022/06/08","9247","-2","15262"
"2022/06/07","9249","75","15275"
"2022/06/06","9174","-71","15157"
"2022/06/03","9245","-13","15284"
"2022/06/02","9258","95","15295"
"2022/06/01","9163","38","15144"
"2022/05/31","9125","231","15068"
"2022/05/30","8894","107","14690"
"2022/05/27","8787","48","14511"
"2022/05/26","8739","0","14438"
"2022/05/25","8739","-122","14446"
"2022/05/24","8861","63","14651"
"2022/05/23","8798","160","14560"
"2022/05/20","8638","-176","14297"
"2022/05/19","8814","-127","14632"
"2022/05/18","8941","263","14847"
"2022/05/17","8678","6","14411"
"2022/05/16","8672","13","14394"
"2022/05/13","8659","-245","14378"
"2022/05/12","8904","-51","14787"
"2022/05/11","8955","10","14899"
"2022/05/10","8945","-202","14894"
"2022/05/09","9147","-219","15228"
"2022/05/06","9366","-186","15593"
"2022/05/02","9552","116","15904"
"2022/04/28","9436","66","15708"
"2022/04/27","9370","101","15598"
"2022/04/26","9269","-227","15454"
"2022/04/25","9496","-204","15842"
"2022/04/22","9700","155","16194"
"2022/04/21","9545","31","15969"
"2022/04/20","9514","7","15922"
"2022/04/19","9507","-30","15910"
"2022/04/18","9537","1","15959"
"2022/04/15","9536","43","15957"
"2022/04/14","9493","-40","15894"
"2022/04/13","9533","-144","16021"
"2022/04/12","9677","37","16269"
"2022/04/11","9640","149","16207"
"2022/04/08","9491","-58","15954"
"2022/04/07","9549","-98","16087"
"2022/04/06","9647","84","16260"
"2022/04/05","9563","254","16134"
"2022/04/04","9309","109","15714"
"2022/04/01","9200","-48","15555"
"2022/03/31","9248","67","15647"
"2022/03/30","9181","57","15535"
"2022/03/29","9124","216","15430"
"2022/03/28","8908","-22","15067"
"2022/03/25","8930","131","15113"
"2022/03/24","8799","-104","14893"
"2022/03/23","8903","173","15074"
"2022/03/22","8730","-15","14781"
"2022/03/18","8745","125","14798"
"2022/03/17","8620","240","14604"
"2022/03/16","8380","-57","14215"
"2022/03/15","8437","143","14333"
"2022/03/14","8294","55","14089"
"2022/03/11","8239","147","14000"
"2022/03/10","8092","252","13756"
"2022/03/09","7840","116","13343"
"2022/03/08","7724","-238","13153"
"2022/03/07","7962","-266","13568"
"2022/03/04","8228","-170","14033"
"2022/03/03","8398","41","14300"
"2022/03/02","8357","-100","14230"
"2022/03/01","8457","-31","14389"
"2022/02/28","8488","262","14441"
"2022/02/25","8226","-410","14024"
"2022/02/24","8636","-60","14728"
"2022/02/22","8696","-49","14829"
"2022/02/21","8745","27","14917"
"2022/02/18","8718","-46","14872"
"2022/02/17","8764","-21","14952"
"2022/02/16","8785","277","14986"
"2022/02/15","8508","-276","14516"
"2022/02/14","8784","-210","14993"
"2022/02/10","8994","118","15359"
"2022/02/09","8876","75","15159"
"2022/02/08","8801","-147","15026"
"2022/02/07","8948","-7","15285"
"2022/02/04","8955","-46","15308"
"2022/02/03","9001","47","15386"
"2022/02/02","8954","58","15305"
"2022/02/01","8896","126","15207"
"2022/01/31","8770","20","15005"
"2022/01/28","8750","-11","15012"
"2022/01/27","8761","68","15031"
"2022/01/26","8693","53","14925"
"2022/01/25","8640","-224","14839"
"2022/01/24","8864","-94","15230"
"2022/01/21","8958","-102","15381"
"2022/01/20","9060","-93","15567"
"2022/01/19","9153","-112","15738"
"2022/01/18","9265","38","15931"
"2022/01/17","9227","-7","15903"
"2022/01/14","9234","-82","15943"
"2022/01/13","9316","78","16088"
"2022/01/12","9238","47","15962"
"2022/01/11","9191","124","15881"
"2022/01/07","9067","-37","15704"
"2022/01/06","9104","64","15782"
"2022/01/05","9040","131","15684"
"2022/01/04","8909","235","15457"
"2021/12/30","8674","-3","15025"
"2021/12/29","8677","116","15022"
"2021/12/28","8561","32","14807"
"2021/12/27","8529","-67","14756"
"2021/12/24","8596","136","14928"
"2021/12/23","8460","109","14700"
"2021/12/22","8351","143","14514"
"2021/12/21","8208","-144","14319"
"2021/12/20","8352","-225","14575"
"2021/12/17","8577","-12","14951"
"2021/12/16","8589","-550","14609"
"2021/12/15","9139","-29","15550"
"2021/12/14","9168","-51","15613"
"2021/12/13","9219","-5","15738"
"2021/12/10","9224","-10","15726"
"2021/12/09","9234","158","15746"
"2021/12/08","9076","220","15484"
"2021/12/07","8856","-113","15123"
"2021/12/06","8969","-138","15315"
"2021/12/03","9107","110","15566"
"2021/12/02","8997","87","15387"
"2021/12/01","8910","-95","15247"
"2021/11/30","9005","3","15443"
"2021/11/29","9002","-445","15453"
