"基準価額一覧"
""
"ファンド名","大和－ｉＦｒｅｅＮＥＸＴ　インド株インデックス"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20230107","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","10018","21","300"
"2023/04/05","9997","7","299"
"2023/04/04","9990","-26","248"
"2023/04/03","10016","56","223"
"2023/03/31","9960","131","222"
"2023/03/30","9829","145","200"
"2023/03/29","9684","66","180"
"2023/03/28","9618","69","138"
"2023/03/27","9549","-114","131"
"2023/03/24","9663","-9","129"
"2023/03/23","9672","-112","118"
"2023/03/22","9784","-28","112"
"2023/03/20","9812","47","108"
"2023/03/17","9765","42","103"
"2023/03/16","9723","-216","98"
"2023/03/15","9939","35","99"
"2023/03/14","9904","-96","99"
"2023/03/13","10000","‐","100"
