"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ëÂòaÅ|ÇâÇeÇíÇÖÇÖÉåÉoÉåÉbÉWÅ@ÇrÅïÇoÇTÇOÇO"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20180307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","15343","-76","23712"
"2023/04/05","15419","-186","23875"
"2023/04/04","15605","119","24163"
"2023/04/03","15486","425","23975"
"2023/03/31","15061","165","23299"
"2023/03/30","14896","410","23033"
"2023/03/29","14486","-43","22362"
"2023/03/28","14529","42","22396"
"2023/03/27","14487","166","22321"
"2023/03/24","14321","52","22038"
"2023/03/23","14269","-472","21903"
"2023/03/22","14741","635","22628"
"2023/03/20","14106","-343","21599"
"2023/03/17","14449","491","22084"
"2023/03/16","13958","-207","21233"
"2023/03/15","14165","456","21510"
"2023/03/14","13709","-43","20731"
"2023/03/13","13752","-412","20753"
"2023/03/10","14164","-548","21372"
"2023/03/09","14712","38","22197"
"2023/03/08","14674","-474","22120"
"2023/03/07","15148","19","22801"
"2023/03/06","15129","487","22743"
"2023/03/03","14642","206","21964"
"2023/03/02","14436","-140","21619"
"2023/03/01","14576","-94","21795"
"2023/02/28","14670","89","21843"
"2023/02/27","14581","-325","21625"
"2023/02/24","14906","93","22108"
"2023/02/22","14813","-621","21916"
"2023/02/21","15434","-1","22836"
"2023/02/20","15435","-97","22810"
"2023/02/17","15532","-451","22929"
"2023/02/16","15983","97","23557"
"2023/02/15","15886","-14","23431"
"2023/02/14","15900","362","23478"
"2023/02/13","15538","57","22941"
"2023/02/10","15481","-297","22911"
"2023/02/09","15778","-353","23412"
"2023/02/08","16131","392","23933"
"2023/02/07","15739","-190","23401"
"2023/02/06","15929","-338","23749"
"2023/02/03","16267","452","24296"
"2023/02/02","15815","314","23651"
"2023/02/01","15501","427","23253"
"2023/01/31","15074","-395","22981"
"2023/01/30","15469","63","23586"
"2023/01/27","15406","324","23450"
"2023/01/26","15082","-7","22927"
"2023/01/25","15089","-29","22950"
"2023/01/24","15118","357","23087"
"2023/01/23","14761","532","22512"
"2023/01/20","14229","-222","21727"
"2023/01/19","14451","-477","22096"
"2023/01/18","14928","-66","22853"
"2023/01/17","14994","0","22954"
"2023/01/16","14994","105","22990"
"2023/01/13","14889","97","22847"
"2023/01/12","14792","358","22700"
