"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ëÂòaÅ|ÇâÇeÇíÇÖÇÖÅ@îNã‡ÉoÉâÉìÉX"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20180307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","12491","-60","4767"
"2023/04/05","12551","-110","4786"
"2023/04/04","12661","15","4826"
"2023/04/03","12646","22","4831"
"2023/03/31","12624","103","4821"
"2023/03/30","12521","105","4781"
"2023/03/29","12416","76","4707"
"2023/03/28","12340","16","4674"
"2023/03/27","12324","4","4667"
"2023/03/24","12320","2","4662"
"2023/03/23","12318","-91","4660"
"2023/03/22","12409","83","4690"
"2023/03/20","12326","-70","4657"
"2023/03/17","12396","75","4651"
"2023/03/16","12321","-109","4615"
"2023/03/15","12430","96","4651"
"2023/03/14","12334","-80","4612"
"2023/03/13","12414","-95","4635"
"2023/03/10","12509","-126","4672"
"2023/03/09","12635","24","4716"
"2023/03/08","12611","-6","4705"
"2023/03/07","12617","29","4706"
"2023/03/06","12588","52","4691"
"2023/03/03","12536","65","4667"
"2023/03/02","12471","-28","4660"
"2023/03/01","12499","-10","4665"
"2023/02/28","12509","41","4662"
"2023/02/27","12468","48","4642"
"2023/02/24","12420","0","4623"
"2023/02/22","12420","-80","4611"
"2023/02/21","12500","-8","4641"
"2023/02/20","12508","14","4637"
"2023/02/17","12494","-51","4630"
"2023/02/16","12545","70","4638"
"2023/02/15","12475","12","4583"
"2023/02/14","12463","99","4583"
"2023/02/13","12364","-29","4542"
"2023/02/10","12393","-12","4552"
"2023/02/09","12405","5","4556"
"2023/02/08","12400","-47","4556"
"2023/02/07","12447","-34","4569"
"2023/02/06","12481","111","4583"
"2023/02/03","12370","67","4542"
"2023/02/02","12303","-11","4513"
"2023/02/01","12314","19","4517"
"2023/01/31","12295","-47","4500"
"2023/01/30","12342","20","4517"
"2023/01/27","12322","27","4508"
"2023/01/26","12295","-51","4501"
"2023/01/25","12346","17","4524"
"2023/01/24","12329","115","4515"
"2023/01/23","12214","99","4473"
"2023/01/20","12115","12","4437"
"2023/01/19","12103","-156","4431"
"2023/01/18","12259","183","4437"
"2023/01/17","12076","53","4371"
"2023/01/16","12023","-76","4346"
"2023/01/13","12099","-88","4373"
"2023/01/12","12187","36","4392"
"2023/01/11","12151","62","4376"
"2023/01/10","12089","47","4351"
"2023/01/06","12042","34","4330"
"2023/01/05","12008","119","4313"
"2023/01/04","11889","-138","4267"
"2022/12/30","12027","-13","4311"
"2022/12/29","12040","-51","4331"
"2022/12/28","12091","-5","4340"
"2022/12/27","12096","58","4341"
"2022/12/26","12038","-13","4319"
"2022/12/23","12051","-43","4316"
"2022/12/22","12094","97","4316"
"2022/12/21","11997","-164","4276"
"2022/12/20","12161","-174","4321"
"2022/12/19","12335","-150","4376"
"2022/12/16","12485","-45","4399"
"2022/12/15","12530","-17","4411"
"2022/12/14","12547","-31","4414"
"2022/12/13","12578","95","4419"
