"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ëÂòaÅ|ÇmÇxÉ_ÉEÅEÉgÉäÉvÉãÅEÉåÉoÉåÉbÉW"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20200107","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","24910","204","4072"
"2023/04/05","24706","-469","4093"
"2023/04/04","25175","711","4171"
"2023/04/03","24464","886","4053"
"2023/03/31","23578","299","3906"
"2023/03/30","23279","662","3836"
"2023/03/29","22617","-91","3727"
"2023/03/28","22708","402","3731"
"2023/03/27","22306","230","3673"
"2023/03/24","22076","122","3618"
"2023/03/23","21954","-1074","3594"
"2023/03/22","23028","1439","3770"
"2023/03/20","21589","-855","3519"
"2023/03/17","22444","779","3645"
"2023/03/16","21665","-626","3476"
"2023/03/15","22291","684","3550"
"2023/03/14","21607","-181","3413"
"2023/03/13","21788","-712","3397"
"2023/03/10","22500","-1188","3486"
"2023/03/09","23688","-114","3648"
"2023/03/08","23802","-1337","3654"
"2023/03/07","25139","81","3846"
"2023/03/06","25058","897","3824"
"2023/03/03","24161","700","3679"
"2023/03/02","23461","21","3554"
"2023/03/01","23440","-497","3541"
"2023/02/28","23937","177","3603"
"2023/02/27","23760","-806","3567"
"2023/02/24","24566","36","3688"
"2023/02/22","24530","-1643","3680"
"2023/02/21","26173","-3","3926"
"2023/02/20","26176","287","3930"
"2023/02/17","25889","-1029","3891"
"2023/02/16","26918","123","4059"
"2023/02/15","26795","-351","4044"
"2023/02/14","27146","872","4105"
"2023/02/13","26274","365","3975"
"2023/02/10","25909","-615","3921"
"2023/02/09","26524","-506","4019"
"2023/02/08","27030","624","4096"
"2023/02/07","26406","-70","4006"
"2023/02/06","26476","-289","4018"
"2023/02/03","26765","-123","4067"
"2023/02/02","26888","-20","4085"
"2023/02/01","26908","854","4087"
"2023/01/31","26054","-619","3982"
"2023/01/30","26673","46","4084"
"2023/01/27","26627","461","4078"
"2023/01/26","26166","-10","4014"
"2023/01/25","26176","225","4018"
"2023/01/24","25951","577","3983"
"2023/01/23","25374","746","3881"
"2023/01/20","24628","-560","3797"
"2023/01/19","25188","-1495","3881"
"2023/01/18","26683","-961","4131"
"2023/01/17","27644","-2","4280"
"2023/01/16","27646","221","4296"
"2023/01/13","27425","478","4274"
"2023/01/12","26947","604","4209"
"2023/01/11","26343","413","4142"
"2023/01/10","25930","1302","4077"
"2023/01/06","24628","-791","3857"
"2023/01/05","25419","351","3988"
"2023/01/04","25068","-232","3933"
"2022/12/30","25300","722","3973"
"2022/12/29","24578","-848","3865"
"2022/12/28","25426","92","4033"
"2022/12/27","25334","-3","4018"
"2022/12/26","25337","368","4043"
"2022/12/23","24969","-833","3971"
"2022/12/22","25802","1156","4077"
"2022/12/21","24646","168","3915"
"2022/12/20","24478","-353","3923"
"2022/12/19","24831","-702","3972"
"2022/12/16","25533","-1984","4050"
"2022/12/15","27517","-365","4367"
"2022/12/14","27882","277","4498"
"2022/12/13","27605","1234","4443"
"2022/12/12","26371","-736","4079"
"2022/12/09","27107","421","4204"
"2022/12/08","26686","-25","4142"
"2022/12/07","26711","-862","4189"
"2022/12/06","27573","-1159","4336"
"2022/12/05","28732","66","4532"
"2022/12/02","28666","-423","4472"
"2022/12/01","29089","1770","4531"
"2022/11/30","27319","-36","4260"
"2022/11/29","27355","-1208","4315"
"2022/11/28","28563","351","4532"
"2022/11/25","28212","-3","4476"
"2022/11/24","28215","1127","4477"
"2022/11/22","27088","-101","4296"
"2022/11/21","27189","456","4320"
"2022/11/18","26733","-28","4265"
"2022/11/17","26761","-36","4283"
"2022/11/16","26797","102","4317"
"2022/11/15","26695","-497","4285"
"2022/11/14","27192","116","4378"
"2022/11/11","27076","2588","4362"
"2022/11/10","24488","-1541","3967"
"2022/11/09","26029","768","4214"
"2022/11/08","25261","915","4078"
"2022/11/07","24346","888","3951"
"2022/11/04","23458","-1501","3807"
"2022/11/02","24959","-209","4071"
"2022/11/01","25168","-281","4177"
"2022/10/31","25449","1834","4262"
"2022/10/28","23615","441","3993"
"2022/10/27","23174","-14","3917"
"2022/10/26","23188","704","3944"
"2022/10/25","22484","886","3811"
"2022/10/24","21598","1518","3651"
"2022/10/21","20080","-215","3396"
"2022/10/20","20295","-235","3379"
"2022/10/19","20530","685","3422"
"2022/10/18","19845","999","3301"
"2022/10/17","18846","-764","3111"
"2022/10/14","19610","1542","3227"
"2022/10/13","18068","-11","2963"
"2022/10/12","18079","11","2964"
"2022/10/11","18068","-1411","2962"
"2022/10/07","19479","-655","3173"
"2022/10/06","20134","-98","3252"
"2022/10/05","20232","1554","3244"
"2022/10/04","18678","1334","2965"
"2022/10/03","17344","-909","2731"
"2022/09/30","18253","-907","2857"
"2022/09/29","19160","1006","2962"
"2022/09/28","18154","-268","2755"
"2022/09/27","18422","-633","2770"
"2022/09/26","19055","-1255","2865"
"2022/09/22","20310","-1089","3041"
"2022/09/21","21399","-674","3143"
"2022/09/20","22073","93","3242"
"2022/09/16","21980","-387","3186"
"2022/09/15","22367","82","3210"
"2022/09/14","22285","-3021","3206"
"2022/09/13","25306","514","3636"
"2022/09/12","24792","882","3556"
"2022/09/09","23910","420","3417"
"2022/09/08","23490","901","3352"
"2022/09/07","22589","-328","3192"
"2022/09/06","22917","19","3238"
"2022/09/05","22898","-789","3211"
"2022/09/02","23687","294","3302"
"2022/09/01","23393","-551","3236"
"2022/08/31","23944","-696","3282"
"2022/08/30","24640","-442","3374"
"2022/08/29","25082","-2540","3436"
"2022/08/26","27622","768","3775"
"2022/08/25","26854","138","3660"
"2022/08/24","26716","-381","3646"
"2022/08/23","27097","-1671","3717"
"2022/08/22","28768","-727","4027"
"2022/08/19","29495","46","4156"
"2022/08/18","29449","-411","4147"
"2022/08/17","29860","636","4220"
"2022/08/16","29224","393","4128"
"2022/08/15","28831","1031","4092"
"2022/08/12","27800","1354","3946"
"2022/08/10","26446","-136","3761"
"2022/08/09","26582","83","3793"
"2022/08/08","26499","183","3785"
"2022/08/05","26316","-218","3758"
"2022/08/04","26534","973","3795"
"2022/08/03","25561","-993","3656"
"2022/08/02","26554","-143","3776"
"2022/08/01","26697","789","3808"
"2022/07/29","25908","735","3703"
"2022/07/28","25173","999","3583"
"2022/07/27","24174","-546","3439"
"2022/07/26","24720","210","3517"
"2022/07/25","24510","-307","3487"
"2022/07/22","24817","351","3551"
"2022/07/21","24466","141","3507"
"2022/07/20","24325","1628","3481"
"2022/07/19","22697","922","3248"
"2022/07/15","21775","-337","3115"
"2022/07/14","22112","-458","3160"
"2022/07/13","22570","-384","3221"
"2022/07/12","22954","-385","3277"
"2022/07/11","23339","-132","3332"
"2022/07/08","23471","775","3350"
"2022/07/07","22696","167","3236"
"2022/07/06","22529","-271","3226"
"2022/07/05","22800","-2","3265"
"2022/07/04","22802","597","3260"
"2022/07/01","22205","-478","3183"
"2022/06/30","22683","144","3259"
"2022/06/29","22539","-1103","3248"
