"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ëÂòaÅ|ÇâÇeÇíÇÖÇÖÇmÇdÇwÇsÅ@ÇmÇ`ÇrÇcÇ`ÇpÇPÇOÇOÉCÉìÉfÉbÉNÉX"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20180307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","20204","-266","56117"
"2023/04/05","20470","-236","56943"
"2023/04/04","20706","-135","57561"
"2023/04/03","20841","287","57979"
"2023/03/31","20554","336","57195"
"2023/03/30","20218","560","56240"
"2023/03/29","19658","-4","54687"
"2023/03/28","19662","-145","54663"
"2023/03/27","19807","58","55037"
"2023/03/24","19749","210","54871"
"2023/03/23","19539","-516","54304"
"2023/03/22","20055","330","55758"
"2023/03/20","19725","-226","54822"
"2023/03/17","19951","556","55380"
"2023/03/16","19395","-108","53792"
"2023/03/15","19503","644","54097"
"2023/03/14","18859","-13","52360"
"2023/03/13","18872","-503","52384"
"2023/03/10","19375","-510","53785"
"2023/03/09","19885","66","55179"
"2023/03/08","19819","-67","55010"
"2023/03/07","19886","50","55203"
"2023/03/06","19836","284","55061"
"2023/03/03","19552","252","54266"
"2023/03/02","19300","-202","53383"
"2023/03/01","19502","-14","53954"
"2023/02/28","19516","151","53937"
"2023/02/27","19365","-39","53500"
"2023/02/24","19404","90","53609"
"2023/02/22","19314","-391","53346"
"2023/02/21","19705","-20","54426"
"2023/02/20","19725","-128","54479"
"2023/02/17","19853","-353","54914"
"2023/02/16","20206","363","55886"
"2023/02/15","19843","212","54854"
"2023/02/14","19631","388","54273"
"2023/02/13","19243","-107","53198"
"2023/02/10","19350","-166","53512"
"2023/02/09","19516","-257","54019"
"2023/02/08","19773","165","54740"
"2023/02/07","19608","-142","54303"
"2023/02/06","19750","194","54698"
"2023/02/03","19556","708","54161"
"2023/02/02","18848","198","51992"
"2023/02/01","18650","210","51429"
"2023/01/31","18440","-340","50830"
"2023/01/30","18780","252","51754"
"2023/01/27","18528","408","51002"
"2023/01/26","18120","-208","49862"
"2023/01/25","18328","-43","50374"
"2023/01/24","18371","547","50478"
"2023/01/23","17824","573","48945"
"2023/01/20","17251","-145","47354"
"2023/01/19","17396","-574","47752"
"2023/01/18","17970","379","49198"
"2023/01/17","17591","73","48160"
"2023/01/16","17518","-61","47935"
"2023/01/13","17579","-279","48080"
"2023/01/12","17858","253","48870"
"2023/01/11","17605","224","48088"
"2023/01/10","17381","333","47464"
"2023/01/06","17048","-71","46537"
"2023/01/05","17119","232","46543"
"2023/01/04","16887","-354","45902"
"2022/12/30","17241","241","46819"
"2022/12/29","17000","-199","46187"
"2022/12/28","17199","-167","46683"
"2022/12/27","17366","118","47138"
"2022/12/26","17248","-13","46814"
"2022/12/23","17261","-377","46821"
"2022/12/22","17638","324","47858"
"2022/12/21","17314","-383","47024"
"2022/12/20","17697","-475","48083"
"2022/12/19","18172","-369","49357"
"2022/12/16","18541","-334","50280"
"2022/12/15","18875","-149","51172"
"2022/12/14","19024","-120","51547"
"2022/12/13","19144","382","51814"
"2022/12/12","18762","-148","50767"
"2022/12/09","18910","280","51098"
"2022/12/08","18630","-186","50294"
"2022/12/07","18816","-281","50767"
"2022/12/06","19097","-77","51536"
"2022/12/05","19174","-200","51744"
"2022/12/02","19374","-191","52019"
"2022/12/01","19565","614","52518"
"2022/11/30","18951","-144","50867"
"2022/11/29","19095","-305","51181"
"2022/11/28","19400","-138","51965"
"2022/11/25","19538","-22","52334"
"2022/11/24","19560","83","52363"
"2022/11/22","19477","33","52107"
"2022/11/21","19444","9","51990"
"2022/11/18","19435","70","51940"
"2022/11/17","19365","-285","51733"
"2022/11/16","19650","164","52393"
"2022/11/15","19486","-76","52020"
"2022/11/14","19562","36","52152"
"2022/11/11","19526","777","52025"
"2022/11/10","18749","-373","49910"
"2022/11/09","19122","46","50839"
"2022/11/08","19076","145","50620"
"2022/11/07","18931","131","50190"
"2022/11/04","18800","-956","49839"
"2022/11/02","19756","-360","52114"
"2022/11/01","20116","-178","53047"
"2022/10/31","20294","834","53464"
"2022/10/28","19460","-292","51263"
"2022/10/27","19752","-753","52018"
"2022/10/26","20505","311","53975"
"2022/10/25","20194","213","53107"
"2022/10/24","19981","304","52515"
"2022/10/21","19677","-65","51677"
"2022/10/20","19742","21","51816"
"2022/10/19","19721","196","51708"
"2022/10/18","19525","687","51107"
"2022/10/17","18838","-447","49206"
"2022/10/14","19285","495","50385"
"2022/10/13","18790","84","49050"
"2022/10/12","18706","-180","48752"
"2022/10/11","18886","-850","49190"
"2022/10/07","19736","-115","51350"
"2022/10/06","19851","81","51567"
"2022/10/05","19770","503","51278"
"2022/10/04","19267","421","49680"
"2022/10/03","18846","-322","48563"
"2022/09/30","19168","-500","49366"
"2022/09/29","19668","328","50601"
"2022/09/28","19340","60","49739"
"2022/09/27","19280","-33","49581"
"2022/09/26","19313","-626","49652"
"2022/09/22","19939","-254","51237"
"2022/09/21","20193","-110","51799"
"2022/09/20","20303","66","52064"
"2022/09/16","20237","-384","51833"
"2022/09/15","20621","9","52771"
"2022/09/14","20612","-914","52766"
"2022/09/13","21526","213","55095"
"2022/09/12","21313","307","54521"
"2022/09/09","21006","8","53678"
"2022/09/08","20998","618","53669"
"2022/09/07","20380","261","52070"
"2022/09/06","20119","-12","51402"
"2022/09/05","20131","-256","51414"
"2022/09/02","20387","89","51837"
"2022/09/01","20298","16","51605"
"2022/08/31","20282","-224","51509"
"2022/08/30","20506","-165","52091"
"2022/08/29","20671","-636","52505"
"2022/08/26","21307","333","54092"
"2022/08/25","20974","66","53254"
"2022/08/24","20908","-71","53135"
"2022/08/23","20979","-554","53432"
"2022/08/22","21533","-290","54869"
"2022/08/19","21823","280","55650"
"2022/08/18","21543","-159","54964"
"2022/08/17","21702","132","55442"
"2022/08/16","21570","195","55020"
"2022/08/15","21375","378","54587"
"2022/08/12","20997","149","53609"
"2022/08/10","20848","-185","53309"
"2022/08/09","21033","-147","53822"
"2022/08/08","21180","201","54158"
"2022/08/05","20979","-6","53664"
"2022/08/04","20985","543","53684"
"2022/08/03","20442","376","52291"
"2022/08/02","20066","-322","51007"
"2022/08/01","20388","107","51770"
"2022/07/29","20281","-65","51480"
"2022/07/28","20346","728","51602"
"2022/07/27","19618","-314","49754"
"2022/07/26","19932","-134","50539"
"2022/07/25","20066","-467","50874"
"2022/07/22","20533","119","52119"
"2022/07/21","20414","361","51754"
"2022/07/20","20053","597","50822"
"2022/07/19","19456","82","49296"
"2022/07/15","19374","195","49034"
"2022/07/14","19179","109","48532"
"2022/07/13","19070","-218","48244"
"2022/07/12","19288","-320","48774"
"2022/07/11","19608","85","49531"
"2022/07/08","19523","438","49279"
"2022/07/07","19085","144","48182"
"2022/07/06","18941","254","47811"
"2022/07/05","18687","159","47169"
"2022/07/04","18528","-8","46487"
"2022/07/01","18536","-343","46493"
"2022/06/30","18879","106","47353"
"2022/06/29","18773","-502","47084"
"2022/06/28","19275","-32","48355"
"2022/06/27","19307","565","48421"
"2022/06/24","18742","138","46987"
"2022/06/23","18604","-69","46627"
"2022/06/22","18673","626","46724"
"2022/06/21","18047","-5","45156"
"2022/06/20","18052","487","45134"
"2022/06/17","17565","-885","43860"
"2022/06/16","18450","354","45977"
"2022/06/15","18096","157","45085"
"2022/06/14","17939","-988","44695"
"2022/06/13","18927","-585","47179"
"2022/06/10","19512","-584","48642"
"2022/06/09","20096","95","50063"
"2022/06/08","20001","261","49800"
"2022/06/07","19740","288","49185"
"2022/06/06","19452","-381","48410"
"2022/06/03","19833","498","49323"
"2022/06/02","19335","25","47779"
"2022/06/01","19310","49","47601"
"2022/05/31","19261","180","47480"
"2022/05/30","19081","606","46984"
"2022/05/27","18475","433","45460"
"2022/05/26","18042","337","44346"
"2022/05/25","17705","-524","43577"
"2022/05/24","18229","312","44825"
"2022/05/23","17917","-70","44001"
"2022/05/20","17987","-162","44096"
"2022/05/19","18149","-1095","44420"
"2022/05/18","19244","495","47036"
"2022/05/17","18749","-271","45644"
"2022/05/16","19020","783","46194"
"2022/05/13","18237","-155","44266"
"2022/05/12","18392","-661","44589"
"2022/05/11","19053","285","46110"
"2022/05/10","18768","-890","45338"
"2022/05/09","19658","-200","47393"
"2022/05/06","19858","60","47578"
"2022/05/02","19798","-40","47365"
"2022/04/28","19838","175","47404"
"2022/04/27","19663","-781","46958"
"2022/04/26","20444","76","48800"
"2022/04/25","20368","-530","48639"
"2022/04/22","20898","-364","49926"
"2022/04/21","21262","-514","50795"
"2022/04/20","21776","800","52041"
"2022/04/19","20976","137","50093"
"2022/04/18","20839","51","49766"
"2022/04/15","20788","-353","49591"
"2022/04/14","21141","406","50421"
"2022/04/13","20735","-65","49473"
"2022/04/12","20800","-344","49672"
"2022/04/11","21144","-158","50433"
"2022/04/08","21302","70","50885"
"2022/04/07","21232","-512","50885"
"2022/04/06","21744","-254","52108"
"2022/04/05","21998","458","52725"
"2022/04/04","21540","68","51373"
"2022/04/01","21472","-368","51249"
"2022/03/31","21840","-259","52262"
"2022/03/30","22099","56","52918"
"2022/03/29","22043","688","52739"
"2022/03/28","21355","13","51020"
"2022/03/25","21342","631","51005"
"2022/03/24","20711","-313","49459"
"2022/03/23","21024","590","50059"
"2022/03/22","20434","591","48478"
"2022/03/18","19843","179","46851"
"2022/03/17","19664","796","46362"
"2022/03/16","18868","599","44408"
"2022/03/15","18269","-254","42884"
"2022/03/14","18523","-195","43437"
"2022/03/11","18718","-158","43831"
"2022/03/10","18876","671","44172"
"2022/03/09","18205","-8","42659"
"2022/03/08","18213","-632","42621"
"2022/03/07","18845","-337","44045"
"2022/03/04","19182","-318","44732"
"2022/03/03","19500","429","45381"
"2022/03/02","19071","-361","43958"
"2022/03/01","19432","21","44509"
"2022/02/28","19411","289","44336"
"2022/02/25","19122","738","43758"
"2022/02/24","18384","-654","42015"
"2022/02/22","19038","-45","43509"
"2022/02/21","19083","-203","43563"
"2022/02/18","19286","-679","43980"
"2022/02/17","19965","-58","45454"
"2022/02/16","20023","531","45455"
"2022/02/15","19492","19","44275"
"2022/02/14","19473","-1129","44151"
"2022/02/10","20602","432","46687"
"2022/02/09","20170","284","46078"
"2022/02/08","19886","-160","45373"
"2022/02/07","20046","310","45687"
"2022/02/04","19736","-769","44965"
"2022/02/03","20505","118","46529"
"2022/02/02","20387","42","45832"
"2022/02/01","20345","599","45675"
"2022/01/31","19746","614","44319"
"2022/01/28","19132","-94","42997"
"2022/01/27","19226","164","43219"
"2022/01/26","19062","-514","42930"
"2022/01/25","19576","121","44082"
"2022/01/24","19455","-547","44013"
"2022/01/21","20002","-355","45250"
"2022/01/20","20357","-295","46145"
"2022/01/19","20652","-514","46712"
"2022/01/18","21166","40","47876"
"2022/01/17","21126","197","47694"
"2022/01/14","20929","-654","47242"
"2022/01/13","21583","-47","48627"
"2022/01/12","21630","313","48729"
"2022/01/11","21317","-327","47895"
"2022/01/07","21644","-22","48213"
"2022/01/06","21666","-728","48177"
"2022/01/05","22394","-151","49407"
"2022/01/04","22545","95","49713"
"2021/12/30","22450","28","49506"
"2021/12/29","22422","-119","49411"
"2021/12/28","22541","455","49306"
"2021/12/27","22086","-16","48309"
"2021/12/24","22102","225","48283"
"2021/12/23","21877","271","47712"
"2021/12/22","21606","580","47100"
"2021/12/21","21026","-223","45741"
"2021/12/20","21249","-134","46110"
"2021/12/17","21383","-639","46260"
"2021/12/16","22022","583","47498"
"2021/12/15","21439","-201","46146"
"2021/12/14","21640","-312","46465"
"2021/12/13","21952","261","47007"
"2021/12/10","21691","-397","46388"
"2021/12/09","22088","141","47086"
"2021/12/08","21947","658","46676"
"2021/12/07","21289","257","45097"
"2021/12/06","21032","-377","44417"
"2021/12/03","21409","175","45046"
"2021/12/02","21234","-399","44240"
"2021/12/01","21633","-450","44878"
"2021/11/30","22083","501","45663"
