"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ëÂòaÅ|ÇmÇ`ÇrÇcÇ`ÇpÇPÇOÇOÅ@ÇRî{ÉuÉã"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20200307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","7341","-236","12813"
"2023/04/05","7577","-88","13266"
"2023/04/04","7665","-58","13329"
"2023/04/03","7723","371","13449"
"2023/03/31","7352","194","12914"
"2023/03/30","7158","374","12533"
"2023/03/29","6784","-89","11988"
"2023/03/28","6873","-168","12145"
"2023/03/27","7041","57","12248"
"2023/03/24","6984","233","12157"
"2023/03/23","6751","-262","11590"
"2023/03/22","7013","354","12040"
"2023/03/20","6659","-117","11305"
"2023/03/17","6776","512","11364"
"2023/03/16","6264","56","10437"
"2023/03/15","6208","405","10290"
"2023/03/14","5803","132","9549"
"2023/03/13","5671","-239","9174"
"2023/03/10","5910","-337","9526"
"2023/03/09","6247","89","10073"
"2023/03/08","6158","-242","9961"
"2023/03/07","6400","17","10316"
"2023/03/06","6383","370","10225"
"2023/03/03","6013","147","9599"
"2023/03/02","5866","-166","9410"
"2023/03/01","6032","-16","9656"
"2023/02/28","6048","127","9573"
"2023/02/27","5921","-326","9233"
"2023/02/24","6247","167","9741"
"2023/02/22","6080","-467","9495"
"2023/02/21","6547","0","10224"
"2023/02/20","6547","-150","10218"
"2023/02/17","6697","-414","10430"
"2023/02/16","7111","166","11093"
"2023/02/15","6945","147","10832"
"2023/02/14","6798","307","10705"
"2023/02/13","6491","-128","10183"
"2023/02/10","6619","-193","10454"
"2023/02/09","6812","-392","10697"
"2023/02/08","7204","421","11440"
"2023/02/07","6783","-188","10816"
"2023/02/06","6971","-377","11467"
"2023/02/03","7348","688","12232"
"2023/02/02","6660","400","11046"
"2023/02/01","6260","275","10410"
"2023/01/31","5985","-399","10169"
"2023/01/30","6384","175","10879"
"2023/01/27","6209","347","10550"
"2023/01/26","5862","-54","9994"
"2023/01/25","5916","-39","10859"
"2023/01/24","5955","372","10917"
"2023/01/23","5583","437","10188"
"2023/01/20","5146","-166","9459"
"2023/01/19","5312","-212","9757"
"2023/01/18","5524","23","10238"
"2023/01/17","5501","0","10194"
"2023/01/16","5501","100","10288"
"2023/01/13","5401","72","10164"
"2023/01/12","5329","263","9940"
"2023/01/11","5066","128","9470"
"2023/01/10","4938","453","9231"
"2023/01/06","4485","-232","8372"
"2023/01/05","4717","68","8597"
"2023/01/04","4649","-116","8473"
"2022/12/30","4765","320","8665"
"2022/12/29","4445","-184","8153"
"2022/12/28","4629","-211","8469"
"2022/12/27","4840","0","8854"
"2022/12/26","4840","25","8859"
"2022/12/23","4815","-386","8772"
"2022/12/22","5201","213","9389"
"2022/12/21","4988","-15","9094"
"2022/12/20","5003","-210","9176"
"2022/12/19","5213","-153","9758"
"2022/12/16","5366","-640","10048"
"2022/12/15","6006","-138","11232"
"2022/12/14","6144","188","11504"
"2022/12/13","5956","211","10925"
"2022/12/12","5745","-115","10539"
"2022/12/09","5860","200","10729"
"2022/12/08","5660","-85","10400"
"2022/12/07","5745","-374","10564"
"2022/12/06","6119","-332","10987"
"2022/12/05","6451","-86","11859"
"2022/12/02","6537","12","12223"
"2022/12/01","6525","778","12161"
