"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ëÂòaÅ|ÇmÇ`ÇrÇcÇ`ÇpÇPÇOÇOÅ@ÇRî{ÉxÉA"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20200307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","2906","88","5686"
"2023/04/05","2818","32","5514"
"2023/04/04","2786","20","5416"
"2023/04/03","2766","-148","5450"
"2023/03/31","2914","-81","5774"
"2023/03/30","2995","-176","5921"
"2023/03/29","3171","41","6505"
"2023/03/28","3130","72","6486"
"2023/03/27","3058","-26","6298"
"2023/03/24","3084","-111","6319"
"2023/03/23","3195","115","6590"
"2023/03/22","3080","-171","6354"
"2023/03/20","3251","54","6657"
"2023/03/17","3197","-285","6539"
"2023/03/16","3482","-32","7191"
"2023/03/15","3514","-264","7307"
"2023/03/14","3778","-90","7818"
"2023/03/13","3868","149","7930"
"2023/03/10","3719","190","7605"
"2023/03/09","3529","-52","7166"
"2023/03/08","3581","130","7302"
"2023/03/07","3451","-10","7412"
"2023/03/06","3461","-228","7475"
"2023/03/03","3689","-95","7904"
"2023/03/02","3784","101","8056"
"2023/03/01","3683","9","7812"
"2023/02/28","3674","-81","7776"
"2023/02/27","3755","185","8001"
"2023/02/24","3570","-102","7607"
"2023/02/22","3672","243","7815"
"2023/02/21","3429","0","7298"
"2023/02/20","3429","74","7164"
"2023/02/17","3355","184","7088"
"2023/02/16","3171","-78","6585"
"2023/02/15","3249","-71","6683"
"2023/02/14","3320","-166","6549"
"2023/02/13","3486","65","6765"
"2023/02/10","3421","94","6475"
"2023/02/09","3327","170","6096"
"2023/02/08","3157","-208","5633"
"2023/02/07","3365","87","5630"
"2023/02/06","3278","157","5208"
"2023/02/03","3121","-357","5000"
"2023/02/02","3478","-238","5384"
"2023/02/01","3716","-180","5651"
"2023/01/31","3896","229","5796"
"2023/01/30","3667","-107","5408"
"2023/01/27","3774","-237","5214"
"2023/01/26","4011","35","5437"
"2023/01/25","3976","25","5255"
"2023/01/24","3951","-282","5114"
"2023/01/23","4233","-394","5346"
"2023/01/20","4627","139","5722"
"2023/01/19","4488","166","5510"
"2023/01/18","4322","-20","5256"
"2023/01/17","4342","0","5280"
"2023/01/16","4342","-83","5253"
"2023/01/13","4425","-61","5271"
"2023/01/12","4486","-245","5406"
"2023/01/11","4731","-126","5701"
"2023/01/10","4857","-530","5852"
"2023/01/06","5387","252","6352"
"2023/01/05","5135","-77","5850"
"2023/01/04","5212","122","5937"
"2022/12/30","5090","-395","5597"
"2022/12/29","5485","209","6018"
"2022/12/28","5276","218","5746"
"2022/12/27","5058","0","5508"
"2022/12/26","5058","-28","5551"
"2022/12/23","5086","350","5541"
"2022/12/22","4736","-212","5258"
"2022/12/21","4948","15","5315"
"2022/12/20","4933","189","5122"
"2022/12/19","4744","131","4764"
"2022/12/16","4613","444","4567"
"2022/12/15","4169","91","4060"
"2022/12/14","4078","-133","3901"
"2022/12/13","4211","-162","4029"
"2022/12/12","4373","83","4158"
"2022/12/09","4290","-158","4110"
"2022/12/08","4448","64","4258"
"2022/12/07","4384","252","4189"
"2022/12/06","4132","201","3904"
"2022/12/05","3931","50","3638"
"2022/12/02","3881","-3","3525"
"2022/12/01","3884","-610","3434"
"2022/11/30","4494","103","3955"
"2022/11/29","4391","177","3842"
"2022/11/28","4214","82","3671"
"2022/11/25","4132","0","3599"
"2022/11/24","4132","-305","3599"
"2022/11/22","4437","134","3863"
"2022/11/21","4303","2","3746"
"2022/11/18","4301","33","3709"
