"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ëÂòaÅ|ÇâÇeÇíÇÖÇÖÅ@ÇmÇxÉ_ÉEÅEÉCÉìÉfÉbÉNÉX"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20160307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","26097","-5","47069"
"2023/04/05","26102","-365","47112"
"2023/04/04","26467","154","47769"
"2023/04/03","26313","254","47487"
"2023/03/31","26059","302","46991"
"2023/03/30","25757","499","46414"
"2023/03/29","25258","89","45476"
"2023/03/28","25169","153","45297"
"2023/03/27","25016","102","45003"
"2023/03/24","24914","6","44774"
"2023/03/23","24908","-726","44826"
"2023/03/22","25634","524","46082"
"2023/03/20","25110","-469","45079"
"2023/03/17","25579","342","45506"
"2023/03/16","25237","-471","44852"
"2023/03/15","25708","538","45664"
"2023/03/14","25170","-286","44735"
"2023/03/13","25456","-587","45163"
"2023/03/10","26043","-647","46176"
"2023/03/09","26690","-85","47285"
"2023/03/08","26775","-228","47445"
"2023/03/07","27003","75","47879"
"2023/03/06","26928","160","47843"
"2023/03/03","26768","383","47541"
"2023/03/02","26385","-33","46792"
"2023/03/01","26418","-166","46813"
"2023/02/28","26584","74","47051"
"2023/02/27","26510","135","46893"
"2023/02/24","26375","-115","46586"
"2023/02/22","26490","-442","46771"
"2023/02/21","26932","-26","47551"
"2023/02/20","26958","118","47554"
"2023/02/17","26840","-286","47335"
"2023/02/16","27126","317","47778"
"2023/02/15","26809","-18","46839"
"2023/02/14","26827","404","46856"
"2023/02/13","26423","146","46088"
"2023/02/10","26277","-171","45823"
"2023/02/09","26448","-18","46117"
"2023/02/08","26466","-124","46131"
"2023/02/07","26590","10","46338"
"2023/02/06","26580","634","46305"
"2023/02/03","25946","20","45183"
"2023/02/02","25926","-277","45075"
"2023/02/01","26203","170","45550"
"2023/01/31","26033","-129","45235"
"2023/01/30","26162","126","45423"
"2023/01/27","26036","221","44949"
"2023/01/26","25815","-218","44541"
"2023/01/25","26033","76","44935"
"2023/01/24","25957","417","44758"
"2023/01/23","25540","368","43997"
"2023/01/20","25172","-139","43315"
"2023/01/19","25311","-979","43492"
"2023/01/18","26290","226","44615"
"2023/01/17","26064","109","44233"
"2023/01/16","25955","-191","44026"
"2023/01/13","26146","-379","44250"
"2023/01/12","26525","128","44861"
"2023/01/11","26397","255","44647"
"2023/01/10","26142","93","44192"
"2023/01/06","26049","48","44000"
"2023/01/05","26001","332","43879"
"2023/01/04","25669","-398","43302"
"2022/12/30","26067","-13","43937"
"2022/12/29","26080","-248","43930"
"2022/12/28","26328","167","44242"
"2022/12/27","26161","179","43961"
"2022/12/26","25982","51","43636"
"2022/12/23","25931","-178","43590"
"2022/12/22","26109","510","43867"
"2022/12/21","25599","-463","42960"
"2022/12/20","26062","-455","43771"
"2022/12/19","26517","-526","44481"
"2022/12/16","27043","-171","44951"
"2022/12/15","27214","-113","45203"
"2022/12/14","27327","-387","45358"
"2022/12/13","27714","642","45981"
"2022/12/12","27072","-285","44873"
"2022/12/09","27357","231","45331"
"2022/12/08","27126","-145","44908"
"2022/12/07","27271","-134","45123"
"2022/12/06","27405","-18","45347"
"2022/12/05","27423","-141","45323"
"2022/12/02","27564","-459","45527"
"2022/12/01","28023","270","46256"
"2022/11/30","27753","-2","45738"
"2022/11/29","27755","-447","45642"
"2022/11/28","28202","123","46336"
"2022/11/25","28079","-30","46133"
"2022/11/24","28109","-160","46136"
"2022/11/22","28269","315","46348"
"2022/11/21","27954","177","45762"
"2022/11/18","27777","159","45442"
"2022/11/17","27618","-28","45103"
"2022/11/16","27646","-122","44733"
"2022/11/15","27768","-11","44909"
