"基準価額一覧"
""
"ファンド名","岡三－日本好配当リバランスオープン"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20050107","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","10840","-87","27148"
"2023/04/05","10927","-194","27226"
"2023/04/04","11121","30","27583"
"2023/04/03","11091","102","27389"
"2023/03/31","10989","44","26657"
"2023/03/30","10945","59","26195"
"2023/03/29","10886","105","25786"
"2023/03/28","10781","51","25310"
"2023/03/27","10730","36","25035"
"2023/03/24","10694","-13","24724"
"2023/03/23","10707","22","24546"
"2023/03/22","10685","143","24231"
"2023/03/20","10542","-177","23678"
"2023/03/17","10719","28","23820"
"2023/03/16","10691","-219","23557"
"2023/03/15","10910","163","23624"
"2023/03/14","10747","-312","23018"
"2023/03/13","11059","-193","23302"
"2023/03/10","11252","-138","23343"
"2023/03/09","11390","113","23227"
"2023/03/08","11277","29","22610"
"2023/03/07","11248","66","22274"
"2023/03/06","11182","42","21938"
"2023/03/03","11140","79","21599"
"2023/03/02","11061","-3","21242"
"2023/03/01","11064","68","21070"
"2023/02/28","10996","-73","20452"
"2023/02/27","11069","91","20186"
"2023/02/24","10978","51","19693"
"2023/02/22","10927","-93","19276"
"2023/02/21","11020","103","19202"
"2023/02/20","10917","102","18641"
"2023/02/17","10815","48","18197"
"2023/02/16","10767","53","17920"
"2023/02/15","10714","56","17601"
"2023/02/14","10658","110","17286"
"2023/02/13","10548","54","16922"
"2023/02/10","10494","34","16551"
"2023/02/09","10460","26","16325"
"2023/02/08","10434","25","16075"
"2023/02/07","10409","6","15911"
"2023/02/06","10403","88","15801"
"2023/02/03","10315","-17","15447"
"2023/02/02","10332","-119","15322"
"2023/02/01","10451","-25","15341"
"2023/01/31","10476","-23","14927"
"2023/01/30","10499","-29","14818"
"2023/01/27","10528","34","14658"
"2023/01/26","10494","-10","14329"
"2023/01/25","10504","64","14046"
"2023/01/24","10440","85","13772"
"2023/01/23","10355","78","13267"
"2023/01/20","10277","83","12816"
"2023/01/19","10194","-86","12463"
"2023/01/18","10280","119","12364"
"2023/01/17","10161","80","11974"
"2023/01/16","10081","-123","11664"
"2023/01/13","10204","27","11447"
"2023/01/12","10177","47","11083"
"2023/01/11","10130","89","10717"
"2023/01/10","10041","-1365","10317"
"2023/01/06","11406","38","11367"
"2023/01/05","11368","-19","11194"
"2023/01/04","11387","-111","11057"
"2022/12/30","11498","5","10894"
