"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇsÅïÇcÅ|ì˙ñ{ç¬åîÉxÉAÉtÉ@ÉìÉhÅiÇTî{å^Åj"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20130307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","5452","-28","10029"
"2023/04/05","5480","-6","10061"
"2023/04/04","5486","43","10121"
"2023/04/03","5443","74","10030"
"2023/03/31","5369","34","9874"
"2023/03/30","5335","55","9787"
"2023/03/29","5280","-20","9638"
"2023/03/28","5300","23","9639"
"2023/03/27","5277","10","9589"
"2023/03/24","5267","-32","9558"
"2023/03/23","5299","-43","9682"
"2023/03/22","5342","124","9744"
"2023/03/20","5218","-131","9630"
"2023/03/17","5349","30","9862"
"2023/03/16","5319","-132","9720"
"2023/03/15","5451","68","9857"
"2023/03/14","5383","-265","9410"
"2023/03/13","5648","-112","9603"
"2023/03/10","5760","-225","9798"
"2023/03/09","5985","79","10074"
"2023/03/08","5906","14","9866"
"2023/03/07","5892","-12","9741"
"2023/03/06","5904","15","9485"
"2023/03/03","5889","-52","9348"
"2023/03/02","5941","12","9394"
"2023/03/01","5929","-8","9361"
"2023/02/28","5937","-39","9351"
"2023/02/27","5976","28","9448"
"2023/02/24","5948","-62","9429"
"2023/02/22","6010","26","9476"
"2023/02/21","5984","45","9422"
"2023/02/20","5939","-9","9323"
"2023/02/17","5948","20","9282"
"2023/02/16","5928","26","9284"
"2023/02/15","5902","-6","9222"
"2023/02/14","5908","-35","9223"
"2023/02/13","5943","-20","9258"
"2023/02/10","5963","30","9286"
"2023/02/09","5933","28","9226"
"2023/02/08","5905","2","9149"
"2023/02/07","5903","20","9139"
"2023/02/06","5883","41","9116"
"2023/02/03","5842","-73","9029"
"2023/02/02","5915","-14","9128"
"2023/02/01","5929","-32","9106"
"2023/01/31","5961","60","9121"
"2023/01/30","5901","-27","8991"
"2023/01/27","5928","131","9028"
"2023/01/26","5797","-12","8769"
"2023/01/25","5809","10","8919"
"2023/01/24","5799","47","8857"
"2023/01/23","5752","-126","8771"
"2023/01/20","5878","-101","8909"
"2023/01/19","5979","-76","8808"
"2023/01/18","6055","-283","8811"
"2023/01/17","6338","-44","8962"
"2023/01/16","6382","-52","8253"
"2023/01/13","6434","164","8308"
"2023/01/12","6270","91","8037"
"2023/01/11","6179","23","7937"
"2023/01/10","6156","38","7913"
"2023/01/06","6118","-47","7852"
"2023/01/05","6165","-56","7793"
"2023/01/04","6221","10","7748"
"2022/12/30","6211","15","7655"
"2022/12/29","6196","28","7674"
"2022/12/28","6168","12","7610"
"2022/12/27","6156","36","7649"
"2022/12/26","6120","41","7522"
"2022/12/23","6079","33","7520"
