"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇsÅïÇcÅ|ÇrÅïÇoÇTÇOÇOÅEÇSî{ÉuÉãå^ÉtÉ@ÉìÉh"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20220107","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","4873","-54","1090"
"2023/04/05","4927","-119","1104"
"2023/04/04","5046","74","1119"
"2023/04/03","4972","262","1116"
"2023/03/31","4710","101","1054"
"2023/03/30","4609","242","1029"
"2023/03/29","4367","-25","952"
"2023/03/28","4392","26","934"
"2023/03/27","4366","97","918"
"2023/03/24","4269","34","891"
"2023/03/23","4235","-288","884"
"2023/03/22","4523","373","944"
"2023/03/20","4150","-206","846"
"2023/03/17","4356","284","881"
"2023/03/16","4072","-124","816"
"2023/03/15","4196","257","835"
"2023/03/14","3939","-23","767"
"2023/03/13","3962","-235","759"
"2023/03/10","4197","-337","797"
"2023/03/09","4534","23","866"
"2023/03/08","4511","-297","861"
"2023/03/07","4808","11","917"
"2023/03/06","4797","289","904"
"2023/03/03","4508","124","845"
"2023/03/02","4384","-84","817"
"2023/03/01","4468","-56","813"
"2023/02/28","4524","53","826"
"2023/02/27","4471","-199","804"
"2023/02/24","4670","58","839"
"2023/02/22","4612","-401","825"
"2023/02/21","5013","0","897"
"2023/02/20","5013","-57","903"
"2023/02/17","5070","-301","918"
"2023/02/16","5371","65","978"
"2023/02/15","5306","-9","969"
"2023/02/14","5315","235","967"
"2023/02/13","5080","38","932"
"2023/02/10","5042","-194","932"
"2023/02/09","5236","-237","985"
"2023/02/08","5473","260","1037"
"2023/02/07","5213","-130","1009"
"2023/02/06","5343","-230","1053"
"2023/02/03","5573","295","1147"
"2023/02/02","5278","204","1077"
"2023/02/01","5074","269","1035"
"2023/01/31","4805","-255","997"
"2023/01/30","5060","41","1061"
"2023/01/27","5019","206","1038"
"2023/01/26","4813","-4","998"
"2023/01/25","4817","-19","1034"
"2023/01/24","4836","222","1016"
"2023/01/23","4614","318","970"
"2023/01/20","4296","-135","922"
"2023/01/19","4431","-299","968"
"2023/01/18","4730","-42","1057"
"2023/01/17","4772","0","1066"
"2023/01/16","4772","65","1111"
"2023/01/13","4707","56","1104"
"2023/01/12","4651","220","1095"
"2023/01/11","4431","118","1043"
"2023/01/10","4313","344","1015"
"2023/01/06","3969","-195","930"
"2023/01/05","4164","119","961"
"2023/01/04","4045","-112","934"
"2022/12/30","4157","260","961"
"2022/12/29","3897","-202","908"
"2022/12/28","4099","-63","960"
"2022/12/27","4162","0","975"
"2022/12/26","4162","84","964"
"2022/12/23","4078","-248","925"
"2022/12/22","4326","237","968"
"2022/12/21","4089","20","917"
"2022/12/20","4069","-145","935"
"2022/12/19","4214","-212","982"
"2022/12/16","4426","-517","1036"
"2022/12/15","4943","-121","1153"
"2022/12/14","5064","141","1178"
"2022/12/13","4923","259","1148"
"2022/12/12","4664","-141","1075"
"2022/12/09","4805","134","1103"
"2022/12/08","4671","-39","1049"
"2022/12/07","4710","-291","1042"
"2022/12/06","5001","-382","1098"
"2022/12/05","5383","-34","1211"
"2022/12/02","5417","-13","1224"
"2022/12/01","5430","582","1204"
"2022/11/30","4848","-40","1077"
"2022/11/29","4888","-317","1089"
"2022/11/28","5205","-4","1187"
"2022/11/25","5209","0","1188"
"2022/11/24","5209","363","1188"
"2022/11/22","4846","-79","1106"
"2022/11/21","4925","90","1121"
"2022/11/18","4835","-68","1101"
"2022/11/17","4903","-156","1146"
"2022/11/16","5059","163","1203"
"2022/11/15","4896","-171","1176"
"2022/11/14","5067","173","1187"
"2022/11/11","4894","851","1135"
"2022/11/10","4043","-364","923"
"2022/11/09","4407","87","993"
"2022/11/08","4320","152","961"
"2022/11/07","4168","215","915"
"2022/11/04","3953","-635","868"
"2022/11/02","4588","-80","1021"
"2022/11/01","4668","-137","1039"
"2022/10/31","4805","420","1077"
"2022/10/28","4385","-99","983"
"2022/10/27","4484","-140","1007"
"2022/10/26","4624","272","1028"
"2022/10/25","4352","192","970"
"2022/10/24","4160","361","931"
"2022/10/21","3799","-133","848"
"2022/10/20","3932","-108","859"
"2022/10/19","4040","179","854"
"2022/10/18","3861","349","805"
"2022/10/17","3512","-348","716"
"2022/10/14","3860","354","775"
"2022/10/13","3506","-42","687"
"2022/10/12","3548","-102","691"
"2022/10/11","3650","-569","710"
"2022/10/07","4219","-166","808"
"2022/10/06","4385","-41","818"
"2022/10/05","4426","454","778"
"2022/10/04","3972","340","682"
"2022/10/03","3632","-213","592"
"2022/09/30","3845","-335","601"
"2022/09/29","4180","286","616"
