"基準価額一覧"
""
"ファンド名","インベスコ－インベスコ　世界厳選株式オープン＜為替ヘッジなし＞（年１回決算型）"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20180307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","14336","-116","10136"
"2023/04/05","14452","-160","10186"
"2023/04/04","14612","21","10274"
"2023/04/03","14591","35","10228"
"2023/03/31","14556","245","10107"
"2023/03/30","14311","310","9827"
"2023/03/29","14001","100","9503"
"2023/03/28","13901","79","9375"
"2023/03/27","13822","-92","9234"
"2023/03/24","13914","36","9180"
"2023/03/23","13878","-176","9119"
"2023/03/22","14054","268","9173"
"2023/03/20","13786","-226","8970"
"2023/03/17","14012","232","9012"
"2023/03/16","13780","-430","8749"
"2023/03/15","14210","308","8975"
"2023/03/14","13902","-222","8725"
"2023/03/13","14124","-384","8794"
"2023/03/10","14508","-266","8946"
"2023/03/09","14774","24","9047"
"2023/03/08","14750","-115","8921"
"2023/03/07","14865","52","8974"
"2023/03/06","14813","61","8920"
"2023/03/03","14752","150","8828"
"2023/03/02","14602","14","8733"
"2023/03/01","14588","-31","8642"
"2023/02/28","14619","216","8606"
"2023/02/27","14403","36","8422"
"2023/02/24","14367","40","8307"
"2023/02/22","14327","-170","8255"
"2023/02/21","14497","-38","8311"
"2023/02/20","14535","-21","8245"
"2023/02/17","14556","-27","8182"
"2023/02/16","14583","190","8150"
"2023/02/15","14393","-4","8023"
"2023/02/14","14397","215","8006"
"2023/02/13","14182","-130","7807"
"2023/02/10","14312","12","7865"
"2023/02/09","14300","17","7855"
"2023/02/08","14283","-77","7849"
"2023/02/07","14360","-111","7857"
"2023/02/06","14471","272","7900"
"2023/02/03","14199","112","7708"
"2023/02/02","14087","52","7649"
"2023/02/01","14035","28","7602"
"2023/01/31","14007","-117","7550"
"2023/01/30","14124","69","7603"
"2023/01/27","14055","269","7494"
"2023/01/26","13786","-156","7332"
"2023/01/25","13942","-3","7377"
"2023/01/24","13945","210","7354"
"2023/01/23","13735","267","7220"
"2023/01/20","13468","-148","7072"
"2023/01/19","13616","-334","7151"
"2023/01/18","13950","223","7297"
"2023/01/17","13727","79","7177"
"2023/01/16","13648","-105","7125"
"2023/01/13","13753","-140","7171"
"2023/01/12","13893","30","7236"
"2023/01/11","13863","94","7226"
"2023/01/10","13769","204","7168"
"2023/01/06","13565","45","7054"
"2023/01/05","13520","338","7027"
"2023/01/04","13182","-146","6842"
"2022/12/30","13328","27","6891"
"2022/12/29","13301","-29","6847"
"2022/12/28","13330","49","6855"
"2022/12/27","13281","106","6813"
"2022/12/26","13175","30","6771"
"2022/12/23","13145","-122","6730"
"2022/12/22","13267","249","6755"
"2022/12/21","13018","-277","6623"
"2022/12/20","13295","-221","6781"
"2022/12/19","13516","-324","6889"
"2022/12/16","13840","-103","7038"
"2022/12/15","13943","-32","7086"
"2022/12/14","13975","8","7094"
"2022/12/13","13967","203","7084"
"2022/12/12","13764","-8","6980"
"2022/12/09","13772","245","6969"
"2022/12/08","13527","-149","6793"
"2022/12/07","13676","-30","6877"
"2022/12/06","13706","65","6891"
"2022/12/05","13641","-101","6853"
"2022/12/02","13742","-46","6895"
"2022/12/01","13788","147","6914"
"2022/11/30","13641","84","6832"
