"基準価額一覧"
""
"ファンド名","インベスコ－インベスコ　世界厳選株式オープン＜為替ヘッジなし＞（毎月決算型）"
""
"検索期間","検索開始年月日","検索終了年月日"
"","19990101","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","8418","-67","396182"
"2023/04/05","8485","-94","398030"
"2023/04/04","8579","12","400767"
"2023/04/03","8567","21","398869"
"2023/03/31","8546","144","395296"
"2023/03/30","8402","182","386006"
"2023/03/29","8220","58","374966"
"2023/03/28","8162","47","369911"
"2023/03/27","8115","-54","364805"
"2023/03/24","8169","21","364720"
"2023/03/23","8148","-255","360315"
"2023/03/22","8403","159","368239"
"2023/03/20","8244","-135","358291"
"2023/03/17","8379","138","360682"
"2023/03/16","8241","-255","350842"
"2023/03/15","8496","183","358693"
"2023/03/14","8313","-132","348365"
"2023/03/13","8445","-230","351021"
"2023/03/10","8675","-158","358245"
"2023/03/09","8833","14","362725"
"2023/03/08","8819","-68","359923"
"2023/03/07","8887","31","361029"
"2023/03/06","8856","36","357768"
"2023/03/03","8820","89","354843"
"2023/03/02","8731","9","349548"
"2023/03/01","8722","-19","347278"
"2023/02/28","8741","129","345072"
"2023/02/27","8612","21","337582"
"2023/02/24","8591","-125","332906"
"2023/02/22","8716","-103","334621"
"2023/02/21","8819","-23","335779"
"2023/02/20","8842","-13","333646"
"2023/02/17","8855","-17","332149"
"2023/02/16","8872","116","330712"
"2023/02/15","8756","-3","324552"
"2023/02/14","8759","131","321831"
"2023/02/13","8628","-79","315189"
"2023/02/10","8707","8","316207"
"2023/02/09","8699","10","314640"
"2023/02/08","8689","-46","312714"
"2023/02/07","8735","-68","312930"
"2023/02/06","8803","166","314133"
"2023/02/03","8637","67","307029"
"2023/02/02","8570","32","303340"
"2023/02/01","8538","17","300875"
"2023/01/31","8521","-71","298844"
"2023/01/30","8592","42","299502"
"2023/01/27","8550","164","296569"
"2023/01/26","8386","-95","289568"
"2023/01/25","8481","-2","291612"
"2023/01/24","8483","127","289929"
"2023/01/23","8356","14","283134"
"2023/01/20","8342","-91","280547"
"2023/01/19","8433","-206","281047"
"2023/01/18","8639","137","286305"
"2023/01/17","8502","49","280127"
"2023/01/16","8453","-65","277135"
"2023/01/13","8518","-86","278063"
"2023/01/12","8604","18","279580"
"2023/01/11","8586","58","277900"
