"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","î_ó—íÜã‡Å|î_ó—íÜã‡ÅÉÉpÅ[ÉgÉiÅ[ÉYÅÑí∑ä˙åµëIìäéëÅ@Ç®Ç®Ç‘ÇÀ"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20170307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","19258","-163","28543"
"2023/04/05","19421","-248","28793"
"2023/04/04","19669","-48","29116"
"2023/04/03","19717","260","29193"
"2023/03/31","19457","216","28742"
"2023/03/30","19241","365","28378"
"2023/03/29","18876","177","27806"
"2023/03/28","18699","68","27513"
"2023/03/27","18631","105","27356"
"2023/03/24","18526","-30","27173"
"2023/03/23","18556","-537","27167"
"2023/03/22","19093","378","27888"
"2023/03/20","18715","-291","27301"
"2023/03/17","19006","265","27558"
"2023/03/16","18741","-285","27079"
"2023/03/15","19026","410","27429"
"2023/03/14","18616","-190","26794"
"2023/03/13","18806","-546","27015"
"2023/03/10","19352","-400","27798"
"2023/03/09","19752","53","28361"
"2023/03/08","19699","-82","28263"
"2023/03/07","19781","-7","28383"
"2023/03/06","19788","107","28332"
"2023/03/03","19681","281","28139"
"2023/03/02","19400","-130","27659"
"2023/03/01","19530","-1","27792"
"2023/02/28","19531","64","27733"
"2023/02/27","19467","82","27612"
"2023/02/24","19385","-114","27431"
"2023/02/22","19499","-304","27495"
"2023/02/21","19803","-18","27923"
"2023/02/20","19821","74","27956"
"2023/02/17","19747","-227","27832"
"2023/02/16","19974","324","28083"
"2023/02/15","19650","15","27459"
"2023/02/14","19635","286","27390"
"2023/02/13","19349","-12","26939"
"2023/02/10","19361","-188","26931"
"2023/02/09","19549","-162","27186"
"2023/02/08","19711","-150","27412"
"2023/02/07","19861","-104","27590"
"2023/02/06","19965","326","27671"
"2023/02/03","19639","198","27187"
"2023/02/02","19441","76","26820"
"2023/02/01","19365","160","26703"
"2023/01/31","19205","-100","26424"
"2023/01/30","19305","97","26498"
"2023/01/27","19208","-19","26331"
"2023/01/26","19227","-182","26318"
"2023/01/25","19409","-26","26530"
"2023/01/24","19435","371","26517"
"2023/01/23","19064","449","25975"
"2023/01/20","18615","-171","25296"
"2023/01/19","18786","-652","25495"
"2023/01/18","19438","316","26116"
"2023/01/17","19122","76","25692"
"2023/01/16","19046","-146","25539"
"2023/01/13","19192","-373","25707"
"2023/01/12","19565","144","26155"
"2023/01/11","19421","258","25871"
"2023/01/10","19163","196","25483"
"2023/01/06","18967","-50","25159"
"2023/01/05","19017","431","25146"
"2023/01/04","18586","-282","24555"
"2022/12/30","18868","135","24867"
"2022/12/29","18733","-202","24617"
"2022/12/28","18935","77","24755"
"2022/12/27","18858","120","24655"
"2022/12/26","18738","8","24421"
"2022/12/23","18730","-62","24346"
"2022/12/22","18792","364","24361"
"2022/12/21","18428","-340","23764"
"2022/12/20","18768","-423","24190"
"2022/12/19","19191","-376","24675"
"2022/12/16","19567","-219","24951"
"2022/12/15","19786","-186","25181"
"2022/12/14","19972","-194","25389"
"2022/12/13","20166","381","25532"
"2022/12/12","19785","-164","24987"
"2022/12/09","19949","204","25133"
"2022/12/08","19745","-82","24846"
"2022/12/07","19827","-124","24929"
"2022/12/06","19951","-125","24982"
"2022/12/05","20076","-68","25082"
"2022/12/02","20144","-141","25068"
"2022/12/01","20285","289","25176"
"2022/11/30","19996","-101","24741"
"2022/11/29","20097","-361","24809"
"2022/11/28","20458","7","25177"
"2022/11/25","20451","-21","25168"
"2022/11/24","20472","-19","25186"
"2022/11/22","20491","375","25185"
"2022/11/21","20116","129","24669"
"2022/11/18","19987","-9","24493"
"2022/11/17","19996","-88","24460"
"2022/11/16","20084","120","24418"
"2022/11/15","19964","-65","24220"
"2022/11/14","20029","-71","24298"
"2022/11/11","20100","452","24337"
"2022/11/10","19648","-373","23780"
"2022/11/09","20021","12","24190"
"2022/11/08","20009","129","24028"
"2022/11/07","19880","134","23816"
"2022/11/04","19746","-682","23643"
"2022/11/02","20428","-179","24406"
"2022/11/01","20607","-50","24596"
"2022/10/31","20657","621","24606"
"2022/10/28","20036","176","23851"
"2022/10/27","19860","-123","23597"
"2022/10/26","19983","275","23688"
"2022/10/25","19708","225","23347"
"2022/10/24","19483","283","23054"
"2022/10/21","19200","-215","22691"
"2022/10/20","19415","-72","22923"
"2022/10/19","19487","274","22970"
"2022/10/18","19213","499","22614"
"2022/10/17","18714","-286","21857"
"2022/10/14","19000","410","22147"
"2022/10/13","18590","-48","21631"
"2022/10/12","18638","-40","21635"
"2022/10/11","18678","-431","21630"
"2022/10/07","19109","-96","22087"
"2022/10/06","19205","81","22129"
"2022/10/05","19124","443","22015"
"2022/10/04","18681","463","21440"
"2022/10/03","18218","-350","20854"
"2022/09/30","18568","-197","21191"
"2022/09/29","18765","277","21324"
"2022/09/28","18488","-107","20975"
"2022/09/27","18595","-69","21059"
"2022/09/26","18664","-493","21092"
"2022/09/22","19157","-178","21586"
"2022/09/21","19335","-257","21755"
"2022/09/20","19592","5","22014"
"2022/09/16","19587","-270","21958"
"2022/09/15","19857","-206","22143"
"2022/09/14","20063","-494","22346"
"2022/09/13","20557","106","22861"
"2022/09/12","20451","114","22709"
"2022/09/09","20337","-102","22538"
"2022/09/08","20439","642","22628"
"2022/09/07","19797","381","21860"
"2022/09/06","19416","-11","21439"
"2022/09/05","19427","-193","21426"
"2022/09/02","19620","179","21604"
"2022/09/01","19441","-9","21403"
"2022/08/31","19450","-131","21338"
"2022/08/30","19581","-75","21466"
"2022/08/29","19656","-451","21511"
"2022/08/26","20107","216","21949"
"2022/08/25","19891","64","21638"
"2022/08/24","19827","-209","21553"
"2022/08/23","20036","-381","21778"
"2022/08/22","20417","-133","22186"
"2022/08/19","20550","231","22287"
"2022/08/18","20319","-33","22023"
"2022/08/17","20352","204","22032"
"2022/08/16","20148","150","21673"
"2022/08/15","19998","242","21499"
"2022/08/12","19756","133","21200"
"2022/08/10","19623","-186","21056"
"2022/08/09","19809","-17","21222"
"2022/08/08","19826","313","21236"
"2022/08/05","19513","-50","20858"
"2022/08/04","19563","198","20891"
"2022/08/03","19365","243","20661"
"2022/08/02","19122","-294","20376"
