"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","î_ó—íÜã‡Å|ÇmÇyÇ`ÇlÅEÉåÉoÉåÉbÉWÅ@ì˙ñ{äîéÆÇQî{ÉuÉã"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20200307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","22014","-470","1258"
"2023/04/05","22484","-723","1286"
"2023/04/04","23207","16","1333"
"2023/04/03","23191","338","1335"
"2023/03/31","22853","380","1444"
"2023/03/30","22473","343","1320"
"2023/03/29","22130","474","1389"
"2023/03/28","21656","30","1281"
"2023/03/27","21626","141","1303"
"2023/03/24","21485","95","1273"
"2023/03/23","21390","-176","1263"
"2023/03/22","21566","864","1326"
"2023/03/20","20702","-567","1256"
"2023/03/17","21269","452","1282"
"2023/03/16","20817","-488","1246"
"2023/03/15","21305","234","1270"
"2023/03/14","21071","-1202","1197"
"2023/03/13","22273","-344","1249"
"2023/03/10","22617","-840","1264"
"2023/03/09","23457","340","1313"
"2023/03/08","23117","162","1302"
"2023/03/07","22955","99","1301"
"2023/03/06","22856","570","1295"
"2023/03/03","22286","595","1267"
"2023/03/02","21691","-17","1234"
"2023/03/01","21708","93","1239"
"2023/02/28","21615","94","1234"
"2023/02/27","21521","45","1224"
"2023/02/24","21476","387","1247"
"2023/02/22","21089","-503","1197"
"2023/02/21","21592","-110","1225"
"2023/02/20","21702","93","1231"
"2023/02/17","21609","-332","1204"
"2023/02/16","21941","362","1224"
"2023/02/15","21579","-285","1203"
"2023/02/14","21864","284","1220"
"2023/02/13","21580","-334","1203"
"2023/02/10","21914","189","1221"
"2023/02/09","21725","-111","1210"
"2023/02/08","21836","0","1214"
"2023/02/07","21836","-130","1215"
"2023/02/06","21966","298","1250"
"2023/02/03","21668","158","1235"
"2023/02/02","21510","125","1228"
"2023/02/01","21385","16","1220"
"2023/01/31","21369","-111","1219"
"2023/01/30","21480","13","1229"
"2023/01/27","21467","-32","1244"
"2023/01/26","21499","94","1249"
"2023/01/25","21405","72","1250"
"2023/01/24","21333","615","1281"
"2023/01/23","20718","529","1445"
"2023/01/20","20189","288","1386"
"2023/01/19","19901","-599","1363"
"2023/01/18","20500","888","1417"
"2023/01/17","19612","550","1358"
"2023/01/16","19062","-468","1311"
"2023/01/13","19530","-440","1338"
"2023/01/12","19970","-62","1367"
"2023/01/11","20032","377","1381"
"2023/01/10","19655","342","1355"
"2023/01/06","19313","222","1332"
"2023/01/05","19091","248","1316"
"2023/01/04","18843","-708","1242"
"2022/12/30","19551","149","1287"
"2022/12/29","19402","-377","1274"
"2022/12/28","19779","-197","1297"
"2022/12/27","19976","-16","1308"
"2022/12/26","19992","331","1309"
"2022/12/23","19661","-440","1283"
"2022/12/22","20101","182","1311"
"2022/12/21","19919","-301","1241"
"2022/12/20","20220","-1092","1210"
"2022/12/19","21312","-392","1202"
"2022/12/16","21704","-786","1178"
"2022/12/15","22490","-195","1214"
"2022/12/14","22685","304","1244"
"2022/12/13","22381","192","1228"
"2022/12/12","22189","-131","1217"
"2022/12/09","22320","566","1260"
"2022/12/08","21754","-149","1223"
"2022/12/07","21903","-315","1200"
"2022/12/06","22218","32","1266"
"2022/12/05","22186","124","1263"
"2022/12/02","22062","-800","1203"
"2022/12/01","22862","339","1260"
"2022/11/30","22523","-33","1249"
"2022/11/29","22556","-162","1240"
"2022/11/28","22718","-278","1247"
"2022/11/25","22996","-65","1261"
"2022/11/24","23061","401","1260"
"2022/11/22","22660","239","1246"
"2022/11/21","22421","143","1232"
"2022/11/18","22278","-162","1203"
"2022/11/17","22440","-94","1209"
"2022/11/16","22534","15","1264"
"2022/11/15","22519","108","1262"
"2022/11/14","22411","-504","1204"
"2022/11/11","22915","1329","1260"
"2022/11/10","21586","-348","1185"
"2022/11/09","21934","-385","1203"
"2022/11/08","22319","537","1227"
"2022/11/07","21782","562","1198"
"2022/11/04","21220","-715","1165"
"2022/11/02","21935","-79","1203"
"2022/11/01","22014","214","1206"
"2022/10/31","21800","834","1296"
"2022/10/28","20966","-451","1246"
"2022/10/27","21417","-220","1174"
"2022/10/26","21637","280","1189"
"2022/10/25","21357","466","1196"
"2022/10/24","20891","91","1171"
"2022/10/21","20800","-156","1166"
"2022/10/20","20956","-357","1134"
"2022/10/19","21313","61","1155"
"2022/10/18","21252","710","1155"
"2022/10/17","20542","-494","1115"
"2022/10/14","21036","1263","1147"
"2022/10/13","19773","-260","1077"
"2022/10/12","20033","-62","1090"
"2022/10/11","20095","-1054","1089"
"2022/10/07","21149","-299","1144"
"2022/10/06","21448","316","1162"
"2022/10/05","21132","252","1248"
"2022/10/04","20880","1095","1140"
"2022/10/03","19785","409","1181"
"2022/09/30","19376","-696","1051"
"2022/09/29","20072","618","1662"
"2022/09/28","19454","-609","1393"
"2022/09/27","20063","186","1435"
"2022/09/26","19877","-1294","1418"
"2022/09/22","21171","-142","1506"
"2022/09/21","21313","-520","1313"
"2022/09/20","21833","157","1302"
"2022/09/16","21676","-532","1241"
"2022/09/15","22208","41","1270"
"2022/09/14","22167","-1227","1164"
"2022/09/13","23394","227","1179"
"2022/09/12","23167","419","1174"
"2022/09/09","22748","272","1152"
"2022/09/08","22476","906","1448"
"2022/09/07","21570","-220","1386"
"2022/09/06","21790","-64","1400"
"2022/09/05","21854","-38","1402"
"2022/09/02","21892","45","1303"
"2022/09/01","21847","-777","1137"
"2022/08/31","22624","-132","1138"
"2022/08/30","22756","462","1142"
"2022/08/29","22294","-1150","1115"
"2022/08/26","23444","159","1227"
"2022/08/25","23285","306","1198"
"2022/08/24","22979","-114","1170"
"2022/08/23","23093","-525","1155"
"2022/08/22","23618","-369","1158"
"2022/08/19","23987","-18","1176"
"2022/08/18","24005","-419","1174"
"2022/08/17","24424","561","1212"
"2022/08/16","23863","-16","1182"
"2022/08/15","23879","521","1184"
"2022/08/12","23358","1187","1179"
"2022/08/10","22171","-273","1109"
"2022/08/09","22444","-450","1117"
"2022/08/08","22894","111","1137"
"2022/08/05","22783","351","1139"
"2022/08/04","22432","382","1127"
"2022/08/03","22050","63","1116"
"2022/08/02","21987","-527","1102"
"2022/08/01","22514","397","1129"
"2022/07/29","22117","-96","1109"
"2022/07/28","22213","79","1117"
"2022/07/27","22134","173","1162"
"2022/07/26","21961","-80","1112"
"2022/07/25","22041","-305","1091"
"2022/07/22","22346","175","1110"
"2022/07/21","22171","160","1103"
"2022/07/20","22011","1156","1100"
"2022/07/19","20855","260","1043"
"2022/07/15","20595","90","1026"
"2022/07/14","20505","392","1073"
"2022/07/13","20113","240","1052"
