"基準価額一覧"
""
"ファンド名","ニッセイ－ニッセイ日経２２５インデックスファンド"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20040107","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","33312","-412","206232"
"2023/04/05","33724","-577","208551"
"2023/04/04","34301","118","212866"
"2023/04/03","34183","180","212445"
"2023/03/31","34003","311","212255"
"2023/03/30","33692","190","210103"
"2023/03/29","33502","437","210103"
"2023/03/28","33065","49","207227"
"2023/03/27","33016","109","206644"
"2023/03/24","32907","-38","205780"
"2023/03/23","32945","-60","205876"
"2023/03/22","33005","625","206453"
"2023/03/20","32380","-465","201982"
"2023/03/17","32845","385","204719"
"2023/03/16","32460","-265","201534"
"2023/03/15","32725","13","202642"
"2023/03/14","32712","-737","201811"
"2023/03/13","33449","-372","205751"
"2023/03/10","33821","-579","207928"
"2023/03/09","34400","217","212213"
"2023/03/08","34183","162","211528"
"2023/03/07","34021","86","211262"
"2023/03/06","33935","375","212231"
"2023/03/03","33560","513","211217"
"2023/03/02","33047","-21","208060"
"2023/03/01","33068","85","208061"
"2023/02/28","32983","26","207266"
"2023/02/27","32957","-16","206835"
"2023/02/24","32973","416","207289"
"2023/02/22","32557","-442","204228"
"2023/02/21","32999","-71","207035"
"2023/02/20","33070","22","207524"
"2023/02/17","33048","-222","207236"
"2023/02/16","33270","234","209178"
"2023/02/15","33036","-122","207714"
"2023/02/14","33158","210","208715"
"2023/02/13","32948","-293","207192"
"2023/02/10","33241","105","209254"
"2023/02/09","33136","-28","208648"
"2023/02/08","33164","-93","208914"
"2023/02/07","33257","-12","209803"
"2023/02/06","33269","221","210619"
"2023/02/03","33048","129","209887"
"2023/02/02","32919","67","209323"
"2023/02/01","32852","22","208886"
"2023/01/31","32830","-126","208906"
"2023/01/30","32956","61","209818"
"2023/01/27","32895","23","209850"
"2023/01/26","32872","-38","209704"
"2023/01/25","32910","115","210660"
"2023/01/24","32795","473","211423"
"2023/01/23","32322","422","208864"
"2023/01/20","31900","179","206135"
"2023/01/19","31721","-464","204878"
"2023/01/18","32185","779","208379"
"2023/01/17","31406","381","203296"
"2023/01/16","31025","-357","200363"
"2023/01/13","31382","-396","202459"
"2023/01/12","31778","3","204980"
"2023/01/11","31775","323","204955"
"2023/01/10","31452","242","202728"
"2023/01/06","31210","184","200969"
"2023/01/05","31026","125","199537"
"2023/01/04","30901","-457","197780"
"2022/12/30","31358","3","200582"
"2022/12/29","31355","-245","200015"
"2022/12/28","31600","-130","201245"
"2022/12/27","31730","47","201837"
"2022/12/26","31683","206","201051"
"2022/12/23","31477","-328","198765"
"2022/12/22","31805","144","200513"
"2022/12/21","31661","-217","198445"
"2022/12/20","31878","-802","198370"
"2022/12/19","32680","-344","202656"
"2022/12/16","33024","-627","203644"
"2022/12/15","33651","-127","207323"
"2022/12/14","33778","241","208486"
"2022/12/13","33537","135","207151"
"2022/12/12","33402","-72","206188"
