"基準価額一覧"
""
"ファンド名","ニッセイ－ニッセイグローバル好配当株式プラス（毎月決算型）"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20110307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","1645","-34","49380"
"2023/04/05","1679","8","50352"
"2023/04/04","1671","7","50213"
"2023/04/03","1664","8","49975"
"2023/03/31","1656","25","49736"
"2023/03/30","1631","43","48975"
"2023/03/29","1588","-4","47662"
"2023/03/28","1592","27","47819"
"2023/03/27","1565","-37","46978"
"2023/03/24","1602","-18","48034"
"2023/03/23","1620","8","48498"
"2023/03/22","1612","45","48186"
"2023/03/20","1567","-2","46826"
"2023/03/17","1569","7","46864"
"2023/03/16","1562","-71","46629"
"2023/03/15","1633","-7","48599"
"2023/03/14","1640","-65","48681"
"2023/03/13","1705","-11","50514"
"2023/03/10","1716","-6","50814"
"2023/03/09","1722","-5","50982"
"2023/03/08","1727","0","51088"
"2023/03/07","1727","10","51053"
"2023/03/06","1717","4","50817"
"2023/03/03","1713","5","50720"
"2023/03/02","1708","-18","50548"
"2023/03/01","1726","11","51102"
"2023/02/28","1715","15","50817"
"2023/02/27","1700","-9","50374"
"2023/02/24","1709","-4","50799"
"2023/02/22","1713","3","50929"
"2023/02/21","1710","3","50868"
"2023/02/20","1707","-1","50865"
"2023/02/17","1708","14","50918"
"2023/02/16","1694","7","50535"
"2023/02/15","1687","-16","50175"
"2023/02/14","1703","28","50604"
"2023/02/13","1675","-24","49745"
"2023/02/10","1699","2","50427"
"2023/02/09","1697","7","50330"
"2023/02/08","1690","-14","50093"
"2023/02/07","1704","18","50544"
"2023/02/06","1686","0","50036"
"2023/02/03","1686","7","50037"
"2023/02/02","1679","2","49842"
"2023/02/01","1677","-6","49818"
"2023/01/31","1683","-1","50024"
"2023/01/30","1684","-8","50086"
"2023/01/27","1692","22","50355"
"2023/01/26","1670","-7","49755"
"2023/01/25","1677","2","49959"
"2023/01/24","1675","12","49960"
"2023/01/23","1663","30","49601"
"2023/01/20","1633","-21","48660"
"2023/01/19","1654","-1","49368"
"2023/01/18","1655","5","49384"
"2023/01/17","1650","15","49282"
"2023/01/16","1635","-54","48674"
"2023/01/13","1689","-11","50296"
"2023/01/12","1700","19","50581"
"2023/01/11","1681","-7","49979"
"2023/01/10","1688","26","50118"
"2023/01/06","1662","32","49266"
"2023/01/05","1630","19","48288"
"2023/01/04","1611","-16","47741"
"2022/12/30","1627","-12","48216"
"2022/12/29","1639","9","48550"
"2022/12/28","1630","13","48273"
"2022/12/27","1617","0","47895"
"2022/12/26","1617","2","47896"
"2022/12/23","1615","-2","47882"
"2022/12/22","1617","15","47923"
"2022/12/21","1602","-50","47576"
"2022/12/20","1652","-2","49169"
"2022/12/19","1654","-21","49181"
"2022/12/16","1675","1","49811"
"2022/12/15","1674","-47","49619"
"2022/12/14","1721","12","50831"
"2022/12/13","1709","9","50382"
"2022/12/12","1700","-2","50103"
"2022/12/09","1702","-2","50159"
"2022/12/08","1704","-2","50210"
"2022/12/07","1706","-1","50231"
"2022/12/06","1707","15","50309"
"2022/12/05","1692","-24","49851"
"2022/12/02","1716","-17","50563"
"2022/12/01","1733","10","51139"
"2022/11/30","1723","-4","50815"
"2022/11/29","1727","-10","51044"
"2022/11/28","1737","5","51358"
"2022/11/25","1732","-10","51231"
"2022/11/24","1742","21","51526"
"2022/11/22","1721","4","50971"
"2022/11/21","1717","30","50920"
"2022/11/18","1687","-18","50097"
"2022/11/17","1705","-6","50675"
"2022/11/16","1711","-4","50928"
"2022/11/15","1715","-4","50927"
"2022/11/14","1719","-13","51027"
"2022/11/11","1732","4","51373"
"2022/11/10","1728","-5","51276"
"2022/11/09","1733","5","51415"
"2022/11/08","1728","13","51180"
"2022/11/07","1715","41","50859"
"2022/11/04","1674","-50","49651"
"2022/11/02","1724","10","51123"
"2022/11/01","1714","23","50819"
"2022/10/31","1691","1","50165"
"2022/10/28","1690","11","50196"
"2022/10/27","1679","10","49906"
"2022/10/26","1669","-7","49625"
"2022/10/25","1676","26","49708"
"2022/10/24","1650","-4","49009"
"2022/10/21","1654","3","49174"
"2022/10/20","1651","-14","49185"
"2022/10/19","1665","30","49601"
"2022/10/18","1635","12","48792"
"2022/10/17","1623","33","48337"
"2022/10/14","1590","1","47392"
"2022/10/13","1589","-2","47369"
"2022/10/12","1591","-12","47408"
"2022/10/11","1603","-21","47685"
"2022/10/07","1624","-7","48293"
"2022/10/06","1631","-6","48453"
"2022/10/05","1637","52","48584"
"2022/10/04","1585","12","47097"
"2022/10/03","1573","12","46776"
"2022/09/30","1561","7","46510"
"2022/09/29","1554","-29","46331"
"2022/09/28","1583","4","47300"
"2022/09/27","1579","-19","47112"
"2022/09/26","1598","-70","47913"
"2022/09/22","1668","-15","50013"
"2022/09/21","1683","4","50520"
"2022/09/20","1679","-20","50400"
"2022/09/16","1699","-2","51026"
"2022/09/15","1701","-73","50961"
"2022/09/14","1774","-1","53128"
"2022/09/13","1775","32","53159"
"2022/09/12","1743","19","52153"
"2022/09/09","1724","11","51621"
"2022/09/08","1713","-2","51342"
"2022/09/07","1715","27","51404"
"2022/09/06","1688","-17","50613"
"2022/09/05","1705","25","51113"
"2022/09/02","1680","-12","50316"
"2022/09/01","1692","-20","50682"
"2022/08/31","1712","10","51331"
"2022/08/30","1702","-20","51015"
"2022/08/29","1722","7","51619"
"2022/08/26","1715","6","51458"
"2022/08/25","1709","-16","51227"
"2022/08/24","1725","-7","51768"
"2022/08/23","1732","-14","51984"
"2022/08/22","1746","-4","52549"
"2022/08/19","1750","3","52648"
"2022/08/18","1747","-2","52559"
"2022/08/17","1749","29","52633"
"2022/08/16","1720","-25","51760"
"2022/08/15","1745","-6","52374"
"2022/08/12","1751","-21","52623"
"2022/08/10","1772","-1","53232"
"2022/08/09","1773","20","53288"
"2022/08/08","1753","-7","52633"
"2022/08/05","1760","0","52823"
"2022/08/04","1760","29","52848"
"2022/08/03","1731","-20","51979"
"2022/08/02","1751","-11","52621"
"2022/08/01","1762","-4","52991"
"2022/07/29","1766","-27","53109"
"2022/07/28","1793","13","53912"
"2022/07/27","1780","-12","53515"
"2022/07/26","1792","12","53901"
"2022/07/25","1780","-26","53543"
"2022/07/22","1806","10","54350"
"2022/07/21","1796","14","54140"
"2022/07/20","1782","6","53702"
"2022/07/19","1776","37","53500"
"2022/07/15","1739","-36","52204"
"2022/07/14","1775","5","52914"
