"基準価額一覧"
""
"ファンド名","ニッセイ－＜購入・換金手数料なし＞ニッセイ外国株式インデックスファンド"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20130307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","26614","-186","452044"
"2023/04/05","26800","-304","455407"
"2023/04/04","27104","30","459293"
"2023/04/03","27074","206","458746"
"2023/03/31","26868","428","455109"
"2023/03/30","26440","596","447759"
"2023/03/29","25844","110","437544"
"2023/03/28","25734","132","435293"
"2023/03/27","25602","-11","432936"
"2023/03/24","25613","-27","432977"
"2023/03/23","25640","-573","433135"
"2023/03/22","26213","562","442546"
"2023/03/20","25651","-400","432924"
"2023/03/17","26051","461","438969"
"2023/03/16","25590","-639","430872"
"2023/03/15","26229","674","441449"
"2023/03/14","25555","-351","429970"
"2023/03/13","25906","-675","435611"
"2023/03/10","26581","-574","446863"
"2023/03/09","27155","-26","456321"
"2023/03/08","27181","-200","456705"
"2023/03/07","27381","72","459998"
"2023/03/06","27309","242","458793"
"2023/03/03","27067","265","454589"
"2023/03/02","26802","-104","448758"
"2023/03/01","26906","-97","450304"
"2023/02/28","27003","166","451542"
"2023/02/27","26837","105","448587"
"2023/02/24","26732","-123","446721"
"2023/02/22","26855","-333","448497"
"2023/02/21","27188","-12","454066"
"2023/02/20","27200","-63","454330"
"2023/02/17","27263","-236","455629"
"2023/02/16","27499","331","459441"
"2023/02/15","27168","116","453466"
"2023/02/14","27052","422","451410"
"2023/02/13","26630","-26","444096"
"2023/02/10","26656","-125","444522"
"2023/02/09","26781","-74","446931"
"2023/02/08","26855","-67","448363"
"2023/02/07","26922","-170","449455"
"2023/02/06","27092","493","452250"
"2023/02/03","26599","334","443925"
"2023/02/02","26265","6","436955"
"2023/02/01","26259","173","436790"
"2023/01/31","26086","-224","433823"
"2023/01/30","26310","169","437435"
"2023/01/27","26141","298","434564"
"2023/01/26","25843","-218","429498"
"2023/01/25","26061","-27","433250"
"2023/01/24","26088","487","433360"
"2023/01/23","25601","535","425007"
"2023/01/20","25066","-155","416052"
"2023/01/19","25221","-792","418548"
"2023/01/18","26013","485","430670"
"2023/01/17","25528","128","422639"
"2023/01/16","25400","-150","420451"
"2023/01/13","25550","-363","422840"
"2023/01/12","25913","208","428745"
"2023/01/11","25705","211","424641"
"2023/01/10","25494","289","420939"
"2023/01/06","25205","17","415723"
"2023/01/05","25188","504","413949"
"2023/01/04","24684","-453","405610"
"2022/12/30","25137","108","413479"
"2022/12/29","25029","-201","411504"
"2022/12/28","25230","60","414185"
"2022/12/27","25170","196","413201"
"2022/12/26","24974","31","409827"
"2022/12/23","24943","-244","409083"
"2022/12/22","25187","459","412781"
"2022/12/21","24728","-500","404971"
"2022/12/20","25228","-492","412963"
"2022/12/19","25720","-591","420878"
"2022/12/16","26311","-270","429794"
"2022/12/15","26581","-89","434195"
"2022/12/14","26670","-185","435568"
"2022/12/13","26855","477","438153"
"2022/12/12","26378","-159","430255"
"2022/12/09","26537","258","432581"
"2022/12/08","26279","-200","428233"
"2022/12/07","26479","-216","431414"
"2022/12/06","26695","-69","434798"
"2022/12/05","26764","-194","435804"
"2022/12/02","26958","-214","437545"
"2022/12/01","27172","397","440808"
"2022/11/30","26775","-40","434331"
"2022/11/29","26815","-422","434712"
"2022/11/28","27237","-21","441456"
"2022/11/25","27258","1","441789"
"2022/11/24","27257","20","441605"
"2022/11/22","27237","202","441061"
"2022/11/21","27035","123","437730"
"2022/11/18","26912","52","435755"
"2022/11/17","26860","-217","434877"
"2022/11/16","27077","74","437671"
"2022/11/15","27003","-31","436260"
"2022/11/14","27034","-100","436760"
"2022/11/11","27134","530","438146"
"2022/11/10","26604","-375","429550"
"2022/11/09","26979","39","435283"
"2022/11/08","26940","185","434049"
"2022/11/07","26755","253","431051"
"2022/11/04","26502","-772","426903"
"2022/11/02","27274","-234","438056"
"2022/11/01","27508","-77","441723"
"2022/10/31","27585","771","442869"
"2022/10/28","26814","-57","430584"
"2022/10/27","26871","-420","431464"
"2022/10/26","27291","307","438131"
"2022/10/25","26984","303","433147"
"2022/10/24","26681","279","428122"
"2022/10/21","26402","-93","423541"
"2022/10/20","26495","-100","425056"
"2022/10/19","26595","349","426582"
"2022/10/18","26246","708","420612"
"2022/10/17","25538","-272","408676"
"2022/10/14","25810","641","412861"
"2022/10/13","25169","63","402493"
"2022/10/12","25106","-133","401010"
"2022/10/11","25239","-716","403032"
