"基準価額一覧"
""
"ファンド名","ニッセイ－＜購入・換金手数料なし＞ニッセイ外国債券インデックスファンド"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20130307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","12238","-21","22662"
"2023/04/05","12259","-44","22703"
"2023/04/04","12303","51","22719"
"2023/04/03","12252","-44","22615"
"2023/03/31","12296","115","22690"
"2023/03/30","12181","111","22474"
"2023/03/29","12070","26","22263"
"2023/03/28","12044","-57","22190"
"2023/03/27","12101","7","22287"
"2023/03/24","12094","38","22256"
"2023/03/23","12056","-87","22180"
"2023/03/22","12143","-88","22323"
"2023/03/20","12231","64","22478"
"2023/03/17","12167","-33","22358"
"2023/03/16","12200","-35","22407"
"2023/03/15","12235","40","22473"
"2023/03/14","12195","54","22384"
"2023/03/13","12141","48","22270"
"2023/03/10","12093","-56","22184"
"2023/03/09","12149","3","22292"
"2023/03/08","12146","39","22283"
"2023/03/07","12107","30","22205"
"2023/03/06","12077","-4","22151"
"2023/03/03","12081","-14","22153"
"2023/03/02","12095","-24","22130"
"2023/03/01","12119","-26","22156"
"2023/02/28","12145","29","22175"
"2023/02/27","12116","102","22107"
"2023/02/24","12014","-45","21913"
"2023/02/22","12059","-39","21976"
"2023/02/21","12098","-5","22048"
"2023/02/20","12103","30","22055"
"2023/02/17","12073","-17","21994"
"2023/02/16","12090","51","22003"
"2023/02/15","12039","13","21907"
"2023/02/14","12026","86","21868"
"2023/02/13","11940","-65","21681"
"2023/02/10","12005","16","21793"
"2023/02/09","11989","38","21728"
"2023/02/08","11951","-164","21666"
"2023/02/07","12115","-73","21961"
"2023/02/06","12188","176","22093"
"2023/02/03","12012","59","21760"
"2023/02/02","11953","-13","21598"
"2023/02/01","11966","-36","21607"
"2023/01/31","12002","-17","21648"
"2023/01/30","12019","22","21670"
"2023/01/27","11997","-4","21625"
"2023/01/26","12001","-82","21619"
"2023/01/25","12083","44","21764"
"2023/01/24","12039","71","21661"
"2023/01/23","11968","5","21517"
"2023/01/20","11963","20","21507"
"2023/01/19","11943","-146","21466"
"2023/01/18","12089","251","21697"
"2023/01/17","11838","38","21246"
"2023/01/16","11800","-148","21178"
"2023/01/13","11948","-143","21432"
"2023/01/12","12091","46","21675"
"2023/01/11","12045","7","21554"
"2023/01/10","12038","44","21535"
"2023/01/06","11994","72","21429"
"2023/01/05","11922","213","21239"
"2023/01/04","11709","-153","20855"
"2022/12/30","11862","-84","21120"
"2022/12/29","11946","2","21215"
"2022/12/28","11944","-21","21212"
"2022/12/27","11965","103","21250"
"2022/12/26","11862","-73","21069"
"2022/12/23","11935","17","21188"
"2022/12/22","11918","46","21162"
"2022/12/21","11872","-314","21067"
"2022/12/20","12186","-206","21618"
"2022/12/19","12392","-195","21978"
"2022/12/16","12587","128","22222"
"2022/12/15","12459","5","21991"
"2022/12/14","12454","-117","21979"
"2022/12/13","12571","90","22159"
"2022/12/12","12481","-98","21998"
"2022/12/09","12579","21","22164"
"2022/12/08","12558","11","22129"
"2022/12/07","12547","92","22092"
"2022/12/06","12455","111","21986"
"2022/12/05","12344","-50","21777"
"2022/12/02","12394","13","21817"
"2022/12/01","12381","-97","21781"
"2022/11/30","12478","7","21949"
"2022/11/29","12471","-45","21931"
"2022/11/28","12516","-66","21988"
"2022/11/25","12582","12","22105"
"2022/11/24","12570","-74","22070"
"2022/11/22","12644","130","22195"
"2022/11/21","12514","-25","21975"
"2022/11/18","12539","28","22013"
"2022/11/17","12511","94","21968"
"2022/11/16","12417","0","21780"
"2022/11/15","12417","56","21770"
"2022/11/14","12361","-180","21673"
"2022/11/11","12541","-103","21972"
"2022/11/10","12644","52","22152"
"2022/11/09","12592","1","22053"
"2022/11/08","12591","-20","22032"
"2022/11/07","12611","-34","22077"
"2022/11/04","12645","-85","22137"
"2022/11/02","12730","-71","22242"
"2022/11/01","12801","-62","22361"
"2022/10/31","12863","92","22465"
"2022/10/28","12771","83","22280"
"2022/10/27","12688","-50","22142"
"2022/10/26","12738","56","22218"
"2022/10/25","12682","69","22115"
"2022/10/24","12613","-81","21988"
"2022/10/21","12694","-18","22129"
