"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÉjÉbÉZÉCÅ|ÇiÇoÇwì˙åoÇSÇOÇOÉAÉNÉeÉBÉuÅEÉvÉåÉ~ÉAÉÄÅEÉIÅ[ÉvÉìÅiñàåéåàéZå^Åj"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20150107","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","2357","-48","26905"
"2023/04/05","2405","-4","27186"
"2023/04/04","2409","-5","27189"
"2023/04/03","2414","32","27214"
"2023/03/31","2382","14","26799"
"2023/03/30","2368","41","26604"
"2023/03/29","2327","2","26132"
"2023/03/28","2325","21","26094"
"2023/03/27","2304","-9","25871"
"2023/03/24","2313","-36","25973"
"2023/03/23","2349","59","26377"
"2023/03/22","2290","-36","25693"
"2023/03/20","2326","11","26121"
"2023/03/17","2315","-20","25992"
"2023/03/16","2335","-2","26191"
"2023/03/15","2337","-45","26199"
"2023/03/14","2382","-40","26703"
"2023/03/13","2422","-62","27410"
"2023/03/10","2484","-44","27960"
"2023/03/09","2528","-3","28403"
"2023/03/08","2531","17","28376"
"2023/03/07","2514","14","27912"
"2023/03/06","2500","22","27716"
"2023/03/03","2478","4","27430"
"2023/03/02","2474","-2","27373"
"2023/03/01","2476","0","27410"
"2023/02/28","2476","0","27367"
"2023/02/27","2476","37","27343"
"2023/02/24","2439","-19","26934"
"2023/02/22","2458","-2","27145"
"2023/02/21","2460","0","27168"
"2023/02/20","2460","-10","27175"
"2023/02/17","2470","10","27262"
"2023/02/16","2460","20","27165"
"2023/02/15","2440","15","26951"
"2023/02/14","2425","10","26779"
"2023/02/13","2415","10","26659"
"2023/02/10","2405","-50","26419"
"2023/02/09","2455","-2","26943"
"2023/02/08","2457","-13","26925"
"2023/02/07","2470","25","27015"
"2023/02/06","2445","42","26724"
"2023/02/03","2403","-13","26214"
"2023/02/02","2416","-6","26386"
"2023/02/01","2422","-20","26443"
"2023/01/31","2442","8","26620"
"2023/01/30","2434","0","26546"
"2023/01/27","2434","4","26537"
"2023/01/26","2430","0","26495"
"2023/01/25","2430","16","26488"
"2023/01/24","2414","26","26303"
"2023/01/23","2388","31","26000"
"2023/01/20","2357","-16","25650"
"2023/01/19","2373","37","25822"
"2023/01/18","2336","4","25406"
"2023/01/17","2332","0","25365"
"2023/01/16","2332","-39","25358"
"2023/01/13","2371","-24","25779"
"2023/01/12","2395","35","26016"
"2023/01/11","2360","7","25670"
"2023/01/10","2353","-59","25442"
"2023/01/06","2412","21","26021"
"2023/01/05","2391","-20","25741"
"2023/01/04","2411","-26","25944"
"2022/12/30","2437","-34","26202"
"2022/12/29","2471","14","26565"
"2022/12/28","2457","14","26368"
"2022/12/27","2443","0","26220"
"2022/12/26","2443","1","26214"
"2022/12/23","2442","20","26204"
"2022/12/22","2422","10","25984"
"2022/12/21","2412","-118","25847"
"2022/12/20","2530","-10","27132"
"2022/12/19","2540","-40","27223"
"2022/12/16","2580","42","27671"
"2022/12/15","2538","11","27248"
"2022/12/14","2527","-15","27150"
"2022/12/13","2542","11","27331"
"2022/12/12","2531","-23","27131"
"2022/12/09","2554","-14","27358"
"2022/12/08","2568","-6","27498"
"2022/12/07","2574","16","27512"
"2022/12/06","2558","13","27289"
"2022/12/05","2545","-39","27143"
"2022/12/02","2584","-50","27530"
"2022/12/01","2634","10","27983"
"2022/11/30","2624","-12","27770"
"2022/11/29","2636","-21","27854"
"2022/11/28","2657","-6","28086"
"2022/11/25","2663","-1","28150"
"2022/11/24","2664","14","28145"
"2022/11/22","2650","43","27989"
"2022/11/21","2607","-14","27523"
"2022/11/18","2621","12","27650"
"2022/11/17","2609","3","27516"
"2022/11/16","2606","-13","27462"
"2022/11/15","2619","15","27587"
"2022/11/14","2604","0","27431"
"2022/11/11","2604","-84","27485"
"2022/11/10","2688","-43","28322"
"2022/11/09","2731","6","28632"
"2022/11/08","2725","9","28587"
"2022/11/07","2716","-15","28491"
"2022/11/04","2731","-10","28638"
"2022/11/02","2741","4","28711"
"2022/11/01","2737","45","28637"
"2022/10/31","2692","10","28136"
"2022/10/28","2682","-18","28008"
"2022/10/27","2700","-3","28224"
"2022/10/26","2703","9","28256"
"2022/10/25","2694","6","28155"
"2022/10/24","2688","-6","28033"
"2022/10/21","2694","-13","28078"
"2022/10/20","2707","11","28215"
"2022/10/19","2696","31","28094"
"2022/10/18","2665","-13","27769"
"2022/10/17","2678","57","27914"
"2022/10/14","2621","-11","27301"
"2022/10/13","2632","9","27527"
"2022/10/12","2623","-33","27445"
"2022/10/11","2656","-67","27771"
"2022/10/07","2723","14","28424"
"2022/10/06","2709","15","28253"
"2022/10/05","2694","66","28040"
"2022/10/04","2628","20","27343"
"2022/10/03","2608","-43","27116"
"2022/09/30","2651","30","27518"
"2022/09/29","2621","-24","27160"
"2022/09/28","2645","16","27363"
"2022/09/27","2629","-35","27174"
"2022/09/26","2664","-31","27526"
"2022/09/22","2695","-20","27810"
"2022/09/21","2715","20","28005"
"2022/09/20","2695","-30","27739"
"2022/09/16","2725","15","28051"
"2022/09/15","2710","-62","27887"
"2022/09/14","2772","29","28539"
"2022/09/13","2743","11","28183"
"2022/09/12","2732","-56","28008"
"2022/09/09","2788","47","28453"
"2022/09/08","2741","-5","27935"
"2022/09/07","2746","36","27920"
"2022/09/06","2710","0","27546"
"2022/09/05","2710","-4","27477"
"2022/09/02","2714","-26","27536"
"2022/09/01","2740","-11","27768"
"2022/08/31","2751","30","27886"
"2022/08/30","2721","-32","27546"
"2022/08/29","2753","15","27834"
"2022/08/26","2738","14","27673"
"2022/08/25","2724","-5","27530"
"2022/08/24","2729","-35","27576"
"2022/08/23","2764","-4","27885"
"2022/08/22","2768","30","27950"
"2022/08/19","2738","-16","27641"
"2022/08/18","2754","37","27795"
"2022/08/17","2717","16","27428"
"2022/08/16","2701","-10","27238"
"2022/08/15","2711","72","27359"
"2022/08/12","2639","-60","26600"
"2022/08/10","2699","-61","27131"
"2022/08/09","2760","-11","27594"
"2022/08/08","2771","60","27637"
"2022/08/05","2711","-18","27019"
"2022/08/04","2729","56","27170"
"2022/08/03","2673","-36","26552"
"2022/08/02","2709","-17","26901"
"2022/08/01","2726","-18","27045"
"2022/07/29","2744","-41","27213"
"2022/07/28","2785","22","27585"
"2022/07/27","2763","-2","27352"
"2022/07/26","2765","-9","27351"
"2022/07/25","2774","-9","27452"
"2022/07/22","2783","-6","27622"
"2022/07/21","2789","44","27679"
"2022/07/20","2745","11","27232"
"2022/07/19","2734","-4","27133"
"2022/07/15","2738","31","27168"
"2022/07/14","2707","11","26867"
"2022/07/13","2696","-32","26760"
"2022/07/12","2728","39","27045"
"2022/07/11","2689","-38","26546"
"2022/07/08","2727","37","26894"
"2022/07/07","2690","-33","26520"
"2022/07/06","2723","61","26806"
"2022/07/05","2662","0","26207"
"2022/07/04","2662","-38","26195"
"2022/07/01","2700","-52","26559"
"2022/06/30","2752","-13","27050"
"2022/06/29","2765","31","27184"
"2022/06/28","2734","34","26889"
"2022/06/27","2700","36","26551"
"2022/06/24","2664","-29","26185"
"2022/06/23","2693","-18","26448"
"2022/06/22","2711","34","26619"
"2022/06/21","2677","0","26278"
"2022/06/20","2677","-16","26246"
"2022/06/17","2693","-21","26379"
"2022/06/16","2714","-26","26575"
"2022/06/15","2740","-15","26832"
"2022/06/14","2755","-61","26907"
"2022/06/13","2816","-26","27526"
"2022/06/10","2842","-55","27601"
"2022/06/09","2897","21","28068"
"2022/06/08","2876","15","27827"
"2022/06/07","2861","9","27640"
"2022/06/06","2852","21","27514"
"2022/06/03","2831","-12","27295"
"2022/06/02","2843","33","27411"
"2022/06/01","2810","58","27082"
"2022/05/31","2752","0","26525"
"2022/05/30","2752","21","26175"
"2022/05/27","2731","-5","25960"
"2022/05/26","2736","14","26014"
"2022/05/25","2722","-34","25937"
"2022/05/24","2756","21","26246"
"2022/05/23","2735","41","26053"
"2022/05/20","2694","-65","25658"
"2022/05/19","2759","20","26279"
"2022/05/18","2739","18","26087"
"2022/05/17","2721","10","25919"
"2022/05/16","2711","68","25826"
"2022/05/13","2643","-68","25171"
"2022/05/12","2711","2","25872"
"2022/05/11","2709","-26","25636"
"2022/05/10","2735","-84","25793"
"2022/05/09","2819","13","26562"
"2022/05/06","2806","-5","26407"
"2022/05/02","2811","59","26467"
"2022/04/28","2752","7","25897"
"2022/04/27","2745","-9","25841"
"2022/04/26","2754","-42","25921"
"2022/04/25","2796","-27","26326"
"2022/04/22","2823","28","26592"
"2022/04/21","2795","-3","26341"
"2022/04/20","2798","47","26372"
"2022/04/19","2751","-22","25915"
"2022/04/18","2773","0","26123"
"2022/04/15","2773","28","26117"
"2022/04/14","2745","37","25859"
"2022/04/13","2708","-37","25483"
"2022/04/12","2745","3","25857"
"2022/04/11","2742","-38","25756"
"2022/04/08","2780","-36","26080"
"2022/04/07","2816","-22","26406"
"2022/04/06","2838","1","26616"
"2022/04/05","2837","5","26582"
"2022/04/04","2832","7","26530"
"2022/04/01","2825","-14","26463"
"2022/03/31","2839","-10","26547"
"2022/03/30","2849","13","26653"
"2022/03/29","2836","2","26526"
"2022/03/28","2834","3","26511"
"2022/03/25","2831","12","26496"
"2022/03/24","2819","37","26385"
"2022/03/23","2782","42","26046"
"2022/03/22","2740","25","25666"
"2022/03/18","2715","48","25440"
"2022/03/17","2667","48","25003"
"2022/03/16","2619","20","24566"
"2022/03/15","2599","28","24399"
"2022/03/14","2571","-25","24158"
"2022/03/11","2596","100","24427"
"2022/03/10","2496","-35","23396"
"2022/03/09","2531","-35","23741"
"2022/03/08","2566","-60","23986"
"2022/03/07","2626","-59","24570"
"2022/03/04","2685","36","25119"
"2022/03/03","2649","-28","24785"
"2022/03/02","2677","14","25051"
"2022/03/01","2663","5","24936"
"2022/02/28","2658","45","24895"
"2022/02/25","2613","-11","24480"
"2022/02/24","2624","-62","24645"
"2022/02/22","2686","0","25224"
"2022/02/21","2686","-5","25224"
"2022/02/18","2691","-26","25293"
"2022/02/17","2717","38","25549"
"2022/02/16","2679","-29","25194"
"2022/02/15","2708","-56","25511"
"2022/02/14","2764","18","26044"
"2022/02/10","2746","-34","25814"
"2022/02/09","2780","15","26128"
"2022/02/08","2765","-13","26013"
"2022/02/07","2778","28","26137"
"2022/02/04","2750","-20","25878"
"2022/02/03","2770","55","26077"
"2022/02/02","2715","4","25543"
"2022/02/01","2711","33","25513"
"2022/01/31","2678","40","25206"
"2022/01/28","2638","-56","24703"
"2022/01/27","2694","12","25224"
"2022/01/26","2682","-62","25073"
"2022/01/25","2744","8","25658"
"2022/01/24","2736","-46","25570"
"2022/01/21","2782","10","25992"
"2022/01/20","2772","-99","25933"
"2022/01/19","2871","25","26863"
"2022/01/18","2846","0","26634"
"2022/01/17","2846","-38","26650"
"2022/01/14","2884","-21","27025"
"2022/01/13","2905","35","27216"
"2022/01/12","2870","-26","26905"
"2022/01/11","2896","-60","27082"
"2022/01/07","2956","-62","27646"
"2022/01/06","3018","-25","28232"
"2022/01/05","3043","58","28465"
"2022/01/04","2985","1","27935"
"2021/12/30","2984","-15","27933"
"2021/12/29","2999","25","28084"
"2021/12/28","2974","8","27824"
"2021/12/27","2966","0","27747"
"2021/12/24","2966","28","27754"
"2021/12/23","2938","12","27533"
"2021/12/22","2926","64","27439"
"2021/12/21","2862","-54","26856"
"2021/12/20","2916","-57","27383"
"2021/12/17","2973","47","27981"
"2021/12/16","2926","11","27557"
"2021/12/15","2915","-4","27459"
"2021/12/14","2919","20","27514"
"2021/12/13","2899","-23","27320"
"2021/12/10","2922","-71","27475"
"2021/12/09","2993","37","28180"
"2021/12/08","2956","56","27832"
"2021/12/07","2900","-13","27287"
"2021/12/06","2913","33","27438"
"2021/12/03","2880","-5","27138"
"2021/12/02","2885","3","27202"
"2021/12/01","2882","-35","27169"
"2021/11/30","2917","-12","27511"
"2021/11/29","2929","-88","27657"
"2021/11/26","3017","0","28487"
"2021/11/25","3017","-25","28511"
"2021/11/24","3042","26","28780"
"2021/11/22","3016","21","28609"
"2021/11/19","2995","-5","28430"
"2021/11/18","3000","1","28516"
"2021/11/17","2999","23","28531"
"2021/11/16","2976","14","28328"
"2021/11/15","2962","50","28234"
"2021/11/12","2912","0","27763"
"2021/11/11","2912","11","27783"
"2021/11/10","2901","-68","27618"
"2021/11/09","2969","-21","28232"
"2021/11/08","2990","-5","28474"
"2021/11/05","2995","16","28546"
"2021/11/04","2979","-3","28395"
"2021/11/02","2982","50","28510"
"2021/11/01","2932","26","28032"
"2021/10/29","2906","-10","27791"
"2021/10/28","2916","-13","27899"
"2021/10/27","2929","29","28075"
"2021/10/26","2900","-1","27826"
"2021/10/25","2901","13","27862"
"2021/10/22","2888","-46","27747"
"2021/10/21","2934","-7","28201"
"2021/10/20","2941","27","28261"
"2021/10/19","2914","-3","28003"
"2021/10/18","2917","55","28051"
"2021/10/15","2862","34","27547"
"2021/10/14","2828","-20","27247"
"2021/10/13","2848","59","27490"
"2021/10/12","2789","0","26924"
"2021/10/11","2789","-8","26850"
"2021/10/08","2797","18","26910"
"2021/10/07","2779","-15","26760"
"2021/10/06","2794","-32","26877"
"2021/10/05","2826","-44","27182"
"2021/10/04","2870","-73","27602"
"2021/10/01","2943","-20","28314"
"2021/09/30","2963","-41","28520"
"2021/09/29","3004","-34","28956"
"2021/09/28","3038","-13","29299"
"2021/09/27","3051","91","29431"
"2021/09/24","2960","-12","28571"
"2021/09/22","2972","-57","28714"
"2021/09/21","3029","31","29326"
"2021/09/17","2998","-14","29040"
"2021/09/16","3012","-16","29200"
"2021/09/15","3028","22","29396"
"2021/09/14","3006","11","29247"
"2021/09/13","2995","39","29178"
"2021/09/10","2956","-69","28754"
"2021/09/09","3025","8","29449"
"2021/09/08","3017","79","29512"
"2021/09/07","2938","0","28739"
"2021/09/06","2938","22","28825"
"2021/09/03","2916","10","28636"
