"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÉjÉbÉZÉCÅ|ÅÉçwì¸ÅEä∑ã‡éËêîóøÇ»ÇµÅÑÉjÉbÉZÉCÇsÇnÇoÇhÇwÉCÉìÉfÉbÉNÉXÉtÉ@ÉìÉh"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20150307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","14322","-164","54316"
"2023/04/05","14486","-284","54890"
"2023/04/04","14770","35","56019"
"2023/04/03","14735","104","55788"
"2023/03/31","14631","145","55451"
"2023/03/30","14486","81","54945"
"2023/03/29","14405","208","54675"
"2023/03/28","14197","35","53866"
"2023/03/27","14162","47","53710"
"2023/03/24","14115","-14","53520"
"2023/03/23","14129","-41","53564"
"2023/03/22","14170","244","53690"
"2023/03/20","13926","-219","52711"
"2023/03/17","14145","162","53523"
"2023/03/16","13983","-166","52830"
"2023/03/15","14149","92","53402"
"2023/03/14","14057","-387","52946"
"2023/03/13","14444","-220","54323"
"2023/03/10","14664","-287","55125"
"2023/03/09","14951","144","56212"
"2023/03/08","14807","45","55771"
"2023/03/07","14762","61","55625"
"2023/03/06","14701","123","55419"
"2023/03/03","14578","180","54975"
"2023/03/02","14398","-24","54291"
"2023/03/01","14422","32","54241"
"2023/02/28","14390","4","54086"
"2023/02/27","14386","36","54052"
"2023/02/24","14350","94","53933"
"2023/02/22","14256","-160","53540"
"2023/02/21","14416","-17","54143"
"2023/02/20","14433","56","54208"
"2023/02/17","14377","-65","53986"
"2023/02/16","14442","96","54269"
"2023/02/15","14346","-39","53892"
"2023/02/14","14385","111","54038"
"2023/02/13","14274","-66","53604"
"2023/02/10","14340","14","53840"
"2023/02/09","14326","8","53797"
"2023/02/08","14318","4","53733"
"2023/02/07","14314","29","53718"
"2023/02/06","14285","64","53619"
"2023/02/03","14221","37","53379"
"2023/02/02","14184","-50","53231"
"2023/02/01","14234","-24","53269"
"2023/01/31","14258","-51","53342"
"2023/01/30","14309","-1","53567"
"2023/01/27","14310","30","53576"
"2023/01/26","14280","-17","53468"
"2023/01/25","14297","56","53558"
"2023/01/24","14241","199","53392"
"2023/01/23","14042","134","52669"
"2023/01/20","13908","81","52151"
"2023/01/19","13827","-139","51831"
"2023/01/18","13966","230","52380"
"2023/01/17","13736","120","51513"
"2023/01/16","13616","-121","50992"
"2023/01/13","13737","-36","51467"
"2023/01/12","13773","50","51592"
"2023/01/11","13723","146","51380"
"2023/01/10","13577","37","50791"
"2023/01/06","13540","50","50639"
"2023/01/05","13490","5","50387"
"2023/01/04","13485","-171","50206"
"2022/12/30","13656","-24","50820"
"2022/12/29","13680","-78","50876"
"2022/12/28","13758","-8","51133"
"2022/12/27","13766","54","51189"
"2022/12/26","13712","34","50957"
"2022/12/23","13678","-74","50800"
"2022/12/22","13752","107","51085"
"2022/12/21","13645","-90","50624"
"2022/12/20","13735","-214","50898"
"2022/12/19","13949","-105","51640"
"2022/12/16","14054","-170","51999"
"2022/12/15","14224","-26","52595"
"2022/12/14","14250","83","52722"
"2022/12/13","14167","61","52409"
"2022/12/12","14106","-31","52091"
"2022/12/09","14137","144","52301"
"2022/12/08","13993","-48","51718"
"2022/12/07","14041","-14","51870"
"2022/12/06","14055","16","51897"
"2022/12/05","14039","-43","51813"
"2022/12/02","14082","-234","51922"
"2022/12/01","14316","5","52632"
"2022/11/30","14311","-52","52590"
"2022/11/29","14363","-81","52779"
"2022/11/28","14444","-99","53075"
"2022/11/25","14543","-6","53449"
"2022/11/24","14549","173","53500"
"2022/11/22","14376","160","52871"
"2022/11/21","14216","40","52276"
"2022/11/18","14176","5","52130"
"2022/11/17","14171","21","52106"
"2022/11/16","14150","-7","52017"
"2022/11/15","14157","54","52050"
"2022/11/14","14103","-151","51832"
"2022/11/11","14254","297","52415"
"2022/11/10","13957","-91","51284"
"2022/11/09","14048","-60","51628"
"2022/11/08","14108","169","51857"
"2022/11/07","13939","137","51222"
"2022/11/04","13802","-181","50716"
"2022/11/02","13983","13","51376"
"2022/11/01","13970","67","51214"
"2022/10/31","13903","220","50977"
"2022/10/28","13683","-49","50150"
"2022/10/27","13732","-92","50317"
"2022/10/26","13824","79","50654"
"2022/10/25","13745","145","50368"
"2022/10/24","13600","36","49814"
"2022/10/21","13564","-95","49669"
"2022/10/20","13659","-70","50005"
"2022/10/19","13729","25","50270"
"2022/10/18","13704","159","50183"
"2022/10/17","13545","-134","49553"
"2022/10/14","13679","315","50128"
"2022/10/13","13364","-106","48940"
"2022/10/12","13470","-17","49301"
"2022/10/11","13487","-256","49296"
"2022/10/07","13743","-114","50208"
"2022/10/06","13857","70","50641"
"2022/10/05","13787","43","50412"
"2022/10/04","13744","426","50350"
"2022/10/03","13318","84","48601"
"2022/09/30","13234","-235","48249"
"2022/09/29","13469","235","49044"
"2022/09/28","13234","-128","48125"
"2022/09/27","13362","62","48529"
"2022/09/26","13300","-371","48204"
"2022/09/22","13671","-33","49511"
"2022/09/21","13704","-189","49575"
"2022/09/20","13893","62","50252"
"2022/09/16","13831","-85","49959"
"2022/09/15","13916","22","50229"
"2022/09/14","13894","-279","50121"
"2022/09/13","14173","46","51161"
"2022/09/12","14127","103","51003"
"2022/09/09","14024","57","50715"
"2022/09/08","13967","299","50521"
"2022/09/07","13668","-77","49403"
"2022/09/06","13745","-17","49664"
"2022/09/05","13762","-9","49718"
"2022/09/02","13771","-38","49713"
"2022/09/01","13809","-197","49671"
"2022/08/31","14006","-37","50277"
"2022/08/30","14043","176","50403"
"2022/08/29","13867","-253","49714"
"2022/08/26","14120","20","50618"
"2022/08/25","14100","68","50513"
"2022/08/24","14032","-30","50238"
"2022/08/23","14062","-151","50330"
"2022/08/22","14213","-15","50869"
"2022/08/19","14228","29","50936"
"2022/08/18","14199","-118","50884"
"2022/08/17","14317","179","51374"
"2022/08/16","14138","-21","50755"
"2022/08/15","14159","84","50833"
"2022/08/12","14075","282","50567"
"2022/08/10","13793","-24","49511"
"2022/08/09","13817","-102","49590"
"2022/08/08","13919","29","49948"
"2022/08/05","13890","117","49847"
"2022/08/04","13773","1","49417"
"2022/08/03","13772","36","49390"
"2022/08/02","13736","-245","49233"
"2022/08/01","13981","140","49968"
"2022/07/29","13841","-61","49458"
"2022/07/28","13902","22","49679"
"2022/07/27","13880","19","49594"
"2022/07/26","13861","0","49508"
"2022/07/25","13861","-92","49500"
"2022/07/22","13953","39","49858"
"2022/07/21","13914","30","49735"
"2022/07/20","13884","312","49625"
"2022/07/19","13572","73","48496"
"2022/07/15","13499","-5","48204"
"2022/07/14","13504","30","48208"
"2022/07/13","13474","40","48089"
"2022/07/12","13434","-223","47892"
"2022/07/11","13657","192","48667"
"2022/07/08","13465","37","47972"
"2022/07/07","13428","189","47884"
"2022/07/06","13239","-166","47172"
"2022/07/05","13405","67","47758"
"2022/07/04","13338","176","47506"
"2022/07/01","13162","-184","46683"
"2022/06/30","13346","-162","47304"
"2022/06/29","13508","-81","47884"
"2022/06/28","13589","143","48236"
"2022/06/27","13446","147","47675"
"2022/06/24","13299","106","47148"
"2022/06/23","13193","-6","46749"
"2022/06/22","13199","-25","46767"
"2022/06/21","13224","264","46885"
"2022/06/20","12960","-119","45852"
"2022/06/17","13079","-229","46196"
"2022/06/16","13308","85","46946"
"2022/06/15","13223","-162","46573"
"2022/06/14","13385","-159","47080"
"2022/06/13","13544","-301","47557"
"2022/06/10","13845","-185","48561"
"2022/06/09","14030","-6","49231"
"2022/06/08","14036","163","49273"
"2022/06/07","13873","57","48725"
"2022/06/06","13816","41","48529"
"2022/06/03","13775","48","48384"
"2022/06/02","13727","-87","48199"
"2022/06/01","13814","186","48402"
"2022/05/31","13628","-70","47747"
"2022/05/30","13698","250","48059"
"2022/05/27","13448","69","47180"
"2022/05/26","13379","7","46917"
"2022/05/25","13372","-12","46840"
"2022/05/24","13384","-117","46868"
"2022/05/23","13501","123","47277"
"2022/05/20","13378","124","46806"
"2022/05/19","13254","-175","46350"
"2022/05/18","13429","128","46970"
"2022/05/17","13301","24","46508"
"2022/05/16","13277","-5","46381"
"2022/05/13","13282","249","46414"
