"基準価額一覧"
""
"ファンド名","ニッセイ－＜購入・換金手数料なし＞ニッセイ・インデックスバランスＦ　４資産均等型"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20150307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","14412","-67","28643"
"2023/04/05","14479","-125","28784"
"2023/04/04","14604","17","28792"
"2023/04/03","14587","25","28758"
"2023/03/31","14562","120","28695"
"2023/03/30","14442","127","28424"
"2023/03/29","14315","85","28158"
"2023/03/28","14230","18","27943"
"2023/03/27","14212","9","27891"
"2023/03/24","14203","6","27867"
"2023/03/23","14197","-109","27827"
"2023/03/22","14306","90","27997"
"2023/03/20","14216","-72","27806"
"2023/03/17","14288","88","27651"
"2023/03/16","14200","-126","27447"
"2023/03/15","14326","103","27683"
"2023/03/14","14223","-90","27460"
"2023/03/13","14313","-109","27622"
"2023/03/10","14422","-145","27837"
"2023/03/09","14567","27","28036"
"2023/03/08","14540","-7","27974"
"2023/03/07","14547","35","28037"
"2023/03/06","14512","60","27963"
"2023/03/03","14452","74","27830"
"2023/03/02","14378","-34","27441"
"2023/03/01","14412","-11","27490"
"2023/02/28","14423","49","27487"
"2023/02/27","14374","54","27371"
"2023/02/24","14320","1","27266"
"2023/02/22","14319","-94","27250"
"2023/02/21","14413","-9","27428"
"2023/02/20","14422","13","27438"
"2023/02/17","14409","-59","27395"
"2023/02/16","14468","81","27482"
"2023/02/15","14387","12","27330"
"2023/02/14","14375","112","27290"
"2023/02/13","14263","-32","27055"
"2023/02/10","14295","-13","27112"
"2023/02/09","14308","1","27079"
"2023/02/08","14307","-54","27067"
"2023/02/07","14361","-40","27171"
"2023/02/06","14401","130","27238"
"2023/02/03","14271","78","26959"
"2023/02/02","14193","-8","26549"
"2023/02/01","14201","17","26557"
"2023/01/31","14184","-54","26513"
"2023/01/30","14238","29","26596"
"2023/01/27","14209","32","26541"
"2023/01/26","14177","-60","26464"
"2023/01/25","14237","20","26561"
"2023/01/24","14217","135","26501"
"2023/01/23","14082","119","26221"
"2023/01/20","13963","12","25999"
"2023/01/19","13951","-182","25972"
"2023/01/18","14133","211","26263"
"2023/01/17","13922","59","25870"
"2023/01/16","13863","-88","25759"
"2023/01/13","13951","-98","25905"
"2023/01/12","14049","40","26072"
"2023/01/11","14009","70","25894"
"2023/01/10","13939","50","25749"
"2023/01/06","13889","39","25603"
"2023/01/05","13850","137","25224"
"2023/01/04","13713","-157","24960"
"2022/12/30","13870","-12","25231"
"2022/12/29","13882","-55","25079"
"2022/12/28","13937","-6","25179"
"2022/12/27","13943","64","25189"
"2022/12/26","13879","-14","25050"
"2022/12/23","13893","-48","25047"
"2022/12/22","13941","111","25096"
"2022/12/21","13830","-187","24848"
"2022/12/20","14017","-202","25146"
"2022/12/19","14219","-170","25485"
"2022/12/16","14389","-48","25758"
"2022/12/15","14437","-24","25840"
"2022/12/14","14461","-34","25873"
"2022/12/13","14495","108","25870"
"2022/12/12","14387","-63","25653"
"2022/12/09","14450","83","25694"
"2022/12/08","14367","-32","25522"
"2022/12/07","14399","-2","25559"
"2022/12/06","14401","23","25502"
"2022/12/05","14378","-54","25450"
"2022/12/02","14432","-84","25273"
"2022/12/01","14516","31","25391"
"2022/11/30","14485","-16","25328"
"2022/11/29","14501","-98","25301"
"2022/11/28","14599","-49","25423"
"2022/11/25","14648","-7","25508"
"2022/11/24","14655","27","25510"
"2022/11/22","14628","106","25421"
"2022/11/21","14522","16","25227"
"2022/11/18","14506","12","25173"
