"基準価額一覧"
""
"ファンド名","ニッセイ－＜購入・換金手数料なし＞ニッセイ日経平均インデックスファンド"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20160307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","17194","-213","44750"
"2023/04/05","17407","-297","45150"
"2023/04/04","17704","60","46152"
"2023/04/03","17644","94","45759"
"2023/03/31","17550","160","45881"
"2023/03/30","17390","98","45384"
"2023/03/29","17292","226","45517"
"2023/03/28","17066","25","44948"
"2023/03/27","17041","57","44867"
"2023/03/24","16984","-20","44670"
"2023/03/23","17004","-31","44524"
"2023/03/22","17035","323","44642"
"2023/03/20","16712","-240","43628"
"2023/03/17","16952","199","44263"
"2023/03/16","16753","-137","43206"
"2023/03/15","16890","7","43355"
"2023/03/14","16883","-380","42974"
"2023/03/13","17263","-192","43717"
"2023/03/10","17455","-299","44054"
"2023/03/09","17754","112","45004"
"2023/03/08","17642","83","44861"
"2023/03/07","17559","45","44875"
"2023/03/06","17514","194","45143"
"2023/03/03","17320","265","45198"
"2023/03/02","17055","-11","44497"
"2023/03/01","17066","43","44401"
"2023/02/28","17023","14","44298"
"2023/02/27","17009","-8","44218"
"2023/02/24","17017","215","44436"
"2023/02/22","16802","-228","43649"
"2023/02/21","17030","-37","44217"
"2023/02/20","17067","12","44303"
"2023/02/17","17055","-115","44156"
"2023/02/16","17170","121","44693"
"2023/02/15","17049","-63","44274"
"2023/02/14","17112","109","44267"
"2023/02/13","17003","-152","43875"
"2023/02/10","17155","55","44283"
"2023/02/09","17100","-14","44149"
"2023/02/08","17114","-49","44142"
"2023/02/07","17163","-6","44324"
"2023/02/06","17169","115","44471"
"2023/02/03","17054","66","44277"
"2023/02/02","16988","35","44128"
"2023/02/01","16953","12","44012"
"2023/01/31","16941","-66","44054"
"2023/01/30","17007","32","44344"
"2023/01/27","16975","12","44320"
"2023/01/26","16963","-20","44354"
"2023/01/25","16983","60","44615"
"2023/01/24","16923","244","45092"
"2023/01/23","16679","218","44541"
"2023/01/20","16461","92","43964"
"2023/01/19","16369","-239","43674"
"2023/01/18","16608","402","44492"
"2023/01/17","16206","197","43195"
"2023/01/16","16009","-185","42430"
"2023/01/13","16194","-204","42859"
"2023/01/12","16398","2","43451"
"2023/01/11","16396","167","43408"
"2023/01/10","16229","125","42873"
"2023/01/06","16104","94","42446"
"2023/01/05","16010","65","41976"
"2023/01/04","15945","-235","41431"
"2022/12/30","16180","1","41926"
"2022/12/29","16179","-126","41735"
"2022/12/28","16305","-67","41969"
"2022/12/27","16372","24","42136"
"2022/12/26","16348","107","41910"
"2022/12/23","16241","-170","41395"
"2022/12/22","16411","75","41729"
"2022/12/21","16336","-112","41073"
"2022/12/20","16448","-414","40822"
"2022/12/19","16862","-177","41523"
"2022/12/16","17039","-324","41579"
"2022/12/15","17363","-65","42126"
"2022/12/14","17428","124","42374"
"2022/12/13","17304","70","42136"
"2022/12/12","17234","-37","41818"
"2022/12/09","17271","202","42066"
"2022/12/08","17069","-69","41336"
"2022/12/07","17138","-124","41441"
"2022/12/06","17262","40","41760"
"2022/12/05","17222","27","41637"
"2022/12/02","17195","-279","41207"
"2022/12/01","17474","158","41897"
"2022/11/30","17316","-35","41389"
"2022/11/29","17351","-83","41298"
"2022/11/28","17434","-76","41394"
"2022/11/25","17510","-61","41508"
"2022/11/24","17571","165","41802"
"2022/11/22","17406","106","41526"
"2022/11/21","17300","28","41256"
