"基準価額一覧"
""
"ファンド名","フィデリティ－フィデリティ・ＵＳリート・ファンドＡ（為替ヘッジあり）"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20030307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","7094","-54","33149"
"2023/04/05","7148","-8","33402"
"2023/04/04","7156","-74","33417"
"2023/04/03","7230","161","33751"
"2023/03/31","7069","88","32955"
"2023/03/30","6981","143","32524"
"2023/03/29","6838","-16","31849"
"2023/03/28","6854","5","31878"
"2023/03/27","6849","156","31850"
"2023/03/24","6693","-24","31108"
"2023/03/23","6717","-262","31225"
"2023/03/22","6979","36","32431"
"2023/03/20","6943","-164","32226"
"2023/03/17","7107","-32","32959"
"2023/03/16","7139","-20","33106"
"2023/03/15","7159","26","32749"
"2023/03/14","7133","109","32611"
"2023/03/13","7024","-230","32110"
"2023/03/10","7254","-176","33146"
"2023/03/09","7430","77","33925"
"2023/03/08","7353","-173","33514"
"2023/03/07","7526","-27","34297"
"2023/03/06","7553","123","34418"
"2023/03/03","7430","94","33854"
"2023/03/02","7336","-115","33420"
"2023/03/01","7451","-31","33941"
"2023/02/28","7482","10","34067"
"2023/02/27","7472","-106","33968"
"2023/02/24","7578","-4","34435"
"2023/02/22","7582","-119","34404"
"2023/02/21","7701","-1","34944"
"2023/02/20","7702","-36","34906"
"2023/02/17","7738","-67","35031"
"2023/02/16","7805","13","35308"
"2023/02/15","7792","-121","35236"
"2023/02/14","7913","72","35790"
"2023/02/13","7841","11","35487"
"2023/02/10","7830","-111","35403"
"2023/02/09","7941","-24","35891"
"2023/02/08","7965","6","35824"
"2023/02/07","7959","-47","35748"
"2023/02/06","8006","-146","35973"
"2023/02/03","8152","192","36604"
"2023/02/02","7960","34","35728"
"2023/02/01","7926","177","35560"
"2023/01/31","7749","-100","34764"
"2023/01/30","7849","83","35160"
"2023/01/27","7766","78","34769"
"2023/01/26","7688","-5","34422"
"2023/01/25","7693","41","34464"
"2023/01/24","7652","62","34249"
"2023/01/23","7590","94","33913"
"2023/01/20","7496","-41","33405"
"2023/01/19","7537","-99","33609"
"2023/01/18","7636","34","34017"
"2023/01/17","7602","0","33864"
"2023/01/16","7602","-122","33849"
"2023/01/13","7724","85","34399"
"2023/01/12","7639","257","34025"
"2023/01/11","7382","11","32875"
"2023/01/10","7371","182","32801"
"2023/01/06","7189","-194","31993"
"2023/01/05","7383","150","32879"
"2023/01/04","7233","-63","32194"
"2022/12/30","7296","148","32449"
"2022/12/29","7148","-122","31753"
"2022/12/28","7270","-2","32277"
"2022/12/27","7272","-1","32287"
"2022/12/26","7273","53","32270"
"2022/12/23","7220","-17","32031"
"2022/12/22","7237","43","32118"
"2022/12/21","7194","-18","31970"
"2022/12/20","7212","-91","32019"
"2022/12/19","7303","-194","32355"
"2022/12/16","7497","-101","33211"
"2022/12/15","7598","-124","33666"
"2022/12/14","7722","108","34249"
"2022/12/13","7614","49","33720"
"2022/12/12","7565","-20","33488"
"2022/12/09","7585","56","33555"
"2022/12/08","7529","5","33288"
"2022/12/07","7524","-55","33247"
"2022/12/06","7579","-129","33479"
"2022/12/05","7708","-20","33993"
"2022/12/02","7728","-29","34084"
"2022/12/01","7757","169","34115"
"2022/11/30","7588","137","33152"
"2022/11/29","7451","-180","32521"
"2022/11/28","7631","36","33251"
"2022/11/25","7595","-1","33097"
"2022/11/24","7596","47","32889"
"2022/11/22","7549","23","32627"
"2022/11/21","7526","112","32554"
"2022/11/18","7414","-43","32066"
"2022/11/17","7457","-57","32030"
"2022/11/16","7514","74","32272"
"2022/11/15","7440","-238","31860"
"2022/11/14","7678","-8","32880"
"2022/11/11","7686","492","32832"
"2022/11/10","7194","-63","30741"
"2022/11/09","7257","51","30909"
