"基準価額一覧"
""
"ファンド名","フィデリティ－フィデリティ・ＵＳリート・ファンドＢ（為替ヘッジなし）"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20030307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","2894","-30","639480"
"2023/04/05","2924","-27","646031"
"2023/04/04","2951","-41","651724"
"2023/04/03","2992","58","660679"
"2023/03/31","2934","57","647660"
"2023/03/30","2877","87","634599"
"2023/03/29","2790","6","614635"
"2023/03/28","2784","4","612765"
"2023/03/27","2780","65","611569"
"2023/03/24","2715","-15","596926"
"2023/03/23","2730","-144","600007"
"2023/03/22","2874","13","631291"
"2023/03/20","2861","-85","628168"
"2023/03/17","2946","-8","646550"
"2023/03/16","2954","-36","647852"
"2023/03/15","2990","31","653405"
"2023/03/14","2959","21","645800"
"2023/03/13","2938","-131","640424"
"2023/03/10","3069","-97","668665"
"2023/03/09","3166","27","689608"
"2023/03/08","3139","-43","683495"
"2023/03/07","3182","-7","692578"
"2023/03/06","3189","35","693947"
"2023/03/03","3154","52","686412"
"2023/03/02","3102","-53","674999"
"2023/03/01","3155","-11","686416"
"2023/02/28","3166","6","688385"
"2023/02/27","3160","7","686765"
"2023/02/24","3153","-18","685068"
"2023/02/22","3171","-35","688867"
"2023/02/21","3206","-3","696520"
"2023/02/20","3209","-13","697157"
"2023/02/17","3222","-20","699690"
"2023/02/16","3242","38","703847"
"2023/02/15","3204","-47","693715"
"2023/02/14","3251","42","703551"
"2023/02/13","3209","8","693967"
"2023/02/10","3201","-42","692324"
"2023/02/09","3243","8","701118"
"2023/02/08","3235","-38","699178"
"2023/02/07","3273","-14","707037"
"2023/02/06","3287","35","709814"
"2023/02/03","3252","83","702279"
"2023/02/02","3169","-20","684164"
"2023/02/01","3189","57","688315"
"2023/01/31","3132","-31","675707"
"2023/01/30","3163","49","682221"
"2023/01/27","3114","40","671568"
"2023/01/26","3074","-29","662729"
"2023/01/25","3103","17","668813"
"2023/01/24","3086","52","664933"
"2023/01/23","3034","54","653824"
"2023/01/20","2980","-11","642064"
"2023/01/19","2991","-101","644349"
"2023/01/18","3092","75","665593"
"2023/01/17","3017","13","649488"
"2023/01/16","3004","-91","644807"
"2023/01/13","3095","-27","663067"
"2023/01/12","3122","98","668638"
"2023/01/11","3024","17","647242"
"2023/01/10","3007","36","643184"
"2023/01/06","2971","-45","635226"
"2023/01/05","3016","88","644188"
"2023/01/04","2928","-60","625272"
"2022/12/30","2988","29","637913"
"2022/12/29","2959","-45","631558"
"2022/12/28","3004","15","640807"
"2022/12/27","2989","20","637640"
"2022/12/26","2969","15","633540"
"2022/12/23","2954","3","630191"
"2022/12/22","2951","31","629347"
"2022/12/21","2920","-69","622328"
"2022/12/20","2989","-77","637002"
"2022/12/19","3066","-117","653011"
"2022/12/16","3183","10","677692"
"2022/12/15","3173","-62","674207"
"2022/12/14","3235","-6","686735"
"2022/12/13","3241","45","687802"
"2022/12/12","3196","-11","677690"
"2022/12/09","3207","33","680054"
"2022/12/08","3174","-14","672845"
"2022/12/07","3188","-6","675654"
"2022/12/06","3194","-12","676829"
"2022/12/05","3206","-28","679440"
"2022/12/02","3234","-47","685265"
"2022/12/01","3281","32","695078"
"2022/11/30","3249","60","688065"
"2022/11/29","3189","-89","674917"
"2022/11/28","3278","18","693229"
"2022/11/25","3260","-4","689502"
"2022/11/24","3264","-42","690101"
"2022/11/22","3306","51","698867"
"2022/11/21","3255","54","687540"
"2022/11/18","3201","-2","675946"
"2022/11/17","3203","-27","676146"
"2022/11/16","3230","15","681737"
"2022/11/15","3215","-97","676702"
"2022/11/14","3312","-57","697250"
"2022/11/11","3369","128","708806"
"2022/11/10","3241","-15","681766"
"2022/11/09","3256","8","684914"
"2022/11/08","3248","-12","682940"
"2022/11/07","3260","13","685469"
"2022/11/04","3247","-79","682547"
"2022/11/02","3326","-42","698934"
"2022/11/01","3368","6","707519"
"2022/10/31","3362","106","706020"
"2022/10/28","3256","12","683607"
"2022/10/27","3244","-53","680884"
"2022/10/26","3297","107","692013"
"2022/10/25","3190","-3","669479"
"2022/10/24","3193","2","669988"
"2022/10/21","3191","-1","669198"
"2022/10/20","3192","-67","669545"
"2022/10/19","3259","47","683414"
"2022/10/18","3212","128","673864"
"2022/10/17","3084","-89","645325"
"2022/10/14","3173","65","663662"
"2022/10/13","3108","-15","649626"
"2022/10/12","3123","47","652617"
"2022/10/11","3076","-84","642695"
"2022/10/07","3160","-83","659993"
"2022/10/06","3243","-48","677276"
"2022/10/05","3291","39","687309"
"2022/10/04","3252","51","679070"
"2022/10/03","3201","40","668078"
"2022/09/30","3161","-81","658935"
"2022/09/29","3242","63","675294"
"2022/09/28","3179","-47","661275"
"2022/09/27","3226","-81","670682"
"2022/09/26","3307","-100","687251"
"2022/09/22","3407","-33","707576"
"2022/09/21","3440","-69","714387"
"2022/09/20","3509","-10","728476"
"2022/09/16","3519","-72","730293"
"2022/09/15","3591","-105","744005"
"2022/09/14","3696","-82","765493"
"2022/09/13","3778","29","782623"
"2022/09/12","3749","16","776590"
"2022/09/09","3733","-17","773098"
"2022/09/08","3750","113","777361"
"2022/09/07","3637","107","754069"
"2022/09/06","3530","-2","731810"
"2022/09/05","3532","-40","732093"
"2022/09/02","3572","18","740077"
"2022/09/01","3554","5","736338"
"2022/08/31","3549","-46","735036"
"2022/08/30","3595","-27","743873"
"2022/08/29","3622","-48","748899"
"2022/08/26","3670","47","758408"
"2022/08/25","3623","30","748370"
"2022/08/24","3593","-64","742185"
"2022/08/23","3657","-69","755165"
"2022/08/22","3726","-19","769455"
"2022/08/19","3745","12","773355"
"2022/08/18","3733","3","771121"
"2022/08/17","3730","23","770627"
"2022/08/16","3707","15","765647"
"2022/08/15","3692","20","761093"
"2022/08/12","3672","-11","756868"
"2022/08/10","3683","33","758988"
"2022/08/09","3650","16","751639"
"2022/08/08","3634","71","748089"
"2022/08/05","3563","-17","733319"
"2022/08/04","3580","4","736985"
"2022/08/03","3576","28","736136"
"2022/08/02","3548","-89","730318"
"2022/08/01","3637","-40","748634"
"2022/07/29","3677","73","756458"
"2022/07/28","3604","4","741034"
"2022/07/27","3600","15","739560"
"2022/07/26","3585","6","736378"
"2022/07/25","3579","1","735352"
"2022/07/22","3578","-10","735221"
"2022/07/21","3588","8","737156"
"2022/07/20","3580","85","735582"
"2022/07/19","3495","27","718109"
"2022/07/15","3468","-54","711044"
"2022/07/14","3522","11","721611"
"2022/07/13","3511","-22","719290"
"2022/07/12","3533","17","723897"
"2022/07/11","3516","-10","720625"
"2022/07/08","3526","17","722620"
"2022/07/07","3509","-2","719504"
"2022/07/06","3511","-28","719890"
"2022/07/05","3539","30","725649"
"2022/07/04","3509","34","719292"
"2022/07/01","3475","-27","712157"
"2022/06/30","3502","-21","717481"
"2022/06/29","3523","-13","721452"
"2022/06/28","3536","19","724000"
"2022/06/27","3517","65","720135"
"2022/06/24","3452","38","706482"
"2022/06/23","3414","37","697893"
"2022/06/22","3377","69","689824"
"2022/06/21","3308","-1","675671"
"2022/06/20","3309","64","675568"
"2022/06/17","3245","-105","661973"
"2022/06/16","3350","72","682957"
"2022/06/15","3278","-29","666488"
"2022/06/14","3307","-199","671911"
"2022/06/13","3506","-57","711974"
"2022/06/10","3563","-86","723450"
"2022/06/09","3649","-47","740494"
"2022/06/08","3696","68","749529"
"2022/06/07","3628","23","734218"
"2022/06/06","3605","-23","729295"
"2022/06/03","3628","34","733388"
"2022/06/02","3594","14","725926"
"2022/06/01","3580","-23","721459"
"2022/05/31","3603","33","726152"
"2022/05/30","3570","93","718415"
"2022/05/27","3477","-4","698824"
"2022/05/26","3481","51","699089"
"2022/05/25","3430","5","688209"
"2022/05/24","3425","33","686827"
"2022/05/23","3392","12","679286"
"2022/05/20","3380","-37","676564"
"2022/05/19","3417","-128","683394"
"2022/05/18","3545","45","708567"
"2022/05/17","3500","-26","699112"
"2022/05/16","3526","82","702662"
"2022/05/13","3444","-2","686264"
"2022/05/12","3446","-4","686249"
"2022/05/11","3450","-46","686878"
"2022/05/10","3496","-183","696143"
"2022/05/09","3679","-39","732304"
"2022/05/06","3718","-113","740071"
