"基準価額一覧"
""
"ファンド名","フィデリティ－フィデリティ・ストラテジック・インカム・ファンドＢ為替ヘッジなし"
""
"検索期間","検索開始年月日","検索終了年月日"
"","19980307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","6051","-20","4275"
"2023/04/05","6071","-36","4295"
"2023/04/04","6107","4","4320"
"2023/04/03","6103","11","4317"
"2023/03/31","6092","62","4309"
"2023/03/30","6030","66","4266"
"2023/03/29","5964","19","4170"
"2023/03/28","5945","-18","4156"
"2023/03/27","5963","-8","4168"
"2023/03/24","5971","1","4173"
"2023/03/23","5970","-42","4175"
"2023/03/22","6012","-16","4213"
"2023/03/20","6028","-28","4223"
"2023/03/17","6056","3","4245"
"2023/03/16","6053","-54","4242"
"2023/03/15","6107","46","4232"
"2023/03/14","6061","-29","4201"
"2023/03/13","6090","-36","4221"
"2023/03/10","6126","-42","4250"
"2023/03/09","6168","-23","4279"
"2023/03/08","6191","37","4293"
"2023/03/07","6154","19","4268"
"2023/03/06","6135","6","4250"
"2023/03/03","6129","4","4244"
"2023/03/02","6125","-29","4241"
"2023/03/01","6154","-3","4259"
"2023/02/28","6157","16","4256"
"2023/02/27","6141","69","4246"
"2023/02/24","6072","4","4199"
"2023/02/22","6068","-23","4196"
"2023/02/21","6091","-5","4212"
"2023/02/20","6096","-17","4216"
"2023/02/17","6113","-6","4228"
"2023/02/16","6119","43","4231"
"2023/02/15","6076","8","4202"
"2023/02/14","6068","34","4198"
"2023/02/13","6034","-32","4179"
"2023/02/10","6066","-9","4202"
"2023/02/09","6075","31","4209"
"2023/02/08","6044","-86","4183"
"2023/02/07","6130","-34","4245"
"2023/02/06","6164","123","4267"
"2023/02/03","6041","46","4183"
"2023/02/02","5995","-32","4149"
"2023/02/01","6027","-15","4172"
"2023/01/31","6042","-2","4180"
"2023/01/30","6044","25","4181"
"2023/01/27","6019","13","4164"
"2023/01/26","6006","-47","4154"
"2023/01/25","6053","12","4191"
"2023/01/24","6041","49","4185"
"2023/01/23","5992","13","4153"
"2023/01/20","5979","-21","4141"
"2023/01/19","6000","-78","4136"
"2023/01/18","6078","120","4197"
"2023/01/17","5958","23","4114"
"2023/01/16","5935","-64","4100"
"2023/01/13","5999","-82","4144"
"2023/01/12","6081","14","4203"
"2023/01/11","6067","9","4099"
"2023/01/10","6058","12","4093"
"2023/01/06","6046","56","4084"
"2023/01/05","5990","88","4046"
"2023/01/04","5902","-67","3986"
"2022/12/30","5969","-62","4032"
"2022/12/29","6031","-11","4073"
"2022/12/28","6042","12","4085"
"2022/12/27","6030","44","4076"
"2022/12/26","5986","-33","4044"
"2022/12/23","6019","11","4080"
"2022/12/22","6008","37","4077"
"2022/12/21","5971","-146","4052"
"2022/12/20","6117","-117","4148"
"2022/12/19","6234","-90","4219"
"2022/12/16","6324","78","4281"
"2022/12/15","6246","12","4228"
"2022/12/14","6234","-61","4216"
"2022/12/13","6295","48","4258"
"2022/12/12","6247","-25","4221"
"2022/12/09","6272","17","4239"
"2022/12/08","6255","-13","4227"
"2022/12/07","6268","30","4239"
"2022/12/06","6238","53","4219"
"2022/12/05","6185","-27","4181"
"2022/12/02","6212","-11","4201"
"2022/12/01","6223","-38","4207"
"2022/11/30","6261","-1","4232"
"2022/11/29","6262","-16","4229"
"2022/11/28","6278","-2","4241"
"2022/11/25","6280","-3","4242"
"2022/11/24","6283","-61","4244"
"2022/11/22","6344","70","4279"
"2022/11/21","6274","-14","4225"
"2022/11/18","6288","3","4236"
"2022/11/17","6285","22","4239"
"2022/11/16","6263","1","4224"
"2022/11/15","6262","52","4179"
"2022/11/14","6210","-95","4144"
"2022/11/11","6305","-84","4205"
"2022/11/10","6389","13","4261"
"2022/11/09","6376","-15","4248"
"2022/11/08","6391","-10","4264"
"2022/11/07","6401","-43","4273"
"2022/11/04","6444","-25","4304"
"2022/11/02","6469","-38","4307"
"2022/11/01","6507","2","4335"
"2022/10/31","6505","75","4330"
"2022/10/28","6430","53","4279"
"2022/10/27","6377","-50","4240"
"2022/10/26","6427","15","4273"
"2022/10/25","6412","16","4252"
"2022/10/24","6396","-52","4240"
"2022/10/21","6448","-11","4273"
"2022/10/20","6459","-31","4270"
"2022/10/19","6490","37","4289"
"2022/10/18","6453","35","4264"
"2022/10/17","6418","39","4232"
"2022/10/14","6379","5","4202"
"2022/10/13","6374","40","4196"
"2022/10/12","6334","6","4166"
"2022/10/11","6328","-25","4161"
"2022/10/07","6353","-4","4176"
"2022/10/06","6357","-1","4177"
"2022/10/05","6358","26","4178"
"2022/10/04","6332","41","4165"
"2022/10/03","6291","1","4136"
"2022/09/30","6290","-19","4132"
"2022/09/29","6309","30","4154"
"2022/09/28","6279","-25","4086"
"2022/09/27","6304","-46","4106"
"2022/09/26","6350","-133","4137"
"2022/09/22","6483","39","4211"
"2022/09/21","6444","-11","4185"
"2022/09/20","6455","-41","4189"
"2022/09/16","6496","-27","4225"
"2022/09/15","6523","-50","4249"
"2022/09/14","6573","31","4282"
"2022/09/13","6542","-2","4265"
"2022/09/12","6544","-15","4267"
"2022/09/09","6559","-27","4275"
"2022/09/08","6586","87","4297"
"2022/09/07","6499","90","4241"
"2022/09/06","6409","-2","4182"
"2022/09/05","6411","35","4184"
"2022/09/02","6376","-12","4161"
"2022/09/01","6388","19","4169"
"2022/08/31","6369","-14","4156"
"2022/08/30","6383","-13","4165"
"2022/08/29","6396","55","4165"
"2022/08/26","6341","13","4133"
"2022/08/25","6328","0","4124"
"2022/08/24","6328","-21","4126"
"2022/08/23","6349","-37","4140"
"2022/08/22","6386","-26","4161"
"2022/08/19","6412","64","4178"
"2022/08/18","6348","-8","4139"
"2022/08/17","6356","42","4123"
"2022/08/16","6314","10","4096"
"2022/08/15","6304","-8","4090"
"2022/08/12","6312","-65","4095"
"2022/08/10","6377","4","4138"
"2022/08/09","6373","11","4144"
"2022/08/08","6362","68","4143"
"2022/08/05","6294","-4","4100"
"2022/08/04","6298","11","4106"
"2022/08/03","6287","109","4098"
"2022/08/02","6178","-65","4027"
"2022/08/01","6243","-48","4068"
"2022/07/29","6291","-29","4099"
"2022/07/28","6320","-18","4119"
"2022/07/27","6338","14","4129"
"2022/07/26","6324","-10","4121"
"2022/07/25","6334","15","4126"
"2022/07/22","6319","-23","4117"
"2022/07/21","6342","44","4126"
"2022/07/20","6298","-19","4094"
"2022/07/19","6317","4","4109"
"2022/07/15","6313","18","4112"
"2022/07/14","6295","38","4099"
"2022/07/13","6257","-9","4071"
"2022/07/12","6266","40","4077"
