"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇfÇrÅ|ÇéÇÖÇîÇvÇhÇmÅ@ÇfÇrÉeÉNÉmÉçÉWÅ[äîéÆÉtÉ@ÉìÉhÅ@ÇaÉRÅ[ÉXÅià◊ë÷ÉwÉbÉWÇ»ÇµÅj"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","19990307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","20362","-359","666741"
"2023/04/05","20721","-206","678711"
"2023/04/04","20927","-202","685590"
"2023/04/03","21129","364","692244"
"2023/03/31","20765","351","679807"
"2023/03/30","20414","599","668466"
"2023/03/29","19815","-21","649001"
"2023/03/28","19836","-97","649293"
"2023/03/27","19933","-36","652409"
"2023/03/24","19969","255","653566"
"2023/03/23","19714","-610","645259"
"2023/03/22","20324","299","665232"
"2023/03/20","20025","-204","655505"
"2023/03/17","20229","686","662159"
"2023/03/16","19543","-189","639494"
"2023/03/15","19732","630","645809"
"2023/03/14","19102","-60","625329"
"2023/03/13","19162","-687","627448"
"2023/03/10","19849","-585","650084"
"2023/03/09","20434","89","669631"
"2023/03/08","20345","-44","666914"
"2023/03/07","20389","4","668724"
"2023/03/06","20385","218","668597"
"2023/03/03","20167","360","661146"
"2023/03/02","19807","-180","649504"
"2023/03/01","19987","8","655336"
"2023/02/28","19979","136","654818"
"2023/02/27","19843","-129","650274"
"2023/02/24","19972","258","654398"
"2023/02/22","19714","-385","646165"
"2023/02/21","20099","-21","658794"
"2023/02/20","20120","-270","659714"
"2023/02/17","20390","-396","668329"
"2023/02/16","20786","386","681304"
"2023/02/15","20400","217","668692"
"2023/02/14","20183","302","661584"
"2023/02/13","19881","-168","651807"
"2023/02/10","20049","-134","657613"
"2023/02/09","20183","-180","662193"
"2023/02/08","20363","162","668381"
"2023/02/07","20201","-210","663320"
"2023/02/06","20411","-28","670035"
"2023/02/03","20439","745","671041"
"2023/02/02","19694","261","646596"
"2023/02/01","19433","269","637755"
"2023/01/31","19164","-367","628879"
"2023/01/30","19531","215","641021"
"2023/01/27","19316","453","633735"
"2023/01/26","18863","-186","618999"
"2023/01/25","19049","-95","625207"
"2023/01/24","19144","501","628425"
"2023/01/23","18643","664","612215"
"2023/01/20","17979","-147","590743"
"2023/01/19","18126","-626","595793"
"2023/01/18","18752","413","616481"
"2023/01/17","18339","76","602926"
"2023/01/16","18263","-18","600546"
"2023/01/13","18281","-186","601338"
"2023/01/12","18467","359","607900"
"2023/01/11","18108","258","596147"
"2023/01/10","17850","509","587898"
"2023/01/06","17341","-301","571244"
"2023/01/05","17642","258","580998"
"2023/01/04","17384","-294","572531"
"2022/12/30","17678","314","581844"
"2022/12/29","17364","-145","571573"
"2022/12/28","17509","-153","576006"
"2022/12/27","17662","119","581024"
"2022/12/26","17543","-15","577294"
"2022/12/23","17558","-435","578351"
"2022/12/22","17993","323","592738"
"2022/12/21","17670","-340","582529"
"2022/12/20","18010","-550","594117"
"2022/12/19","18560","-426","612403"
"2022/12/16","18986","-372","626263"
"2022/12/15","19358","-125","638922"
"2022/12/14","19483","-27","643265"
"2022/12/13","19510","502","644692"
"2022/12/12","19008","-145","628360"
"2022/12/09","19153","380","633886"
"2022/12/08","18773","-144","621409"
"2022/12/07","18917","-321","626309"
"2022/12/06","19238","-269","637101"
"2022/12/05","19507","-316","646202"
"2022/12/02","19823","-137","656186"
"2022/12/01","19960","695","660708"
"2022/11/30","19265","-666","629286"
"2022/11/29","19931","-315","650785"
"2022/11/28","20246","-115","660933"
"2022/11/25","20361","-23","664675"
"2022/11/24","20384","206","665537"
"2022/11/22","20178","-38","658655"
"2022/11/21","20216","-12","659942"
"2022/11/18","20228","-103","660194"
"2022/11/17","20331","-491","663544"
"2022/11/16","20822","341","679588"
"2022/11/15","20481","-200","668697"
"2022/11/14","20681","182","675230"
"2022/11/11","20499","1223","669418"
"2022/11/10","19276","-487","629624"
"2022/11/09","19763","143","645696"
"2022/11/08","19620","176","641030"
"2022/11/07","19444","-120","635315"
"2022/11/04","19564","-1285","639755"
"2022/11/02","20849","-365","681788"
"2022/11/01","21214","-202","693171"
"2022/10/31","21416","637","699522"
"2022/10/28","20779","-93","678771"
"2022/10/27","20872","-904","681750"
"2022/10/26","21776","555","711242"
"2022/10/25","21221","128","692201"
"2022/10/24","21093","185","688041"
"2022/10/21","20908","95","681950"
"2022/10/20","20813","-66","678759"
"2022/10/19","20879","340","680822"
"2022/10/18","20539","864","669382"
"2022/10/17","19675","-550","641330"
"2022/10/14","20225","374","659233"
"2022/10/13","19851","23","647088"
"2022/10/12","19828","-420","646268"
"2022/10/11","20248","-1376","660092"
"2022/10/07","21624","-108","705218"
"2022/10/06","21732","178","708920"
"2022/10/05","21554","717","703293"
"2022/10/04","20837","556","679914"
"2022/10/03","20281","-259","661780"
"2022/09/30","20540","-454","669523"
"2022/09/29","20994","374","685242"
"2022/09/28","20620","131","672903"
"2022/09/27","20489","-153","668558"
"2022/09/26","20642","-792","673305"
"2022/09/22","21434","-231","698815"
"2022/09/21","21665","-273","706180"
"2022/09/20","21938","-174","715305"
"2022/09/16","22112","-583","720590"
"2022/09/15","22695","-23","739767"
"2022/09/14","22718","-991","741256"
"2022/09/13","23709","277","773863"
"2022/09/12","23432","474","764881"
"2022/09/09","22958","156","749588"
"2022/09/08","22802","649","744705"
"2022/09/07","22153","275","724016"
"2022/09/06","21878","-13","715007"
"2022/09/05","21891","-216","715553"
"2022/09/02","22107","-75","722544"
"2022/09/01","22182","-10","724542"
"2022/08/31","22192","-137","724496"
"2022/08/30","22329","-282","728799"
"2022/08/29","22611","-727","737817"
"2022/08/26","23338","439","761141"
"2022/08/25","22899","84","747048"
"2022/08/24","22815","-13","744495"
"2022/08/23","22828","-688","745034"
"2022/08/22","23516","-450","767463"
"2022/08/19","23966","371","782429"
"2022/08/18","23595","-324","770556"
"2022/08/17","23919","104","781705"
"2022/08/16","23815","163","778150"
"2022/08/15","23652","483","773370"
"2022/08/12","23169","192","757825"
"2022/08/10","22977","-357","752279"
"2022/08/09","23334","-118","763802"
"2022/08/08","23452","458","767510"
"2022/08/05","22994","27","752651"
"2022/08/04","22967","751","751785"
"2022/08/03","22216","531","727516"
"2022/08/02","21685","-340","709831"
"2022/08/01","22025","217","721062"
"2022/07/29","21808","124","713612"
"2022/07/28","21684","874","709375"
"2022/07/27","20810","-527","680598"
"2022/07/26","21337","-269","697714"
"2022/07/25","21606","-685","706489"
"2022/07/22","22291","129","729611"
"2022/07/21","22162","626","725462"
"2022/07/20","21536","697","705085"
"2022/07/19","20839","210","681970"
"2022/07/15","20629","101","675030"
"2022/07/14","20528","115","671821"
"2022/07/13","20413","-519","668111"
"2022/07/12","20932","-283","685530"
"2022/07/11","21215","38","695041"
"2022/07/08","21177","530","693982"
"2022/07/07","20647","78","677097"
"2022/07/06","20569","364","674856"
"2022/07/05","20205","171","662924"
"2022/07/04","20034","-10","657129"
"2022/07/01","20044","-444","657162"
"2022/06/30","20488","21","671617"
"2022/06/29","20467","-650","671142"
"2022/06/28","21117","-147","692240"
"2022/06/27","21264","737","697181"
"2022/06/24","20527","242","673059"
"2022/06/23","20285","-28","665471"
"2022/06/22","20313","687","666328"
"2022/06/21","19626","-7","643766"
"2022/06/20","19633","610","644005"
"2022/06/17","19023","-1068","623536"
"2022/06/16","20091","467","658022"
"2022/06/15","19624","119","642567"
"2022/06/14","19505","-1242","638592"
"2022/06/13","20747","-805","679080"
"2022/06/10","21552","-603","706121"
"2022/06/09","22155","83","726153"
"2022/06/08","22072","338","723642"
"2022/06/07","21734","326","712573"
"2022/06/06","21408","-348","701892"
"2022/06/03","21756","801","713380"
"2022/06/02","20955","125","686893"
"2022/06/01","20830","-111","682676"
"2022/05/31","20941","191","686301"
"2022/05/30","20750","177","672012"
"2022/05/27","20573","392","666236"
"2022/05/26","20181","493","653314"
"2022/05/25","19688","-752","637303"
"2022/05/24","20440","284","661578"
"2022/05/23","20156","178","651603"
"2022/05/20","19978","-92","645648"
"2022/05/19","20070","-1122","648626"
"2022/05/18","21192","524","684437"
"2022/05/17","20668","-482","666944"
"2022/05/16","21150","1083","682338"
"2022/05/13","20067","-1","648111"
"2022/05/12","20068","-807","648034"
"2022/05/11","20875","304","673857"
"2022/05/10","20571","-1173","664221"
"2022/05/09","21744","-306","701901"
"2022/05/06","22050","-233","711065"
"2022/05/02","22283","-58","718291"
"2022/04/28","22341","208","719095"
"2022/04/27","22133","-811","711734"
"2022/04/26","22944","227","737357"
"2022/04/25","22717","-567","729765"
"2022/04/22","23284","-552","747824"
"2022/04/21","23836","-572","765283"
"2022/04/20","24408","967","783855"
"2022/04/19","23441","89","751927"
"2022/04/18","23352","53","749049"
"2022/04/15","23299","-436","747060"
"2022/04/14","23735","457","760834"
"2022/04/13","23278","-154","746225"
"2022/04/12","23432","-292","750739"
"2022/04/11","23724","-260","759255"
"2022/04/08","23984","54","767520"
"2022/04/07","23930","-676","765199"
"2022/04/06","24606","-381","786586"
"2022/04/05","24987","500","798814"
"2022/04/04","24487","139","782654"
"2022/04/01","24348","-456","777576"
"2022/03/31","24804","-460","790717"
"2022/03/30","25264","146","804375"
"2022/03/29","25118","807","798202"
"2022/03/28","24311","-82","771219"
"2022/03/25","24393","689","772310"
"2022/03/24","23704","-485","749376"
"2022/03/23","24189","664","763550"
"2022/03/22","23525","651","741164"
"2022/03/18","22874","286","719152"
"2022/03/17","22588","1034","709108"
"2022/03/16","21554","667","676024"
"2022/03/15","20887","-402","654355"
"2022/03/14","21289","-202","666217"
"2022/03/11","21491","-213","671720"
"2022/03/10","21704","970","678560"
"2022/03/09","20734","3","648810"
"2022/03/08","20731","-909","648791"
"2022/03/07","21640","-580","676629"
"2022/03/04","22220","-520","694112"
"2022/03/03","22740","419","709824"
"2022/03/02","22321","-378","695563"
"2022/03/01","22699","-27","706551"
"2022/02/28","22726","230","705656"
"2022/02/25","22496","1095","699030"
"2022/02/24","21401","-721","664221"
"2022/02/22","22122","-60","686628"
"2022/02/21","22182","-322","687787"
"2022/02/18","22504","-965","697202"
