"基準価額一覧"
""
"ファンド名","アライアンス－アライアンス・バーンスタイン米国成長株投信Ｄ毎月Ｈ無予想分配金提示"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20140307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","10144","-90","1762066"
"2023/04/05","10234","-113","1779964"
"2023/04/04","10347","-31","1801181"
"2023/04/03","10378","138","1808917"
"2023/03/31","10240","140","1785263"
"2023/03/30","10100","200","1761835"
"2023/03/29","9900","-10","1727385"
"2023/03/28","9910","-17","1730109"
"2023/03/27","9927","49","1733515"
"2023/03/24","9878","69","1725522"
"2023/03/23","9809","-281","1713636"
"2023/03/22","10090","156","1763553"
"2023/03/20","9934","-101","1737428"
"2023/03/17","10035","247","1756603"
"2023/03/16","9788","-108","1714105"
"2023/03/15","9896","288","1733510"
"2023/03/14","9608","-13","1683759"
"2023/03/13","9621","-291","1686602"
"2023/03/10","9912","-215","1738553"
"2023/03/09","10127","30","1777290"
"2023/03/08","10097","-32","1773287"
"2023/03/07","10129","17","1780371"
"2023/03/06","10112","91","1778300"
"2023/03/03","10021","149","1763387"
"2023/03/02","9872","-97","1738070"
"2023/03/01","9969","3","1755629"
"2023/02/28","9966","47","1756084"
"2023/02/27","9919","-35","1748014"
"2023/02/24","9954","17","1755290"
"2023/02/22","9937","-175","1753563"
"2023/02/21","10112","-10","1784382"
"2023/02/20","10122","-66","1787786"
"2023/02/17","10188","-159","1801973"
"2023/02/16","10347","173","1830806"
"2023/02/15","10174","88","1801062"
"2023/02/14","10086","177","1785901"
"2023/02/13","9909","-35","1755204"
"2023/02/10","9944","-82","1761951"
"2023/02/09","10026","-68","1777122"
"2023/02/08","10094","30","1789829"
"2023/02/07","10064","-71","1784508"
"2023/02/06","10135","103","1797712"
"2023/02/03","10032","204","1779930"
"2023/02/02","9828","68","1744127"
"2023/02/01","9760","111","1732240"
"2023/01/31","9649","-118","1712543"
"2023/01/30","9767","73","1734009"
"2023/01/27","9694","140","1721554"
"2023/01/26","9554","-109","1697175"
"2023/01/25","9663","-28","1717360"
