"基準価額一覧"
""
"ファンド名","ピクテ－ピクテ・バイオ医薬品ファンド（毎月決算型）為替ヘッジなしコース"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20040107","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","10973","57","143364"
"2023/04/05","10916","-160","141904"
"2023/04/04","11076","9","143634"
"2023/04/03","11067","112","143157"
"2023/03/31","10955","35","140963"
"2023/03/30","10920","231","139829"
"2023/03/29","10689","74","136383"
"2023/03/28","10615","28","134874"
"2023/03/27","10587","127","133857"
"2023/03/24","10460","105","131582"
"2023/03/23","10355","-346","129618"
"2023/03/22","10701","125","133538"
"2023/03/20","10576","-275","130712"
"2023/03/17","10851","97","133517"
"2023/03/16","10754","-154","131668"
"2023/03/15","10908","221","133065"
"2023/03/14","10687","184","129957"
"2023/03/13","10503","-412","126568"
"2023/03/10","10915","-275","130084"
"2023/03/09","11190","-126","132491"
"2023/03/08","11316","-30","133364"
"2023/03/07","11346","-78","133230"
"2023/03/06","11424","83","133065"
"2023/03/03","11341","51","131394"
"2023/03/02","11290","75","130327"
"2023/03/01","11215","4","129054"
"2023/02/28","11211","42","128139"
"2023/02/27","11169","-54","126584"
"2023/02/24","11223","-139","126038"
"2023/02/22","11362","-183","126068"
"2023/02/21","11545","-12","128103"
"2023/02/20","11557","117","126447"
"2023/02/17","11440","-131","124333"
"2023/02/16","11571","116","125074"
"2023/02/15","11455","0","123140"
"2023/02/14","11455","167","122592"
"2023/02/13","11288","-123","119547"
"2023/02/10","11411","-12","119514"
"2023/02/09","11423","-185","118746"
"2023/02/08","11608","-103","120202"
"2023/02/07","11711","-15","120746"
"2023/02/06","11726","262","119885"
"2023/02/03","11464","5","116635"
"2023/02/02","11459","-135","115900"
"2023/02/01","11594","87","116812"
"2023/01/31","11507","-136","115179"
"2023/01/30","11643","15","115354"
"2023/01/27","11628","35","114653"
"2023/01/26","11593","-103","113774"
"2023/01/25","11696","29","114160"
"2023/01/24","11667","144","113253"
"2023/01/23","11523","145","110342"
"2023/01/20","11378","-70","108146"
"2023/01/19","11448","-299","107981"
"2023/01/18","11747","218","109950"
"2023/01/17","11529","46","107912"
"2023/01/16","11483","-57","106781"
"2023/01/13","11540","-270","106823"
"2023/01/12","11810","-23","108356"
"2023/01/11","11833","260","107993"
"2023/01/10","11573","-199","104638"
"2023/01/06","11772","130","105730"
"2023/01/05","11642","215","104322"
"2023/01/04","11427","-188","102260"
"2022/12/30","11615","105","103068"
"2022/12/29","11510","-25","101247"
"2022/12/28","11535","-205","100606"
"2022/12/27","11740","79","102396"
"2022/12/26","11661","-213","100611"
"2022/12/23","11874","25","101599"
"2022/12/22","11849","234","100466"
"2022/12/21","11615","-94","97764"
"2022/12/20","11709","-143","97895"
"2022/12/19","11852","-214","97809"
"2022/12/16","12066","-11","98592"
"2022/12/15","12077","83","97996"
"2022/12/14","11994","-33","96939"
"2022/12/13","12027","45","96780"
"2022/12/12","11982","-243","95784"
"2022/12/09","12225","113","97187"
"2022/12/08","12112","31","95512"
"2022/12/07","12081","-85","94833"
"2022/12/06","12166","-83","95204"
"2022/12/05","12249","80","95210"
"2022/12/02","12169","-66","94218"
"2022/12/01","12235","237","94467"
"2022/11/30","11998","-33","91651"
"2022/11/29","12031","-83","91460"
"2022/11/28","12114","13","90901"
"2022/11/25","12101","-13","90804"
"2022/11/24","12114","-153","90426"
"2022/11/22","12267","80","91040"
"2022/11/21","12187","43","89651"
"2022/11/18","12144","78","88871"
"2022/11/17","12066","-113","87989"
"2022/11/16","12179","-23","88613"
"2022/11/15","12202","105","88558"
"2022/11/14","12097","-361","87220"
"2022/11/11","12458","53","89405"
"2022/11/10","12405","-68","88602"
"2022/11/09","12473","61","88947"
"2022/11/08","12412","41","88383"
"2022/11/07","12371","-72","87630"
"2022/11/04","12443","-124","88025"
"2022/11/02","12567","22","89068"
"2022/11/01","12545","-86","88770"
"2022/10/31","12631","572","88478"
"2022/10/28","12059","-135","83885"
"2022/10/27","12194","0","84262"
"2022/10/26","12194","124","83879"
"2022/10/25","12070","119","82716"
"2022/10/24","11951","209","81304"
"2022/10/21","11742","-41","79763"
"2022/10/20","11783","-322","79814"
"2022/10/19","12105","12","81848"
"2022/10/18","12093","286","81525"
"2022/10/17","11807","-69","79307"
"2022/10/14","11876","274","79483"
"2022/10/13","11602","-52","77425"
"2022/10/12","11654","122","77519"
"2022/10/11","11532","-317","76387"
"2022/10/07","11849","-43","78274"
"2022/10/06","11892","56","78380"
"2022/10/05","11836","262","77832"
"2022/10/04","11574","179","75963"
"2022/10/03","11395","-25","74673"
"2022/09/30","11420","-185","74379"
"2022/09/29","11605","459","75145"
"2022/09/28","11146","159","71913"
"2022/09/27","10987","-173","70534"
"2022/09/26","11160","-227","71359"
"2022/09/22","11387","-240","72551"
"2022/09/21","11627","-41","73837"
"2022/09/20","11668","-160","73782"
"2022/09/16","11828","57","74496"
"2022/09/15","11771","13","73876"
"2022/09/14","11758","-381","73656"
"2022/09/13","12139","-129","75824"
"2022/09/12","12268","35","76254"
"2022/09/09","12233","240","75623"
"2022/09/08","11993","410","73862"
"2022/09/07","11583","32","70967"
"2022/09/06","11551","-7","70773"
"2022/09/05","11558","-158","70465"
"2022/09/02","11716","283","71139"
"2022/09/01","11433","73","69323"
"2022/08/31","11360","-95","68600"
"2022/08/30","11455","-39","68992"
"2022/08/29","11494","-227","68672"
"2022/08/26","11721","-4","69678"
"2022/08/25","11725","157","69429"
"2022/08/24","11568","-63","68029"
"2022/08/23","11631","-137","68290"
"2022/08/22","11768","11","68863"
"2022/08/19","11757","-19","68740"
"2022/08/18","11776","-181","68746"
"2022/08/17","11957","-25","69595"
"2022/08/16","11982","217","69648"
"2022/08/15","11765","-58","68123"
"2022/08/12","11823","-211","68407"
"2022/08/10","12034","-157","69704"
"2022/08/09","12191","-11","70654"
"2022/08/08","12202","385","70232"
"2022/08/05","11817","209","67811"
"2022/08/04","11608","355","66304"
"2022/08/03","11253","250","64050"
"2022/08/02","11003","-327","62504"
"2022/08/01","11330","-227","64287"
"2022/07/29","11557","-231","65232"
"2022/07/28","11788","34","65978"
"2022/07/27","11754","58","65549"
"2022/07/26","11696","42","65005"
"2022/07/25","11654","-258","64609"
"2022/07/22","11912","-91","65869"
"2022/07/21","12003","-53","66310"
"2022/07/20","12056","276","66469"
"2022/07/19","11780","-58","64713"
"2022/07/15","11838","-156","65092"
"2022/07/14","11994","71","65918"
"2022/07/13","11923","-197","65708"
"2022/07/12","12120","-131","66725"
"2022/07/11","12251","95","67141"
"2022/07/08","12156","204","66495"
"2022/07/07","11952","26","65347"
"2022/07/06","11926","147","65008"
"2022/07/05","11779","97","64206"
"2022/07/04","11682","158","63512"
"2022/07/01","11524","-164","62595"
"2022/06/30","11688","129","63151"
"2022/06/29","11559","-192","62351"
"2022/06/28","11751","54","63256"
"2022/06/27","11697","129","62575"
"2022/06/24","11568","336","61676"
"2022/06/23","11232","119","59652"
"2022/06/22","11113","351","58686"
"2022/06/21","10762","-3","56828"
"2022/06/20","10765","492","56478"
"2022/06/17","10273","-283","53688"
"2022/06/16","10556","152","54909"
"2022/06/15","10404","45","53942"
"2022/06/14","10359","-427","53616"
"2022/06/13","10786","-379","55509"
"2022/06/10","11165","-392","57411"
"2022/06/09","11557","155","59204"
"2022/06/08","11402","314","58268"
"2022/06/07","11088","-75","56587"
"2022/06/06","11163","78","56581"
"2022/06/03","11085","-15","56009"
"2022/06/02","11100","-6","56047"
"2022/06/01","11106","-203","55895"
"2022/05/31","11309","102","56912"
"2022/05/30","11207","290","55995"
"2022/05/27","10917","23","54328"
"2022/05/26","10894","110","54035"
"2022/05/25","10784","-194","53364"
"2022/05/24","10978","77","54267"
"2022/05/23","10901","75","53709"
"2022/05/20","10826","74","53259"
"2022/05/19","10752","-356","52817"
"2022/05/18","11108","285","54541"
"2022/05/17","10823","3","53046"
"2022/05/16","10820","316","52832"
"2022/05/13","10504","39","51215"
"2022/05/12","10465","-356","50916"
"2022/05/11","10821","264","52601"
"2022/05/10","10557","-479","51234"
"2022/05/09","11036","-264","53507"
"2022/05/06","11300","46","54737"
"2022/05/02","11254","-161","54439"
"2022/04/28","11415","125","54855"
"2022/04/27","11290","-358","53851"
"2022/04/26","11648","3","55502"
"2022/04/25","11645","-231","55444"
"2022/04/22","11876","-167","56506"
"2022/04/21","12043","-37","57260"
"2022/04/20","12080","255","57481"
"2022/04/19","11825","-188","56264"
"2022/04/18","12013","27","57162"
"2022/04/15","11986","-6","57034"
"2022/04/14","11992","231","57079"
"2022/04/13","11761","-226","55940"
"2022/04/12","11987","-132","56948"
"2022/04/11","12119","118","57382"
"2022/04/08","12001","163","56908"
"2022/04/07","11838","70","56154"
"2022/04/06","11768","-14","55807"
"2022/04/05","11782","125","55897"
"2022/04/04","11657","250","55276"
"2022/04/01","11407","-55","54119"
"2022/03/31","11462","-118","54338"
"2022/03/30","11580","43","54838"
"2022/03/29","11537","236","54617"
"2022/03/28","11301","-91","53337"
"2022/03/25","11392","241","53644"
"2022/03/24","11151","-209","52461"
"2022/03/23","11360","263","53387"
"2022/03/22","11097","158","52219"
"2022/03/18","10939","160","51451"
"2022/03/17","10779","333","50689"
"2022/03/16","10446","150","49095"
"2022/03/15","10296","23","48398"
"2022/03/14","10273","-180","48190"
"2022/03/11","10453","-35","49055"
"2022/03/10","10488","268","49210"
"2022/03/09","10220","46","47952"
"2022/03/08","10174","-62","47789"
"2022/03/07","10236","-144","48042"
"2022/03/04","10380","-126","48697"
"2022/03/03","10506","190","49253"
"2022/03/02","10316","-82","48372"
"2022/03/01","10398","-54","48716"
"2022/02/28","10452","131","48994"
"2022/02/25","10321","143","48343"
"2022/02/24","10178","-164","47659"
"2022/02/22","10342","-25","48427"
"2022/02/21","10367","-90","48514"
"2022/02/18","10457","-288","48871"
"2022/02/17","10745","25","50208"
"2022/02/16","10720","256","50067"
"2022/02/15","10464","-168","48860"
"2022/02/14","10632","-451","49582"
"2022/02/10","11083","213","51569"
"2022/02/09","10870","18","50601"
"2022/02/08","10852","76","50501"
"2022/02/07","10776","18","50122"
"2022/02/04","10758","-135","50058"
"2022/02/03","10893","-127","50657"
"2022/02/02","11020","59","51231"
"2022/02/01","10961","161","50960"
"2022/01/31","10800","303","50084"
"2022/01/28","10497","-34","48673"
"2022/01/27","10531","-18","48754"
"2022/01/26","10549","-130","48767"
"2022/01/25","10679","81","49358"
"2022/01/24","10598","-101","48972"
"2022/01/21","10699","-168","49455"
"2022/01/20","10867","-147","50239"
"2022/01/19","11014","-343","50888"
"2022/01/18","11357","21","52471"
"2022/01/17","11336","167","52335"
"2022/01/14","11169","-200","51543"
"2022/01/13","11369","-357","52359"
"2022/01/12","11726","118","54013"
"2022/01/11","11608","38","53546"
"2022/01/07","11570","43","53231"
"2022/01/06","11527","-349","53091"
"2022/01/05","11876","-174","54704"
"2022/01/04","12050","-6","55487"
"2021/12/30","12056","112","55503"
"2021/12/29","11944","-78","54986"
"2021/12/28","12022","-99","55372"
"2021/12/27","12121","-11","55829"
"2021/12/24","12132","121","55937"
"2021/12/23","12011","8","55386"
"2021/12/22","12003","70","55333"
"2021/12/21","11933","-82","55029"
"2021/12/20","12015","231","55456"
"2021/12/17","11784","-137","54431"
"2021/12/16","11921","321","55081"
"2021/12/15","11600","0","53600"
"2021/12/14","11600","174","53627"
"2021/12/13","11426","-266","52783"
"2021/12/10","11692","-271","53946"
"2021/12/09","11963","113","55222"
"2021/12/08","11850","359","54729"
"2021/12/07","11491","-90","53054"
"2021/12/06","11581","-199","53514"
"2021/12/03","11780","45","54438"
"2021/12/02","11735","-269","54275"
"2021/12/01","12004","-195","55566"
"2021/11/30","12199","49","56464"
"2021/11/29","12150","-80","56175"
"2021/11/26","12230","-43","56546"
"2021/11/25","12273","-6","56735"
"2021/11/24","12279","80","56754"
"2021/11/22","12199","43","56368"
"2021/11/19","12156","-38","56219"
"2021/11/18","12194","-105","56388"
"2021/11/17","12299","50","56808"
"2021/11/16","12249","7","56599"
"2021/11/15","12242","-208","56493"
"2021/11/12","12450","16","57428"
"2021/11/11","12434","22","57419"
"2021/11/10","12412","-221","57285"
"2021/11/09","12633","-34","58296"
"2021/11/08","12667","-304","58438"
"2021/11/05","12971","-292","59833"
"2021/11/04","13263","301","61167"
"2021/11/02","12962","209","59799"
"2021/11/01","12753","24","58860"
"2021/10/29","12729","206","58756"
"2021/10/28","12523","-237","57841"
"2021/10/27","12760","-12","59016"
"2021/10/26","12772","140","59101"
"2021/10/25","12632","-79","58336"
