"基準価額一覧"
""
"ファンド名","ピクテ－ピクテ・グローバル・インカム株式ファンド（毎月分配型）"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20050107","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","2603","21","1012700"
"2023/04/05","2582","-2","1004570"
"2023/04/04","2584","-25","1005816"
"2023/04/03","2609","9","1014560"
"2023/03/31","2600","41","1011021"
"2023/03/30","2559","58","994991"
"2023/03/29","2501","-5","972273"
"2023/03/28","2506","68","974368"
"2023/03/27","2438","-36","947874"
"2023/03/24","2474","-38","961833"
"2023/03/23","2512","-23","976472"
"2023/03/22","2535","34","985301"
"2023/03/20","2501","-42","972450"
"2023/03/17","2543","11","988518"
"2023/03/16","2532","-38","984498"
"2023/03/15","2570","41","999265"
"2023/03/14","2529","7","982971"
"2023/03/13","2522","-48","980393"
"2023/03/10","2570","-16","997656"
"2023/03/09","2586","-37","1003299"
"2023/03/08","2623","12","1017766"
"2023/03/07","2611","32","1012624"
"2023/03/06","2579","34","1000209"
"2023/03/03","2545","-9","986981"
"2023/03/02","2554","-49","990330"
"2023/03/01","2603","-42","1009413"
"2023/02/28","2645","45","1024999"
"2023/02/27","2600","-19","1007348"
"2023/02/24","2619","-21","1014962"
"2023/02/22","2640","10","1023418"
"2023/02/21","2630","0","1019648"
"2023/02/20","2630","32","1019890"
"2023/02/17","2598","-12","1007326"
"2023/02/16","2610","-3","1011999"
"2023/02/15","2613","24","1013075"
"2023/02/14","2589","49","1003972"
"2023/02/13","2540","-17","985114"
"2023/02/10","2557","-35","990372"
"2023/02/09","2592","-4","1004337"
"2023/02/08","2596","-23","1005489"
"2023/02/07","2619","37","1014169"
"2023/02/06","2582","-2","999944"
"2023/02/03","2584","-4","1000599"
"2023/02/02","2588","18","1001905"
"2023/02/01","2570","-38","994740"
"2023/01/31","2608","15","1009287"
"2023/01/30","2593","-8","1003087"
"2023/01/27","2601","20","1006376"
"2023/01/26","2581","-21","998516"
"2023/01/25","2602","-6","1006403"
"2023/01/24","2608","34","1008764"
"2023/01/23","2574","5","995628"
"2023/01/20","2569","-42","993362"
"2023/01/19","2611","-24","1009265"
"2023/01/18","2635","30","1018838"
"2023/01/17","2605","0","1007011"
"2023/01/16","2605","-69","1006837"
"2023/01/13","2674","-35","1033524"
"2023/01/12","2709","50","1047183"
"2023/01/11","2659","5","1027527"
"2023/01/10","2654","-14","1024064"
"2023/01/06","2668","15","1029272"
"2023/01/05","2653","-7","1023352"
"2023/01/04","2660","-38","1025983"
"2022/12/30","2698","-24","1039920"
"2022/12/29","2722","69","1048441"
"2022/12/28","2653","0","1021884"
"2022/12/27","2653","0","1021917"
"2022/12/26","2653","5","1021152"
"2022/12/23","2648","5","1018843"
"2022/12/22","2643","15","1016910"
"2022/12/21","2628","-97","1010994"
"2022/12/20","2725","-16","1048364"
"2022/12/19","2741","-48","1054346"
"2022/12/16","2789","-11","1073389"
"2022/12/15","2800","-15","1077538"
"2022/12/14","2815","45","1083282"
"2022/12/13","2770","12","1065962"
"2022/12/12","2758","-2","1060052"
"2022/12/09","2760","-15","1060709"
"2022/12/08","2775","8","1066503"
"2022/12/07","2767","3","1063468"
"2022/12/06","2764","31","1061839"
"2022/12/05","2733","-74","1050098"
"2022/12/02","2807","22","1078146"
"2022/12/01","2785","37","1070329"
"2022/11/30","2748","-26","1055414"
"2022/11/29","2774","-44","1065325"
"2022/11/28","2818","-1","1082354"
"2022/11/25","2819","0","1082463"
"2022/11/24","2819","35","1082408"
"2022/11/22","2784","46","1069087"
"2022/11/21","2738","15","1051296"
"2022/11/18","2723","3","1045419"
"2022/11/17","2720","-6","1043992"
"2022/11/16","2726","-8","1045272"
"2022/11/15","2734","9","1048037"
"2022/11/14","2725","-33","1044608"
"2022/11/11","2758","3","1057078"
"2022/11/10","2755","2","1054421"
"2022/11/09","2753","-21","1053314"
"2022/11/08","2774","-19","1061283"
"2022/11/07","2793","3","1068339"
"2022/11/04","2790","-26","1067157"
"2022/11/02","2816","0","1076911"
"2022/11/01","2816","27","1076725"
"2022/10/31","2789","23","1065668"
"2022/10/28","2766","38","1056432"
"2022/10/27","2728","6","1041836"
"2022/10/26","2722","2","1039288"
"2022/10/25","2720","21","1038234"
"2022/10/24","2699","11","1029565"
"2022/10/21","2688","-18","1024652"
"2022/10/20","2706","-35","1031189"
"2022/10/19","2741","59","1044645"
"2022/10/18","2682","14","1021704"
"2022/10/17","2668","117","1015660"
"2022/10/14","2551","-63","970685"
"2022/10/13","2614","3","994355"
"2022/10/12","2611","-43","992638"
"2022/10/11","2654","-61","1007222"
"2022/10/07","2715","-56","1029733"
"2022/10/06","2771","-49","1050596"
"2022/10/05","2820","82","1068556"
"2022/10/04","2738","15","1036540"
"2022/10/03","2723","-36","1030460"
"2022/09/30","2759","-40","1043060"
"2022/09/29","2799","-40","1056789"
"2022/09/28","2839","-27","1070710"
"2022/09/27","2866","-42","1079936"
"2022/09/26","2908","-124","1094575"
"2022/09/22","3032","31","1140690"
"2022/09/21","3001","-1","1128479"
"2022/09/20","3002","-32","1127964"
"2022/09/16","3034","-33","1139454"
"2022/09/15","3067","-66","1151222"
"2022/09/14","3133","18","1176369"
"2022/09/13","3115","24","1169769"
"2022/09/12","3091","-30","1160431"
"2022/09/09","3121","14","1171667"
"2022/09/08","3107","85","1165908"
"2022/09/07","3022","25","1132907"
"2022/09/06","2997","0","1123471"
"2022/09/05","2997","40","1122776"
"2022/09/02","2957","-1","1107547"
"2022/09/01","2958","-41","1107548"
"2022/08/31","2999","-22","1122266"
"2022/08/30","3021","0","1130561"
"2022/08/29","3021","21","1130243"
"2022/08/26","3000","7","1121943"
"2022/08/25","2993","4","1119460"
"2022/08/24","2989","-49","1118966"
