"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇnÇéÇÖÅ|êVåıÅ@ÇtÇrÅ|ÇqÇdÇhÇsÅ@ÉIÅ[ÉvÉì"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20040307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","1765","-14","416595"
"2023/04/05","1779","-41","418785"
"2023/04/04","1820","-19","428073"
"2023/04/03","1839","34","432453"
"2023/03/31","1805","35","424162"
"2023/03/30","1770","53","415557"
"2023/03/29","1717","6","402742"
"2023/03/28","1711","-4","401072"
"2023/03/27","1715","46","401778"
"2023/03/24","1669","-9","390334"
"2023/03/23","1678","-82","392339"
"2023/03/22","1760","5","411211"
"2023/03/20","1755","-48","409889"
"2023/03/17","1803","-6","420918"
"2023/03/16","1809","-23","421758"
"2023/03/15","1832","38","426834"
"2023/03/14","1794","14","417560"
"2023/03/13","1780","-84","414351"
"2023/03/10","1864","-57","433479"
"2023/03/09","1921","18","446742"
"2023/03/08","1903","-25","442543"
"2023/03/07","1928","-4","448217"
"2023/03/06","1932","-4","448028"
"2023/03/03","1936","30","448491"
"2023/03/02","1906","-30","441248"
"2023/03/01","1936","-5","447989"
"2023/02/28","1941","2","448485"
"2023/02/27","1939","-4","447631"
"2023/02/24","1943","-20","448196"
"2023/02/22","1963","-24","452129"
"2023/02/21","1987","-2","457707"
"2023/02/20","1989","-4","457954"
"2023/02/17","1993","-14","458565"
"2023/02/16","2007","26","461591"
"2023/02/15","1981","-10","455405"
"2023/02/14","1991","20","457372"
"2023/02/13","1971","7","452616"
"2023/02/10","1964","-25","450889"
"2023/02/09","1989","4","456468"
"2023/02/08","1985","-27","455556"
"2023/02/07","2012","-4","461884"
"2023/02/06","2016","-8","461483"
"2023/02/03","2024","47","462864"
"2023/02/02","1977","-8","452074"
"2023/02/01","1985","35","453614"
"2023/01/31","1950","-21","445028"
"2023/01/30","1971","29","449333"
"2023/01/27","1942","24","442408"
"2023/01/26","1918","-19","436754"
"2023/01/25","1937","6","440726"
"2023/01/24","1931","26","439232"
"2023/01/23","1905","28","433225"
"2023/01/20","1877","-5","426832"
"2023/01/19","1882","-62","427857"
"2023/01/18","1944","49","441474"
"2023/01/17","1895","8","430523"
"2023/01/16","1887","-36","428526"
"2023/01/13","1923","-18","436368"
"2023/01/12","1941","60","440476"
"2023/01/11","1881","9","426505"
"2023/01/10","1872","21","424411"
"2023/01/06","1851","-29","419630"
"2023/01/05","1880","32","425054"
"2023/01/04","1848","-38","417436"
"2022/12/30","1886","20","425653"
"2022/12/29","1866","-26","420925"
"2022/12/28","1892","9","426171"
"2022/12/27","1883","13","424064"
"2022/12/26","1870","11","421006"
"2022/12/23","1859","0","418039"
"2022/12/22","1859","25","417425"
"2022/12/21","1834","-42","411541"
"2022/12/20","1876","-46","420971"
"2022/12/19","1922","-71","431194"
"2022/12/16","1993","8","446938"
"2022/12/15","1985","-20","444857"
"2022/12/14","2005","3","449185"
"2022/12/13","2002","26","448328"
"2022/12/12","1976","-5","442255"
"2022/12/09","1981","18","443406"
"2022/12/08","1963","-6","438965"
"2022/12/07","1969","-6","440321"
"2022/12/06","1975","-7","441607"
"2022/12/05","1982","-44","442083"
"2022/12/02","2026","-30","451689"
"2022/12/01","2056","17","458128"
"2022/11/30","2039","35","453500"
"2022/11/29","2004","-58","445534"
"2022/11/28","2062","12","458247"
"2022/11/25","2050","-2","455521"
"2022/11/24","2052","-31","455961"
"2022/11/22","2083","37","462742"
"2022/11/21","2046","30","454400"
"2022/11/18","2016","-2","447389"
"2022/11/17","2018","-17","447583"
"2022/11/16","2035","13","451358"
"2022/11/15","2022","-42","448125"
"2022/11/14","2064","-39","457374"
"2022/11/11","2103","83","466033"
"2022/11/10","2020","-12","447489"
"2022/11/09","2032","-2","450103"
"2022/11/08","2034","-11","450455"
"2022/11/07","2045","-27","451852"
"2022/11/04","2072","-38","457666"
"2022/11/02","2110","-21","466012"
"2022/11/01","2131","4","470464"
"2022/10/31","2127","73","469189"
"2022/10/28","2054","7","452603"
"2022/10/27","2047","-28","450666"
"2022/10/26","2075","71","456193"
"2022/10/25","2004","-2","440403"
"2022/10/24","2006","-6","440651"
"2022/10/21","2012","-8","441964"
"2022/10/20","2020","-45","443499"
"2022/10/19","2065","26","453404"
"2022/10/18","2039","78","447245"
"2022/10/17","1961","-37","430032"
"2022/10/14","1998","39","438162"
"2022/10/13","1959","-17","429166"
"2022/10/12","1976","29","432780"
"2022/10/11","1947","-64","426279"
"2022/10/07","2011","-58","440060"
"2022/10/06","2069","-31","452580"
"2022/10/05","2100","-3","458223"
"2022/10/04","2103","37","458539"
"2022/10/03","2066","23","450339"
"2022/09/30","2043","-54","444363"
"2022/09/29","2097","30","455125"
"2022/09/28","2067","-27","447704"
"2022/09/27","2094","-50","452986"
"2022/09/26","2144","-47","462828"
"2022/09/22","2191","-18","472012"
"2022/09/21","2209","-45","475242"
"2022/09/20","2254","-6","484290"
"2022/09/16","2260","-57","485384"
"2022/09/15","2317","-50","497378"
"2022/09/14","2367","-56","508044"
"2022/09/13","2423","16","520066"
"2022/09/12","2407","6","517354"
"2022/09/09","2401","-8","516055"
"2022/09/08","2409","69","517714"
"2022/09/07","2340","75","502423"
"2022/09/06","2265","-1","486171"
"2022/09/05","2266","-55","485574"
"2022/09/02","2321","16","497073"
"2022/09/01","2305","6","493378"
"2022/08/31","2299","-34","491033"
"2022/08/30","2333","-15","497787"
"2022/08/29","2348","-31","500828"
"2022/08/26","2379","30","507018"
"2022/08/25","2349","18","500432"
"2022/08/24","2331","-45","496396"
"2022/08/23","2376","-45","505737"
"2022/08/22","2421","-7","515356"
"2022/08/19","2428","5","517126"
"2022/08/18","2423","4","516090"
"2022/08/17","2419","10","515173"
"2022/08/16","2409","17","512972"
"2022/08/15","2392","36","509355"
"2022/08/12","2356","-14","501648"
"2022/08/10","2370","26","504488"
"2022/08/09","2344","10","498928"
"2022/08/08","2334","44","496889"
"2022/08/05","2290","-31","486741"
"2022/08/04","2321","-1","493015"
"2022/08/03","2322","26","493035"
"2022/08/02","2296","-58","487774"
"2022/08/01","2354","-16","499896"
"2022/07/29","2370","50","502660"
"2022/07/28","2320","-1","491669"
"2022/07/27","2321","15","491675"
"2022/07/26","2306","-3","488129"
"2022/07/25","2309","2","488186"
"2022/07/22","2307","3","487537"
"2022/07/21","2304","-5","486735"
"2022/07/20","2309","49","487639"
"2022/07/19","2260","1","477143"
"2022/07/15","2259","-6","476944"
"2022/07/14","2265","14","478184"
"2022/07/13","2251","-20","475349"
"2022/07/12","2271","15","479734"
"2022/07/11","2256","-5","476682"
"2022/07/08","2261","4","477709"
"2022/07/07","2257","8","476827"
"2022/07/06","2249","-22","475234"
"2022/07/05","2271","-5","479014"
"2022/07/04","2276","25","480156"
"2022/07/01","2251","-17","474829"
"2022/06/30","2268","-1","477817"
"2022/06/29","2269","-13","477784"
"2022/06/28","2282","10","480863"
"2022/06/27","2272","31","478402"
"2022/06/24","2241","33","471652"
"2022/06/23","2208","23","464551"
"2022/06/22","2185","54","459431"
"2022/06/21","2131","0","447962"
"2022/06/20","2131","41","447966"
"2022/06/17","2090","-56","438939"
"2022/06/16","2146","42","449888"
"2022/06/15","2104","-8","441199"
"2022/06/14","2112","-125","442707"
"2022/06/13","2237","-38","468796"
"2022/06/10","2275","-59","476867"
"2022/06/09","2334","-23","489005"
"2022/06/08","2357","38","493824"
"2022/06/07","2319","17","486059"
"2022/06/06","2302","-33","481412"
"2022/06/03","2335","27","488209"
"2022/06/02","2308","5","482318"
"2022/06/01","2303","-17","481227"
"2022/05/31","2320","21","484654"
"2022/05/30","2299","59","479934"
"2022/05/27","2240","-14","467595"
"2022/05/26","2254","24","470382"
"2022/05/25","2230","8","465070"
"2022/05/24","2222","29","462947"
"2022/05/23","2193","20","456661"
"2022/05/20","2173","-18","452169"
"2022/05/19","2191","-81","455642"
"2022/05/18","2272","25","472419"
"2022/05/17","2247","-26","467081"
"2022/05/16","2273","76","472275"
"2022/05/13","2197","-1","456541"
"2022/05/12","2198","-14","456802"
"2022/05/11","2212","-38","459781"
"2022/05/10","2250","-123","467754"
"2022/05/09","2373","-20","493305"
"2022/05/06","2393","-91","496839"
"2022/05/02","2484","-42","515999"
"2022/04/28","2526","7","524711"
"2022/04/27","2519","-40","523621"
"2022/04/26","2559","-32","531914"
"2022/04/25","2591","-41","538963"
"2022/04/22","2632","-6","548246"
"2022/04/21","2638","29","549726"
"2022/04/20","2609","96","544255"
"2022/04/19","2513","6","524584"
"2022/04/18","2507","6","523224"
"2022/04/15","2501","6","522264"
"2022/04/14","2495","17","521281"
"2022/04/13","2478","-3","517933"
"2022/04/12","2481","-10","518956"
"2022/04/11","2491","25","521367"
"2022/04/08","2466","-19","516564"
"2022/04/07","2485","33","520573"
"2022/04/06","2452","25","514100"
"2022/04/05","2427","-35","508567"
"2022/04/04","2462","54","516284"
"2022/04/01","2408","-32","504964"
"2022/03/31","2440","-18","511938"
"2022/03/30","2458","31","515898"
"2022/03/29","2427","64","509178"
"2022/03/28","2363","32","495755"
"2022/03/25","2331","32","488989"
"2022/03/24","2299","-27","482502"
"2022/03/23","2326","21","488476"
"2022/03/22","2305","16","484089"
"2022/03/18","2289","26","480721"
"2022/03/17","2263","32","475285"
"2022/03/16","2231","23","468594"
"2022/03/15","2208","-4","463850"
"2022/03/14","2212","3","464407"
"2022/03/11","2209","14","464048"
"2022/03/10","2195","35","461003"
"2022/03/09","2160","0","453758"
"2022/03/08","2160","-35","453918"
"2022/03/07","2195","-16","460479"
"2022/03/04","2211","13","463822"
"2022/03/03","2198","57","461159"
"2022/03/02","2141","-15","449147"
"2022/03/01","2156","-44","452273"
"2022/02/28","2200","52","461509"
"2022/02/25","2148","48","450589"
"2022/02/24","2100","-38","440753"
"2022/02/22","2138","-5","448834"
"2022/02/21","2143","-8","449760"
"2022/02/18","2151","-39","451388"
"2022/02/17","2190","3","459716"
"2022/02/16","2187","19","459220"
"2022/02/15","2168","-23","455201"
"2022/02/14","2191","-82","460051"
"2022/02/10","2273","55","477313"
"2022/02/09","2218","-5","465928"
"2022/02/08","2223","-6","466846"
"2022/02/07","2229","-43","467333"
"2022/02/04","2272","-10","476555"
"2022/02/03","2282","27","478561"
"2022/02/02","2255","-26","472800"
"2022/02/01","2281","29","478168"
"2022/01/31","2252","70","472165"
"2022/01/28","2182","-21","457456"
"2022/01/27","2203","-16","461924"
"2022/01/26","2219","-10","465224"
"2022/01/25","2229","5","467353"
"2022/01/24","2224","-5","466545"
"2022/01/21","2229","-36","467375"
"2022/01/20","2265","-37","474652"
"2022/01/19","2302","-14","482502"
"2022/01/18","2316","4","485524"
"2022/01/17","2312","-17","484673"
"2022/01/14","2329","-12","488508"
"2022/01/13","2341","-8","490914"
"2022/01/12","2349","-1","492713"
"2022/01/11","2350","-48","493079"
"2022/01/07","2398","-3","503395"
"2022/01/06","2401","-74","504330"
"2022/01/05","2475","-11","519257"
"2022/01/04","2486","3","521719"
"2021/12/30","2483","22","520984"
"2021/12/29","2461","7","516566"
"2021/12/28","2454","54","515235"
"2021/12/27","2400","-2","503905"
"2021/12/24","2402","0","504562"
"2021/12/23","2402","27","504830"
"2021/12/22","2375","34","499657"
"2021/12/21","2341","-18","492589"
"2021/12/20","2359","-9","496578"
"2021/12/17","2368","-9","498559"
"2021/12/16","2377","43","500825"
"2021/12/15","2334","-30","491664"
"2021/12/14","2364","26","498222"
"2021/12/13","2338","4","492842"
"2021/12/10","2334","-39","492277"
"2021/12/09","2373","22","500674"
"2021/12/08","2351","42","495572"
"2021/12/07","2309","47","486822"
"2021/12/06","2262","-34","476408"
"2021/12/03","2296","63","483614"
"2021/12/02","2233","-37","470306"
"2021/12/01","2270","-60","478231"
"2021/11/30","2330","27","491041"
"2021/11/29","2303","-94","485937"
"2021/11/26","2397","-8","505725"
"2021/11/25","2405","33","508157"
"2021/11/24","2372","36","501444"
"2021/11/22","2336","-21","493962"
"2021/11/19","2357","3","498755"
"2021/11/18","2354","-3","498097"
