"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇnÇéÇÖÅ|ì˙ñ{êªìSÉOÉãÅ[ÉväîéÆÉIÅ[ÉvÉì"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20060307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","7638","-161","1543"
"2023/04/05","7799","-226","1595"
"2023/04/04","8025","-52","1663"
"2023/04/03","8077","42","1662"
"2023/03/31","8035","227","1631"
"2023/03/30","7808","105","1575"
"2023/03/29","7703","102","1569"
"2023/03/28","7601","-22","1561"
"2023/03/27","7623","16","1571"
"2023/03/24","7607","-39","1555"
"2023/03/23","7646","42","1556"
"2023/03/22","7604","98","1538"
"2023/03/20","7506","-142","1560"
"2023/03/17","7648","26","1601"
"2023/03/16","7622","-311","1600"
"2023/03/15","7933","170","1636"
"2023/03/14","7763","-297","1640"
"2023/03/13","8060","-76","1711"
"2023/03/10","8136","-145","1712"
"2023/03/09","8281","112","1746"
"2023/03/08","8169","-14","1696"
"2023/03/07","8183","90","1678"
"2023/03/06","8093","32","1622"
"2023/03/03","8061","73","1594"
"2023/03/02","7988","44","1568"
"2023/03/01","7944","118","1550"
"2023/02/28","7826","-124","1506"
"2023/02/27","7950","144","1528"
"2023/02/24","7806","-28","1495"
"2023/02/22","7834","-3","1512"
"2023/02/21","7837","20","1491"
"2023/02/20","7817","106","1459"
"2023/02/17","7711","120","1417"
"2023/02/16","7591","46","1357"
"2023/02/15","7545","90","1333"
"2023/02/14","7455","100","1311"
"2023/02/13","7355","73","1281"
"2023/02/10","7282","161","1279"
"2023/02/09","7121","51","1257"
"2023/02/08","7070","-70","1246"
"2023/02/07","7140","-74","1253"
"2023/02/06","7214","100","1280"
"2023/02/03","7114","-41","1272"
"2023/02/02","7155","-45","1273"
"2023/02/01","7200","50","1268"
"2023/01/31","7150","11","1260"
"2023/01/30","7139","-86","1256"
"2023/01/27","7225","52","1266"
"2023/01/26","7173","-1","1249"
"2023/01/25","7174","185","1243"
"2023/01/24","6989","-88","1200"
"2023/01/23","7077","125","1194"
"2023/01/20","6952","143","1165"
"2023/01/19","6809","-35","1089"
"2023/01/18","6844","78","1083"
"2023/01/17","6766","53","1070"
"2023/01/16","6713","-50","1053"
"2023/01/13","6763","80","1055"
"2023/01/12","6683","45","1027"
"2023/01/11","6638","152","1018"
"2023/01/10","6486","147","995"
"2023/01/06","6339","61","973"
"2023/01/05","6278","12","963"
"2023/01/04","6266","-130","988"
"2022/12/30","6396","0","1007"
"2022/12/29","6396","-36","994"
"2022/12/28","6432","51","1007"
"2022/12/27","6381","17","999"
"2022/12/26","6364","260","997"
"2022/12/23","6104","66","950"
"2022/12/22","6038","116","940"
"2022/12/21","5922","-15","920"
"2022/12/20","5937","-108","922"
"2022/12/19","6045","-36","940"
"2022/12/16","6081","-65","945"
"2022/12/15","6146","-2","955"
"2022/12/14","6148","54","955"
"2022/12/13","6094","24","947"
"2022/12/12","6070","-70","944"
"2022/12/09","6140","8","955"
"2022/12/08","6132","0","951"
"2022/12/07","6132","-6","951"
"2022/12/06","6138","61","952"
"2022/12/05","6077","46","942"
"2022/12/02","6031","-63","935"
"2022/12/01","6094","9","945"
"2022/11/30","6085","13","944"
"2022/11/29","6072","-12","942"
"2022/11/28","6084","-146","944"
"2022/11/25","6230","-50","968"
"2022/11/24","6280","58","977"
"2022/11/22","6222","73","970"
"2022/11/21","6149","63","958"
"2022/11/18","6086","-15","950"
"2022/11/17","6101","-23","953"
"2022/11/16","6124","21","957"
"2022/11/15","6103","116","954"
"2022/11/14","5987","-101","935"
"2022/11/11","6088","51","953"
"2022/11/10","6037","-71","946"
"2022/11/09","6108","17","957"
"2022/11/08","6091","45","956"
"2022/11/07","6046","142","948"
"2022/11/04","5904","-33","926"
"2022/11/02","5937","138","934"
"2022/11/01","5799","77","912"
"2022/10/31","5722","23","902"
"2022/10/28","5699","-56","899"
"2022/10/27","5755","-25","906"
"2022/10/26","5780","-41","910"
"2022/10/25","5821","20","917"
"2022/10/24","5801","21","914"
"2022/10/21","5780","-76","910"
"2022/10/20","5856","-41","922"
"2022/10/19","5897","11","929"
"2022/10/18","5886","25","927"
"2022/10/17","5861","-31","923"
"2022/10/14","5892","114","928"
"2022/10/13","5778","-39","910"
"2022/10/12","5817","11","916"
"2022/10/11","5806","-59","915"
"2022/10/07","5865","-80","925"
"2022/10/06","5945","32","937"
"2022/10/05","5913","31","932"
"2022/10/04","5882","189","927"
"2022/10/03","5693","32","897"
"2022/09/30","5661","-104","892"
"2022/09/29","5765","30","902"
"2022/09/28","5735","-98","898"
"2022/09/27","5833","7","913"
"2022/09/26","5826","-165","914"
"2022/09/22","5991","-20","940"
"2022/09/21","6011","-4","943"
"2022/09/20","6015","60","944"
"2022/09/16","5955","-74","929"
"2022/09/15","6029","-91","941"
"2022/09/14","6120","-34","955"
"2022/09/13","6154","24","961"
"2022/09/12","6130","5","957"
"2022/09/09","6125","32","957"
"2022/09/08","6093","79","952"
"2022/09/07","6014","-54","940"
"2022/09/06","6068","62","949"
"2022/09/05","6006","38","939"
"2022/09/02","5968","-96","933"
"2022/09/01","6064","0","948"
"2022/08/31","6064","-54","948"
"2022/08/30","6118","100","958"
"2022/08/29","6018","-26","942"
"2022/08/26","6044","49","948"
"2022/08/25","5995","17","941"
"2022/08/24","5978","1","939"
"2022/08/23","5977","-7","939"
"2022/08/22","5984","-12","941"
"2022/08/19","5996","34","943"
"2022/08/18","5962","-16","940"
"2022/08/17","5978","92","944"
"2022/08/16","5886","-49","930"
"2022/08/15","5935","-28","938"
"2022/08/12","5963","82","945"
"2022/08/10","5881","15","940"
"2022/08/09","5866","-9","937"
"2022/08/08","5875","48","940"
"2022/08/05","5827","244","927"
"2022/08/04","5583","-31","887"
"2022/08/03","5614","-46","893"
"2022/08/02","5660","-72","900"
"2022/08/01","5732","97","914"
"2022/07/29","5635","8","898"
"2022/07/28","5627","6","910"
"2022/07/27","5621","16","909"
"2022/07/26","5605","35","906"
"2022/07/25","5570","-66","901"
"2022/07/22","5636","19","911"
"2022/07/21","5617","-66","897"
"2022/07/20","5683","90","908"
"2022/07/19","5593","91","894"
"2022/07/15","5502","2","879"
"2022/07/14","5500","45","880"
"2022/07/13","5455","33","873"
"2022/07/12","5422","-116","867"
"2022/07/11","5538","79","911"
"2022/07/08","5459","80","874"
"2022/07/07","5379","35","861"
"2022/07/06","5344","-112","855"
"2022/07/05","5456","8","872"
"2022/07/04","5448","66","871"
"2022/07/01","5382","-26","860"
"2022/06/30","5408","-76","865"
"2022/06/29","5484","2","877"
"2022/06/28","5482","44","876"
"2022/06/27","5438","76","869"
"2022/06/24","5362","21","857"
"2022/06/23","5341","-28","853"
"2022/06/22","5369","-36","858"
"2022/06/21","5405","82","863"
"2022/06/20","5323","-153","850"
"2022/06/17","5476","-143","874"
"2022/06/16","5619","53","897"
"2022/06/15","5566","-86","890"
"2022/06/14","5652","-80","906"
"2022/06/13","5732","-127","931"
"2022/06/10","5859","-132","951"
"2022/06/09","5991","-48","972"
"2022/06/08","6039","-15","980"
"2022/06/07","6054","40","984"
"2022/06/06","6014","39","991"
"2022/06/03","5975","-17","985"
"2022/06/02","5992","2","1015"
"2022/06/01","5990","20","1015"
"2022/05/31","5970","25","1012"
"2022/05/30","5945","33","1008"
"2022/05/27","5912","131","1003"
"2022/05/26","5781","48","981"
"2022/05/25","5733","-47","973"
"2022/05/24","5780","-13","981"
"2022/05/23","5793","9","984"
"2022/05/20","5784","137","983"
"2022/05/19","5647","-32","960"
"2022/05/18","5679","59","965"
"2022/05/17","5620","74","956"
"2022/05/16","5546","-72","944"
"2022/05/13","5618","100","958"
"2022/05/12","5518","-72","942"
"2022/05/11","5590","173","954"
"2022/05/10","5417","-73","920"
"2022/05/09","5490","-172","932"
"2022/05/06","5662","36","961"
"2022/05/02","5626","-43","954"
"2022/04/28","5669","203","962"
