"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇnÇéÇÖÅ|ÇΩÇÌÇÁÉmÅ[ÉçÅ[ÉhÅ@ì˙åoÇQÇQÇT"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20150307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","15873","-197","80101"
"2023/04/05","16070","-274","80873"
"2023/04/04","16344","57","82545"
"2023/04/03","16287","85","82394"
"2023/03/31","16202","148","82425"
"2023/03/30","16054","91","81612"
"2023/03/29","15963","209","81421"
"2023/03/28","15754","23","80373"
"2023/03/27","15731","52","80081"
"2023/03/24","15679","-19","79735"
"2023/03/23","15698","-27","79907"
"2023/03/22","15725","298","80092"
"2023/03/20","15427","-221","78351"
"2023/03/17","15648","184","79317"
"2023/03/16","15464","-127","77688"
"2023/03/15","15591","6","77629"
"2023/03/14","15585","-352","77173"
"2023/03/13","15937","-176","78584"
"2023/03/10","16113","-275","79307"
"2023/03/09","16388","103","81037"
"2023/03/08","16285","76","80742"
"2023/03/07","16209","41","80647"
"2023/03/06","16168","178","80999"
"2023/03/03","15990","245","80788"
"2023/03/02","15745","-11","79561"
"2023/03/01","15756","41","79336"
"2023/02/28","15715","12","79170"
"2023/02/27","15703","-7","78899"
"2023/02/24","15710","198","79171"
"2023/02/22","15512","-211","77810"
"2023/02/21","15723","-34","78808"
"2023/02/20","15757","12","78928"
"2023/02/17","15745","-106","78680"
"2023/02/16","15851","111","79486"
"2023/02/15","15740","-58","78767"
"2023/02/14","15798","101","78818"
"2023/02/13","15697","-140","78218"
"2023/02/10","15837","51","79018"
"2023/02/09","15786","-14","78883"
"2023/02/08","15800","-44","78874"
"2023/02/07","15844","-6","79320"
"2023/02/06","15850","105","79736"
"2023/02/03","15745","61","79462"
"2023/02/02","15684","33","79252"
"2023/02/01","15651","11","79024"
"2023/01/31","15640","-61","78843"
"2023/01/30","15701","29","79235"
"2023/01/27","15672","11","79052"
"2023/01/26","15661","-17","79011"
"2023/01/25","15678","54","79520"
"2023/01/24","15624","225","80010"
"2023/01/23","15399","201","79145"
"2023/01/20","15198","86","78076"
"2023/01/19","15112","-222","77565"
"2023/01/18","15334","372","78867"
"2023/01/17","14962","182","76354"
"2023/01/16","14780","-170","75137"
"2023/01/13","14950","-189","75918"
"2023/01/12","15139","2","76782"
"2023/01/11","15137","154","76734"
"2023/01/10","14983","115","75821"
"2023/01/06","14868","88","75111"
"2023/01/05","14780","60","74573"
"2023/01/04","14720","-217","73987"
"2022/12/30","14937","1","74998"
"2022/12/29","14936","-117","74540"
"2022/12/28","15053","-61","74898"
"2022/12/27","15114","23","75120"
"2022/12/26","15091","98","74739"
"2022/12/23","14993","-156","73774"
"2022/12/22","15149","69","74298"
"2022/12/21","15080","-104","73543"
"2022/12/20","15184","-383","73245"
"2022/12/19","15567","-165","74610"
"2022/12/16","15732","-299","74391"
"2022/12/15","16031","-60","75374"
"2022/12/14","16091","115","75922"
"2022/12/13","15976","64","75433"
"2022/12/12","15912","-34","75061"
"2022/12/09","15946","187","75760"
"2022/12/08","15759","-64","74697"
"2022/12/07","15823","-114","74492"
"2022/12/06","15937","36","75215"
"2022/12/05","15901","25","74949"
"2022/12/02","15876","-256","74106"
"2022/12/01","16132","146","75509"
"2022/11/30","15986","-33","74543"
"2022/11/29","16019","-78","74423"
"2022/11/28","16097","-69","74554"
"2022/11/25","16166","-56","74840"
"2022/11/24","16222","152","75285"
"2022/11/22","16070","97","74781"
"2022/11/21","15973","26","74259"
"2022/11/18","15947","-18","74100"
"2022/11/17","15965","-56","74088"
"2022/11/16","16021","22","74355"
"2022/11/15","15999","15","73818"
"2022/11/14","15984","-172","73693"
"2022/11/11","16156","469","75497"
"2022/11/10","15687","-153","73140"
"2022/11/09","15840","-90","73585"
"2022/11/08","15930","196","74649"
"2022/11/07","15734","189","74202"
"2022/11/04","15545","-266","72640"
"2022/11/02","15811","-9","74030"
"2022/11/01","15820","53","74271"
"2022/10/31","15767","277","74044"
"2022/10/28","15490","-138","72644"
"2022/10/27","15628","-50","73197"
"2022/10/26","15678","103","73606"
"2022/10/25","15575","158","73204"
"2022/10/24","15417","47","72407"
"2022/10/21","15370","-66","72130"
"2022/10/20","15436","-142","72312"
