"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","ÇnÇéÇÖÅ|ÇΩÇÌÇÁÉmÅ[ÉçÅ[ÉhÅ@çëì‡ç¬åî"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20150307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","9973","11","22625"
"2023/04/05","9962","-3","22570"
"2023/04/04","9965","-32","22567"
"2023/04/03","9997","-43","22619"
"2023/03/31","10040","-18","22707"
"2023/03/30","10058","-15","22470"
"2023/03/29","10073","31","22504"
"2023/03/28","10042","25","22429"
"2023/03/27","10017","-10","22380"
"2023/03/24","10027","3","22395"
"2023/03/23","10024","11","22407"
"2023/03/22","10013","-54","22399"
"2023/03/20","10067","46","22525"
"2023/03/17","10021","-11","22421"
"2023/03/16","10032","28","22250"
"2023/03/15","10004","-57","22191"
"2023/03/14","10061","97","22333"
"2023/03/13","9964","58","22119"
"2023/03/10","9906","53","21977"
"2023/03/09","9853","-16","21850"
"2023/03/08","9869","-8","21883"
"2023/03/07","9877","0","21902"
"2023/03/06","9877","-4","21923"
"2023/03/03","9881","-5","21942"
"2023/03/02","9886","-20","21959"
"2023/03/01","9906","2","21991"
"2023/02/28","9904","49","21991"
"2023/02/27","9855","3","21890"
"2023/02/24","9852","19","21883"
"2023/02/22","9833","8","21833"
"2023/02/21","9825","-6","21827"
"2023/02/20","9831","-5","21852"
"2023/02/17","9836","-14","21893"
"2023/02/16","9850","-11","21917"
"2023/02/15","9861","8","21934"
"2023/02/14","9853","7","21718"
"2023/02/13","9846","18","21725"
"2023/02/10","9828","-11","21687"
"2023/02/09","9839","-4","21702"
"2023/02/08","9843","3","21702"
"2023/02/07","9840","-7","21692"
"2023/02/06","9847","-17","21723"
"2023/02/03","9864","19","21767"
"2023/02/02","9845","22","21727"
"2023/02/01","9823","25","21665"
"2023/01/31","9798","-13","21618"
"2023/01/30","9811","-1","21657"
"2023/01/27","9812","-44","21673"
"2023/01/26","9856","-6","21771"
"2023/01/25","9862","-12","21792"
"2023/01/24","9874","-7","21815"
"2023/01/23","9881","28","21831"
"2023/01/20","9853","21","21772"
"2023/01/19","9832","11","21732"
"2023/01/18","9821","36","21704"
"2023/01/17","9785","-3","21379"
"2023/01/16","9788","23","21412"
"2023/01/13","9765","2","21370"
"2023/01/12","9763","-41","21358"
"2023/01/11","9804","4","21443"
"2023/01/10","9800","-30","21445"
"2023/01/06","9830","9","21526"
"2023/01/05","9821","17","21511"
"2023/01/04","9804","-21","21463"
"2022/12/30","9825","11","21502"
"2022/12/29","9814","-25","21483"
"2022/12/28","9839","-15","21530"
"2022/12/27","9854","-16","21578"
"2022/12/26","9870","-17","22026"
"2022/12/23","9887","-3","22112"
"2022/12/22","9890","24","22120"
"2022/12/21","9866","-17","22065"
"2022/12/20","9883","-59","22147"
"2022/12/19","9942","-21","22286"
"2022/12/16","9963","-15","22333"
"2022/12/15","9978","-19","22163"
"2022/12/14","9997","11","22220"
"2022/12/13","9986","5","22186"
"2022/12/12","9981","-14","22186"
"2022/12/09","9995","15","22219"
"2022/12/08","9980","12","22181"
"2022/12/07","9968","11","22157"
"2022/12/06","9957","-9","22116"
"2022/12/05","9966","-5","22154"
"2022/12/02","9971","7","22160"
"2022/12/01","9964","7","22149"
"2022/11/30","9957","3","22137"
"2022/11/29","9954","-20","22125"
"2022/11/28","9974","-3","22172"
"2022/11/25","9977","-25","22197"
"2022/11/24","10002","3","22243"
"2022/11/22","9999","-2","22231"
"2022/11/21","10001","-9","22234"
"2022/11/18","10010","-10","22249"
"2022/11/17","10020","14","22265"
"2022/11/16","10006","4","22236"
"2022/11/15","10002","14","22021"
"2022/11/14","9988","-27","22012"
"2022/11/11","10015","41","22069"
"2022/11/10","9974","4","21979"
"2022/11/09","9970","38","21972"
"2022/11/08","9932","-15","21872"
"2022/11/07","9947","-5","21910"
"2022/11/04","9952","-23","21948"
