"基準価額一覧"
""
"ファンド名","ブラックロック－ｉシェアーズ　ハイイールド債券インデックス・ファンド"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20130307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","16967","-135","1322"
"2023/04/05","17102","-144","1331"
"2023/04/04","17246","-8","1338"
"2023/04/03","17254","127","1338"
"2023/03/31","17127","243","1297"
"2023/03/30","16884","272","1277"
"2023/03/29","16612","37","1300"
"2023/03/28","16575","63","1296"
"2023/03/27","16512","-208","1289"
"2023/03/24","16720","56","1305"
"2023/03/23","16664","-201","1315"
"2023/03/22","16865","65","1329"
"2023/03/20","16800","-171","1323"
"2023/03/17","16971","171","1338"
"2023/03/16","16800","-312","1332"
"2023/03/15","17112","204","1356"
"2023/03/14","16908","-187","1336"
"2023/03/13","17095","-272","1350"
"2023/03/10","17367","-106","1371"
"2023/03/09","17473","-90","1378"
"2023/03/08","17563","31","1384"
"2023/03/07","17532","104","1374"
"2023/03/06","17428","76","1360"
"2023/03/03","17352","38","1355"
"2023/03/02","17314","-90","1349"
"2023/03/01","17404","-1","1355"
"2023/02/28","17405","80","1350"
"2023/02/27","17325","181","1342"
"2023/02/24","17144","83","1326"
"2023/02/22","17061","-90","1318"
"2023/02/21","17151","83","1322"
"2023/02/20","17068","-100","1315"
"2023/02/17","17168","-6","1323"
"2023/02/16","17174","168","1317"
"2023/02/15","17006","2","1303"
"2023/02/14","17004","99","1293"
"2023/02/13","16905","-193","1284"
"2023/02/10","17098","55","1297"
"2023/02/09","17043","20","1292"
"2023/02/08","17023","-202","1280"
"2023/02/07","17225","-149","1294"
"2023/02/06","17374","335","1305"
"2023/02/03","17039","319","1268"
"2023/02/02","16720","-127","1231"
"2023/02/01","16847","-49","1239"
"2023/01/31","16896","-12","1238"
"2023/01/30","16908","45","1238"
"2023/01/27","16863","74","1224"
"2023/01/26","16789","-136","1216"
"2023/01/25","16925","-83","1225"
"2023/01/24","17008","271","1231"
"2023/01/23","16737","38","1201"
"2023/01/20","16699","-121","1197"
"2023/01/19","16820","-293","1205"
"2023/01/18","17113","312","1225"
"2023/01/17","16801","94","1215"
"2023/01/16","16707","-128","1206"
"2023/01/13","16835","-262","1214"
"2023/01/12","17097","2","1231"
"2023/01/11","17095","3","1230"
"2023/01/10","17092","46","1229"
"2023/01/06","17046","243","1242"
"2023/01/05","16803","241","1225"
"2023/01/04","16562","-125","1230"
"2022/12/30","16687","-187","1238"
"2022/12/29","16874","-159","1232"
"2022/12/28","17033","88","1244"
"2022/12/27","16945","115","1237"
"2022/12/26","16830","-83","1226"
"2022/12/23","16913","12","1233"
"2022/12/22","16901","196","1235"
"2022/12/21","16705","-370","1222"
"2022/12/20","17075","-310","1247"
"2022/12/19","17385","-241","1269"
"2022/12/16","17626","87","1285"
"2022/12/15","17539","21","1277"
"2022/12/14","17518","-135","1272"
"2022/12/13","17653","141","1276"
"2022/12/12","17512","33","1268"
"2022/12/09","17479","129","1264"
"2022/12/08","17350","-108","1254"
"2022/12/07","17458","19","1263"
"2022/12/06","17439","149","1259"
"2022/12/05","17290","-133","1244"
"2022/12/02","17423","71","1253"
"2022/12/01","17352","-144","1249"
"2022/11/30","17496","-116","1257"
"2022/11/29","17612","-69","1262"
"2022/11/28","17681","-92","1263"
"2022/11/25","17773","51","1267"
"2022/11/24","17722","-126","1261"
"2022/11/22","17848","170","1266"
"2022/11/21","17678","106","1255"
"2022/11/18","17572","-88","1244"
"2022/11/17","17660","14","1244"
"2022/11/16","17646","-89","1240"
"2022/11/15","17735","100","1233"
"2022/11/14","17635","-191","1237"
"2022/11/11","17826","-244","1249"
"2022/11/10","18070","-25","1265"
"2022/11/09","18095","-47","1266"
"2022/11/08","18142","-18","1270"
"2022/11/07","18160","-86","1267"
"2022/11/04","18246","-112","1272"
"2022/11/02","18358","-203","1277"
"2022/11/01","18561","-94","1286"
"2022/10/31","18655","408","1294"
"2022/10/28","18247","72","1262"
"2022/10/27","18175","-197","1255"
"2022/10/26","18372","55","1262"
"2022/10/25","18317","105","1238"
"2022/10/24","18212","-198","1229"
"2022/10/21","18410","66","1241"
"2022/10/20","18344","12","1206"
"2022/10/19","18332","108","1206"
"2022/10/18","18224","248","1187"
"2022/10/17","17976","139","1172"
"2022/10/14","17837","37","1162"
"2022/10/13","17800","79","1160"
"2022/10/12","17721","113","1143"
"2022/10/11","17608","-320","1133"
"2022/10/07","17928","125","1153"
"2022/10/06","17803","-34","1139"
"2022/10/05","17837","203","1141"
"2022/10/04","17634","32","1137"
"2022/10/03","17602","204","1135"
"2022/09/30","17398","-28","1124"
"2022/09/29","17426","83","1126"
