"基準価額一覧"
""
"ファンド名","アムンディ－アムンディ・グローバル・ストラテジー株式ファンド　毎月決算型"
""
"検索期間","検索開始年月日","検索終了年月日"
"","20140307","20230407"
""
"年月日","基準価額（円）","前日比（円）","純資産総額（百万円）"
"2023/04/06","11182","-54","7207"
"2023/04/05","11236","-171","7227"
"2023/04/04","11407","28","7337"
"2023/04/03","11379","61","7318"
"2023/03/31","11318","132","7231"
"2023/03/30","11186","208","7128"
"2023/03/29","10978","96","6991"
"2023/03/28","10882","36","6928"
"2023/03/27","10846","-20","6865"
"2023/03/24","10866","13","6862"
"2023/03/23","10853","-165","6831"
"2023/03/22","11018","173","6915"
"2023/03/20","10845","-120","6756"
"2023/03/17","10965","104","6813"
"2023/03/16","10861","-212","6746"
"2023/03/15","11073","159","6849"
"2023/03/14","10914","-131","6718"
"2023/03/13","11045","-238","6774"
"2023/03/10","11283","-174","6870"
"2023/03/09","11457","-16","6937"
"2023/03/08","11473","-60","6922"
"2023/03/07","11533","26","6949"
"2023/03/06","11507","-65","6897"
"2023/03/03","11572","125","6901"
"2023/03/02","11447","-22","6822"
"2023/03/01","11469","-27","6827"
"2023/02/28","11496","47","6770"
"2023/02/27","11449","90","6674"
"2023/02/24","11359","-87","6581"
"2023/02/22","11446","-67","6575"
"2023/02/21","11513","9","6614"
"2023/02/20","11504","-65","6574"
"2023/02/17","11569","-1","6578"
"2023/02/16","11570","72","6532"
"2023/02/15","11498","26","6374"
"2023/02/14","11472","106","6359"
"2023/02/13","11366","25","6273"
"2023/02/10","11341","-34","6217"
"2023/02/09","11375","13","6220"
"2023/02/08","11362","-66","6225"
"2023/02/07","11428","-81","6265"
"2023/02/06","11509","100","6264"
"2023/02/03","11409","67","6204"
"2023/02/02","11342","-63","6141"
"2023/02/01","11405","23","6162"
"2023/01/31","11382","-39","6105"
"2023/01/30","11421","37","6096"
"2023/01/27","11384","77","6027"
"2023/01/26","11307","-61","5960"
"2023/01/25","11368","16","5991"
"2023/01/24","11352","164","5970"
"2023/01/23","11188","144","5858"
"2023/01/20","11044","-40","5766"
"2023/01/19","11084","-284","5776"
"2023/01/18","11368","210","5910"
"2023/01/17","11158","45","5801"
"2023/01/16","11113","-44","5721"
"2023/01/13","11157","-133","5731"
"2023/01/12","11290","41","5794"
"2023/01/11","11249","57","5772"
"2023/01/10","11192","101","5737"
"2023/01/06","11091","72","5678"
"2023/01/05","11019","110","5627"
"2023/01/04","10909","-114","5560"
"2022/12/30","11023","-22","5613"
"2022/12/29","11045","-75","5603"
"2022/12/28","11120","83","5617"
"2022/12/27","11037","73","5575"
"2022/12/26","10964","13","5529"
"2022/12/23","10951","-35","5522"
"2022/12/22","10986","136","5522"
"2022/12/21","10850","-144","5410"
"2022/12/20","10994","-155","5473"
"2022/12/19","11149","-188","5550"
"2022/12/16","11337","-28","5622"
"2022/12/15","11365","-9","5624"
"2022/12/14","11374","-68","5603"
"2022/12/13","11442","120","5601"
"2022/12/12","11322","-33","5529"
"2022/12/09","11355","76","5544"
"2022/12/08","11279","-70","5457"
"2022/12/07","11349","-22","5487"
"2022/12/06","11371","10","5458"
"2022/12/05","11361","-207","5420"
"2022/12/02","11568","-15","5506"
"2022/12/01","11583","-11","5505"
"2022/11/30","11594","37","5469"
"2022/11/29","11557","-137","5431"
"2022/11/28","11694","-20","5448"
"2022/11/25","11714","50","5458"
"2022/11/24","11664","-42","5440"
"2022/11/22","11706","67","5437"
"2022/11/21","11639","82","5342"
"2022/11/18","11557","0","5283"
"2022/11/17","11557","-85","5265"
"2022/11/16","11642","24","5287"
"2022/11/15","11618","17","5267"
"2022/11/14","11601","7","5259"
