"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOà‰èZóFÇsÇ`ÇlÅ|ÇrÇaÇhéëéYê›åvÉIÅ[ÉvÉìÅiéëéYê¨í∑å^Åj"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20080101","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","18637","-109","36906"
"2023/04/05","18746","-181","37132"
"2023/04/04","18927","11","37502"
"2023/04/03","18916","123","37465"
"2023/03/31","18793","173","37227"
"2023/03/30","18620","200","36890"
"2023/03/29","18420","110","36496"
"2023/03/28","18310","44","36266"
"2023/03/27","18266","37","36180"
"2023/03/24","18229","-12","36108"
"2023/03/23","18241","-215","36110"
"2023/03/22","18456","149","36528"
"2023/03/20","18307","-164","36232"
"2023/03/17","18471","81","36493"
"2023/03/16","18390","-190","36329"
"2023/03/15","18580","145","36710"
"2023/03/14","18435","-115","36433"
"2023/03/13","18550","-233","36653"
"2023/03/10","18783","-235","37117"
"2023/03/09","19018","49","37588"
"2023/03/08","18969","-45","37494"
"2023/03/07","19014","34","37600"
"2023/03/06","18980","91","37537"
"2023/03/03","18889","119","37360"
"2023/03/02","18770","-56","37112"
"2023/03/01","18826","-46","37212"
"2023/02/28","18872","50","37295"
"2023/02/27","18822","68","37195"
"2023/02/24","18754","6","37060"
"2023/02/22","18748","-128","37033"
"2023/02/21","18876","-17","37286"
"2023/02/20","18893","15","37325"
"2023/02/17","18878","-73","37293"
"2023/02/16","18951","124","37432"
"2023/02/15","18827","-15","37123"
"2023/02/14","18842","164","37157"
"2023/02/13","18678","-41","36828"
"2023/02/10","18719","-42","36915"
"2023/02/09","18761","3","36999"
"2023/02/08","18758","-91","36993"
"2023/02/07","18849","-67","37172"
"2023/02/06","18916","183","37313"
"2023/02/03","18733","135","36951"
"2023/02/02","18598","-26","36674"
"2023/02/01","18624","46","36714"
"2023/01/31","18578","-112","36638"
"2023/01/30","18690","79","36860"
"2023/01/27","18611","86","36704"
"2023/01/26","18525","-88","36526"
"2023/01/25","18613","22","36712"
"2023/01/24","18591","211","36649"
"2023/01/23","18380","183","36230"
"2023/01/20","18197","12","35872"
"2023/01/19","18185","-300","35847"
"2023/01/18","18485","300","36354"
"2023/01/17","18185","56","35766"
"2023/01/16","18129","-138","35658"
"2023/01/13","18267","-133","35935"
"2023/01/12","18400","97","36190"
"2023/01/11","18303","87","35998"
"2023/01/10","18216","87","35829"
"2023/01/06","18129","-4","35650"
"2023/01/05","18133","195","35643"
"2023/01/04","17938","-224","35265"
"2022/12/30","18162","5","35707"
"2022/12/29","18157","-94","35691"
"2022/12/28","18251","18","35876"
"2022/12/27","18233","95","35840"
"2022/12/26","18138","8","35655"
"2022/12/23","18130","-85","35655"
"2022/12/22","18215","176","35795"
"2022/12/21","18039","-216","35434"
"2022/12/20","18255","-358","35865"
"2022/12/19","18613","-297","36567"
"2022/12/16","18910","-33","37076"
"2022/12/15","18943","-14","37149"
"2022/12/14","18957","-22","37182"
"2022/12/13","18979","137","37222"
"2022/12/12","18842","-78","36954"
"2022/12/09","18920","109","37101"
"2022/12/08","18811","-46","36889"
"2022/12/07","18857","-17","36979"
"2022/12/06","18874","19","37013"
"2022/12/05","18855","-72","36981"
"2022/12/02","18927","-127","37123"
"2022/12/01","19054","30","37357"
"2022/11/30","19024","2","37303"
"2022/11/29","19022","-157","37304"
"2022/11/28","19179","-28","37617"
"2022/11/25","19207","-3","37672"
"2022/11/24","19210","12","37671"
"2022/11/22","19198","131","37655"
"2022/11/21","19067","57","37399"
"2022/11/18","19010","19","37284"
"2022/11/17","18991","-12","37246"
"2022/11/16","19003","20","37194"
"2022/11/15","18983","-9","37159"
"2022/11/14","18992","-172","37178"
"2022/11/11","19164","242","37504"
"2022/11/10","18922","-74","37026"
"2022/11/09","18996","-2","37173"
"2022/11/08","18998","78","37177"
"2022/11/07","18920","68","37027"
"2022/11/04","18852","-273","36905"
"2022/11/02","19125","-107","37441"
"2022/11/01","19232","13","37643"
"2022/10/31","19219","275","37623"
"2022/10/28","18944","30","37077"
"2022/10/27","18914","-96","37020"
"2022/10/26","19010","222","37207"
"2022/10/25","18788","137","36772"
"2022/10/24","18651","14","36483"
"2022/10/21","18637","-58","36450"
"2022/10/20","18695","-92","36560"
"2022/10/19","18787","81","36743"
"2022/10/18","18706","256","36575"
"2022/10/17","18450","-115","36018"
"2022/10/14","18565","243","36241"
"2022/10/13","18322","-28","35759"
"2022/10/12","18350","-3","35805"
"2022/10/11","18353","-285","35809"
"2022/10/07","18638","-165","36367"
"2022/10/06","18803","-25","36672"
"2022/10/05","18828","149","36727"
"2022/10/04","18679","305","36436"
"2022/10/03","18374","25","35839"
"2022/09/30","18349","-129","35790"
"2022/09/29","18478","252","36030"
"2022/09/28","18226","-145","35544"
"2022/09/27","18371","-117","35833"
"2022/09/26","18488","-463","36067"
"2022/09/22","18951","-62","36942"
"2022/09/21","19013","-162","37056"
"2022/09/20","19175","-15","37369"
"2022/09/16","19190","-106","37396"
"2022/09/15","19296","-119","37547"
"2022/09/14","19415","-249","37801"
"2022/09/13","19664","98","38298"
"2022/09/12","19566","66","38112"
"2022/09/09","19500","13","37977"
"2022/09/08","19487","304","37869"
"2022/09/07","19183","131","37277"
"2022/09/06","19052","-6","37023"
"2022/09/05","19058","-5","37037"
"2022/09/02","19063","-29","37037"
"2022/09/01","19092","-85","37080"
"2022/08/31","19177","-81","37247"
"2022/08/30","19258","48","37403"
"2022/08/29","19210","-165","37308"
"2022/08/26","19375","100","37616"
"2022/08/25","19275","49","37430"
"2022/08/24","19226","-84","37315"
"2022/08/23","19310","-213","37526"
"2022/08/22","19523","-78","37937"
"2022/08/19","19601","93","38096"
"2022/08/18","19508","-59","37921"
"2022/08/17","19567","124","38044"
"2022/08/16","19443","24","37739"
"2022/08/15","19419","94","37696"
"2022/08/12","19325","64","37506"
"2022/08/10","19261","-2","37391"
"2022/08/09","19263","-20","37412"
"2022/08/08","19283","117","37451"
"2022/08/05","19166","14","37221"
"2022/08/04","19152","74","37193"
"2022/08/03","19078","110","37047"
"2022/08/02","18968","-226","36846"
"2022/08/01","19194","5","37287"
"2022/07/29","19189","20","37275"
"2022/07/28","19169","70","37232"
"2022/07/27","19099","-1","37100"
"2022/07/26","19100","12","37090"
"2022/07/25","19088","-57","37087"
"2022/07/22","19145","5","37172"
"2022/07/21","19140","63","37155"
"2022/07/20","19077","245","37053"
"2022/07/19","18832","103","36572"
"2022/07/15","18729","-9","36307"
"2022/07/14","18738","58","36322"
"2022/07/13","18680","-21","36210"
"2022/07/12","18701","-76","36246"
"2022/07/11","18777","75","36387"
"2022/07/08","18702","64","36239"
"2022/07/07","18638","75","36110"
"2022/07/06","18563","-139","35952"
"2022/07/05","18702","97","36222"
"2022/07/04","18605","74","36020"
"2022/07/01","18531","-147","35863"
"2022/06/30","18678","-39","36149"
"2022/06/29","18717","-52","36224"
"2022/06/28","18769","125","36303"
"2022/06/27","18644","174","36064"
"2022/06/24","18470","34","35722"
"2022/06/23","18436","37","35659"
"2022/06/22","18399","140","35557"
"2022/06/21","18259","94","35286"
"2022/06/20","18165","97","35103"
"2022/06/17","18068","-278","34919"
"2022/06/16","18346","169","35441"
"2022/06/15","18177","-118","35043"
"2022/06/14","18295","-463","35269"
"2022/06/13","18758","-283","36158"
"2022/06/10","19041","-267","36711"
"2022/06/09","19308","25","37230"
"2022/06/08","19283","165","37182"
"2022/06/07","19118","110","36870"
"2022/06/06","19008","-13","36657"
"2022/06/03","19021","103","36682"
"2022/06/02","18918","-15","36484"
"2022/06/01","18933","37","36506"
"2022/05/31","18896","81","36435"
"2022/05/30","18815","228","36277"
"2022/05/27","18587","65","35842"
