"äÓèÄâøäzàÍóó"
""
"ÉtÉ@ÉìÉhñº","éOà‰èZóFÇsÇ`ÇlÅ|ÇrÇlÇsÅ@â¢èBäîîzìñãMë∞ÉCÉìÉfÉbÉNÉXÅEÉIÅ[ÉvÉì"
""
"åüçıä˙ä‘","åüçıäJénîNåéì˙","åüçıèIóπîNåéì˙"
"","20170307","20230407"
""
"îNåéì˙","äÓèÄâøäzÅiâ~Åj","ëOì˙î‰Åiâ~Åj","èÉéëéYëçäzÅiïSñúâ~Åj"
"2023/04/06","13171","-118","496"
"2023/04/05","13289","-48","502"
"2023/04/04","13337","-26","519"
"2023/04/03","13363","-73","521"
"2023/03/31","13436","298","495"
"2023/03/30","13138","266","486"
"2023/03/29","12872","46","475"
"2023/03/28","12826","174","475"
"2023/03/27","12652","-155","468"
"2023/03/24","12807","-37","471"
"2023/03/23","12844","-55","472"
"2023/03/22","12899","268","474"
"2023/03/20","12631","-142","464"
"2023/03/17","12773","235","469"
"2023/03/16","12538","-489","460"
"2023/03/15","13027","289","477"
"2023/03/14","12738","-200","466"
"2023/03/13","12938","-230","473"
"2023/03/10","13168","-37","482"
"2023/03/09","13205","-36","481"
"2023/03/08","13241","-146","484"
"2023/03/07","13387","54","491"
"2023/03/06","13333","33","488"
"2023/03/03","13300","104","487"
"2023/03/02","13196","-21","480"
"2023/03/01","13217","-248","468"
"2023/02/28","13465","206","476"
"2023/02/27","13259","89","471"
"2023/02/24","13170","-174","469"
"2023/02/22","13344","18","476"
"2023/02/21","13326","-4","471"
"2023/02/20","13330","77","471"
"2023/02/17","13253","-24","469"
"2023/02/16","13277","138","470"
"2023/02/15","13139","48","467"
"2023/02/14","13091","254","465"
"2023/02/13","12837","-203","456"
"2023/02/10","13040","21","465"
"2023/02/09","13019","75","464"
"2023/02/08","12944","-202","463"
"2023/02/07","13146","-102","471"
"2023/02/06","13248","253","474"
"2023/02/03","12995","197","464"
"2023/02/02","12798","33","441"
"2023/02/01","12765","-93","440"
"2023/01/31","12858","30","441"
"2023/01/30","12828","74","440"
"2023/01/27","12754","40","437"
"2023/01/26","12714","-174","437"
"2023/01/25","12888","-52","440"
"2023/01/24","12940","134","440"
"2023/01/23","12806","159","435"
"2023/01/20","12647","-95","429"
"2023/01/19","12742","-224","432"
"2023/01/18","12966","274","439"
"2023/01/17","12692","168","429"
"2023/01/16","12524","-104","423"
"2023/01/13","12628","-132","426"
"2023/01/12","12760","41","430"
"2023/01/11","12719","-3","427"
"2023/01/10","12722","257","427"
"2023/01/06","12465","-60","417"
"2023/01/05","12525","392","438"
"2023/01/04","12133","-189","429"
"2022/12/30","12322","-20","436"
"2022/12/29","12342","52","432"
"2022/12/28","12290","43","430"
"2022/12/27","12247","117","429"
"2022/12/26","12130","-22","424"
"2022/12/23","12152","-135","425"
"2022/12/22","12287","183","429"
"2022/12/21","12104","-331","422"
"2022/12/20","12435","-158","434"
"2022/12/19","12593","-353","440"
"2022/12/16","12946","-179","452"
"2022/12/15","13125","94","458"
"2022/12/14","13031","41","454"
"2022/12/13","12990","65","452"
"2022/12/12","12925","44","450"
"2022/12/09","12881","5","447"
"2022/12/08","12876","-44","447"
"2022/12/07","12920","-113","448"
"2022/12/06","13033","27","450"
"2022/12/05","13006","-47","447"
"2022/12/02","13053","114","448"
"2022/12/01","12939","-19","418"
"2022/11/30","12958","-183","418"
"2022/11/29","13141","-187","425"
"2022/11/28","13328","-18","431"
"2022/11/25","13346","53","431"
"2022/11/24","13293","62","429"
"2022/11/22","13231","137","426"
"2022/11/21","13094","80","422"
"2022/11/18","13014","-24","420"
"2022/11/17","13038","-57","420"
"2022/11/16","13095","-51","424"
"2022/11/15","13146","59","425"
"2022/11/14","13087","-111","426"
"2022/11/11","13198","309","429"
"2022/11/10","12889","13","420"
"2022/11/09","12876","109","419"
"2022/11/08","12767","103","415"
"2022/11/07","12664","274","412"
"2022/11/04","12390","-348","403"
"2022/11/02","12738","-122","412"
"2022/11/01","12860","-18","415"
"2022/10/31","12878","128","416"
"2022/10/28","12750","-146","412"
"2022/10/27","12896","89","417"
"2022/10/26","12807","247","413"
"2022/10/25","12560","233","405"
"2022/10/24","12327","-92","398"
"2022/10/21","12419","54","400"
"2022/10/20","12365","-164","400"
"2022/10/19","12529","199","405"
"2022/10/18","12330","306","394"
"2022/10/17","12024","145","384"
"2022/10/14","11879","94","379"
"2022/10/13","11785","53","376"
"2022/10/12","11732","-153","373"
"2022/10/11","11885","-183","378"
"2022/10/07","12068","-218","384"
"2022/10/06","12286","-126","459"
"2022/10/05","12412","428","462"
"2022/10/04","11984","117","444"
"2022/10/03","11867","91","439"
"2022/09/30","11776","77","415"
"2022/09/29","11699","177","412"
"2022/09/28","11522","-99","637"
"2022/09/27","11621","69","643"
"2022/09/26","11552","-767","637"
"2022/09/22","12319","24","679"
